start	end	text
0	2240	Well, where the shit am I now?
2240	4940	And when the hell are I?
4940	10600	Let me check my map I got from that interdimensional gas station.
10600	13320	Southwest Arkansas.
13320	16980	There ain't possibly a place named like that.
16980	22420	I guess I better put on a good show no matter where or when I am.
22420	23380	Fuck.
23380	27780	I'm coming at you live from wherever I said earlier.
27780	31500	From 694.2 PTBP.
31500	35820	The only radio station that broadcasts from Arkansas.
35820	37420	Probably.
37420	40260	This week's Howlin' with Wolf is from Nathan.
40260	44940	AKA at APOC underscore Golem on Twitter.
44940	47700	From Aberdeen, South Dakota.
47700	51600	Who tweeted about the show and tagged at Pretending Pod.
51600	55140	Which is a praiseworthy thing to do with your fingers.
55140	56700	Nathan writes.
56820	58460	Dearest Edward.
58460	60260	I will see you soon.
60260	62580	I tried to stay strong.
62580	63780	I promised.
63780	65180	And I failed.
65180	69780	I thought I could trap it inside me but now I'm the one trapped.
69780	71580	It is in me now.
71580	74700	It forces me to move against my will.
74700	79420	I scream inside my own head while it makes me do things.
79420	81460	Bad things, Ed.
81460	82860	I'm so sorry.
82860	84620	It comes for you now.
84660	89020	I feel my feet wrench and spasm in a mockery of walking.
89020	92980	As it forces my body to lurch in your direction.
92980	94580	It is patient.
94580	95980	Dearest Edward.
95980	97600	I'm so sorry.
97600	99240	I will see you soon.
100500	102740	Well, you heard the guy, Edward.
102740	104780	He's coming to see you soon.
104780	109100	Sounds like it's gonna be a fun time for you and your BFF.
109100	110400	If you wanna write up something
110400	113140	for your arken-saucy wolf to howl,
113140	115300	tag at PretendingPod on Twitter
115300	118700	or write a five-star review on Apple Podcasts
118700	121740	or I guess also two more things.
121740	125740	Tag at PretendingPod on Instagram, fuck Mark Zuckerberg
125740	128100	or tag pretending to be people on Facebook,
128100	131300	fuck Mark Zuckerberg.
131300	133280	We love it when people are excited
133280	135540	to tell their friends about our show here
135540	138520	but seriously, fuck Mark Zuckerberg.
138520	142420	Maybe Wolfie can give that pasty half alien
142420	145900	the physical delights the human part of him craves.
145900	150300	He ain't never ever met a wolf like me.
150300	153420	And if that excellent pun gave you the blues,
153420	157140	let's see who won in this week's The News.
157140	160620	And that winner from Twitter's mostly bitter litter
160620	164740	is the Twitter outfitter at tdunder-beck
164740	169740	aka Cosplay underscore by underscore Tyler.
170220	172300	He guessed the special guest
173140	175020	who will join Allie, Lindsay, and Taylor
175020	180020	for all five parts of Operation Bigfoot Underground
180180	181620	Search and Hunt.
181620	186620	That's right, Operation Bigfoot Underground Search and Hunt
186820	189660	will be played by the crew who you knew
189660	193580	when they brought you their story in the Contingent Woods
193580	198380	alongside Eleanor DiLorenzo, the delightful creator
198380	201380	and GM of the Lost Mountain saga,
201380	204780	a dedicated role player on the Glass Cannon Network's
204780	208940	Androids and Aliens, the foul-mouthed Twitch streamer
208940	212100	who once laughed so hard she could barely breathe
212100	216020	after reading the name Mike Oxmaul.
216020	218620	Well, better not dwell on that name.
218620	222020	My mouth might get jealous of all that nasty trash
222020	224060	going in the wrong hole.
224060	228700	Let's fill them ears with something that clears the gears.
228740	231580	It's Molly Healy with Circles.
231580	233420	["Circles"]
241420	243420	["Circles"]
258700	260700	["Circles"]
272820	274620	I'm glad you were honest with us.
274620	275900	Yes.
275900	276900	We're cutting this out.
276900	279100	That's requesting my first cut.
279100	279940	Oh no, the Thomas Roll.
279940	281420	Oh no, it's staying in.
281420	283940	Fuck, Allie, you said it.
283940	287460	Oh no, it was just about to get cut.
287460	290260	Welcome to Pretending to Be People.
290260	294820	I am here with a whole table of special guests here.
294820	297340	We're going to go around the table here.
297340	299300	We're going to start with,
299300	302140	she's played Gerald Fingersen.
302140	305820	She played Sharon Shadow Berryman.
305820	308780	She does the sound of phone calls.
308780	311500	Ring, ring, ring, ring.
311500	313380	It's my wife, Borat Voice.
313380	314220	Taylor.
314220	316020	Hello, I'm his wife.
316060	317580	Did that work the opposite way?
319380	320340	I don't think so.
320340	321180	Anyway, hi.
321180	325100	We have Liz Lonklin, the Doc Martin wearing punk,
325100	329620	the designer of the infamous PTBP fanny pack
329620	333340	that I fucking promise will exist one day.
333340	335100	It's Lindsay.
335100	336820	Hello, I'm Lindsay.
338140	338980	Nailed it.
338980	341980	Just top notch, boom town.
341980	344940	She played Krista Krinklehoff.
344980	346300	It's still hard to say.
347980	350620	She played a bro bot named Brett.
350620	352100	She's my new coworker.
352100	353580	Thanks for getting me the job.
353580	354980	It's Ali.
354980	356220	Hello, I am Ali.
356220	357980	I regret getting him the job.
357980	361380	I'm loud and in the, well, I used to be in the office,
361380	363500	but now no one's in the office.
363500	365020	Woo.
365020	368100	And finally, she's an actor.
368100	369980	She's a standup comedian.
369980	371660	She's a Twitch streamer.
371660	373820	She's a player on Glass Cannon Network,
373820	376500	Starfinder podcast, Androids and Aliens.
376500	379460	She's the creator and GM of her own show,
379460	381140	The Lost Mountain Saga,
381140	384220	which is getting a season two coming soon.
384220	387540	It's Eleanor DiLorenzo, Lindsay.
387540	390380	Woo.
390380	392060	Thanks for the applause, guys.
392900	393740	Thanks.
395340	396180	Oh, there it is.
396180	397740	It was a little delay.
397740	400580	I request that the rest of us also get a echo out.
400580	403340	I'm so sorry.
403340	408340	Honestly, it's doing Eleanor DiLorenzo, it's very good.
408540	412460	No, but also Taylor Reeve, she's the worst of the game.
416460	418220	So today we're playing Delta Green.
418220	422420	I know that that is new to Eleanor here.
422420	423420	Eleanor, are you excited?
423420	425260	I am incredibly excited.
425260	426900	I've been wanting to play this game
426900	428380	ever since I heard about it the first time,
428380	431340	which was in, I don't know, doesn't matter,
431340	432940	but I have been wanting to play it
432940	435300	for a really, really long time.
435300	439340	And I'm so excited that you guys invited me to play
439340	442100	because it seems like you guys know what you're doing
442100	444060	or maybe that's just...
444060	445820	Oh, that's funny.
447220	449100	One of us at this table does.
449100	449940	It's good.
449940	451420	It's good to have your confidence.
451420	452260	It's me.
452740	453580	It's me.
455900	458740	So a quick rundown of Delta Green.
458740	459940	It's a role-playing game.
459940	461060	Okay, moving on.
461060	461900	So...
463500	465020	That's all you need to know.
466140	468860	Delta Green is a role-playing game about...
468860	469700	Oh, no.
471780	475500	How are you so good on all those other podcasts?
475500	477980	Listen, I've been drunk for the past five years.
477980	478940	I don't even know.
478940	483940	I'm doing dry January.
484060	486460	So this is the first time I'm playing Delta Green
486460	489180	without a beer in my hand in a long time.
489180	490020	Wow.
490020	490860	Congratulations.
490860	492820	It's also till 10 in the morning.
492820	494260	Yup, still would have done it.
494260	495900	Not a doubt in my mind.
495900	497620	It's Saturday.
497620	498820	Saturday's for the boys.
498820	500820	Saturday's for the boys.
502580	503980	So Delta Green is a role-playing game
503980	507420	about losing your mind or dying
507420	509980	in the process of trying to stop
509980	512140	the inevitable end of the world.
512140	513060	Oh, really?
513060	514740	I thought it was a romantic comedy.
514740	516740	Someone told me it was like a period piece
516740	519220	set in the 19th century Britain.
519220	521020	Yup, based on menstruation.
521020	522660	19th century Arkansas.
525020	526380	We are playing...
526380	529940	This game will be set in Mississippi and Arkansas tonight.
529940	531380	We're gonna kick it off in Mississippi
531380	533740	and then drive on up to Arkansas,
533740	536940	which Eleanor, you had to do some research
536940	538580	on...
538580	539820	What do you mean Mississippi?
539820	540660	I thought it was...
540660	541620	Oh God, I thought it was...
541620	545700	Wait, Mississippi the river or Mississippi the...
545700	547340	It's a city, right?
547340	548940	We're just gonna meet...
548940	550900	The characters are gonna meet in Shreveport,
550900	552060	which is in Mississippi,
552060	553780	but then you're gonna drive into Arkansas.
553780	556140	You don't need to know anything about Mississippi
556140	560420	other than what should she know about Mississippi?
560420	561420	How to spell it.
561420	564180	M-I-S-S-I-S-S-I-P-P-I.
564180	566060	I've been swimming in the Mississippi.
566100	568300	Wait, you swam in the Mississippi?
568300	570580	Maybe, or I took a piss in it.
570580	571860	Actually, that's a Swedish saying.
571860	573460	Take a piss in the Mississippi.
574540	576460	Actually, that's what my mom says all the time.
576460	578860	Like when something is irrelevant,
578860	580220	it's like fart in space,
580220	582100	but we also say it's a piss in Mississippi.
582100	584380	Oh, that's really good.
584380	586700	Yeah, P-I-S-S-I-S-S-I-P-P-I.
586700	589540	Piss is hippie.
589540	591260	Piss is hippie.
591260	592820	Has anyone ever thought of that?
592820	593820	Are we the first?
593820	595100	Oh my God.
595100	595940	Google it.
595940	597260	Google it before you tweet it.
597260	598420	Google it.
598420	601340	Okay, so just gonna give you a rundown.
601340	603100	So normally Delta Green is a game
603100	605940	with a lot of really fantastic scenarios
605940	607020	that are written for it
607020	609500	and published by Arc Dream Publishing,
609500	612300	which is a publishing company that publishes games
612300	614500	and scenarios for Delta Green.
614500	616180	However, instead of running
616180	620340	one of their extremely well-written and edited scenarios,
620340	622140	I'm gonna run you through something I wrote
622140	624260	that's just in a Google doc here.
624260	625100	Hell yeah.
634100	636140	All right, well.
636140	638740	I don't think Zach's killing children in this.
638740	639940	Based on his face.
639940	642580	Gonna run a different scenario.
642580	643500	Don't worry about it.
643500	646500	Kill as many children you want and puppies.
646500	647340	Monster.
648700	651100	That's what I was waiting to hear.
652100	656940	All right, so let's meet these characters, shall we?
656940	658220	Let's dive in here.
658220	662220	Let's go in alphabetical order of first name
662220	664380	of real life human.
664380	665700	Allie.
665700	666540	Hello.
666540	667380	Who is your character?
667380	668260	What's she look like?
668260	669420	What's her deal?
669420	670380	What's she been up to?
670380	671620	Give us the rundown.
671620	672540	I would love to.
672540	673380	Thank you.
673380	675060	I'm gonna pull up my summary of my character.
675060	676060	Thank you.
676060	678020	You guys all, I asked this group
678020	679740	to answer some questions that I'd sent
679900	682220	and then to write a little bit of backstory
682220	684580	about how they ran into the unnatural.
684580	689580	And all four of you did an absolutely stellar job.
689700	691980	Should we do season two together as a group
691980	693460	instead of the normal?
693460	696380	Ha ha ha ha ha ha ha ha ha.
696380	697220	Bye.
698660	700420	Okay, my name is.
700420	701860	Joke.
701860	705100	Oh no, not again.
706420	707620	Do you remember that?
707620	708900	I remember that it's a joke.
708940	710140	I just don't remember why.
710140	711460	You started it.
711460	713780	This happens to me all the time.
713780	716860	I'm just making so many jokes all the time.
716860	717940	All right, here we go.
717940	720460	My name is Rusty Hooch.
