start	end	text
0	2000	What's snazzy, my pips?
2000	8500	It's your knobby, sloppy, off-the-cobby, radio host with the absolute most.
8500	13800	Your butter and egg man with jams and toast, it's Wolf the dog.
13800	17300	If you're not yet big, then you may be a grower,
17300	21300	cuz I'm blowin' your wig from my radio blower.
21300	29300	Here on 694.2 PTBP, the internet's oldest and only radio station.
29300	36800	This installment of Howlin' with Wolf is from The Duckman in Winston-Salem, North Carolina.
36800	37800	They write,
37800	40000	To the boys of Best Korea,
40000	42300	Wibble Wobble Dingle Chungus,
42300	44600	Wumbo Dingo Tringus,
44600	47500	and a whole lotta love to you, Wolf,
47500	52300	for introducing me to the magical musicians of Missouri known as Kudzu.
52300	54800	No backbone is the bee's knees.
54800	57300	You're the top dog in my books, Wolf.
57300	58800	Keep up that good work,
58800	63800	and I hope you find some extra good scraps in tonight's trash can.
63800	65800	You shred it, Wheat.
65800	69300	Remember, if you wanna write up somethin' for your wolf to howl,
69300	70800	tag us on the internet,
70800	72800	uh-uh, fuck Mark Zuckerberg,
72800	76800	or write a five-star review on Apple Podcasts.
76800	81300	All the links are in the damn show notes like they always have been.
81300	83800	Why don't y'all take a look for one second?
83800	84800	I'll wait.
85800	91800	I found a handy-dandy little book here of common phrases used back in the 1930s
91800	96800	to set the stage for the special presentation I have for you today.
96800	98800	So, uh, shake a leg,
98800	100800	split with those getaway sticks,
100800	104800	and grab a swell glass of city juice with your meat paws.
104800	108800	In my cave, it's all wet to be dried out,
108800	111800	so double down on your dog soup.
111800	113800	I might be behind the grind,
113800	117800	but these fine expressions from the time of Great Depression,
117800	119800	they align with wolf's obsessions.
119800	123800	Now, time to perform my midnight profession.
123800	127800	So unwind from uniform strife and oppression,
127800	131800	and mainline this newfangled warm-life lesson.
131800	135800	It's Grady Philip Drug with Real Life.
143800	148800	Easy times feel less than serene
148800	155800	In the moment it's hard to count your blessings
155800	161800	So we long for days gone past
161800	165800	As grief and strife
165800	171800	Bloody, that's real life
174800	177800	Moment of silence, 30 seconds of silence
177800	182800	for our nearly departed dipshit in the Oval Office.
182800	188800	I said silence, Joe.
188800	191800	Don't make jokes, Zach.
203800	213800	That's, that's 30, right?
213800	216800	That was close.
216800	221800	Zach, Zach, before you clarified Oval Office,
221800	223800	when you said nearly departed dipshit,
223800	228800	I thought you were talking about Luke.
228800	234800	Oh, no!
234800	237800	His Scott is our, he is our dipshit.
237800	240800	We love him a lot.
240800	242800	Oh, we miss you, Luke.
242800	244800	Luke isn't here with us today,
244800	250800	but who is with us today is a man who I've spent a lot of time
250800	255800	listening to and learning from about Call of Cthulhu
255800	258800	and other horror gaming in general,
258800	262800	Mr. Scott Dorward, whose credits include
262800	266800	working on Cubicle Seven's World War Cthulhu line,
266800	269800	let's see, working on Dead of Night,
269800	271800	Cthulhu Dark,
271800	274800	Pulp Cthulhu's first campaign, the Two-Headed Serpent,
274800	278800	and of course, he is one of the good friends of Jackson Elias
278800	282800	over on the absolutely delightful podcast,
282800	285800	The Good Friends of Jackson Elias.
285800	287800	Thanks for joining us, Scott.
287800	290800	Oh, well, thank you so much for inviting me, Zach.
290800	292800	This is a great pleasure,
292800	295800	and I am looking forward to putting you through hell.
295800	298800	Yeah, that's what we like to hear.
298800	301800	Ooh, love being on the other side of it.
301800	306800	Can you give us a quick rundown of who you are
306800	310800	for the people listening at home and what you do?
310800	312800	Yes, okay.
312800	315800	Or I can just say everything I just said again.
315800	319800	No, no, I can introduce myself.
319800	322800	I'm a big boy.
322800	325800	Yes.
325800	328800	So, yes, I'm Scott Dorward.
328800	331800	I am a writer and editor.
331800	334800	I've worked primarily on Call of Cthulhu products,
334800	338800	but done work on a number of other RPGs.
339800	344800	I do a bunch of podcasting,
344800	346800	as well as The Good Friends of Jackson Elias,
346800	348800	which Zach mentioned.
348800	351800	I'm also a cast member on the How We Roll podcast
351800	356800	and a semi-regular on Ain't Slayed Nobody.
356800	360800	So, yeah, I am.
360800	365800	I get around, but yes, it is.
365800	368800	Well, we're glad to have you as our bedfellow this evening
368800	371800	running The Bleak Prospect here.
371800	373800	To lead our nightmares.
373800	375800	Yes. Well, thank you very much.
