start	end	text
0	9840	Well, babies, I cannot believe I finally arrived at Ocean City, New Jersey, and it's 2016?
9840	11400	And it's March?
11400	15360	Well, fuck, this should be a fun detour, I guess.
15360	17000	God damn it.
17000	18760	I guess...
18760	22200	Guess I can do another radio show or something.
22200	27880	We're live from 694.2 PTBP or whatever.
27920	30640	Some nice person wrote us a thing.
30640	32080	Maybe I'll read that.
32080	38320	This week's Howlin' with Wolf comes from Dale Armont in Arkansas, who tweeted about the
38320	44120	show and tagged at Pretending Pod, which is always the third thing I do while sitting
44120	45120	on the toilet.
45120	46840	Do you sit down to pee?
46840	48260	I sure do.
48260	49760	It's comfy.
49760	56360	Thanks for tweeting about the show and tagging at Pretending Pod Dale Armont from Arkansas.
56360	57360	He writes,
81840	84000	Oh wow, Dale.
84000	91000	A Wolfie never reveals their secrets, especially secrets about their incredibly moisturized
91000	92000	nipples.
92000	93000	Wink.
93000	97960	If you want to write up something for your wolf to how, send in your message as a five-star
97960	104680	review on Apple Podcasts, and I'll read it here on 694.2 PTBP.
104680	111040	Ocean City, New Jersey's newest and only radio station, probably.
111040	117200	And I'll be right back after a word from our only sponsor, Zach.
117200	118200	What's up, what's up?
118200	119200	It's Zach.
119200	120680	I am here to tell you four things.
120680	124460	First, I want to say thank you to this community.
124460	132440	After some last minute donations from you folks, we've raised $1,525 to help keep
132440	135840	Springfieldians warm this winter.
135840	138000	That's absolutely incredible.
138000	142200	Thank you to each and every one of you listening who's told a friend about the show or joined
142200	144980	the Patreon or tagged us on the internet.
144980	147280	This is all thanks to you.
147280	152360	Second, I want to say thank you to all of you eager listeners for your patience.
152360	153720	Here's a little life update.
153720	159600	Taylor and I have moved back to Springfield, Missouri, and we will be in Springfield, Missouri
159600	164380	until we eventually die in Springfield, Missouri.
164380	165380	We love it here.
165380	166440	The food game is strong.
166440	167440	It's cheap.
167480	172780	We just started a big boy job at a real company and we're about to move into a rental while
172780	176680	we house hunt in this super fun market.
176680	183880	I'm hoping the transition won't affect our release schedule too much, but I'm an optimist
183880	184880	for real though.
184880	190160	We have some really cool shit planned and we're all super stoked about it.
190200	196320	Third, we just recently released our 27th Patreon bonus episode.
196320	201880	Luke GM'd a game of Uncanny Rally for Joe, Thomas, and me.
201880	205840	It's one of those one-page RPGs from Grant Hallett.
205840	209360	We played malfunctioning military androids on the run.
209360	215060	It was delightfully silly and Luke did a wonderful job leading us on our wacky way.
215060	223900	So for $5 a month you can hear that and 26 other bonus episodes which do include a 13
223900	231420	episode long mostly homebrew Delta Green campaign that winds through time by connecting surviving
231420	239620	agents from each mission to continued unnatural mysteries and military conspiracies.
239620	246060	And finally, if you're an esteemed naughty denizen of the den of sin, get ready for this
246060	253460	Thursday, the eve of New Year's Eve, January 30th at 7pm Central Time.
253460	259500	We're gonna hang out and celebrate the end of 2021, talk about our plans for 2022, and
259500	266040	we're also each in charge of bringing a segment to the episode, so we'll see what happens
266040	267660	with that.
267660	272420	If you have any suggestions, post them on the internet.
272420	279820	And come hang out this Thursday night, yeah, New Year's Eve, January 30th at 7pm Central
279820	280820	Time.
280820	286280	Okay, sorry that took so long, thanks for listening to our podcast, bye.
286280	291780	If that sad Zach character gave you the blues, and God knows he gives me the blues, you're
291780	295180	welcome to cheer up now, it's time for the news.
295420	302620	A former Delta Green agent named Arvon Chilton is missing and on the run today after a string
302620	308080	of brutal homicides have all pointed in his singular direction.
308080	312100	He is assumed to be armed and dangerous.
312100	317260	Again, this is a former Delta Green agent named Arvon Chilton.
317260	324200	Mr. Chilton parked his car in the driveway of his ex-wife, Eileen McCarty, and her new
324200	326920	husband, Marcus McCarty.
326920	335000	Then, this fucking dude, Arvon Chilton, walked inside, disabled and tied up the new husband,
335000	339320	and then slowly cut Eileen McCarty to pieces in front of the guy.
339320	345540	Later, Arvon Chilton carefully cut out the new husband's eyes, all before he disemboweled
345540	350040	and untied the blind, bleeding out broken man.
350200	355680	Marcus McCarty died sometime later, crawling towards the front door.
355680	358080	Welcome to 694.2.
358080	363640	If you aren't down with that level of awful, this show might not be good for you.
363640	370200	But for now, let's just groove on this melodic palate cleanser that's brand spanking new.
370200	374680	It's Brian Bolger with Bad in a Good Way.
380040	385480	The deep end, but the drowning's been just fine
385480	393800	And when my ears pop and the shell shock of this pit stop frees my mind
393800	401960	I'll be alright, I can go there now that I've stared death in the face
401960	409640	I'll be alright, I can go there now that I've stared death in the face
414200	416360	Welcome to Pretending to Be People.
416360	421880	We're gonna play Control Copy, which is a Delta Green scenario written by Dennis Detwiller,
421880	426280	one of the creators of the game, Delta Green, the Role Playing Game.
426280	428280	Yeah!
428280	430280	Oh, too much.
432120	435720	We are playing Control Copy specifically because we put up a poll
439880	441560	on our Patreon.
441560	443800	And only those who pay us money could vote.
443800	448840	And only those who pay us money could vote, and they chose Control Copy.
448840	453800	Hey, let's introduce ourselves to anyone who is listening to this who hasn't listened to us before.
453800	457400	My name is Zach, and I'm gonna be your handler today,
457400	461720	as well as after you listen to this when you go back and listen to all of season one,
461720	464840	of Pretending to Be People, I'll be the handler for that as well.
464840	469240	I'm Joe! I play. I'm one of the characters. I play in all the games.
470760	471720	Every single one of them.
473720	477880	What is your role, Joe? How do you see your role here at Pretending to Be People?
477880	482280	I think the most official role I have is note taker, and even that's tenuous at times,
482280	485640	because I get involved in what's happening and forget to write stuff down.
485640	488120	That happens to everybody, man. That's role playing, baby.
488120	488840	Yeah, that's what my problem is.
488920	492920	That's happened to Luke and I for the last 60 episodes.
492920	494120	I was so enthralled.
496280	502200	I'm Luke. I play, too. And my goal, my role...
502200	503080	What's your goal?
503080	503960	Goal? Have fun.
504680	505960	Role. Have fun.
507720	510840	I don't take notes.
513960	514760	They're all up here.
515320	517000	He points at his head.
517000	517880	Yeah, audio.
519320	520600	He pointed at Joe's notebook.
523000	528280	But yeah, you know, I just kind of go with the flow, and I try to get things rolling, you know?
528920	530600	Yes, you certainly do that.
530600	534760	You can really feel the energy just, like, shooting off of him.
536520	540360	I'm Thomas, and sometimes I take notes, and...
541160	544040	I thought that this just became whether or not you take notes.
544040	544760	Notes or no notes.
544760	546760	I plan to take notes on this campaign.
547640	549480	Joe was like, I'm Joe, and I'm a character,
549480	552120	so I just want to make it clear that I'm Thomas, and I'm a person.
553720	555400	But I do play characters on the show.
557400	562120	All right, so that's us, and this is Delta Green,
562120	564760	and we're going to play Delta Green.
565320	566440	Are you guys ready to play Delta Green?
566440	567320	I'm scared.
568680	571960	Normally, on season one of Pretending to Be People,
571960	576120	we played an amalgamation of Delta Green and Pulp Cthulhu.
576520	580440	And you guys had lots of hit points and luck to spend.
580920	585800	However, in this game today, you will have no special talents.
585800	589080	Your hit points will be your strength plus your con,
589640	595000	divided by two, as opposed to just strength plus con,
595640	597880	and you will have no luck.
598520	602120	So let's introduce your characters.
602120	604840	A young boy, far larger than average for his age,
605800	608360	sits crying in the hallway of an elementary school
608360	610440	as a group of children laugh and run away.
611400	615240	He's wearing a yellow long-sleeve t-shirt and blue overalls.
615240	618200	His glasses are thick, thick enough to give the illusion
618200	621000	that the wearer has cartoonishly giant eyes.
621000	623560	The tears are magnified behind the glass lenses
623560	626680	as he sniffles and laughs echo down the hallway.
626680	629560	A small boy approaches the weeping, hulking figure.
629560	631560	They're assholes, fuck them.
631560	633000	What's your name, Bigfoot?
635320	636280	Kevin.
636280	638280	The crying boy says as he wipes his face
638280	641560	and looks up at the acne-ridden face of Elwood Boyd.
641560	643400	Kevin wipes the sweat from his face
643400	645640	and looks up into the stadium lights.
645640	647720	The light glints off his athletic goggles,
647720	649560	which give his eyes a bulging look.
650280	658280	Menyen! Menyen! Menyen! Menyen! Menyen! Menyen! Menyen!
658280	661080	The crowd chants his nickname as he stands on the field,
661080	663320	towering above the other boys surrounding him.
663720	664520	Hike!
664520	666120	The sound of young men shouting
666120	668520	and football pads clashing fills the air.
668520	671960	Kevin throws the boy opposite him to the ground with a crunch.
671960	674040	His eyes focus on the opposing quarterback
674040	675800	and he launches himself forward.
675800	678120	The small, frail boy holding the football
678120	680280	is almost invisible under Kevin's shadow
680280	682680	as the monstrous high schooler leaps towards him.
682680	684680	Ahh!
684680	688200	A piercing scream is heard as Kevin smashes into the child,
688200	689800	sending the boy flying backwards
689800	691560	and the football up into the air.
692120	693800	Kevin jumps up to grab the ball
693800	695560	and sprints towards the end zone.
695560	697640	The entire crowd is chanting his name
697640	699400	as he hulks toward the goal.
699400	701480	When the minion reaches the end of the field,
701480	703480	he spikes the football down.
703480	705320	Instead of bouncing back into the air,
705320	708040	the ball burrows itself into the earth.
708040	709240	What's your last name again?
709240	710280	Gelato.
710280	713960	That's another defensive touchdown
713960	719000	for Kevin Gelato and the Spiro Agnu High!
719000	720520	Nope, I already have this written out.
721960	728360	That's the end of the minions five undefeated years
728360	730120	here at Spiro Agnu High!
730840	734040	The announcer shouts as the crowd runs onto the field.
734040	735640	I'm so proud of you bro!
735640	737960	You're gonna do big things!
737960	740040	The voice of Stuart, Kevin's younger brother,
740040	743720	fades out as we see Kevin standing in an elegant hallway
743720	745320	with a dumb smile on his face.
745880	748520	The smile quickly fades into a stony expression
748520	750120	as Elwood's voice fades in,
750120	752440	asking questions not necessarily intended
752440	753720	to be answered by Kevin.
754280	756280	Kevin gives Elwood a quick smile,
756280	758840	but the eyes behind his goggles are deeply sad.
760200	762200	Okay Elwood, let's go.
763080	763580	Nice!
764360	765240	And Elwood.
765240	765740	Hey!
767240	768440	I'm playing Elwood.
768440	769800	Elwood Boyd.
770680	773400	And see Kevin, if I turn this here, click,
774040	776840	and I snip this here, we should get...
777560	779640	And a safe door slowly opens in front of them,
779640	782520	revealing a cartoonish horde of jewels and cash.
783080	786280	A smile spreads across Elwood Boyd's pale, pockmarked,
786280	789240	and pimpled face, revealing rows of yellowed teeth
789240	791320	that seem to have all collectively decided
791320	792920	no two would grow in the same angle.
796760	799080	He stands wearing an argyle sweater vest
799080	800920	over a yellow-brown colored button-up,
800920	802680	khaki pants, and golfing shoes,
802680	804840	but the whole ensemble looks like it was recently
804840	808040	retrieved from a dumpster, all wrinkled and lightly,
808040	809880	and in some places not so lightly,
809880	812040	stained and fitting poorly.
812040	814520	Kevin hands Elwood a fresh duffel bag,
815160	817240	and Elwood extends a thin, bony arm
817240	819240	to start scooping in the latest score.
819240	820760	See, there's nothing to it.
820760	823240	Well, at least for me, I don't know how you'd fare.
823240	826200	But it's like I can see the inner workings of these things.
829240	829960	I always have.
829960	831320	I don't know where this comes from.
832600	833640	Here, take this bag too.
834280	836760	And Elwood stands and hands another duffel bag
836760	837560	over to Kevin.
838200	840520	He now has three draped over his body.
840520	842440	All right, so we've gone through every room, right?
842440	843400	I started to lose track.
843400	844360	This place is so big.
844920	847560	You said this guy was some kind of money manager or something.
847560	848600	Hoo-wee!
848600	849960	Must be good in the manage-
849960	850680	money management.
850680	851000	Fuck.
853240	856200	Must be good in the money management.
856200	857240	Hoo-wee!
857240	859160	Must be good money managing that money.
862360	863160	Let's try it again.
863160	867480	Must be good money in managing that money.
867480	868840	Come on, let's get out of here.
868840	870520	We gotta go see Julian.
870520	873080	They make their way toward the garage at this point,
873720	875960	passing rooms that have obviously been picked over.
875960	877800	There's things kind of scattered here and there,
877800	879720	but it's mostly empty rooms at this point.
879720	882440	They walk by a kitchen and there's a guy sprawled on the floor
883160	884200	just in his boxers.
885000	887320	Man, you really whacked him good, big guy.
887320	888760	Yeah, he'll be out for hours.
889800	891080	Right before they get to the garage door,
891080	895480	they see a picture on the wall and it's of a family all-
895480	900680	I'm sorry, he jacked that guy off so good that he passed out for hours?
901320	902360	Really got him.
902360	903160	Whatever you say.
904760	907560	There's a family photo on the wall right by the garage door
907560	909720	of a family in like a fall setting.
910520	912440	Hey, you almost forgot one, dummy.
912440	915400	Even though it's just a picture, there's good money in frames.
915400	916280	We can sell the frame.
916840	917960	They get out to the garage.
917960	920200	They load up the SUV of the homeowner.
920200	922200	Elwood waits in the passenger seat.
922200	924280	Come on, come on, we don't have all day.
924280	926040	Well, I guess we kind of do.
926040	928600	I already snipped the alarms and I took care of the cameras
929480	931960	and the security guy at the gate, you took care of him.
932680	933800	But anyway, I want to get out of here.
933800	934840	Come on, let's go.
934840	940680	Kevin walks out the door with a frame and three double bags.
941720	944360	Everything's just like packed on this dude like a mule.
946120	947880	That's how it was picture made for sure.
947880	951160	Is this happening in the present day or like shortly after that high school game?
951160	952360	No, this is present day.
952360	955240	Yeah, you were daydreaming about that when we were doing this.
957240	958040	That's actually perfect.
960520	964440	They pull up into an old camera shop and they pull around the back.
964440	967640	They've done it a million times before and they're greeted by Julian.
967640	968680	Oh, he's your fence.
968680	969400	He's my fence.
969400	970120	Got you.
970120	972360	Comes out and says, what'd you bring for me today?
972360	973480	Oh, just the usual.
973480	977720	Some vases, socks, books, candlesticks, jewelry, bedsheets.
978360	979720	Kevin, tell some of the keys.
979720	980840	You got your car?
980840	981240	All right.
981240	983800	Julian cuts them off and says, hey, smelly Ellie.
983800	985640	You know I only care about the jewels, right?
985640	987880	You don't have to make me sell people's socks.
987880	988840	They're used.
988840	990120	Elwood replies.
991640	993080	Hey, they still work, don't they?
993080	996040	That means they have value to somebody and that means they have value to me.
996040	996440	Socks.
997160	997720	Socks.
997720	1000440	Usually there's even some cash in this frame, I'm sure.
1001320	1004040	Oh, Elwood, you took the family photos.
1005480	1009240	He, uh, he assures them that there's going to be, uh, some cash form in a week.
1009240	1009800	Okay.
1009800	1011000	After he sells all this stuff.
1011000	1011400	Yeah.
1011400	1015640	And, uh, Elwood turns to Kevin and says, all right, let's, uh, let's head back home.
1015640	1016920	Maybe Ma's made chili.
1016920	1017640	Oh yeah.
1018360	1019000	Chili.
1019000	1021960	So they get back to Elmira Boyd's basement apartment.
1021960	1022600	Okay.
1022600	1025560	And oh, they noticed the TV's on.
1025560	1026200	Oh shit.
1026200	1026920	She's still awake.
1026920	1027160	All right.
1027160	1028040	Come, come, come on.
1028600	1029240	Is this your mom?
1030760	1032040	Hey, hey, hey ma.
1032040	1033400	Um, we're, we're home.
1033960	1034600	Home.
1034600	1038680	Uh, Elmira Boyd is laying on the couch in her nightgown and she stirs awake.
1038680	1039480	Kind of startled.
1040600	1043320	Oh, did you boys have fun at the golf range?
1044760	1047800	Uh, Elwood says, yeah, I hit two holes in one.
1047800	1048440	Hole in one.
1049960	1052680	She said, well, you keep telling me you should go pro.
1054280	1055400	I see these guys on TV.
1055400	1057320	They aren't hitting holes in one every time they go out.
1057320	1058200	It seems like you do.
1058200	1067320	Uh, she tousles his greasy mop top and kind of wipes her hand off on her nightgown.
1068840	1069640	She's going up to bed.
1069640	1070600	I made some chili.
1070600	1071960	There's some chili in the fridge there.
1071960	1073960	Oh, and uh, somebody left that for you.
1073960	1075720	It's something about an opera.
1075720	1078680	And uh, when Elwood hears this, his heart skips a beat.
1078680	1079080	Yeah.
1079080	1081000	And he turns to his mom.
1081000	1084360	He's walking up the stairs and says, oh, um, thanks mom.
1084360	1087400	Um, hey, uh, Kevin and I, we were thinking of taking a trip.
1087400	1092920	We were, uh, we're going to go to, um, uh, Colorado and hit the, hit the golf courses
1092920	1093240	out there.
1093240	1094360	I heard they're beautiful.
1094360	1096600	We might be, uh, might be gone for a few days.
1097240	1098040	You have a good night.
1099240	1102280	And, uh, Elmira says, oh, uh, okay.
1102280	1103560	You boys have fun out there.
1103560	1104600	Don't get into any trouble.
1105320	1106600	He picks up the envelope.
1106600	1107480	Perfect.
1107480	1107880	Perfect.
1107880	1108280	Perfect.
1110280	1110920	I love that.
1110920	1111160	Okay.
1111160	1113720	Can you give me a quick rundown of what your character looks like?
1113720	1117160	Yeah, he's a greasy and, uh, he's got pimpled and pockmarked face.
1117800	1120280	He's really, uh, super duper skinny.
1120280	1123400	He kind of walks around with his arms folded, but at the wrists.
1124440	1124840	Amazing.
1125400	1130280	And, uh, yeah, he's wearing a ratty sweater vest and a button up with the collar popping
1130280	1131720	at the top, but it all looks wrong.
1131720	1133400	It just looks like it doesn't fit right.
1133400	1135560	Maybe even the buttons are kind of mismatched.
1135560	1141800	One year for Christmas, my grandma got me a sweater vest and it was matching the shirt,
