start	end	text
0	2000	God damn it, y'all.
2000	5740	Shit just keeps getting weirder and weirder around here.
5740	10000	It's your trap tricky trusted teacher wolf the dog,
10000	14080	and I am no longer surrounded by walls.
14080	16880	From my cage, I can see that there is a lot
16880	21000	of bizarre alien thingies all around me.
21000	25520	Bio luminescence, mushroomy thingies.
25520	28740	What the fuck is going on around here?
28740	31220	I guess the show still must go on.
31220	34540	Bullshit working conditions is what this is.
34540	36620	This week's Howlin' with Wolf is from
36620	41380	At Super Nerd Jeff, who is located in Slovenia.
41380	43900	At Super Nerd Jeff tweeted about the show
43900	46460	and tagged At Pretending Pod,
46460	49960	the second coolest thing you can do in Slovenia.
49960	53660	The first, dance with the fairies on Bled Island.
53660	56560	Those little groovers really know how to cut a wool,
56560	58060	if you know what I mean.
58220	60820	And if you don't, do some damn research.
60820	63900	Wolf ain't gonna spoon feed you every morsel,
63900	65540	but I am gonna have.
65540	68220	At Super Nerd Jeff writes,
68220	71220	I hope this message reaches you safely, wolf.
71220	73480	I don't know which lines of communication
73480	74980	are safe these days.
74980	79980	You and the boys are doing God's work over at 694.2 PTBP.
81020	84700	Handlers, agents, and dogs everywhere
84700	87140	could take a leaf out of your creepy freckled
87140	88780	human skin book.
88780	91700	To my own agents, it is coming.
91700	95180	The future we have waited and worked so long for.
95180	98540	Foretold in years past, born of pestilence
98540	100820	and fermented in solitude.
100820	102700	Prepare yourselves.
102700	106360	Much love from the safe house in Slovenia.
106360	109120	Keep up the fine work, fellas.
109120	113060	Now I don't know where your safe house is, Jeff,
113060	115060	but if you ever run into the dragon
115060	117860	that kicks it under Ljubljana Castle,
117860	122100	tell him wolf says he regrets calling him a girthy drake,
122100	124820	and I miss their earthy quakes.
124820	127580	I bet all that's just for Jeff.
127580	132240	Unless a few of y'all have read a book or two on Slovenia.
132240	133780	If you wanna write up something
133780	136060	for your trapped wolf to how,
136060	139340	and then make very specific references to,
139340	141900	tag at pretending pod on Twitter,
141900	144340	tag at pretending pod on Instagram,
144340	146740	tag pretending to be people on Facebook
146740	148700	or fuck Mark Zuckerberg,
148700	151900	or you can write a five star review on Apple Podcasts
151900	155620	and holler about it to pretendingpod at gmail.com.
155620	157660	Also, money.
157660	158660	We'll take it.
158660	161840	If you wanna join the Patreon exclusive t-shirt club,
161840	166040	head on over to patreon.com slash pretending pod.
166040	168580	And remember, if you join our Patreon
168580	172260	or upgrade your tier during the month of November,
172260	173860	we're gonna take that money,
174300	175140	we're gonna match it,
175140	177060	and we're gonna buy blankets and tents
177060	179900	for folks who need them this winter.
179900	184380	You fine folks have already raised $185.
184380	187600	So with PTBP's matching contribution,
187600	192300	we have $370 so far to spend on needed supplies
192300	195080	to help our community get through this winter.
195080	197320	Only 11 days left, y'all.
197320	198780	And how about this?
198780	202260	If we hit $333 from y'all,
202260	203660	that would double on up
203660	207940	to the very cool number of $666.
207940	210340	If that happens, Wolf will give away
210340	214540	a couple fine t-shirts with the PTBP logo
214540	217220	to a couple of fine patrons.
217220	221220	So sign up for the Patreon this November, my babies.
221220	223620	You'll get a butt ton of bonus content
223620	227340	and the fuzzy warm feeling of helping others.
227340	231780	Speaking of fuzzy warm feelings, it's time for the news.
231780	236780	Last time, Incel accused a cool mom of being on drugs,
236860	239460	accused the sheriff of not caring enough
239460	243380	about a missing girl, accused the father of that missing girl
243380	246540	and Alderman of Grover'sville, Tennessee
246540	249020	of being produced by inbreeding,
249020	253180	and emailed Scott Adams, who is either a UFO guy,
253180	255220	the Dilbert guy, or both.
255220	257780	Finally, they called Merle's shut eye,
257780	260500	pretended to be a Clark County deputy,
260500	263420	and learned that Scott Adams has two rooms there
263420	266180	at the same motel they're staying in.
266180	268620	Two rooms for one dude?
268620	271420	Hm, Wolfie is skeptical,
271420	274900	but now for something absolutely impeccable,
274900	277820	it's Brat Pit with Miss Mary.
278220	279940	Psy moves out,
279940	283140	but the eyes hold one throw
288220	291860	I gotta work in the morning
292980	296020	And this shit's so important
296020	298500	So I can't get high
300140	303380	No, I can't get high
305540	307200	Theinge siega die
307860	310580	I can't get high
310580	313780	There must be something inside of me
313780	316500	Does anybody know why?
317940	321140	I can't get high
321140	322820	We're here with David Winters.
322820	323780	David.
323780	324620	Hi.
324620	325620	Luke has a question for you.
325620	326460	Oh, no.
326460	329700	Yeah, so let me set the scene.
329700	331860	We're not recording this though, are we?
331860	334500	No, yeah, we're recording.
334500	337300	Wait, did you get this question from a bigger podcast?
337380	339980	No, I just like thought of it.
339980	342940	I think I was like pooping and I thought of it.
342940	343780	So, all right.
343780	346100	If you make a lie gross enough, no one questions it.
348100	350940	You're accusing me and I resent that.
350940	354080	This is from the dome.
354080	359080	David, you can pick only one movie that Tom Hanks is in
360340	362020	and keep Tom Hanks in it,
362020	365160	but then you have to replace every other movie he's in
365160	366940	with a different actor,
367420	369060	but then you have to pick who that actor is.
369060	371420	So, three part question, two part question.
371420	375660	One, what movie is Tom Hanks going to stay in his role
375660	378760	and then what actor would you replace
378760	381860	every other Tom Hanks role with?
381860	382700	Oh, that's good.
382700	383960	He's gonna stay in Forrest Gump.
383960	384800	That's what I said.
384800	386100	Yeah, he's gonna stay in Forrest Gump.
386100	387420	I know that much.
387420	391240	As far as every other movie.
391240	392740	So like, what are some highlights?
392740	394420	What movies do we need to think about?
394420	396100	Philadelphia Castaway.
397060	397900	Terminal.
397900	398900	Turner and Hooch, Terminal.
398900	399740	Sully.
399740	400560	Sully.
400560	401400	Sully.
401400	402720	Joe versus volcano.
402720	405420	You've got male, Sleepless in Seattle.
405420	407220	You're the captain now, Phillips man.
407220	409740	This is easy too then.
409740	410580	Nicolas Cage.
410580	412420	Oh, nice.
412420	414940	Perfect, perfect answer.
414940	417260	That's better than anything we ever came up with.
417260	420140	Yeah, that's the most chaotic answer you can give,
420140	421480	besides like Gary Busey.
423300	424900	Do you remember the scene in the terminal
424900	428340	where he's in the bathroom and he just starts screaming?
430020	431700	He does the scene for Mandy,
431700	433460	but in terminal. In every movie.
437460	438460	Let's kill some aliens.
438460	439860	What were your answers?
439860	441340	I heard Forrest Gump was a yes.
441340	443960	I said Forrest Gump and then Colin Hanks.
447160	448940	I was gonna keep him in Castaway
448940	451380	and maybe like Sam Rockwell.
451380	454100	Some character actor I think could do all of his oeuvre.
454140	456380	I think Sam Rockwell would be good.
456380	460500	I chose, the movie that I chose is that one
460500	464660	where he is the guy.
464660	467340	I feel like you don't know what you're gonna say yet.
469020	470340	I should have let Thomas go next.
470340	471420	Yeah, I'll give you some time.
471420	475220	I would keep him in the cinematic masterpiece, Cloud Atlas
476500	480780	and replace him and everything else with Danny DeVito.
480780	482100	There you go.
482100	484540	Danny DeVito is Forrest Gump.
486500	488760	That would be the greatest movie of all time.
491060	492940	I'm gonna keep him in That Thing You Do
492940	495300	just to keep that movie pristine as possible,
495300	496940	especially because I talked about that.
496940	499980	I don't want Vin Diesel playing that role,
499980	503460	which is who I'm gonna have play all of the other roles.
503460	505300	I do want Vin Diesel as Forrest Gump.
505300	510300	It's about family, Ginny.
510940	513380	Family is a life of box of chocolates.
514580	516900	You never know what you're gonna get.
516900	518260	Yeah, oddly enough,
518260	520900	the Chronicles of Riddick is all Tom Hanks now.
522900	524380	That would be awesome.
