start	end	text
0	5200	Hello, one. Hello, all. Hello, y'all.
5200	9600	It's your best friend with a trash-eating problem, Wolf the Dog.
9600	14600	We are hitting you live from 694.2 PTBP.
14600	20600	It is December the 6th, and the time is noon o'clock, my babies.
20600	25900	Mmm, sounds like it's about garbage bin o'clock for y'all, Wolfy boy.
26000	30800	Speaking of trash, earlier I took my dog, Wolf the Dog,
30800	34300	to go find him something to fill his little belly up with.
34300	40900	But upon venturing outside the sky, I suddenly darkened all around us for a little bit.
40900	43100	Y'all ever seen an eclipse?
43100	46600	It was like that, but a little different.
46600	51400	It was real spooky, y'all. Wolf nearly shit his little old britches.
51400	55500	Which wolf did that? I'll let y'all figure that one out.
55500	61600	When I came back down to the studio, I found a note attached with a thumbtack to the inside of my door.
61600	65100	It is emblazoned with a solid green triangle and says,
65100	70100	For a wolf at the top, I guess it's this week's Howlin' with Wolf.
70100	74200	It comes from user Chucklin' Boy over on the subreddit.
74200	79100	He's an Android user, but logged into iTunes on his computer to leave a review.
79100	82500	This boy sure knows how to make ol' Wolfy blush.
82500	84400	Chucklin' Boy writes,
98000	99700	Something fitting, isn't that?
99700	103300	And remember, the mission is over when the world ends.
103300	106800	For all of you out there listening, be sure to stop by the subreddit.
106800	110800	We are starting to see more discussion around the Greater Delta Green Cannon,
110800	114400	as well as game running tips and general show stuff.
114400	116100	See y'all there!
116100	118500	Wolf bless you, Chucklin' Boy.
118500	121900	You are my fire, my one desire.
121900	126800	Believe when I say, if you want to write a message for Wolf to read on air,
126800	131000	tag us on Instagram or Twitter, at PretendingPod,
131000	138000	or write a five-star review on Apple Podcasts and email us at pretendingpod at gmail dot com.
138000	141900	Fuck Mark Zuckerberg, it's time for the news.
141900	149200	A tall, gaunt, humanoid figure with translucent skin and comically long arms asked Clark for the book.
149200	151900	Keith shot it until it dissipated.
151900	157400	A couple of city cops showed up to check on the shots fired at the city cemetery.
157400	164500	John mentioned Marvin Glass and the city cops apologized and left to mind their own damn business.
164500	170000	These heroes of ours then went to lay their fallen former co-workers to rest.
170000	177600	Inside the tomb was a cloaked figure, an older Clark Bishop chanting from a piece of ancient parchment.
177600	185000	The words on the paper turned to little sparks that danced around, bathing the boys in a warm light.
185000	190000	Clark charged at himself, only to grab two fistfuls of cloak and bonk his head
190000	197000	smack into the wall of Ari Manstein's mausoleum, where an older version of himself just stood.
197000	202500	Y'all, none of that made a damn lick of sense to me, but that doesn't mean I'm not hungry.
202500	208500	Filling me up always is kudzu with no backbone.
220000	231000	I could come close, but I'd probably forget Kansas, Illinois, Arkansas, Oklahoma, uh, uh,
231000	236000	Iowa, Tennessee, Kentucky, Kentucky.
236000	239500	One more Nebraska corner hit us up toward the top.
239500	242000	Nebraska. Nice. Nice. Got it.
242000	249500	I didn't know we hit the corner in Nebraska. I'm pretty proud of myself because I am traditionally terrible at geography.
249500	253500	Hey, can you describe to me in great detail the state seal?
253500	255000	It's two bears.
255000	257000	Describe, yeah, I'm just kidding.
257000	258500	Two bears.
258500	260500	Two bears. Okay.
260500	261500	It's just two bears.
261500	265500	I'm gonna hit this vape one more time and then, uh, I'll hit my vape.
265500	268500	Well, cause yours has too much, but mine kind of dissipates real quick.
268500	270500	Get out.
270500	272000	If I can find it in my pocket.
272000	273500	Get out.
273500	274500	I'm not gonna do it.
274500	275000	Get out.
275000	276500	I'm sitting down.
276500	278500	I'm making brown.
278500	280500	Just fight your nicotine habit.
280500	282500	I can't do it. I refuse to do it.
282500	285500	What if I stabbed you with a mechanical pencil every time you hit your jewel?
285500	287500	I would hire Phillip Morris to pursue you.
287500	291500	What if you lost a sanity point every time you hit your jewel?
291500	293500	That's dope.
293500	295500	Okay, I'm good.
295500	299500	Next campaign. The no vape campaign.
299500	303500	I rolled an 87. I got that out of the way.
303500	308500	Alright, Luke hit his jewel 365 times between the last sessions.
308500	310500	He is insane.
310500	311500	Certifiable.
311500	313500	He's come back around.
313500	317500	He's got four new characters to show off and go crazy.
317500	319500	And go crazy and immediately die from.
319500	321500	Okay, let's see.
321500	325500	Dude, I was, okay, so I made a resolve not to drink as much last night
325500	331500	cause I was listening to this episode and we were dumb.
331500	332500	This last one?
332500	333500	Kinda.
333500	340500	The man in black is like, you're here with the book.
340500	343500	And then we instantly start talking about a second you.
343500	346500	And then we don't put it together.
346500	348500	I was like, god damn it.
348500	349500	Anyway.
349500	350500	Hindsight.
350500	353500	But I also forgot everything that happened in that episode.
353500	355500	Good to listen back to.
355500	357500	Good to be embarrassed by yourself.
357500	358500	It's important.
359500	364500	Did you see his list of pros and cons?
364500	366500	Oh yes, incredible.
366500	368500	Pros, the keeper's voices.
368500	370500	Cons, the keeper's voices.
370500	372500	Wait, what was that poster?
372500	373500	I like that a lot.
373500	375500	He just posted on our RPG.
375500	381500	That one made me a chuckling boy.
381500	383500	Welcome to the chuckle hut.
383500	384500	Are you guys ready?
384500	385500	Yeah, I'm ready.
385500	387500	We'll find out.
387500	389500	The three of you wake up.
389500	391500	You just feel this immense pain.
391500	395500	It's almost like a shock has just covered your entire body.
395500	397500	Your stomach hurts.
397500	399500	You just feel it all up in your throat.
399500	402500	Your ears are ringing and pulsating.
402500	404500	It's dark.
404500	406500	It's cold here.
406500	407500	It smells.
407500	409500	What is that smell?
409500	411500	It's like savory?
411500	415500	There's a sweetness to it and your eyes begin to adjust.
415500	417500	There's a pool of blood on the floor.
417500	420500	The corpse of Ari Manstein is kind of in it.
420500	423500	Her coffin is flipped over on the cold dirt.
423500	425500	You look at each other.
425500	428500	Blood splatter has speckled each of you.
428500	432500	John, Kevin, Lee Pettymore all in black tactical gear.
432500	437500	Keith Vigna in his brightly colored polo and boat shoes.
437500	444500	Clark Bishop in an old contention PD uniform currently holding a thick black cloak.
444500	446500	The shock begins to wear off.
446500	456500	You feel a searing pain on your chest, on your back, on the bottom of your left foot and inside your dominant palm.
456500	458500	Is everybody left handed?
458500	460500	What was wounded again?
460500	462500	Our chest, our back?
462500	464500	Pussy and our crack?
464500	466500	Yes, all four.
466500	470500	It is the chest, the back, the left foot and inside your dominant palm.
470500	474500	I would assume you're all right handed unless you've specified otherwise.
474500	477500	John Lee Pettymore kind of seems like he would be left handed.
477500	480500	Did it change when you went into Kevin?
480500	482500	You're ambidextrous I think.
482500	488500	It's the brain not the body so your brain wouldn't switch handedness I don't think.
488500	493500	So Kevin was left handed so now you've got a really weak right hand.
493500	496500	Right, he hasn't built up the fucking muscles.
496500	498500	Damn dude, I know how to solve that.
498500	503500	It's a lot easier to be right handed like everyone in the world.
503500	507500	Literally every person except for liars.
507500	512500	If you had trouble learning to write growing up it's because you're a liar.
512500	519500	My mom is left handed like a liar and she always put the pencil in my left hand when I was growing up.
519500	521500	To try to make you left handed?
521500	522500	Be like me son.
522500	528500	My dad's left handed and he went to Catholic school and part of their thing was trying to make kids right handed who were left handed.
528500	533500	He also broke his arm when he was a really young kid and he still remained left handed.
533500	536500	He said that is how strongly it took to him.
536500	539500	The Catholics, they can instill some stuff.
539500	541500	But not handedness apparently.
541500	542500	No.
542500	543500	Okay sorry.
543500	545500	Chest, back, left foot, dominant hand?
545500	546500	Yes sir.
546500	547500	You said the palm.
547500	548500	Yes inside the palm.
548500	549500	Can I look at my palm?
549500	554500	When you look in your palm there are letters burned into your hand.
554500	559500	It says T-I-L-D-E.
559500	561500	Tilde.
561500	564500	That's in Keith's hand?
564500	566500	That's in all three of your hands.
566500	568500	Okay. Do you boys have Tilde written in your hands?
568500	569500	I do.
569500	571500	Does it look burned in? Is that what you said?
571500	572500	Burned.
572500	573500	Yeah.
573500	578500	I think I would want to check what our backs say but I mean I'm looking at my hand and
578500	581500	then I'm looking in front of me and do I still see old Clark?
581500	582500	He's holding the robe.
582500	584500	I shake out the robe.
584500	585500	Nice.
585500	588500	Does anything come out?
588500	589500	His depends.
589500	590500	Yeah.
590500	594500	God.
594500	601500	He's a great sorcerer but he's fully incontinent.
601500	603500	Smells like real estate agent.
603500	605500	That we made shit his pants.
605500	606500	Okay so yeah.
606500	608500	This takes me back.
608500	609500	Yeah.
609500	611500	Boys my back is burning.
611500	612500	Is there something written?
612500	613500	Mine too.
613500	614500	My foot.
614500	615500	Here.
615500	618500	I'll check your back while I take my shoe off and you check my foot.
618500	620500	And we play Twister.
620500	623500	Keith struggles to rip his way too tight polo off.
623500	630500	It hurts really badly as you pull off your way too tight polo as the polos texture moves
630500	634500	across the burned skin on your chest and on your back.
634500	635500	Ow.
635500	646500	And you all see that on each of your chests burned in are the letters M-A-R-V-I-N.
646500	652500	On your back it says D-R-E-W.
652500	662500	And on the bottom of each of your left feet it says M-A-G-G-I-E.
662500	668500	Clark the bottom of your left foot when you look at it, it also has this very distinct
668500	671500	lack of skin, a discoloration.
671500	672500	What do you mean?
672500	673500	Like it's translucent?
673500	675500	No like this skin has been eaten away.
675500	676500	Okay.
676500	677500	Is it black?
677500	678500	Yeah.
678500	679500	And what's it in the shape of?
679500	683500	A circle with six smaller circles.
683500	684500	Okay.
684500	685500	Surrounding it.
685500	686500	That's only on Clark's foot?
686500	687500	Yes it is.
687500	688500	Gotcha.
688500	690500	Do these burns look like the behold a fool brand?
690500	691500	They do not.
691500	692500	Okay.
692500	693500	These look much cleaner.
693500	694500	Okay.
694500	701500	I need everyone to roll a sanity check for me.
701500	704500	23 but I still failed.
704500	706500	Oh shit.
706500	709500	I crit fail with an 88.
709500	710500	Wonderful.
710500	711500	Thomas?
