start	end	text
0	2000	What's everybody do?
3680	9000	Keep going. Oh boy. My name is Zach and this is pretending to be people
9000	14900	We are a role-playing podcast and we are playing the game Delta green, but it's not really Delta green
14900	21260	It's an amalgamation that we have come up with that is a mixture of the role-playing systems Delta green and pulp
21560	24600	Cthulhu with all that nerdy shit out of the way for the rest of you listening
24720	30920	This is a collaborative storytelling experience that you will be listening to over the coming weeks
30920	34760	I am here with Joe. Hey, I'm Joe Luke. I'm Luke and Thomas
34760	40240	I'm Thomas having heard many stories from other DMS GM's out there. I
40720	42520	consider myself to be
42520	48680	Extremely lucky with the group that I have been blessed with as a player same same same
48680	53160	We have been playing together for three years now. This is our third campaign
53160	60920	We ran two ten-month-long Delta green campaigns where we played weekly and we've kept the exact same group ever since I
61000	65760	Am fully in love with this game Thomas. What's your experience with role-playing?
65760	68680	I started with D&D like a lot of people and
69240	72880	Wanted something a little more story based and less mechanics driven
72880	78120	I didn't like sitting around for 30 minutes while the wizard took his turn. So Delta green was perfect for that
78120	86200	It's all about character interaction and like solving this mystery together and combats are very like combat is very simple quick and rare and rare
86200	90120	Yeah, and violently, you know, you're shooting guns at each other. It ends it gets over with quickly
90120	94760	Like you said we've been playing together for the past few years. That's been the highlight of my week that whole time
94760	102400	I'm Luke my role-playing experience in high school. I played Dungeons Dragons twice the group that I played with
102720	107080	Didn't take it very seriously and our DM took it very seriously
107120	109480	So we were not invited back to play
110120	117760	and then after that the next time I played was Delta green with Zach and Thomas and a couple other people and yeah, I
118160	122080	Loved it. I've pretty much constantly been playing it since I
122560	127920	Started playing with this group Thomas actually texted me kind of out of the blue one day about wanting to do
128440	133200	D&D game with some mutual friends of ours and I I think unbeknownst to him
133200	138640	I had already been kind of wanting that I had been listening to podcasts and watching shows on Twitch and things like that
138640	139480	So we did it
139480	143880	It was it was awesome to have that all of a sudden pop up that group didn't last for very long
143880	149480	But pretty quickly after that dissolved Thomas again asked if I wanted to join you guys and I said fuck
149480	154520	Yeah, and you guys seem to like me so I stuck around we were big fans. You brought an element of
155080	157080	seriousness to our table
158600	163040	Much needed that had not existed there before I remember the
163200	167760	Very first time that you role-played with us you were playing Taylor my wife's partner
167760	172160	Yeah, you gave me a couple options for characters and I picked the FBI agent. Yeah, I'd seen X-Files
173520	178180	And then we had one of our best sessions to date right then and there it was amazing
178180	183960	I don't he brought the energy for sure. I'd never met Joe before I played with him now. I see him every week
183960	184640	Hey, baby
184640	190640	I hope that you guys become our best friends the way that I have become best friends with my role-playing group
190680	197440	As we wiggle our way into your ear holes each week, please also invite us into your hearts and to your parties
197440	201920	Yeah, invite us to your parties by a spear. We really like drinking drinking
202760	207600	Marijuana. Yep, if you're offering are you offering are you offering? Hey internet listener?
208600	215920	Are you holding PO box? I think it's worth mentioning that Zach created all of this stuff. We don't know anything that's happening
215920	218620	We try to not talk about it too much outside of the game
218840	221620	We really want to be surprised by each other and by Zach
221620	228560	Yeah, and actually one of my favorite things about this group is as we've come to play together for longer periods of time
228560	233880	We've kind of talked and you guys have given me full reign to fuck over your characters
233880	240000	Which is a very fun thing to give your DM the right to do and I try to take full advantage of that
240000	245640	There are a couple parts per episode where I will have written the description of a character or the description of a place
245640	251600	But outside of that everything is improv. It is also a closed game. Oh, that's a really good point Luke
251600	253160	So we play a closed game
253160	258600	so anytime one of these characters goes off on their own the player also sits in the room with
258720	264120	Just me and we go through what happens that way the players can keep secrets from each other
264120	269280	It's like secrets and lies the name of the game that continues outside the podcast, too
269280	272080	We try not to talk to each other about what's going on in the game too much
276560	277800	It's
