start	end	text
0	9640	Welcome one, welcome all, welcome y'all, wait a minute, did I say this all before?
9640	12880	Have I lived this moment in another time?
12880	18560	It feels like I'm having one of them damn dirty deja vu moments, where you feel like
18560	24380	you did a thing before in an alternate reality type deal maybe, but now you're doing it in
24380	31700	this one for the first time, but a second time, anyway.
31700	36500	Speaking of endless cycles of torture that I am forced to relive every week, it's time
36500	38420	for Howlin' with Wolf.
38420	43060	This week's Howlin' with Wolf comes from Ian, who wrote a five star review of this show
43060	45820	like the sweet, sweet boy he is.
45820	50500	Hey everybody, be more like Ian, he writes.
50500	54040	Dear Wolf, I hope this letter finds you well.
54040	57400	Needless to say, I'm a huge fan of your show.
57400	61920	Not only for the soothing sounds you howl through the airwaves each week, your DJing
61920	67920	prowess and your spectacularly diverse discography, but you are hands down the most reliable source
67920	74200	of news that the mainstream media won't report on, those otherworldly happenings in the town
74200	75900	of contention.
75900	81280	My neighbor's got a sister in contention, and even he doesn't know what's going on.
81280	86180	Then again, he really hasn't been himself since last week when I returned that shiny
86180	89540	ball bearing he dropped out in the parking lot.
89540	94200	Didn't even thank me, he's usually a pretty chill guy, but the other night he woke up
94200	99840	half the apartment complex screaming and carrying on at two in the morning, thrashing and banging
99840	103560	around like we're living in college dorms again or something.
103560	108640	When I knocked on his door to ask what the hell he was doing, or more importantly why
108640	114400	he was spattered and marinara and holding what looked like a fake spinal cord, he just
114400	119160	said, uh, Halloween, and shut the door in my face.
119160	124620	It ain't even October, now he just stares at me coldly every time I pass by on my way
124620	128960	to the mailbox, sorry, totally got sidetracked there.
128960	134240	Anyway, love the show, keep on howling the good howling snapping those pearly fangs at
134240	137480	Mark Zuckerberg's milk toast android ass.
137480	142080	You're the wolf now, dawg, your friend and admirer, Ian.
142080	143080	P.S.
143080	148080	If you could do me a huge favor and dig into the deep cuts, I'd love to hear you spin something
148080	150960	a little different from the usual setlist.
150960	155160	Do you have no backbone by kudzu in your collection?
155160	156160	Thanks a million.
156160	159360	No, thank you, listener.
159360	164600	All-profit news stations are designed to keep you scared and coming back so they can make
164600	166720	that sweet, sweet cash money.
166720	173640	I like to keep y'all scared, but I do it for free because I'm a true radio journalist DJ
173640	180720	of high caliber, and, uh, it gets me off to know the power I hold, and, baby, you know
180720	185320	I'm always scrounging for them deepest of cuts when it comes to tunes.
185320	190000	I might have a little something special just for you this time.
190000	194760	Remember, if you want to write a message for me to read on air, tag us on Instagram or
194760	200480	Twitter at PretendingPod, or write a five star review on Apple Podcasts and email us
200480	203280	at pretendingpod at gmail dot com.
203280	207320	And the conglomerate of pretending to be people want me to keep shouting out that they are
207320	214080	taking questions for a third Q&A episode, so if you have questions for any of the mature,
214080	220200	most thoughtful adults who make that show, tag at PretendingPod on Twitter or Instagram.
220200	224560	There's also a post in the subreddit where you can comment your questions.
224560	229400	Or go all out, record audio of you asking a question and send that so they can use it
229400	230960	in the episode.
230960	235920	Same as the second Q&A episode, this one will be for our honorary police officers over on
235920	241240	Patreon who plug the holes of this sinking ship five bucks a month at a time.
241240	246400	The anthropomorphic corks who hold this whole thing together currently have instant access
246400	253240	to six exclusive bonus episodes, with more on its way, so much more.
253240	258080	Now if you want a question answered but you can't rationalize making room in your budget,
258080	259080	fear not.
259080	264680	There are already so many questions the PTBP crew won't be able to get to all of them.
264680	269720	For some of the questions missed on the recording, the boys will journey into the hardline mainframe
269720	273720	network and answer right there inside your phone or laptop.
273720	277520	They'll be all up inside them internet guts.
277520	281800	Speaking of crawling into other people's business, it's the news.
281800	287640	Clock Bishop Keith Vigna and John Lee Pettymore the fourth, in the body of John Lee Pettymore
287640	292140	the third, woke up in the tomb of Ari Manstein.
292140	295800	They had four names branded on different parts of their bodies.
295800	301760	On the backs Drew, on the bottom of their left foot Maggie, on the palms of their dominant
301760	307720	hands Tilly, and on the chests Marvin, but Marvin is crossed out.
307720	314120	After realizing they have the moments of the, I guess successful, raid on the glass compound,
314120	318980	the three former officers from contention began to understand the situation they found
318980	320200	themselves in.
320520	325940	Clark tried to summon another version of himself, looked a little too deep into his collective
325940	330800	unconsciousness and received a phone call from his former boss.
330800	336040	Taking us now to the parking lot of the city cemetery where Maggie Cook just assigned the
336040	341960	three dilapidated husks of humanity she once called co-workers with the task of taking
341960	343400	out Bruce Robin.
343400	349000	Ferguson Bean's former business partner is a personal favorite of mine and a brand new
349000	351720	single from Kudzu.
351720	355080	Y'all ain't never gonna guess what it is.
355080	358440	It's no backbone baby I fooled y'all.
358440	385880	I am John Lee Paddymore, doo da doo da, I am John Lee Paddymore, oh the doo da day.
385880	389440	We sound cool.
389440	395920	So you guys woke up in the tomb of Ari Manstein and then you realized like you do and you
395920	401460	realized that Marvin which was carved into your chest or burned into your chest rather
401460	407040	is crossed through with the same sort of burning all the way through which we took as a clear
407040	412120	indication that that was done and we have nothing to follow up on there and you didn't
412120	420880	talk about it at all well and then eventually leaving the tomb you ran into the old woman
420880	428880	making her way out of the cemetery and she was so slow oh my god and that's when you
428880	433920	realized that you had been here before the thing that you had been debating up until
433920	438520	that point she had seen us run through before exactly and then you almost ruined the entire
438520	444960	podcast by just standing there and waiting that's not totally off the table yeah we still
444960	450560	might do that and I don't understand how uh pushing you to new creative heights by thinking
450560	457200	outside the box is ruining the podcast I say what's ruining the podcast okay okay okay
457200	465440	podcast strike boys our characters sit there and wait we're out and no one's allowed to
465440	476560	cross us Zach just hires scabs so with us this week we've got Ali Jepson playing John
476560	482660	Lee Pettymore he just does all the voices himself he's like finally my dream the game
482660	488080	will go the way I want it to go so you guys are all standing in the parking lot Maggie
488080	494460	Cook has joined you she has driven up into this parking lot and has given you a job to
494460	502720	do which is to take out or essentially murder Bruce Robin full owner of bar Corp and the
502720	509420	one-time business partner of Keith vigna's brother Ferguson beans she is sitting in this
509420	516260	car broken down crying after having a conversation with John Lee Pettymore the third who well
516260	520800	there's something yeah there's something I want to add to that actually that I just kind
520800	526540	of realized you're allowed to you know Maggie I know this is a hard time for you reckoning
526540	532120	with my undeath and all but I I just realized I'm doing the same thing with you what the
532120	538340	fuck how are you alive and as you ask that her phone starts to ring I like I put my hand
538340	544480	on her hand and I'm like Maggie tell me damn it she looks at the call as Clark Bishop is
544480	550720	walking back over to join the group after looking at his cell phone and his car there
550720	558120	she looks at the phone she puts it down she's like alright I John I gotta take this just
558120	563440	real quick and then I'll explain okay I need Joe to roll an alertness check for me real
563440	577400	quick I pass 18 or 70 Joe as you walk back you actually hear a second vibration so her
577400	590120	phone is ringing and you hear a second buzzing at a different pitch we're from from inside
590120	597480	her car where she's sitting in the driver's seat and then she picks up the phone Leon oh okay Lee
597480	608240	Leon do you trust me and do your fucking job Leon I know it's been a while but knock the dust off
608240	615520	your knuckles and buckle up what controls this world Leon that's right bitch it's fire and as
615520	620360	soon as she's done speaking she hangs up she looks at you and she's like I never died John I
620360	631840	had to disappear whose body was that doesn't matter she just how did you get so cool John
631840	637040	I've always been this cool I think you've just been too drunk to notice and then she grabs an
637040	644400	envelope out of her shotgun seat and she throws it to you right out the window and she looks at
644400	652040	you and she's like remember I'm counting on you just Maggie just because I gave you bourbon for
652040	664480	Christmas doesn't mean I'm a drunk cheap shitty bourbon and then she drives off to clarify the
664480	669480	high-pitched buzzing that I heard she didn't acknowledge she did not got it but it sounded
669480	674720	just like a cell phone yes got it open that envelope so isn't that a little blur the manila
674720	683040	envelope has a manila folder inside labeled operation hole puncher colon bar Corp you remember the
683040	691960	we found that in the secret room with the Jim Cook's house in the secret room can you remind
691960	700000	us what we knew about it operation home I'm sorry of course we remember everything can you remind
700000	707920	the listeners there was a folder on the desk in that room that secret hidden room that said
707920	713960	operation hole puncher on the outside of it with the logo for the circle of knowledge the circle
713960	720680	surrounded by six circles and inside there is a list of nonprofits charities think tanks and
720680	729160	universities that are quote-unquote owned by the spark or knowledge oh okay where have we heard
729160	739440	bar Corp before that's a Fergie and Bruce Roberts Robbins beans and Robin corporation is bar Corp one
739440	745160	of those that's listed under companies owned by the circle of knowledge or yes it's in that list
745160	750600	yes okay I found where I wrote down this in my real-life notebook and I wrote down each each
750600	755480	company has date slash phone that phone number next to it isn't still the case so that was a
755480	761600	different folder than this one this one gotcha a lot of information just about bar Corp in it
761600	767440	whereas the other one was just a list of companies with a name and her biome got it so inside is a
767440	774920	full rundown of bar Corp it's two owners Ferguson beans and Bruce Robin it's three subsidiaries
775200	782160	Jesus Christ ministries health and rehabilitation unlimited and the Learning Center and its annual
