start	end	text
0	3300	Welcome to the Bone Zone, my babies!
3300	6500	It's your sexual guru, Walt the Dog,
6500	14300	and I'm here to make sweet love to the radio airwaves live from 694.2 PTBP,
14300	21200	Contentions' naughtiest radio station for hot Christian singles in your area.
21200	24700	I'm starting to have those weird dreams again, y'all.
24700	27200	The newest batch was wild.
27200	30700	I went to the coffee shop in my dreamland
30700	35100	and proceeded to ask for the oldest and stankiest grounds,
35100	36800	as is my custom.
36800	40500	The coffee attendant denied me my rightful treasures,
40500	43200	so I started shaking them violently.
43200	44600	The head fell off,
44600	49300	and 42 snakes erupted from the hole where the head once was.
49300	54500	The snakes all started chanting in unison and calling me The Reginald.
54500	57100	I cried, but instead of tears,
57100	61200	little tiny baby wolf started pouring out my damn eyes.
61200	64000	All the baby wolf started doing a dance
64000	66800	and raised me up to the damn heavens,
66800	70300	where I proceeded to become a god.
70300	73300	And then my teeth fell out and I had sex with my dad.
73300	75000	Wait, who is my dad?
75000	76800	W-was I even birthed?
76800	79300	If you can interpret anything from these,
79300	81900	please reach out and be my Joseph.
81900	85600	You know your Wolfie loves a coat of many colors.
85600	88700	Seriously, what do these dreams mean?
88700	92600	Tell me at PretendingPod on Twitter and Instagram,
92600	96300	or tag PretendingToBePeople on Facebook, why don't you?
96300	100100	Or how about you write us a five-star review on Apple Podcasts
100100	103200	with your analysis of my fancies.
103200	105400	And maybe I'll read it on the show,
105400	110200	like I'm now about to read this five-star review from Ram Oden.
110400	111300	They write,
111300	114700	Flat Earthers believe that we live on a cosmic Frisbee
114700	117200	that God threw at the beginning of time.
117200	120700	I assume Wolf the dog will be there to catch us at the end.
120700	123200	Much love, y'all are delightful.
123200	125400	Thank you so much for putting this out.
125400	128800	I listen to dozens of podcasts and this is one of two
128800	132100	that puts the numbers in me on a weekly basis.
132100	134200	I don't get to play as much as I'd like,
134200	136100	responsibilities and all,
136100	139100	but I'll be handling for the first time this weekend
139100	141700	and you've inspired me to move ahead with it.
141700	145700	Also, we'll be introducing the luck mechanic mashup
145700	149600	into standard Delta Green for a bit more pulp.
149600	151100	I will say again,
151100	154200	I do not know what the fucking internet is
154200	156700	or what the fuck a podcast is,
156700	161000	but I definitely know when someone's being a sweetie to me.
161000	162700	Thank you, Ram Oden.
162700	166100	I hope whatever it is you're doing is fun as hell.
166100	168400	Speaking of fun as hell stuff
168400	170600	and things that are on the internet,
170600	173300	you should check out the pretending to be people Twitch
173300	177400	every Tuesday and Thursday, 8 p.m. Central Time.
177400	179300	Justin has been hosting stuff,
179300	181800	making everything run and look nice.
181800	186400	You can find that at twitch.tv slash pretending pod streams.
186400	188900	I heard some of them other pretending pod friends
188900	192300	are gonna try and jump on with them when they can.
192300	194800	One more time for the people in the back.
194800	198000	8 p.m. Central Time, Tuesday and Thursday,
198000	201700	twitch.tv slash pretending pod streams.
201700	204000	And if you are jonesing for even more
204000	206700	of this sweet PTBP content,
206700	210600	head over to patreon.com slash pretending pod.
210600	212400	Support the show financially
212400	215900	and gain access to hours of bonus material.
215900	219600	Most recently, including a fully edited episode
