start	end	text
0	6980	What's up my spooky skeletons, it's your bone pappy wolf the dog, and I'm back from the past
7500	10620	clapping that ass and lapping up trash here on
11700	13700	694.2 PTBP
14040	18440	contentions most coherent and easy to follow radio station
18580	24540	But on the off chance you disagree with that objective sentiment. We're dropping a very special
25320	32520	Recapulation of the entire situation going down here in contention seems like a good time for it
32520	35160	You know your Wolfie might take a couple notes
35320	42760	Even though I am a all-seeing all-knowing being and all that this week's howling with wolf is from Sinbad
42920	48500	Yeah, that Sinbad the mailman and jingle all the way the genie and Shazam
49040	52680	Wait what for real like the Berenstain Bears thing?
53220	54600	Fuck
54600	60520	Okay, what the fuck is going on around here Sinbad wasn't a genie in a movie called Shazam
61600	64460	How the way Sinbad how the way?
65040	70560	Zack the wolf what's up? This is Sinbad man understand you having a hard time with the Mandela effect man
70560	74560	It's not Zack told me Zack Reeves. Got me here with this. He said you having some issues man
74560	80440	And look I've dealt with the phenomena. It's a real phenomena. They see this a movie Shazam that I never did
80440	83880	But they didn't do a can we do a part two who knows they might put me in that one
83880	86780	So you never know, but uh, no, I never did Shazam
87440	93120	Never I just read the comic books and watched the TV show when I was a kid coming up. So, uh,
93680	96360	I'm the height. I don't know what kind of Mandela effect you going through
96520	100960	All I can say is this man if you're going through the Mandela effect man is messing with you mess with your mind
102040	104040	Not weed CBD
104440	108800	Not weed less weed more CBD. All right now
109440	111440	Listen to me
112800	117840	Sinbad more like sin great. Am I right folks?
117840	122640	I hope y'all were laughing because otherwise I'm gonna be crying
123600	126160	Hmm. I have an announcement here from no wait
126160	131440	hang on one of our stunning and cherished moderators on both discord and
132160	136360	Reddit he writes we've selected a winner for the second part of our
136960	138960	Community writing contest
139680	141680	choosing a setting
141880	145400	Congratulations to user win doula the writer behind
146160	153440	Alan's son to check that out and all the other great submissions follow the link in the show notes you go user
153800	161400	Slash win doula in a very hardy. Thanks to user slash slaughter without the s user slash
162080	164080	blackmokes a user slash
164560	165560	Aal
165560	167560	718 user slash
168280	174440	RPG burner you slash the swimming dropkick and you slash punk ass
174840	178120	Book jockey your submissions were delectable
178720	182600	The third part of the contest on NPCs opens tomorrow
182960	186280	We're going to be accepting multiple winners on that one
186400	191960	So if you have a bunch of ideas, you can absolutely hose us down with them
191960	196660	I'ma get all wet with the MPC's my spooky skeletons
197360	202800	Alright, y'all get ready for a lecture. No a refresher on the ever mounting pressure
202920	210520	So your weathered ears have the pleasure of being fresher than ever get ready for a festering treasure to enjoy at your leisure
211000	217720	While wearing your finest pleather whether your name is Heather or whatever enjoy this track forever
217760	219840	It is kudzu with no backbone
252800	256920	Unseasonably warm December 1st in a small town called
257840	263760	Contention a thin mist could be seen under the streetlights on an empty
264280	267880	Country road the inside of the contention police department
267880	273960	However was cozy warm and bright at the front desk every morning and every evening
274640	281920	Drew Andrews sat determined small teeth and big gums showing answering the phone and taking messages
282000	285760	in the bullpen sat our three PCs or
286640	292600	Protagonist cops though neither of those words seemed to factually describe these player characters
292960	299380	Clark Bishop was the oldest by the book officer dead set on doing his best in this dead-end job
299940	303220	Still living in the house. His parents left him when they died
303760	308060	He had never cooked and he watched Wheel of Fortune every night
308460	310900	Keith Vigna was raised just outside
311420	316660	Contention but soon moved to the city where he trained to become a police officer
317140	323540	His stint in the city was short-lived. He's not a bad cop. He's just a bad cop
324180	326540	His pants are too big
327280	333140	John Lee petty more the fourth was one of the few petty Moore's to stay on the right side of the law or at least
333180	339380	The petty Moore version of that his mustache tight pants substance abuse issues and
339820	346500	Inability to keep bullets in his clip aligned perfectly with both his family values and love of
346900	350620	Smokey and the bandit on this evening December 1st
351080	357260	Drew Andrews top lip receding gums akimbo received a bevy of calls complaints
357700	362340	Regarding the abundance of howling coming from the dogs in the old neighborhood
362660	368660	This neighborhood west of downtown was home to John Peters Mildred Mitchell Tildi B
368660	374500	Mitchell councilwoman Carrie pages and the boss of the contention police department chief
374780	382700	Maggie cook and it just so happened that December 1st this night when everything began was the Chiefs birthday
383240	385880	Drew presented chief cook with a yellow journal
386620	390820	Noting she already had this same notebook in both red and blue
391420	396700	Clark got her the same thing. He got her the year before and every year before that
396700	399860	He's been on the force a box of chocolates
400300	404020	John pulled a bottle of cheap bourbon from his desk
404180	411400	It was open and a third of it was gone, but he tried Keith panicked. He didn't realize it was the Chiefs birthday
411900	417500	However, there was a mysterious package wrapped nicely sitting on Drew's desk
418060	420060	Keith claimed it as his gift
420140	424260	But when Maggie cook opened this present and saw its contents
424260	431100	She began weeping walked into her office and slammed the door leaving Clark drew and John
431780	435860	staring and bewilderment at the new kid in town Keith vigna
436300	442540	chief Maggie cook distraught and determined left the contention police station without saying a word and
442820	450940	The box were three items a single red rose a white hardhat and a black silk bowtie
452060	459180	Before they could react drew Andrews received the phone call that set all of the preceding events in motion
460000	465620	Julie Maxwell reported a dead body at the piston junkyard the chief list
465980	469700	CPD headed out to investigate the scene on the way there
469700	475240	They spotted Julie Maxwell driving chaotically and well above the speed limit back toward town
475540	482940	John Lee Pettymore the fourth peeled off to pull her over just in time to see her near fatal car accident
483180	486820	She was thrown clear of the vehicle face smashed
487340	489340	crying out into the night
489540	493600	John called an ambulance and investigated the crash in her car
493600	499200	He found an open bottle of brandy gas cans lighters an unusual
499480	506360	Camera with strange glass tubes a red light lit and a green light unlit as well as a Polaroid
506720	513320	That showed the base of a tall building and a group crowding the entrance with fists raised
514400	522480	Everything in this picture was lit by torches and some of the people's hands in the building was a slightly shiny pitch black
522880	528200	Keith Vigna and Clark Bishop carried on to the piston junkyard where they found a body
528920	531740	splattered on the ground face first face
532260	539760	Smashed the body was wearing thick hand-stitched clothing and leather boots a small note in the pocket read
540240	543600	We is striking when the land gets darkness
544440	546320	readying torches
546320	547720	Hesitate not
547720	555560	Most peculiar however was the skin on this body's back a fresh wound. It was branded with the words
556240	558240	This is a fool
558480	564920	This corpse was determined to be a woman and the officers called in their fourth musketeer the only other
565320	567460	contention police officer Ray
568040	571080	To take the corpse over to County for testing
571440	575500	They also called the city hospital to check on Julie Maxwell's condition
575620	577620	She had been declared deceased
578300	582580	after some light discussion of smashed faces and blunt force trauma
583500	587680	Clark Bishop headed home to his TV dinner and Wheel of Fortune
588240	593940	Keith Vigna went back to his temporary home hotel motel where his golden retriever bean
594260	602100	Waited patiently and John Lee Pettymore the fourth shot some pool by himself at clinkers the local watering hole and daycare
602780	607940	The next day on December 2nd three assignments awaited the three officers
608500	612620	Councilwoman Carrie pages dog was missing and she was distraught
612660	619220	The councilwoman suggested Tyler may have been eaten by a person as contention had just seen a rise in
619820	624020	Homelessness Clark printed posters and walk the neighborhood all to no avail
624700	632440	Jimmy Sanders an uncle of sorts to John Lee Pettymore called in an oil spill across a country road in the southeast
632460	634460	Sometime around 4 a.m
634620	641820	John checked it out found no oil spill and Jimmy admitted he was tripping on mushrooms during the incident
642140	643420	Mildred Mitchell
643420	645700	contentions kooky pothead grandma
646060	651860	Wanted someone to know her neighbor's door was open and this neighbor this John Peters
652100	654100	Hadn't been around in a few days
654380	661780	Keith found out she saw a bright flash of light from Peters's place a few nights previous and he's been missing ever since
662460	668260	He checked it out and found John's mail overflowing his car in the driveway and his front door
668340	675420	Smashed into the drywall in the house were broken pictures and clear signs that John was a heavy drinker
675500	678140	There was also a trunk in the living room
678620	681440	Burned into the top of this trunk were the words
681980	689100	Do not open if you want to live the trunk was empty save some foam padding that held four
689500	693380	specifically shaped items one large to medium and one small
694060	700020	There were betting stubs on John's nightstand. He bet on long shots and mostly lost
700500	707540	John's keychain had his house keys a bottle opener his car keys a few small keys that said
707660	708660	G10
708660	714340	G11 and G12 and a key fob for a rewards program at dirty dog
714580	717380	grooming a pet salon franchise in the city
717620	721060	However, John didn't seem to have a dog
721580	728820	According to Drew Andrews John Peters wasn't very interesting though. He did have a long stay in the hospital a couple years ago
729700	735980	After meeting back up the three officers decided to look further into John Peters starting again at his home
736260	743140	When they arrived his car was no longer in the driveway and the empty trunk was missing from inside the residence
743780	749800	Mildred Mitchell came by to let them know two people came packed up the trunk into their white Toyota and took off
749900	753640	One in their car and the other in John Peters maroon vehicle
754060	760100	The officers headed to chief Maggie cooks house next her cruiser wasn't there. She wasn't there
760100	761340	They hit up clinkers
761340	767620	The only information from Harry clinker was that Keith liked to cut up hot dogs on white bread when he was a kid
768420	769900	continuing this tour of
769900	777340	Contention the cops went out to harass Leo piston the owner of the piston junkyard who had a restraining order placed against him by
777340	783460	Julie Maxwell 15 years before after Leo was accused of killing Julie's sister Ashley
784060	788780	Clark set up a meeting with Leo and George the piston brothers for the following day
788900	794480	Keith stayed behind to keep a hidden eye on the piston pig farm back at the police station
795060	799860	John found the Chiefs blue notebook full of work appointments and notes
799860	803940	But her red notebook and the newly gifted yellow notebook weren't in her office
804180	811100	That's about the time when contention received a chilling phone call the city hospital had fucked up
811540	816100	They heard screaming from inside a drawer in the morgue
816700	823020	Julie Maxwell was alive. John Lee pettymore took off for the city hospital to get some answers
824660	829460	Clark came into the office to an equally confusing message from County
830040	836140	Apparently that body from the junkyard had the organs of someone who died 200 years ago
836140	839420	But the skin and hair of someone who died yesterday
840260	848140	Then Charles a drunk man and friend of the missing John Peters came to the station to figure out what was going on
848980	854260	Before pulling a gun and running away upon hearing the sound of a car crash in the parking lot
854620	861680	Out of the piston pig farm Kathy piston shot the encroaching and trespassing Keith vigna in the foot
862360	863120	Recognizing him though
863120	869440	She bandaged his wound and offered her apologies for the incident after Keith claimed to have a warrant
869440	872880	She offered him coffee Keith snooped around her property
873280	880880	Failing to find anything of interest until he eventually stowed away on Kathy piston school bus full of homeless people
881660	889320	Afraid of being caught though. He bailed out of the emergency hatch in the back further hurting his shot and bandaged foot in
890320	897600	In the parking lot of the city hospital a creepy figure obscured by a black cloak and hood
898160	905180	Approached John Lee pettymore the fourth this mysterious man handed John a note written in binary and croaked
905320	907320	Say hello to me
908520	914180	Before softly cackling and disappearing into the rows of parked cars
914940	921140	John texted drew a picture of the binary note to translate and he radioed the only other
921580	928420	Contention police officer Tim to do a search for storage facilities and contention with G units
928800	935820	John didn't find Julie Maxwell at the hospital because she dipped stole a black SUV and made a beeline for contention
935820	943640	This was of course the same black SUV that just t-boned George Pistons truck in the parking lot of the contention
944000	948420	police station now helmed at gunpoint by a kidnapped Leo
948920	955920	Piston the three officers pursued Julie Maxwell and Leo piston in the stolen black SUV out to splashylvania
956440	963200	The abandoned vampire themed waterpark Ashley Maxwell was heading to 15 years ago when her life ended
964040	970380	Bishop pettymore and hobbling vigna found their targets at the top of the two-fanged plunge
971300	976300	Maxwell with a pistol to the back of the kneeling Leo pistons torso
976380	978460	She cried out into the night
983460	989580	Except for the black shiny devil and the underground temple from which it shall rise
990100	996080	But if there's a tiny chance that justice matters, then my sister deserves this
997000	999000	To bleed out and die
999680	1002880	With that she fired a shot through Leo's body
1003480	1010560	Clark immediately pulled his pistol and put a bullet through one of Julie Maxwell's eyes the two limp
1010800	1015000	bodies slid slowly down the two opposing slides
1015300	1021920	Wet for the first time in a decade and a half with the blood of these opposing contention residents
1022440	1024440	But at the bottom of the ride
1025220	1027480	Something incomprehensible happened
1028040	1035420	the bodies of Julie Maxwell and Leo piston were picked up and slammed into the ground repeatedly and at an
1035480	1041320	Absurd rate by some unseen force and then as if they were never there at all
1041920	1043920	Both bodies were gone
1044760	1046400	Keith saw
1046400	1051800	Covering the ground where the two bodies just were a black shiny viscous sludge
1052200	1059520	Seemingly inside this muck were the thrashing bodies of Julie Maxwell and Leo piston their hands reached out
1059720	1065600	Trying to escape this thing that had them trapped with their limbs soon seemed to fold
1066000	1073480	Into this ooze becoming one with the sentient mass of goop that began sliding across the ground toward Keith who?
1073600	1076400	Promptly Wile E. Coyote the fuck out of there
1077280	1082400	Back in the splashylvania parking lot the strange camera's green light was lit
1082880	1088980	John took a picture causing a blindingly bright flash of light and he instantly saw black
1089400	1094480	Viscous goo dripping from the camera all over his hands, and then it was gone
1095000	1101560	The picture was of a short balding man with large eyes and a tiny nose
1101880	1108320	He was bent over head and hands and stocks made of a shiny black material and the word
1108800	1112520	Fool was branded into his forehead
1113600	1118460	Clark recognized this man as they're missing John Peters
1119920	1126360	Drew Andrews texted John back with the translation of the mysterious man's binary message it read
