start	end	text
0	9240	Hello to all my friends from the underworld, the overworld, and the in-between world.
9240	17040	It's your multi-dimensional devilish demon wolf the dog, and I'm also a radio DJ for
17040	24240	the station we all know and love, 694.2 PTBP.
24240	32000	And I'm here to provide you with ear cream in the form of my beautiful soul tree voice.
32000	38080	This week's Howlin' with Wolf is the cream of the ear crop, and it's from TLN in Kansas
38080	44840	City, who tweeted about the show and tagged at Pretending Pod, a nice thing you can do
44840	48360	right now, like super easily.
48360	52360	Thanks TLN in Kansas City, TLN writes.
52480	58840	Hello wolf, and thank you for the ceaseless howlin', keepin' me company upon these
58840	60400	dayless moors.
60400	68080	TLN here from Kansas City to give a shout out to the very vilest viziers whose creative
68080	72960	powers have wrought upon this world great and terrible things.
72960	81120	Because of you we have unleashed the weird and wild, the book of gob, the thawing kingdom,
81160	88320	marvelous mutations and merry musicians, and very soon the world shall behold the dreadful
88320	93120	sunny smiles unicorn farm and unicorn meat.
93120	99600	May the pig king remain at rest, may the seven finger hand reach to the ends of the earth,
99600	102640	long live the vile viziers.
102640	107400	Damn TLN, you had me at unicorn meat.
107400	114200	I generally consider myself a vegetarian, but I dabble in some minced mythical meat
114200	116200	every now and again.
116200	122600	Thanks for writing whatever the fuck all that was TLN, I appreciate it, even if I don't
122600	126320	know what in the ever lovin' fuck any of it meant.
126320	130840	If you want to write up something for your wolf to how, tag us on the internet or write
130840	134360	up a five star review on Apple podcasts.
134360	136560	The links are in the show notes.
136560	139440	The sausage links are in the gross throats.
139440	142880	On the golf links I have the most strokes.
142880	145920	Fuck Mark Zuckerberg it's time for the news.
145920	152280	Last time we met the disguised Lafayette J. Honeycutt, a rival inventor who has snuck
152280	159960	into Cicero Mordaunt's New Year's Eve party to unveil his own mysterious invention with
159960	166380	his security detail Harvey Brewer, an absolute hulk of a man.
166380	173680	We also met Checkers, the oddly deep voiced 19 year old leader of the Last Branch, a cult
173680	180400	hoping to recruit the wealthy and powerful with the disarming charm of Checkers and the
180400	187720	spiritual potential of Elden Ring, an open vessel seeking otherworldly knowledge.
187720	191520	Will the Last Branch gain a key third member?
191520	200200	Will Honey J. Laugh-a-cut, aka James Dean, aka Dave Ellington, figure out what the deal
200200	207720	is with Cicero Mordaunt's new invention that requires all these cables and antennae?
207720	213120	Will Scott admit that Elden Ring is a perfect character name?
213120	214860	Come on down.
214860	217780	No one sane will follow.
217780	223620	It's the renowned Isabel Crane with Hollow.
244860	259820	With a tissue and a faggot bone You were hollow and you spoke to me
259820	273380	Hollow and you sang I thought you might be starving
273380	283220	So I gave you everything
283220	286700	Did you like that, Scott?
286700	291860	I think it helps focus the mind before a session, so yeah.
291860	295740	We try to do a lot of stuff that helps focus the mind before a session.
295740	299740	What do you do, Luke, to get into the mindset of a role-playing session?
299740	304580	Wake up, roll out of bed, and sit down on the couch.
304580	308540	What about you, Scott?
308540	309540	Maybe a different answer?
309540	314980	No, that's pretty much it for me.
314980	316540	I don't do any prep for anything.
316540	324020	I mean, if I'm GM, you're lucky if I read the fucking scenario.
324020	326940	I'm so jealous of your skills.
326940	333260	I over-prep so hard for everything, and I talk to myself in character voices, and my
333260	341300	wife asks me how I'm doing, and I'm like, fine.
341300	344980	I worked out a while back that I was absolutely shit at character voices, so I don't really
344980	347300	try them anymore.
347300	351260	I feel like you give them vocal affectations even though you don't do accents.
351260	353540	Yeah, I try.
353540	358100	I don't try full voices, but I try to differentiate them a bit.
358100	364700	Also, for us, you already have a built-in character voice.
364700	368700	But it's the wrong fucking accent for everything I've run for.
368700	374260	Hey, Scott, will you run some stuff that's only set in America for us?
374260	378180	No, the next one is he's going to force us to do English accents.
378180	381340	The next time, we'll all do English accents.
381340	382340	Oh, God.
382340	383340	Hey, Scott, would you like an accent?
383340	387260	That would be so much less fun for him.
387260	389340	It'll just be Beatles and Cockney accents.
389340	390340	Yeah, that's cool.
390340	391340	We're the Beatles.
391340	396780	It's taking me something like 30 years of living in England to get the hang of this
396780	397780	already.
397780	398780	Don't confuse me.
398780	400780	I'm Ringo, isn't it?
400780	402780	Is that good?
402780	403780	Wow.
403780	404780	Yep.
404780	406780	There we go.
406780	412220	Well, we were talking weird science.
412220	414100	What's your favorite weird science movie, Thomas?
414100	416540	Oh, I like that movie, Weird Science.
416540	417540	RDJ?
417540	421960	What's the Val Kilmer, is it Young Genius?
421960	422960	Real Genius?
422960	423960	Yeah.
423960	424960	Something like that.
424960	425960	Real Genius.
425960	426960	Real Genius.
426960	427960	Yeah.
427960	428960	I like that one.
428960	429960	Oh, God.
429960	430960	I haven't thought about that film since the 90s.
430960	431960	Why do you know it, Joe?
431960	435460	It was one of those movies that would run on HBO when I was a kid.
435460	439820	It's just perfectly childish enough that I was into it.
439820	440820	Yeah.
440820	444100	Did you know that your parents letting you watch HBO at a young age made you who you
444100	445100	are today?
445100	446100	Yeah.
446100	447100	Definitely.
447100	448220	Did you ever see boobies on there?
448220	449780	Taxi cab confessions all the time.
449780	453780	That's why I am the way I am.
453780	455780	Obsessed with boobies.
455780	458820	Were there nipples on taxi cab confessions?
458820	462700	Sometimes, if you were lucky, if it was a good episode.
462700	466820	You know, if the driver was shirtless.
466820	475060	Scott, when you were coming up, what was the thing that was scandalous that you hid
475060	478500	from your parents that you were looking at?
478500	479940	Oh, God.
479940	486240	Oh, this has got to be a deep cut and very obscure, but I think the inappropriate media
