start	end	text
0	6360	Hello, good friends of the podcast called Pretending To Be People.
6360	13760	It is the wolf, the dog, w-wolf the dog, with a special announcement this fine morn-vening.
13760	20040	You may have noticed that this here episode is not episode 26 of season 2.
20040	23880	In fact, it ain't even part of this here campaign.
23880	29280	We'll be back in a couple weeks to pick up where we left off with the very precarious
29280	33520	situations we last left Julius Beck and Cal.
33520	44360	But for now, it's a b-b-b-b-bonus episode from over on P-P-P-P-P-P-Patreon.
44360	51600	In this premium, exclusive content from our contention-confidential feed is the episode
51600	59320	one of a six-part series that Thomas has entitled, The Lost Treasure of John Lee Pettymore.
59320	66600	That's right, Thomas is the GM, and he's running a story set in the holler outside of contention
66600	71200	following the events of season one of Pretending To Be People.
71200	77480	So if you haven't listened to season one, my delectable listeners, now is the time to
77480	84200	go back to where it all started, because there's, uh, spoilers and such in this ish.
84200	90280	Now if you have listened through season one, then boy oh boy, you are ready for what we've
90280	98080	been calling the Oops All Pettymores campaign, because Joe, Luke, and Zatch are all playing
98080	104280	members of the extended Pettymore family, and let me tell y'all the what, it's been
104280	107080	so got darn fun.
107080	114640	Just five dollars over at patreon.com slash pretending pod will unlock the saga that follows,
114640	119000	as well as the 30-something bonus episodes that came before.
119000	126240	Now I'm not saying you need the bonus content, but I am saying that if you did need all this
126240	133320	bonus content, it's just five bucks to get what you need, and fittingly, Wolf is here
133320	141080	to provide an all-new, all-banging theme, provided by one of Joe's dad's bands.
141080	163200	It's the Morels with Get What You Need.
163240	164280	I need a boat.
164280	165440	I need a plane.
165440	166440	I need a car.
166440	167440	I need a train.
167440	168440	I need a pill.
168440	169440	I need a drink.
169440	170440	I need a smoke.
170440	171440	I need a drink.
171440	176440	I need an eight-foot couch and a four-foot screen.
176440	180440	A big vacation and a dog that's mean.
180440	185440	I need a four-wheel drive and a three-piece suit.
185440	189440	A nine-millimeter that I know I can shoot.
189680	193680	In the USA, it's not a question of greed.
193680	197680	Cause everybody who is anybody agrees.
197680	201680	For followers the ones who lead.
201680	205680	You get what you need.
210680	211680	Brad's Monkey.
211680	212680	Are you ready?
212680	213680	I'm ready.
213680	216680	Five, four, three, two.
216680	218680	Brad's Monkey!
218920	220920	The Funky Monkey!
220920	222920	Brad's Monkey Monkey!
222920	224920	The Funky Monkey!
224920	226920	Blam!
226920	230920	Welcome to the Danov Show!
230920	233920	Welcome to the Danov Show!
233920	240920	For episode 39 of the Patreon, which is a very fucking special episode.
240920	242920	Is it not, Luke?
242920	243920	It is.
243920	247920	The title of this one is, remind me, Thomas?
248160	249160	The Hunt.
249160	250160	No.
252160	256160	The Lost Treasure of John Lee Treasuremore.
256160	259160	The Lost Treasure of John Lee Treasuremore.
259160	261160	The Lost Treasure of John Lee Pettymore.
261160	264160	Episode 1, Bad Blood.
264160	271160	Where we will be all playing Pettymore cousins or uncles or brothers or whatever it is.
271160	273160	You're all cousins to somebody.
273160	276160	The working title in all of my notes is Oops All Pettymores.
276400	277400	Oops All Pettymores.
277400	278400	Exactly.
278400	283400	So I think the Pettymores cousins are going to go on a treasure hunt.
283400	290400	But see, it's Thomas' job now, thank God, it's not my job for this one.
290400	296400	It's Thomas' job to make it serious and call episodes bad blood.
296400	299400	And it's up to us to say, Oops All Pettymores!
299400	305400	Well, I did want to say, while tonight we'll be searching for treasure, you can find treasure,
305640	309640	especially for the holiday season, at Target.
309640	311640	Target is the best destination for treasure.
311640	312640	That bit hasn't come out yet.
312640	313640	It hasn't come out yet.
313640	314640	You're right, this is a sneak peek.
314640	316640	It's a preview bit.
316640	317640	And it's real too.
317640	320640	So guys, go shop at Target.
320640	322640	That is what you get here in the Dennis Inn.
322640	327640	That's a bit from an episode we recorded yesterday, last night.
327640	330640	So it's some pretty fresh stuff for you.
330640	331640	Some pretty hot sauce.
331640	332640	Bleeding edge.
332880	335880	Right off the lips of Luke.
335880	337880	We asked for some sins in the chat.
337880	340880	And I saw one that, it's already scrolled past now, but I had to mention it.
340880	343880	I think it was Zach said, that's a different Zach.
343880	344880	What did I say?
344880	345880	A different Zach.
345880	347880	Zach with a K.
347880	350880	Said that he accidentally put laxative in his boss's coffee.
350880	354880	I think that might take a week.
354880	355880	Whoa!
355880	356880	Accidentally?
356880	358880	What were they putting in their box's coffee?
358880	361880	An accident isn't a sin unless you don't apologize.
362120	365120	What if you don't need to apologize?
365120	367120	Like this one?
367120	370120	Because what's he going to do?
370120	371120	Apologize?
371120	372120	You make fun of him.
372120	374120	There's a lot to take into account here.
374120	376120	How much does your boss hate shitting?
376120	379120	How much do you need your job?
379120	382120	How much do you personally value honesty as an individual?
382120	385120	How much is that going to eat you up?
385120	389120	Are you the kind of person who, if you know you have to lie to your boss
389120	391120	about the fact that you made him shit his pants?
391360	393360	Every day for the rest of your life until you die
393360	395360	because there won't be retirement for us.
395360	396360	Exactly.
396360	398360	Is that going to fuck with you?
398360	403360	One day you guys are sharing what the worst thing that ever happened to you was
403360	408360	and he was like, it was probably that time I shit my pants at work.
408360	410360	What about you?
410360	412360	That's when you tell him.
412360	416360	Honestly, it was the day that I accidentally gave you laxative
416360	420360	and then I saw you shit your pants at work.
420600	423600	So if that would eat you up, just get it over with.
423600	425600	Get it over with?
425600	427600	Were there any other good...
427600	429600	I was setting this up.
429600	432600	I read the Brad's Monkey thing and then I kind of missed all of it.
432600	434600	There's somebody talking about that they found this cheap beer
434600	436600	called Montucky Cold Snacks
436600	438600	and just the name alone makes me want to taste it.
438600	440600	Have you not had it?
440600	444600	Totoro's Bang Bus has been recruiting people for a year
444600	447600	to drink it because it makes really good Brad's Monkeys.
