start	end	text
0	2000	Well, well, well.
2000	5440	Hello all my beautiful babies.
5440	8600	It's your spectral guardian, Wolf the Dog,
8600	14840	the DJ at the radio station known as 694.2 PTBP.
14840	18120	Let's not dilly-dally and go ahead and jump
18120	21240	into everyone's favorite part of the show.
21240	24520	This week's Howlin' with Wolf is from Sam Witch,
24520	27720	who tweeted about the show and tagged that pretending pod,
27760	32080	A thing you should do, lest your blessed internet guests
32080	35400	guess that your zest for ingesting my jests
35400	37680	has been wrested from your chest.
37680	39480	But I digress.
39480	41560	Sam Witch writes,
41560	45000	Wolf the Dog, I have followed every instruction
45000	47520	you've given to the letterer every week,
47520	50400	telling those that would be to my left and to my right
50400	55960	to keep the radio dial tuned to 694.2 PTBP,
56040	58960	despite there being none other than me
58960	61480	in this near featureless void.
61480	65080	You, Wolf the Dog, are the only exception
65080	68440	to the otherwise unending monotony.
68440	72360	Thus to you I plead, please, Wolf the Dog,
72360	76280	be my lifeline back to the extensive library
76280	79080	that led me here with its yellowed pages
79080	82520	and please be quiet signs.
83440	87480	No, that's okay, Sam Witch.
87480	90240	I don't think I have time to do
90240	93040	whatever it is you just asked me to do,
93040	96320	but have fun whenever and wherever you are.
96320	98200	Ta-ta for now.
98200	101720	If you want to write up something for your wolf to howl,
101720	105240	come on, say it with me in your brain space.
105240	108840	Tag at pretending pod on Twitter or Instagram
108840	111800	and tag pretending to be people on Facebook
111840	113640	or write up a five star review
113640	116160	on the podcast app of your choice
116160	119680	and make sure the proof comes across my desk.
119680	124080	Oh, and by the way, I heard what y'all did.
124080	127680	I heard y'all raised almost 800 bucks
127680	130520	and I heard those nasty boys
130520	133880	from pretending to be people rounded up, matched it
133880	137680	and sent a total of $1,600
137680	139880	to the crisis cold weather shelter
139880	144880	in their hometown of Springfield, Missouri.
144880	149000	Damn y'all, what a good job y'all did.
149000	153640	My producer's eye caverns have filled with salty water
153640	156800	because of the good y'all helped us spread
156800	160560	and no matter what kind of water fills your holes,
160560	163600	there's always the news.
163600	166840	Last time, Cal reached out to his contact
166840	169680	in the city PD, Chief McMillan,
170360	174000	to find out more information about the un-uniformed gobs
174000	178000	that stole footage from Vivica at the Cannes station.
178000	183000	The two officers showed up in CPD cruiser number 836
183600	187080	and Chief Mac used cop net to identify them
187080	191320	as officer Richard Riley and officer Wilson Wiley.
191320	195160	Tithe Rayland texted his employee and nephew,
195160	198160	Julius Summers and asked him to come back
198200	202480	to the Cannes station soon to meet in Tithe's office
202480	204720	and to bring Beck and Cal.
204720	209120	After a quick stop at Riley and Wiley's local drinking hole,
209120	213240	which is of course called W-A-R-E-R-We,
213240	216640	we're at Bucky's Kids Bar, duh,
216640	220460	the Cannes crew was able to bribe the night manager
220460	223120	for Riley and Wiley's addresses.
223120	226960	But at that same moment, Tithe texted again,
226960	229440	more impatient this time,
229440	233240	requesting the team's presence in his office.
233240	237520	Speaking of presence, here's a true gift,
237520	242240	a brand new tune, just for you my favorite listener,
242240	244360	my widdle baby.
244360	247500	Shh, don't tell anyone else now,
247500	252500	it's Alter Girl with My Life is Great and It's All My Fault.
253140	257140	And it's all my fault
257140	262140	Cause my life is great
262140	264140	And it's all mine
271500	276500	Cause my life is great
276500	279500	And it's all my fault
282500	287500	And it's all my fault
290100	292420	Hey Luke, who was your favorite teacher?
292420	296420	My favorite teacher, probably Jesus.
296420	297860	Joe, write that down.
297860	298740	Jesus?
298740	301620	My first pet named after my favorite teacher.
301620	302780	Jesus, Jesus, okay.
302780	304020	The street you grew up on?
304020	309020	Uh, oh crap, I was trying to think of like a-
309300	312620	Golgotha, Jesus.
312620	315420	I don't know enough about the Bible to have made a joke.
315420	317500	That's the hill that he was crucified on.
317500	318940	That's the hill he died on.
320940	323220	And he stayed dead.
323220	324740	Dude, I was laughing the other day.
324740	329740	Actually, there's some debate on that last point.
330500	334300	I saw somebody be like, I saw somebody online be like,
334300	336460	I was online, somebody was like,
336460	338540	so wait, he came back from the dead,
338980	340340	so he didn't die for our sins,
340340	342780	he like took a weekend off for our sins.
344660	346780	I'm not really familiar with the text, but he's like-
346780	348660	He died, he went to hell.
348660	350980	I don't ask me why he went to hell.
350980	352820	He stole the gates.
352820	354700	No, not the gates, that would be too much.
354700	356380	He stole the keys to the gates of hell.
356380	357780	It would be too much for him to carry.
357780	358620	Far too much.
362180	364900	Luke, this doesn't sound made up, hear him out.
366140	367660	So he goes to hell.
367660	369060	It does sound like a set up for a joke.
369060	371660	Okay, so Jesus dies, he goes to hell.
371660	372700	He steals the keys, not the gates.
372700	374340	It sounds like a good-ass comic book.
374340	376460	I get why all those people tried to turn the Bible
376460	377280	into a comic.
377280	378620	Yeah, from hell.
378620	381700	Yeah, Alan Moore's adaptation.
382620	383460	I want that-
383460	385580	Wait, so did Jesus really go to hell?
385580	390020	There are many eye witnesses to-
392780	395140	There are many sex knights of Christianity
395140	398340	who do believe that Jesus went to hell and stole the keys.
398340	402380	And so they just made that up and they say it
402380	403220	and that's what they believe.
403220	404540	So you worship a thief?
405500	406660	Wow.
406660	410260	I believe they say multiple times that Jesus will come back
410260	412940	like a thief in the night for his followers.
412940	414580	I want that shirt that says,
414580	417020	if Jesus comes back, we'll kill him again.
418780	421220	I want Jesus to come on my back like a thief in the night.
421220	422700	Is this an ad for Roman?
422700	424620	Did I show you guys the shirt that I bought
424620	426320	based on an Instagram ad?
426320	427700	Yes, you did.
427700	429540	I cannot wait to get that one.
429540	431740	Do you want to tell people what it is?
431740	435160	It's like a weird green monster guy on the phone
435160	436500	kind of like kicking back.
436500	438460	And it says, if you don't like my attitude,
438460	440980	call 1-800-EAT-SHIT.
442340	444740	Were you gonna wear that to the Christmas
444740	445780	you can't go to?
445780	449380	I was hoping that I could.
449380	451180	Now I'll just have to wear it to a client meeting.
451180	452780	No, just have to wear it, yeah.
453780	455540	On the family Zoom call.
455540	456580	No, it's not Christmas time.
456580	458340	It's January, mid January.
458340	461320	How's sober January going for you guys?
461320	462160	What's that?
464540	466660	It's December, but I already stopped mine.
