start	end	text
0	4400	Welcome, brothers, sisters, and siblings.
4400	8200	It's your ethereal pup god, Wolf the Dog.
8200	11400	Blessings to you all, my children.
11400	19600	And I'm hollerin' from the heavens and the hells at you live from 694.2 PTBP.
19600	21800	A station of radio.
21800	25700	It's definitely somewhere at some time.
25800	31200	You know how most companies exclude their employees for participating in drawings,
31200	35200	so they can't be accused of manipulating the outcome?
35200	40900	Apparently that's not the case here at 694.2 PTBP,
40900	46000	cuz this week's Howlin' with Wolf is from Joe Terry in Springfield, Missouri,
46000	49900	who tweeted about the show and tagged that pretending pod,
49900	52400	which is self-promotion when he does it,
52400	55600	but it's super fuckin' cool when y'all do it.
55700	58000	Joe Terry writes,
58000	59200	Hey, dog.
59200	63200	You know how companies exclude their employees from drawings?
63200	65400	I don't think they're doin' that here,
65400	69900	so I want you to say Studio 60 on the Sunset Strip
69900	74600	is an underrated Aaron Sorkin show that I wish more people saw.
74600	79100	Bradley Whitford and Matthew Perry turn in electric performances
79100	84100	as co-showrunners of a Saturday Night Live-type program.
84100	86000	It got one season.
86000	87600	I want more.
87600	89000	Love ya, dog.
89000	92000	Hope the slop is sloppy.
92000	93900	You will, Joe.
93900	95600	Sweet Joe.
95600	97800	I love you too, buddy.
97800	102100	One day we shall frolic in the slop together as one,
102100	104900	but you shall feed me your life force
104900	110000	so that I may continue to live on and grow in power.
110000	114300	Do not worry, dear sweet delicious Joe.
114300	118800	Do not tremble when the darkness fills your vision,
118800	120600	surrounding you,
120600	125000	when you feel fangs scraping along the back of your neck,
125000	128500	when all of your senses start to fail you
128500	135400	and you feel yourself slowly but surely dissolving from this time.
135400	139900	We will become one, Joe.
139900	145700	And you start to think maybe we always were.
145700	148500	Welcome back, Joe.
148500	151300	The links are in the damn show notes.
151300	152400	The news.
152400	155600	Last time, the City Action News field team
155600	158700	took a single simple steel train car
158700	161500	across an awe-inspiring bridge
161500	165300	that ran over an unnaturally smooth chasm
165300	169700	filled with fog and an upside-down church.
169700	174400	A pre-recorded Fred Godel from the TVs in the train car
174400	178400	welcomed them to Godel's Gate to Grover's Gorge.
178400	181500	Through the next Spongebob-y hatch door
181500	187300	was a town ripped from futuristic concept art of the 1950s.
187300	192700	The first thing Julius wanted in Grover's Gorge was an interview.
192700	197300	And while they talked to a great employee of the Godel Company,
197300	200300	a GE of the TGC,
200300	205500	they noticed hopping along the synthetic track they all stood on,
205500	206900	a jackalope,
206900	209800	taking you back to this mythical critter.
209800	213500	It's a whimsical tomb and it's time to get litter.
213500	219900	It's Alter Girl with My Life is Great and It's All My False.
219900	223900	And it's all my fault
223900	228900	Cause my life is great
228900	231900	And it's all mine
238400	243400	Cause my life is great
243400	246900	And it's all my fault
249900	255900	And it's all mine
255900	258100	Welcome back to Pretending to Be People.
258100	262000	You are now listening to what I think is probably episode 7.
262000	265400	Mr. Joe Terry, tell me what's a weird dream that you've had?
265400	265900	Ever?
265900	266900	Yeah.
266900	268700	What's like the weirdest dream that you've had?
268700	270200	I don't have a good answer to this.
270200	273300	Oh, I mean, there's one I've remembered for some reason since I was a kid.
273300	274100	Awesome.
274100	277900	I'm running down the hillside and it's like the Windows XP background,
277900	280800	like beautiful lush green hills and beautiful clouds,
280800	287500	and I'm leading an army of giant ants toward like a hole at the bottom of the ground.
287500	288300	Are you an ant?
288300	289000	I hope that's a prophet.
289000	290700	I'm like running fast.
290700	294100	I'm not an ant, no, but I'm like running fast and it's like joyous.
294100	296300	Like it's not scary or dangerous or anything.
296300	298300	We're like a stampede of giant ants running toward it.
298300	299700	It's like the most joyous dream I've ever heard of.
299700	302100	Yeah, that's so cool.
302100	305100	I don't know if that's weird though.
308900	311900	What do you guys remember from where we left off?
311900	312900	Where are we at?
312900	313800	What are we doing?
313800	315000	Are we in the normal world?
315000	317200	Are we just like hanging out at the news station?
317200	317700	No, man.
317700	318300	Are we in the city?
318300	322100	No, we're out on assignment and shit is not normal, Zach.
322100	323100	We're not in the city.
323100	325000	We're in Walmart country.
325000	326500	Where the shit is really real.
326500	331700	We're out in the boonies and we are in an impossible town that should not exist,
331700	334300	surrounded by impossible geography,
334300	339100	and we just saw a fucking Jackalope and news team is going to get some goddamn
339100	340000	answers for the people.
340000	340700	I can tell you that.
342500	342900	Awesome.
342900	344000	So, uh, Luke,
344000	348300	can you describe the landscape in which you are standing currently?
348300	350900	Yeah, Grover's Gorge.
350900	351300	Nice.
351300	351800	Got it.
351800	352400	Nailed it.
352400	355000	You can describe the city in one word.
355000	356500	I would say weird.
356500	358700	The landscape weird.
358700	359800	The people weird.
359800	364200	It's a huge space age city with bouncy colorful synthetic walkways.
364200	364700	Awesome.
364700	365500	Nice notes.
365500	366400	Very good notes.
366400	367400	Do you have luck right now?
367400	368500	Uh, I don't think so.
368500	368900	Actually.
368900	369700	You have luck now.
369700	370300	Oh, sweet.
370300	370800	Sick.
370800	371400	I like those.
371400	373100	I like those thorough notes.
373900	374700	There's two statues.
374700	375400	Joe's like,
375400	376500	what the fuck?
383000	384200	No, I was trying to find a clip.
384200	385200	Do you guys remember,
385200	385900	um,
385900	390000	Dave Coulier hosted a show that was kind of like America's home videos,
390000	391500	but it had a Jackalope.
391500	392300	Do you remember this?
392300	396200	You're thinking of Bob Saget hosting America's home videos.
396200	398900	Are you throwing us off because Thomas took good notes?
398900	399400	Oh shit.
399400	400200	No,
400200	401600	this is just his little tantrum.
403400	404000	I have no,
404000	405600	I have no recollection of this.
405600	406900	Coulier time.
406900	407700	Yeah.
407700	407900	Um,
407900	410500	I'm going to start taking notes once I use my point of luck.
410500	412300	Just when you thought it was safe to check the mailbox,
412300	413300	Jackalope 3,
413300	415600	tower came COD.
419600	421800	So Dave Coulier does the Jackalope's voice
421800	424100	and it's just a rabbit that they've tied horns to
424100	425200	and they do bits with it.
425200	426000	It's a real dead rabbit.
426000	429000	It's like a taxidermy rabbit that they've attached horns to.
429000	430000	That's awesome.
430000	430100	Well,
430100	434600	the one that you guys are looking at here in Grover's Gorge is alive
434600	438200	and it is just kind of hopping on this synthetic walkway
438200	440600	that people are jogging and walking on.
440600	440900	Zach,
440900	443400	where is it between us and the massive square park?
443400	444200	Ooh,
444200	444700	nice.
444700	448700	I would say that it is in between you in the massive square park.
448700	448900	Oh,
448900	451000	you can't have more than just luck,
451000	452600	but I'd give it to you again.
452600	452900	Ooh,
452900	454100	I'd give it to you again.
454100	454200	Oh,
454200	454400	no,
454400	454600	no,
454600	455200	I just want,
455200	456100	I just want your praise.
456100	460600	And what's across that massive square park where people are hanging out
460600	465300	in either green or yellow tinted or accented uniforms.
465300	466600	What's on the other side of that park?
466600	467600	I bet Joe knows.
467600	469000	Is it two big statues?
469000	471300	It is two big statues.
471300	471600	Yeah,
471600	474500	they're about twenty six point three meters tall.
474500	475100	In fact,
475100	477400	and they're made of green rock.
477400	479800	I've already said that.
479800	481200	What's on the other side of the statue,
481200	485100	labs?
485100	485400	Yeah,
485400	491300	it's a building that is made of glass and marble.
491300	495300	It rhymes ass.
495300	496500	Brass.
496500	497700	Brass.
497700	498600	Grass.
498600	502000	Grass and ass.
502000	505500	Ass glass of grass.
505500	508200	Off to your left side from your current view,
508200	509900	you see housing,
509900	510500	beautiful,
510500	510900	beautiful,
510900	512200	gorgeous housing.
512200	513300	And then off to the right,
513300	521800	you can just barely make out some buildings that are poking over some perfectly cylindrical trees.
521800	522100	Beck,
522100	524000	what do you think that to the left is?
524000	526000	What would you say those buildings look like?
526000	526300	I don't know,
526300	526600	Zach,
526600	527000	what are they?
527000	534200	And you see a whole line of beautiful homes that are like beautiful suburban homes.
534200	536100	They're all unique to each other though.
536100	544300	They all have their own special flair to them and they're enough apart to where you think it wouldn't be an issue to like hear your neighbors or anything.
544300	545600	There's definitely privacy.
545600	548900	Do I get a vibe of like the decade that these are?
548900	552100	Space age was the word you used to describe this place.
552100	555000	And so those are to the west.
555000	556100	Those are to the west.
556100	557800	If you came from the south,
557800	558200	to the west,
558200	560200	to the west.
560200	562900	Headin' west like you're blowing Kanye.
562900	563300	Oh,
563300	565000	nice.
565000	568500	Childish Gambino line for you there.
568500	569800	They both like oohed and aahed.
569800	571300	You should have just said it was yours.
571300	572300	I thought it was yours.
572300	574600	I'm Donald Glover.
574600	576900	Donald Glover.
576900	577100	Oh,
577100	578400	dong lover?
578400	578600	Oh,
578600	579000	dong lover?
579000	580300	Dong lover.
580300	580600	Okay,
580600	581300	these statues,
581300	584900	how are their dongs?
584900	586500	From this distance,
586500	598100	you would assume you're not sure how big they are proportionally based because you're just too far away to make out the subtleties of these statues.
598100	598700	However,
598700	605400	you can assume based on the enormity of the statues that the dongs might have a similar weight to them.
605400	605800	Interesting.
605800	608800	The dongs weigh as much as the statues or at least a similar amount.
608800	609900	They've got dense dongs.
609900	612400	The dongs take up.
612400	615900	I feel like my words are being misunderstood here.
615900	616200	What?
616200	616500	No,
616500	620500	not deliberately.
620500	623000	So two giant dong statues.
623000	624900	Remind me what the statues look like.
624900	626100	They're big penises.
626100	626500	Men.
626500	627800	They are two men.
627800	628800	Are they doing anything?
628800	635900	One is standing with hands in his pockets and the other one is standing with hands kind of on his hips.
635900	639100	We're kind of familiar with what the more famous Godels look like.
639100	639900	Yeah.
639900	640700	Are these the Godels?
640700	641900	These are these the Godels.
641900	647300	The one with the hands on the hips is Frank Godel Grand Granddaddy Godel.
647300	657200	And the one playing pocket pool with his statue hog is Fred Godel who you saw in the video in the train on the way into Grover's Gorge.
657200	658400	Which is his son.
658400	659300	Which is his son.
659300	659700	Yes,
659700	668500	and you would just know from general worldly knowledge that Fred Godel does have both a daughter and a son.
668500	674800	Fox and the Hound.
674800	675100	Yeah,
675100	679500	Fox and Faith Fox and Faith Godel.
679500	679800	F.
679800	680100	Yeah,
680100	682400	dude.
682400	683900	Some people do that.
683900	686000	Frank Godel.
686000	690000	This Frank Godel that did all the mythological fighting.
690000	690800	That is correct.
690800	691000	Yes,
691000	693200	according to the story told on the train.
693200	696900	Some people name their kids mostly like their sons like the same name.
696900	699000	It's fucking weird as hell,
699000	699500	dude.
699500	700600	Must be confusing.
700600	703600	I would never name an NPC with the same name as another NPC.
703600	703800	No,
703800	708500	you wouldn't ever do that.
708500	711400	So you guys are all standing on this.
711400	714000	It's kind of a bouncy pathway.
714000	716700	You're talking to Jennifer who is from here.
716700	717400	She's a GE.
717400	718600	She's a great employee.
718600	721800	She said for the Godel company here in Grover's Gorge.
721800	726800	She was born and raised here and has worked for the Godel company for a few years now.
727100	729500	She's in her like early to mid 20s.
729500	731900	And now the corner of your eyes,
731900	741000	you all noticed a Jackalope kind of hopping across this bouncy walkway that others are exercising and jogging on.
741000	743100	Some people are paying it a little bit of attention,
743100	743500	you know,
743500	749900	pointing at it going woo woo.
749900	753000	Classic reaction to an animal.
753000	757700	And you see that it has a yellow ribbon tied around its head around its antlers.
757700	758200	Cal says,
758200	765000	what the hell is even that?
765000	768700	Woo woo yeah go GE's hungry for points.
768700	772200	And she kind of like motions with her hand to a couple others
772200	778100	and they all kind of run around and make a circle around this Jackalope that's sitting on the ground
778100	780600	and they hold each other's hands and they go,
780600	783800	I'm a GE of TGC.
783800	786500	I'm a GE of TCG.
786500	790000	Hey, I'm a GE of TGC.
790000	793100	I'm a GE of TGC.
793100	796700	And then she kind of like laughs and Saunders back to you guys.
796700	798400	Well, so as as they're like doing that,
798400	803600	I'm Cal is like motioning back and Julius forward to like run up to the circle and get a shot.
803600	804500	Definitely doing that.
804500	804800	Yeah.
804800	810200	Yeah as they part do we see a real Jackalope or is there visibly like glue on its fucking head
810200	817400	or no, but you would notice that I yeah looks like these antlers are tied on with a yellow ribbon.
817400	824400	Seemingly the question I had was like when they're chanting the that stuff are you on purpose saying?
824400	825000	No, sorry.
825000	826000	That was my question also,
826000	828400	so we should always hear it as TGC.
828400	828700	Yeah.
828700	832200	Okay, my bad because you consistently were doing it the second time you were saying it.
832200	833700	So I thought you were saying oh my god.
833700	836800	That's because I typed it wrong.
836800	840100	No, it's because I'm an idiot.
840100	852100	Same thing I was like I was like we need to ask about what what is GTC.
852100	855100	I knew you were just fucking up.
855100	856800	Thank you Thomas.
856800	863800	Thanks for not reading into that look double luck.
863800	866700	I just can't take that back baby when I think of you.
866700	871100	I think of you like your freaking mastermind that has every single detail planned out.
871100	873300	So I'm like you're hiding something from us you fucker.
873300	877000	He's got you so fooled.
877000	883700	Julius is definitely recording on his phone like trying to get up as close to the Jackalope as possible.
883700	885300	Is it does it seem scared?
885300	887700	No, it does not seem scared.
887700	890700	It is very very calm Beck wouldn't want to break the circle,
890700	894300	but he would want to put his camera between the heads of two people to film directly down.
894300	896100	Do they react to me doing that at all?
896100	897100	No, not at all.
897100	897900	That's a great shot.
897900	900700	What are you guys?
900700	903000	What are you guys doing?
903000	905500	I've asked the people around the Jackalope.
905500	907400	Oh, hey, what's up?
907400	907900	Oh, hi.
907900	909000	Hey, how's it going?
909000	910000	Uh, oh, yeah.
910000	912200	No, we're just celebrating our points.
912200	914600	Hey hungry for points.
914600	917500	Do you eat the Jackalope?
917500	922300	Oh, do you eat Jackalope?
922300	926600	No, rabbit stew.
926600	928600	I oh goodness.
928600	931500	No, I have you ever been to Charlie's next to the foundry.
931500	936100	They all kind of laugh at each other and are giggling amongst themselves and in unison.
936100	939200	They say we don't need to eat.
939200	946100	Uh, how does this Jackalope signify your points or why are you celebrating around it?
946100	947800	Why you are all wearing yellow?
947800	949400	Why is it got a yellow ribbon?
949400	951800	What?
951800	954200	What?
954200	955600	No, that's a great question.
955600	955800	Yeah.
955800	961300	No, so the Jackalopes, they run free and they're not actually Jackalopes.
961300	968800	Yes, I noticed I thought there might be but then the last little part of me that believed in magic died.
968800	970300	That's so sad.
970300	979100	They all kind of laugh like we still have magic here and they kind of laugh some more and she's like earlier this morning.
979100	992400	We had a little contest where we let some rabbits run free and whoever could wrap their ribbon around the the rabbit's head and tie on the antlers to make a Jackalope got points.
992400	993700	I didn't tell you about the points.
993700	995000	The points is the best part.
995000	997400	Well, yeah, we asked but you never quite explained.
997400	998400	What do the points are in you?
998400	999700	Of course I get ahead of myself.
999700	1002000	I'm just so excited and happy to be here.
1002000	1004000	Well, Jennifer, we can certainly see that.
1004000	1008900	No, so I'm so hungry for points because when we get points we could win.
1008900	1010600	Win what?
1010600	1013300	Oh, the prize at the end of each quarter, there's a prize.
1013300	1014500	The fiscal quarter?
1014500	1016100	Yeah, of course.
1016100	1017100	What is the price?
1017100	1019900	Whether the GEs or the EEs win.
1019900	1020900	I'm sorry, EEs?
1020900	1022400	Yeah, excellent employees.
1022400	1024900	There's great employees, there's excellent employees.
1024900	1033300	Those are the green ones and she kind of points around and you see some people who are wearing the same like similar really nice kind of athleisure.
1033400	1037000	But their accents are green as opposed to yellow, which is what?
1037000	1038500	What does green sound like?
1038500	1039000	What?
1039000	1039800	It was a bad joke.
1039800	1041200	Their accents are green.
1041200	1042000	Like Ireland.
1043700	1050600	Excellent employees, are they somehow higher in rank or superior to the great employees?
1050600	1053300	Oh, no, it's just a different word that also means great.
1055000	1057000	It sort of means better than great.
1057000	1058600	Not around here, it doesn't.
1058600	1059300	Okay.
1059300	1061200	How are like teams chosen?
1061200	1067600	Oh, well, when you get hired, you just kind of become either a great employee or an excellent employee.
1067600	1069300	But do you like have a say in it?
1069300	1071200	No, it's just kind of where you fit.
1071200	1075000	Do different departments have different designations?
1075000	1079300	Yeah, the excellent employees work in the lab and the great employees work in the factory.
1079300	1088000	And she points to the lab when she says the lab and the lab is the glass and grass building behind the statues on the north side.
1088000	1092700	And on the east side, just above some perfectly cylindrical trees,
1092700	1101500	she points to the top of a massive greenhouse that is peeking out above these cake pop like trees.
1101500	1104400	Jennifer, you told us earlier you were born here.
1104400	1105300	Born and raised.
1105300	1108000	Were your parents on teams as well?
1108000	1111800	Yeah, my mom was a great employee and my dad was a great employee.
1111800	1117000	Is it typical for the children of great employees to wind up on the same team as their parents or?
1117800	1120000	Not always, but in my case, it worked out.
1120000	1124000	Are you friends with any excellent employees?
1124000	1126800	Not really. We, you know, kind of work in separate places.
1126800	1129700	You know how I assume you guys all work together?
1129700	1132400	Yes, in a small van.
1132400	1138600	Well, then you're probably very close to your co-workers and less close to people you don't work directly with, right?
1138600	1141000	No, I mean, not not like as a rule.
1141000	1145600	Sometimes people you once worked closely with can stab you in the back.
1145600	1147100	Oh, with what?
1147100	1148600	Corporate politics.
1148600	1151700	Wow, that sounds really hard and sad.
1151700	1153800	Like your dad.
1160800	1162400	Are you okay?
1162400	1164400	Yes, yes, but we're not here to ask about me.
1164400	1165400	I'm just fine.
1165400	1168700	We want to know more about you, Jennifer, and what you do here.
1168700	1174900	And as you're kind of looking to Julius, you see a man wearing well-fitted athleisure,
1174900	1182500	monochromatic with green accents, approaches your group confidently with a hand outstretched.
1182500	1185900	Well, hello there, you fine interlopers.
1185900	1189900	What a coincidence indeed to run into you here.
1189900	1192400	My name is Fox Godel.
1192400	1199300	I am the son of my father, Fred Godel, the grandson of my grandfather, Frank Godel,
1199300	1202900	and the future CEO of the Godel company.
1202900	1204800	It's an absolute pleasure to meet you.
1204800	1209300	Would Julius know, has he like seen Fox outside?
1209300	1211000	Like does he go into the real world?
1211000	1212400	Oh, great question.
1212400	1218200	No, you would only know Fox Godel from some pictures that have been on like magazine covers
1218200	1222800	where he's just like posing on a sound stage with his dad just within the past year.
1222800	1223800	How old is he?
1223800	1224800	Yeah.
1224800	1228600	Fox Godel, he seems to be in his mid twenties.
1228600	1231000	Oh, and Zach, last question.
1231000	1235600	How can someone have a monochromatic outfit with colorful accents?
1235600	1236800	Oh, well that's easy.
1236800	1243000	It's just like white, gray, a few different shades of gray, black, and then has like green
1243000	1245000	accents on the side.
1245000	1246000	Not monochromatic.
1247000	1248000	Oh, fuck.
1248000	1250000	It's pretty, it's pretty.
1250000	1251000	Gray scale.
1251000	1252000	Gray scale.
1252000	1253000	Okay.
1253000	1254000	Gray scale.
1254000	1258000	Gray scale with green accents.
1258000	1260000	Monochromatic gray scale with green accents.
1260000	1264000	He got it on the bio farm.
1264000	1266000	Mr. Godel, it is a pleasure to meet you.
1266000	1272400	And he shakes your hand, but then when he goes to shake the hand of Mr. Beck Wilder,
1272400	1279000	he looks up at you, notices the headphones on your head and immediately his eyes glaze
1279000	1284120	over and he gets this horribly tortured look on his face.
1284120	1286600	Was the last person that did that a farmer?
1286600	1287600	Yeah.
1287600	1288600	He was.
1288600	1289600	Yeah.
1289600	1291400	It was the lemon or just some other guy.
1291400	1292400	It was.
1292400	1293400	It was the ticket guy.
1293400	1294400	Right.
1294400	1295400	It was actually, it was Jesse Lemon.
1295400	1296400	Okay.
1296400	1301200	It was the farmer who sold his property to Fred Godel.
1301200	1305300	Zach, can you remind me, did I know, did I figure out that that's what he was looking
1305300	1306520	at at the farm?
1306520	1308600	Did Beck know that it was his headphones?
1308600	1309600	You'd even try it.
1309600	1310600	You even took them off and stuff.
1310600	1311600	Yeah.
1311600	1312600	Yeah.
1312600	1315920	I need everyone to real grip as the look of this man who was just completely normal
1315920	1323800	a moment ago as clearly gone somewhere else inside of his own mind and is trapped seemingly
1323800	1325920	with the disturbing.
1325920	1328600	The lonely stoner seems to free his mind tonight.
1329600	1332000	Yeah, I definitely do not pass.
1332000	1333000	I crit fail.
1333000	1334000	Oh.
1334000	1337000	Oh, I crit failed too, dude.
1337000	1338000	99.
1338000	1339000	It was an 88.
1339000	1341400	Oh, I'm going to spend luck and the other luck you gave me.
1341400	1346000	You can't spend luck because it would just be 99 to switch.
1346000	1348000	Oh, that's right.
1348000	1350000	Well, fuck.
1350000	1352000	You just spent your luck.
1352000	1355000	No, I made it 99.
1355000	1356000	It was the luck.
1356000	1357000	It was and it is.
1357400	1358400	No, I made it 9.9.
1358400	1359400	Oh.
1359400	1362400	Julius, you are going to lose one grip.
1362400	1367400	Beck Wilder, Cal Colorado, you're going to lose two grip each.
1367400	1368400	Well, that's not so bad.
1368400	1370400	Because we saw his face.
1370400	1374400	And I think everybody recognized it was the same thing.
1374400	1376400	It was the headphones that freaked him out.
1376400	1380400	Yeah, that's what's freaking you out is that now you've run into a second person
1380400	1383400	who has had the same reaction to your headphones.
1383800	1388800	Okay, so but it's not like an intrinsic fear like I saw the face of pure evil terror.
1388800	1390800	No, it's not pure evil terror.
1390800	1392800	It's simply just...
1392800	1394800	It's wrong for someone to be scared of a headphone.
1394800	1396800	So afraid of headphones.
1396800	1399800	And then not only that, but unnaturally with the snap of a finger.
1399800	1401800	But there is no snap of any fingers.
1401800	1406800	But if you were to, just he's right back to normal looking at you smiling,
1406800	1408800	going in for a handshake.
1408800	1409800	Nice.
1409800	1410800	What the...
1410800	1411800	What was that?
1412200	1416200	I don't shake his hand because I've now critically failed this grip loss.
1416200	1417200	I think that he...
1417200	1418200	Awesome.
1418200	1419200	What are you doing?
1419200	1420200	If you fail grip, you can't shake his hand.
1420200	1422200	That's the rules.
