0.00 11.40 speaker0  Well, babies, I cannot believe I finally arrived at Ocean City, New Jersey, and it's 2016?
9.84 17.00 speaker1  And it's March?
15.36 93.00 speaker0  God damn it. I guess... Guess I can do another radio show or something. We're live from 694.2 PTBP or whatever. Maybe I'll read that. on the toilet. Do you sit down to pee? I sure do. He writes, Oh wow, Dale. A Wolfie never reveals their secrets, especially secrets about their incredibly moisturized nipples.
92.00 111.04 speaker1  Wink.
104.68 183.88 speaker0  Ocean City, New Jersey's newest and only radio station, probably. What's up, what's up? It's Zach. I am here to tell you four things. First, I want to say thank you to this community. After some last minute donations from you folks, we've raised $1,525 to help keep Springfieldians warm this winter. That's absolutely incredible. Thank you to each and every one of you listening who's told a friend about the show or joined the Patreon or tagged us on the internet. This is all thanks to you. Second, I want to say thank you to all of you eager listeners for your patience. Here's a little life update. Taylor and I have moved back to Springfield, Missouri, and we will be in Springfield, Missouri until we eventually die in Springfield, Missouri. We love it here. The food game is strong. It's cheap.
176.68 295.18 speaker2  I'm hoping the transition won't affect our release schedule too much, but I'm an optimist for real though. We have some really cool shit planned and we're all super stoked about it. Luke GM'd a game of Uncanny Rally for Joe, Thomas, and me. It's one of those one-page RPGs from Grant Hallett. We played malfunctioning military androids on the run. It was delightfully silly and Luke did a wonderful job leading us on our wacky way. agents from each mission to continued unnatural mysteries and military conspiracies. And finally, if you're an esteemed naughty denizen of the den of sin, get ready for this Thursday, the eve of New Year's Eve, January 30th at 7pm Central Time. We're gonna hang out and celebrate the end of 2021, talk about our plans for 2022, and with that. If you have any suggestions, post them on the internet. And come hang out this Thursday night, yeah, New Year's Eve, January 30th at 7pm Central Time.
291.78 421.88 speaker1  welcome to cheer up now, it's time for the news. of brutal homicides have all pointed in his singular direction. He is assumed to be armed and dangerous. Again, this is a former Delta Green agent named Arvon Chilton. Then, this fucking dude, Arvon Chilton, walked inside, disabled and tied up the new husband, and then slowly cut Eileen McCarty to pieces in front of the guy. and untied the blind, bleeding out broken man. Welcome to 694.2. If you aren't down with that level of awful, this show might not be good for you. But for now, let's just groove on this melodic palate cleanser that's brand spanking new.
416.36 430.28 speaker2  We're gonna play Control Copy, which is a Delta Green scenario written by Dennis Detwiller, one of the creators of the game, Delta Green, the Role Playing Game.
428.28 457.40 speaker0  Oh, too much.
453.80 471.72 speaker2  My name is Zach, and I'm gonna be your handler today, as well as after you listen to this when you go back and listen to all of season one, of Pretending to Be People, I'll be the handler for that as well.
470.76 503.08 speaker3  Every single one of them. because I get involved in what's happening and forget to write stuff down. That happens to everybody, man. That's role playing, baby.
502.20 510.84 speaker2  What's your goal? Goal? Have fun.
507.72 517.88 speaker3  I don't take notes. They're all up here. He points at his head.
517.00 520.60 speaker2  Yeah, audio.
519.32 544.76 speaker3  He pointed at Joe's notebook. But yeah, you know, I just kind of go with the flow, and I try to get things rolling, you know?
544.04 549.48 speaker2  Notes or no notes.
547.64 564.76 speaker3  Joe was like, I'm Joe, and I'm a character, so I just want to make it clear that I'm Thomas, and I'm a person. But I do play characters on the show.
562.12 604.84 speaker2  and we're going to play Delta Green. Are you guys ready to play Delta Green? I'm scared. we played an amalgamation of Delta Green and Pulp Cthulhu. And you guys had lots of hit points and luck to spend. However, in this game today, you will have no special talents. Your hit points will be your strength plus your con, divided by two, as opposed to just strength plus con, and you will have no luck.
