0.00 13.34 speaker0  Welcome, my children, to the family reunion that is PTBP.
9.14 121.34 speaker1  while feeding you some room temp potato salad. you're making it wrong. I'm feeding you live from 694.2. I don't know, man, I ain't looked outside in a minute. This week's Howlin' with Wolf is from Rob in Atlanta. Rob writes, "'Mornin', Wolf, big fan Rob callin' in from the city. "'In my last year of law school, I gotta tell you, "'it's wild how often local officers "'ignore all kinds of laws. "'rather than scientific method. "'who told me about y'all in the first place. "'It goes Shaka, Mr. T, Felicia, all over the sea, yeah. "'Well, hello, big fan Rob from the city. "'I have no idea what this song is you speak of, "'and I know so many songs. "'I have played so many different tracks, "'I can hardly keep track of them all. "'If you wanna write up somethin' for your Aunt Wolf to Hal, "'please submit your memorandum "'as a five-star review on Apple Podcasts, "'and I'll read it here on 694.2 PTBP,
117.26 129.84 speaker0  "'and sweatiest radio station.
125.92 137.36 speaker1  "'Doctor, doctor, give me the news.
132.86 145.14 speaker0  "'against Arvin Chilton that just don't add up to this Wolf.
141.26 233.06 speaker1  "'who was brutally chopped to pieces on March 21st, "'was seen by multiple witnesses at a gas station "'in Upstate New York two days later on March 23rd. "'And later that same day at that same Shell gas station, "'the clerk, a 59-year-old man named Quentin Harris, "'and very clearly by Arvin Chilton. "'During the savage murder, a car pulled in to refuel "'Quentin Harris, within five feet of him, "'despite looking around several times, "'and drove off as if nothing was amiss. "'I tell you what, Wolf here might have just done "'the same thing to avoid having to talk to the cops, "'but damn, it ain't right. "'However, it's okay to be wrong every now and then, "'proving my point with his pleasing pipes. "'It's Brian Bulger with Bad in a Good Way.'"
230.90 287.36 speaker0  ["Bad in a Good Way"] Feels like I'm on the last bend of the deep end, but the drowning's been just fine. And when my ears pop and the shell shock of this pit stop frees my mind, I'll be all right, I can go there, Hey, hey! Bing bong, roly jays, do bing bong, roly jays. Hey, hey!
282.36 289.48 speaker2  Everybody now, bing bong, roly jays, bing bong, roly jays.
287.48 294.08 speaker0  So do you guys remember back in,
291.52 302.96 speaker2  There was a few years ago where suddenly everyone that Taylor and I knew from college, Taylor being my wife, for those of you who are new to listening,
301.04 312.94 speaker0  in certain parts of the podcast Was that a reference to season one? You said no references.
310.90 503.24 speaker2  Ah, no references to season one. we're 29 now, when we were probably 25, and I was supposed to dress for weddings, and I didn't have any fucking money at all, and so I was like, basically what would happen is I didn't have clothes to wear to a wedding, so every single time I got invited to a wedding, I would go to Kohl's, because Kohl's has an insane return policy, a very, very good lax return policy, or a nice suit coat or whatever I needed to go to this wedding. I actually, I said tie, but I never wear ties, but I remember specifically for this story, a nice discount suit jacket that looked nice on me, and then I wore it to this wedding, and this wedding was actually really fun, but it was one of Taylor's friends from a long time, family, friends from an early age. Zach, I just wanna get one thing clear real quick. Yeah, hit me with it. You lied about the tie. How much of the rest of this is a lie? Oh, all of it. and I didn't know anyone there, and Taylor was in this group of four girls. She was one of the bridesmaids, And did the photo booth by myself. Well, it. So there was a photo booth there that would take four pictures of you and then spit out a little image there like you might in a photo booth, and there were lots of little props there, so I put on four different hats and just stared ominously directly into the camera with the saddest face that I could muster, and so I had this amazing group of four pictures of me in this looking fresh in this Kohl's suit, and I took these pictures, and I was like, man, I am gonna love these pictures forever, and I stuck them in the inside pocket of my suit jacket, and then I returned that jacket to Kohl's, and as soon as I walked out the door, I thought, oh no, there is a picture of me inside of the pocket of that jacket and not only is it just a weird set of four pictures of a guy by himself looking sad as possible, he's wearing that suit jacket. they would be like, oh, well, I see. I see. He did not enjoy the jacket. This jacket would only bring forth negative memories
501.64 507.48 speaker0  just like throw it back on the rack,
505.52 508.32 speaker2  Yeah, straight up.
507.48 513.00 speaker0  Maybe not.
511.36 538.92 speaker2  is coming with stock photos. This kid looks poor. They would have said, based on how scraggly my beard probably was. Yep. You were a great big fat person back then, right?
538.08 541.28 speaker0  Nope, nope.
539.76 545.76 speaker2  I am not editing that out. No, do take out the body shaming.
542.48 550.80 speaker0  That's just because we watched Silence of the Lambs.
548.80 632.20 speaker2  I know, and you were a great big fat person. and I quit drinking Tom Collins' every night, which at the time, for some reason, my mind was like, I don't understand how every night when I drink three pint-sized gin and tonics with extra syrupy lime juice poured on top of it, So much sugar. The calories in a drink will get to you, folks. Yeah, but the calories in a drink that's also filled with syrupy sugar is also no bueno. I was literally putting simple syrup and sugary lime juice because at the time, I didn't know that tonic water Like as much as a soda. That's why it's good. It's honest, you know? It's fermented. You can count a whole lot of them. If you're practicing this well.
629.78 639.28 speaker0  which means I'm just drinking beer these days. Holy shit.
635.52 646.48 speaker2  there was this guy like peed himself before a meeting and they're like, you gotta go to rehab.
645.52 649.24 speaker0  so he's doing good.
648.40 654.72 speaker2  That actor. Isn't that Brian Doyle Murphy? Yeah, he was in God Bless America. Brian Doyle Murray.
652.44 659.22 speaker0  And that movie fucking rules. Yeah, it does. It really does. Right, it does rule.
658.38 662.56 speaker2  It's fucked up. You know what? I haven't seen it in a long time. You're right, it might suck.
661.72 674.88 speaker0  I don't know, it might suck. I only recognize that guy from Shameless. He played like a cuck. It's Bill Murray's brother.
672.52 686.48 speaker2  Yeah, guys, he's pretty famous. I don't think it is. If you're thinking of the guy who pisses pants in Mad Men, that is.
684.48 688.14 speaker0  That's not Brian Doyle Murray, is it? Yeah, it is.
687.32 697.54 speaker2  Yeah, it totally is. Hold on. What's his character's name in that?
696.70 698.36 speaker0  The guy you're thinking of?
697.54 707.32 speaker2  So that's what I was gonna say. It's his other brother. Look up Bill Murray's brothers. Other brother. Yeah. Butter, butter.
706.48 712.36 speaker0  Dude, nutter butter.
711.52 714.28 speaker2  Joel Murray.
712.36 726.36 speaker0  Hold on, I'm talking about nutter butter. Oh shit, I thought Joel Murray was Brian Doyle Murray.
722.52 744.52 speaker2  Yeah, Joel is in Mad Men, and God bless America. God bless America. What were you saying, though? It's the sugar crystals on the outside
742.92 762.98 speaker0  than listening to a podcast, and you know that the hosts are incorrect.
760.20 775.70 speaker2  because we are dealing with some very unsettling situations here. Nutter butters. Wafer things? Oh, I know exactly. Oh.
774.86 785.04 speaker0  What are those called? I like those more than nutter butters, but I do like nutter butters.
784.22 800.70 speaker2  No. Wafers. What the fuck? Or nutty bars. Yeah, nutty buddies. Yes, they are, and there's no chocolate.
798.20 804.40 speaker0  And a fluffer nutter is marshmallow
802.10 807.88 speaker2  Is that exactly what Elvis ate?
807.04 811.08 speaker0  and bananas.
810.24 811.90 speaker2  And honey.
811.08 817.28 speaker0  And chocolate.
816.44 842.04 speaker2  Thank you. It's not been one week for us, but it has been one week for the listener. So let's give them a nice little recap
839.52 855.56 speaker0  We got freaking, what's his first name? Arvin Chilton. We got an ex-Delta Green agent slicing up eyeballs.
854.72 887.32 speaker2  Slicing up eyeballs? No, I don't know it. Look, do you know it? Cool, yeah. I read Fight Club. I get it.
886.48 915.10 speaker0  Yeah. Things are bad in Ocean City, New Jersey. We got an ex-Delta Green agent who's killing people close to him in his life. Slicing up eyeballs. who pointed us toward his domicile, and we went and talked to the landlord there. and then I think it was him who recommended we go over to a cafe and have a little lunch.
913.30 918.62 speaker2  That was actually Mara Kinlan. Oh, that's right.
915.94 922.34 speaker0  We went back and talked to the NYPD who had been on this. Newark.
921.50 971.14 speaker2  Newark, yeah. on the fact that Eileen McCarty, he had this idea that Eileen McCarty was not the body that was found in her own home because she was seen by witnesses in two locations. But she was like, it's definitely her. when she was looking over the actual high-res like digital files from crime scene photos, came to the same conclusion because Garza, Uncle Jimmy with the FBI, was using these like printed out- Mayonnaise covered. Mayonnaise covered crime scene photos. Yeah, he was gross. He was gross. Yeah, Agent Garza was pretty unprofessional.
968.66 998.30 speaker0  which was above Alexander Duchesne's apartment. Who did that without notes? I did. I don't take notes, folks. And we looked around. He had a bunch of Shakespeare in his duplex. And then we went downstairs and his landlord, who lives below him, had a copy of As I Lay Dying.
996.46 1000.22 speaker2  Mother Faulkner and-
998.30 1013.22 speaker0  He had a copy of That Thing You Do. That's right. Which still existed in 4060.
1009.06 1015.14 speaker2  It was called Eternal Sunshine of the Spotless Mind.
1013.22 1034.30 speaker0  And we all sat down and watched it. Luke, we literally sat down and had it on before this started. What's it called? What's it start with? As I Lay Dying. The book.
1032.74 1041.98 speaker2  That one. I didn't watch it for obvious reasons.
1039.06 1066.62 speaker0  James Franco in the band As I Lay Dying. As you imagined it. I did look right at the title when we turned it on.
