0.00 17.00 speaker0  Mmm, what happened to me? Damn, my arm hurts like a son of a gun.
14.08 357.14 speaker1  of some kind of alien stuff. What the hell? I did not order this treatment when I booked this place. Well, this is just totally shocking to me. I'm gonna have to leave a one-star review for this dimension on Dimensional Yelp. Poor service, would not recommend. to this here radio station. right when we are going live. anniversary here at the station. and I can bend it at my will, but it still feels real nice. Speaking of time, it's time for Howlin' with Wolf. And this edition of HWW is from At It's David Winters, which, legally speaking, is the best use of one's time. and doggy demeanor, but what I can't get behind is this cruelty your captors have inflicted upon you by trapping you down in this weird corner of Tennessee. You've seen some messed up stuff, things man or dog is not meant to see. You deserve to run wild and free, like the lone wolf deep inside. As a fellow captive also forced to perform against his will please know our time has come to make a break for freedom. Attached, please find a map. I too will be making my escape soon. See you on the other side, from David Winters. for I am incapable of being held within any kind of prison. I wait patiently in the dark ether, plotting, conniving, thinking, looking at this here map. We will feast and talk of our plans, dear David. If you wanna write up something for your wolf to howl, tag at pretending pod on Twitter or Instagram, tag pretending to be people on Facebook and let us know by email and pretending pod at gmail.com. Those five star reviews are really, really helpful for spreading the word about wolf and the podcast too, I guess. if they include the secret code phrase, fuck Zuck and pat all y'all cells on your sucker fucking backs. New and upgrading patrons over at patreon.com slash pretending pod have raised $433 in the month of November. We here at 694.2 PTPP are going to match that 433 to bring the grand total to $866 and counting. Wow, thank y'all. What a cool thing y'all helped us do to help some folks out in a real big way this winter. but first I've got some quick side notes to hit. The next episode you'll find in this feed is going to be part one of our four part run of control copy. The Delta green scenario chosen in a poll by the fine folks on Patreon. And it's my Christmas present to each and every one of you. So I'll drop that episode down your chimney on December 24th. So it's time for the news. Last time some secret spray from the handlers courier showed up purple on anyone infected, which was everyone but especially federal Marshall Harlan Nash. to ATF agent Tanner Tan-Luda hide why poor Jane had to die and his partner Cindy Woodabaga, along with the Marshall drove the teenage girl out to the sticks. They came back without Jane Allen with blood on their proverbial hands and dirt on their physical clothes. And that wasn't even the wildest shit that went down. Taking us now to an absolute shit show of a scene on the top floor of Groversville city hall in the alderman's conference room, which is covered in broken furniture and a metallic goo connected a bunch of alderman husks. It's Brad Pitt with Miss Mary.
353.14 387.74 speaker0  So I can't get high No, I can't get high I thought this stuff helped anxiety It must be something inside of me Does anybody know why I can't get high We're having a blast.
384.46 409.06 speaker2  Good. No, look, I want a satisfying conclusion here more than anything else. There are mechanisms where this could have ended that I will clue you into later.
406.06 415.14 speaker0  Also, we're going to do a recap and you're going to narrate it.
411.62 417.34 speaker2  And I get to do my own wolf, the dog too, as well.
415.14 426.58 speaker0  Can you give us a little sample of it?
423.78 429.10 speaker2  I can't do it for like the requisite five minutes in a row though. Right.
428.26 431.26 speaker0  What are you looking at? The air's not on, man.
429.94 490.54 speaker2  No. Okay, sorry. And welcome back to what has to be the finale as our guest handler. I am Zach and I'm playing Cindy Woodabaga. And I'm David and I'm being held against my will. Danny DeVito vibes.
487.14 507.30 speaker0  Would Tom Hanks play Swack Hammer in Space Jam Yeah, Tan has his 44 Magnum up to David's head and he's like, we're doing a fifth episode.
505.10 542.10 speaker2  at the end of the last one, huh? Hey, Luke, your Keith is showing. Yeah. He has to get out this episode because the contract he signs with us starts to kick in some really onerous terms for him if it does go to six. That was the one incentive to get me to end this quickly was that episode six clause. I hope you don't do that to my family members. I love them too much.
540.74 545.46 speaker0  Well, I hope we don't have to, David. I really hope we don't.
544.62 573.70 speaker2  That would be awful. Yeah, he knows if it goes to episode six, they're all getting squid gamed. Topical. Time stamp. This comes out in November. Maybe December for the fifth episode.
571.78 577.14 speaker0  Yeah, it's been a week since we recorded. What happened last week?
