0.00 14.48 speaker1  wow this is crazy y'all damn hot damn hot and crispy
8.08 101.72 speaker0  i just took over this radio station but y'all can hear me 26 years in the past that's some and you are listening to me 26 years ago live on 694.2 ptbp these radio waves may be broadcasting in the past but i am always living in the present when it comes to y'all showering me with fan mail this week's howling with wolfers from fire lizard games who went above and beyond by tagging at pretending pod with a nice little message on twitter instagram and facebook thanks for the social media cross-pollination y'all they write fire lizard games a springfield mo base company is running the second kickstarter for a short novel titled examination it's written by an author that goes by the name perry hartree it's a dystopian sci-fi suspense thriller with horror elements the setting for examination served as the inspiration for the adventure module for fire lizard games tabletop rpg called base a card pg so if you like to do a little reading and you like sci-fi suspense horror and backer tears
94.56 234.22 speaker1  starting at two dollars head on over to fire lizard games.com or check out any of the social media pages to find direct links to the kickstarter thank you fire lizard games.com a springfield mo base company whenever i ask people to describe me they often tell me that i too
227.62 387.42 speaker2  layer of kudzu seem to go on endlessly up and down over hills and valleys mountains and gorges there is nothing but dense verdant forest a circular calm lake finds itself somewhere in the midst of this lush wilderness and in the middle of that lake a small island with less than a quarter mile from shore to shore a long wooden dock on the north side of the island leads to a charming two-story boat house with six well-kept cedar canoes tied at high noon there are six cute cozy little cottages evenly dispersed along the shore of the island at one o'clock three o'clock five o'clock seven o'clock nine o'clock and eleven o'clock five of the six cottages are in pristine condition the eleven o'clock place might be too but it looks doubtful since the entire building is covered in a massive blue gorgeous flowers in every shade and shape fill varied gardens and planters that somehow lined on either side by these lovely flower beds and the walkways all make their way to the center of the island where a large equally cute and cozy hexagonal building sits o'clock welcome to calm comfy campgrounds and then we go into this main building this main large hexagonal building and inside we find a room that is circular the wall never ceasing and never creasing at any point even where the wall meets the ceiling and the floor the angles are rounded off there are six chairs in a half circle facing a single chair in front of them each chair has a bottle of water next to it and standing around this room or sitting in these chairs are the four of you along with two others let's go ahead and go around and
378.98 412.06 speaker0  seersucker suit a nice head of hair on him he's a he's it's slick back and nicely quaffed he's
404.58 467.58 speaker2  a floral sundress with strappy leather sandals that go up above her ankles and the two of them ready for this yeah okay so we see Roger Fairfield and Angela Fairfield a nice young married couple right standing at six o'clock on this large island surround island surrounded by Lake calm and you guys are walking up a cobblestone pathway up to a large hexagonal building ahead of you you see everything the flowers just verdant gardens all around bushes and trees make up much of this place and through some of them on either side you can see these small cute little cottages tucked away
462.06 481.54 speaker0  in their own little areas but ahead of you is this large hexagonal building and you said we were
474.74 505.90 speaker2  and she's kind of like bouncing back and forth between from cobblestone to cobblestone and she's
498.26 530.86 speaker0  a big stretch take in that sweet lake air and that that's that's real nice in it it's beautiful
524.34 757.02 speaker2  and it's really taking in the Sun is beating right down on you guys and it is a gorgeous day here at calm comfy campgrounds but as she's spinning her arms wide stretched taking in all herself and looks at you she's kind of lurches toward you and throws her arms around your neck walk up on to this large hexagonal building it's like made of wood almost like like a rustic hunting house however it seems more modern than that it has certain amenities and you would know calm comfy campground is a luxury so this is not just a cabin in the woods it's not it's different than that it's on a island that's on a lake that's in the woods it's completely different gotcha a building is similarly bestroon with delightful flowers made of many shades and shapes and as you guys walk in the inside is equally rustic and elegant and modern and there's a massive wooden chandelier hanging over the foyer on the desk to your right is a bell with a sign that says please boop for assistance and a vase with a single red rose there's a little area back there with a chair but it's currently empty and then you notice on your left there's a table with a coffee pot and a don't hear anything but then now that taking up your oral connection in your brain is a slight little you turn back around there she is Angela with a flask in her hand just like taking a quick right I guess the work is something we can focus on at a sober time that's fine that's fine that's
753.02 761.58 speaker3  can break out the flask I just think that we should focus you know make sure our heads are
