0.00 19.66 speaker1  Well, well, well. It's one episode after the nice episode. Time to get more somber, I guess.
9.26 46.98 speaker0  Psych! It's always 69 o'clock here at 694.2 PTPB, my babies. Now, it may be episode 70, but when you're with me, Wolf the Dog, it always feel like some kinda 69 could happen
40.70 276.62 speaker1  though you're listening in the past. Hoo boy, this is confusing, y'all. This week's Howlin' with Wolf is from Atkull Underdash Saridwin, who tweeted about the show and tagged that pretendin' pod. It's really that simple, y'all, and it makes ol' about a bunch of punks on rollerblades stealing coffee from The Man. Go on over to At Neon Dreams 8 on the Twitter and check him out. Well, I can't wait to strap on some blades and roll roll roll away, but the only coffee I like is the kind that has been sittin' out for way too long. The kind you microwave to heat back up, but you know it's never gonna be the same. Something's changed inside of it. A darkness looms. this far, please reach out and tell us what you like about the show. Here at 694.2, we thirsty. Give us some sloppy love at Pretendin' Pod on Twitter and Instagram and write a soppin' slash pretendin' pod. You can get access to some sweet, sweet bonus content. This shit is gettin' outta hand, but really no quicker than reality. Strap in for a mood killer, it's time for the news. James, the executive director of Calm Comfy Campground, got inside the dreams or memories of our four PCs. Then they were in a bit of a canoe race. The Grimes took the lead while Jack Russell had a mental break, leaving him and Bradley Cooper at the back of the pack. But before that concluded, the four PCs and Alan Grimes were standing in a seemingly infinite room full of shelves filled with audio cassettes. object made of plastic and polyester type plastic film with a magnetic coating. Most of them hold between 46 and 120 minutes of audio. The names on these cassettes were those of many politicians, CEOs, activists, journalists, religious figures, as well as a group consisting it's about time for these PCs to wake the fuck up. Personally, one of my favorite things in the morning times is dream girl with pretty sexual.
272.10 337.70 speaker2  it's DJ plays the same song over and over and over again. Does that contribute to the town's low sanity? Does the station schedule include a top 40 show and is it no backbone EJV is a dope new song every time I hear him. Brand new premier. out someone still loves you. Boris yells, someone's on a couple episodes and that's
332.22 357.80 speaker3  the Patrion episodes I mentioned a band that I went on tour with free at last. They're fine. Go listen to them. I, when I saw that, I, uh, hadn't listened to them in a long time and, uh, went to their band camp and I forgot that the album artwork is pretty dope by an
351.68 803.68 speaker2  artist from Ozark, Missouri named Tim Peacock who, uh, now works for the new Yorker. Oh a roll off and this is will matter for the game that we're playing. So you're all going to roll off against each other against 50 and if you get under 50 pass and if you all pass, whoever rolls lowest loses. How many rerolls do we get? Go through the rounds and if you, if you roll over feel so strange, like something within you has changed. Like Martin Cupertino is very aware of how his engine runs. And you know, I didn't spend the last 15 years mastering Transcendental Buddhism to not be in touch with my inner workings. But you have so much control that you can keep down anything like strange or painful about how you feel currently. Like you feel almost like, you know, when you're so hungry that you feel like you're going to like pass out. Yeah. down, you see that you have a little bit of dried blood right in the crook of your elbow. Like I'd been hooked up to a, like they were taking my blood. Something like that. Or an IV or something. makes a smoothie. So when you go downstairs on your way to make your smoothie, did you put the into the hole. I need you to roll a D4. What? You just lose one hit point, but you like wang your ankle to the point to where you have to, like, you can't walk quite normally. Well, that's okay. I'm about to do my stretches. So probably work that out. Smoothie and stretches? Smoothie and stretches. Then about two minutes after he actually wakes up, his little digital watch starts beeping and he's it's the last thing I remember being in the room with all the tapes. Vaguely, but it's almost like that memory along with countless others are consistently swirling around in your head. Does physical like inventory of myself. Okay. You said I feel weird. It looks like a needle's been in me. Yeah. How do I feel weird? Do I feel like I've been drugged or anything? A little bit. Like, uh, just a little hard to focus or a little out of it. Okay. So you remember how last night when you were pulling up the floorboard and stuff, you were trying to think of how you got to calm, comfy campground and it like tripped you out that you had no memory of even like the boat ride to getting here or even finding out about calm, comfy campground, all the memories of your friends telling you that you needed to get help seem off in some strange way, how you found out about calm, comfy campground. That memory itself is warped. Roll sanity. Critical success. 22. Wow. Yes. Yes. Okay. So, uh, with that, uh, not only do you know that this is your second day at calm, comfy campground, but you also know full well that it's not. Looks like the world's finally
799.92 832.88 speaker3  catching up to the possibilities of my kind of thinking. I'll have to figure out what the, cube or something, you know, someone gets in a, an online game or really as I don't know,
827.88 956.28 speaker2  enough, everything that you took out of the bag is still with you or where you put it, but the bag itself is gone and everything you left in the bag is gone with it. So you still have the cassettes and the map. I was listening to the episode and I completely spaced the syringe that was in there. Do I feel like that's a possibility for what I out that you were being watched, you kind of think that maybe that memory is faulty because there are no cameras in this cottage. Like turn my TV on, go for it. And flipping around and you see on the inside of your elbow pit, there's a little mark where some dried blood is there.
950.56 988.20 speaker4  we were with the, the floor was made of blight. It was like that scene in the matrix. Oh my God.
980.24 1001.56 speaker2  strange because those memories that are part of your dreams, maybe with Alan having the same dream, you, you, you start to realize maybe, Oh fuck, this isn't, this isn't the second day that
994.60 1109.76 speaker3  you've been to calm, comfy campground. It's not the second day. Something is, but linear timeline I don't, my computer doesn't work that way, so I'm not freaked out. I am alarmed though. Yeah. Can I do a medicine or something like for not first, maybe medicine to feel Alan's pulse and see if his heart rate is normal and see if do like a overall check to see if the not armpit,
