0.00 28.38 speaker0  Thanks. Thanks for that fridge. It was like the grudge sound. Sounds like clinking bones.
22.76 40.74 speaker1  that went back in the fridge. There was a mouse in the fridge? No man, it was the ghost
35.34 138.98 speaker0  Zach. Welcome to season two of Pretending to be People. First off, Joe, do you need to listen to season one of Pretending to be People? Hell no. But should you listen to season one of Pretending to be People, Luke? Hell yeah. And what did you think about season one of Pretending to be People, Thomas? I thought we could do better. That's why we're In and out, 20 minute campaign. Justin is also back with us as both Wolf the dog, the AM radio DJ, who will continue to introduce each episode. And he's also returning as our in-house composer. Justin actually messaged me and said, hey Zach. That's how he messages Justin back in-house composing for season two. Very excited. I hope it's good. Oh, I listened to it. We'll see. Now we are here because what do we do? We play a role playing whatever you have, but we have a table. I thought you meant like best friends or whoever
134.86 148.06 speaker1  and pretend to be people. And we tell stories together. He said the name. He said the name.
143.38 307.70 speaker0  a game called Delta Green, the role playing game and a game called Pulp Cthulhu. This season we are maybe going to utilize a lot of those same rules, but we're really focusing Cthulhu. I should mention here Delta Green is published by Arc Dream Publishing. Shout out to them for creating an absolutely phenomenal game that we can't remember all the rules What does that mean? Oh, that just means that when your characters choose to go off on their not just for fuck words. Uh, we're going to get pretty gross. We're going to get pretty how long we've been playing together? 18, 19 years. It hasn't been quite that long.
303.62 316.86 speaker1  I'd divide that by three and I think we'd be about right. So how long did we play before
311.30 486.10 speaker0  I think before we started playing. And then season one was almost four years of recording. this group because you're literally my, I was going to say best friends. You're my only friends. But I also- Is that better or worse? It's the same dude. It sounded like a downgrade in the town cops last season. This season, we're not doing that. And we're also not playing Delta
479.70 681.22 speaker1  it's a new Howlin' with Wolf. This week's Howlin' with Wolf is from John Scott Tynes, Call of Cthulhu, Puppetland, and Delta Green. John tweeted about the show and tagged at Pretending Pod, a very cool and very easy thing to do. He writes, I've got a message here from high up on the down low. Hey, clockwork child, love your style. Watch out for minotaurs in the labyrinth. Dr. Gonzo, keep on keeping it surreal. Jeff Hawthorne, hello and goodbye. Nice job keeping ahead. And Florida man, master of the dude way. Rock that red beard and tell Jane hi. Blood and Wolf to howl, just tag at Pretending Pod on Twitter or Instagram. Tag pretending to be people on podcasts, screenshot that super supportive endorsement and send it to our socials. And if your body in the finest of branded threads, go grab a shirt, hat, beach towel and fanny pack over at PretendingPod.shop. No need to remember all that. The links are in the show notes and me, I need to go folks. Find some wet debris and with a whole dose. We've got a brand new theme to warm up your throats. It's Alter Girl with My Life is Great and It's All My Fault.
670.86 772.30 speaker0  It's June 18th, 2022 and walking feels more like wading through a pool. But plenty of people are parading up and down the perpendicular pathways that make up the city. Each intersection, four perfectly 90 degree angles. Each street sign, splendidly shining in the sunlight. Each person some folks keep their heads on straight, helps them keep a grip on their reality, but everyone's different. Though I bet plenty of people would agree it'd be nice to be able to get an eyeful of the city without being inundated with so many advertisements. Facebook, Olive Garden, The Godel Company, Gucci, Amazon, The City News, Apple, Exxon Mobil. It's impossible. They're everywhere. You say The Gobble Company? G-O-T-T-L-E. It's like Butterball. The Godel to feed the cows? That's just agriculture. Yeah, they're an agriculture, they're an ag company.
768.62 800.06 speaker1  Hell yeah. Who's going to be the bad guy, do you guys think?
795.74 905.18 speaker0  out in the field of City Action News. I want you to tell me about your character and what they're up to on this oppressively moist Saturday afternoon. My character is Julius Tyfe Ralen, T-Y-F-E, Ralen. Shout out to Jeff from Seattle. One of our patrons at the $10 above level has given us this character who is a six foot tall man with dark slicked back hair and a permanent smirk. Tyfe is a cool name. Tyfe Ralen is the executive producer of the City Action News and he is Julius Summers direct report. Hey, what the fuck is up? My beautiful baby nephew. Come on. Huh? It's a beautiful day for overtime. Yeah. Stucks.
