0.00 20.34 speaker0  Allow me to introduce myself for any new listener who happened upon our show during this new
17.76 431.52 speaker1  I am Wolf the Dog. I am the DJ. We broadcast live from 694.2 PTBP, the best radio station that ever was and shall be, alongside my producer and my dog, Wolf the Dog. You feel comfort. the last little while, a new song by a new artist every week, and I sometimes read the things you write towards me in our segment called Howlin' with Wolf. hails from Sacramento, California. They tweeted about the show and tagged at Pretending Pod, a thing you can also do if you have a Twitter account. Mads writes, Hi, Wolf. I love more than I can put into words. Heck, I got matching tattoos with a bunch of you and I think that says it all. I refuse to give Cameron the satisfaction of a shout out by another scummer for getting so many of us to turn the dial to 694.2 PTBP. You hear that, Cam? Wait, shit. Wolf, cut that part. I can bribe you with some primo trash juice. Listen to Neo Scum. Neo Scum good. Anyway, here's Wonderwall. as primo trash juice? Send that stanky dranky over here in at least a five gallon bucket. And don't you ever mention Wonderwall ever again. If you want to write up something for your wolf to how, tag at pretending pod on Twitter on your podcast app of choice and send us the proof. for bonus episodes over at patrion.com slash pretending pod. All can be found in the show notes. It takes me hours to write the show notes, so please would you go look at them? Now if you're just tuning in, welcome back. to the pirate vessel, okay? got him fit for a peg leg. That gave Jurgen half the peg legs Dr. Shark left sticking out of the quicksand that had Got all that? Good. Join us now, back to the action on this island with a big ol' statue of a humanoid alligator It's R.I. Peter with Cruisin'!
430.52 433.76 speaker3  you laughed.
431.52 435.76 speaker2  All of our listeners are in Hillsong, that are in Australia. Really?
434.76 452.72 speaker3  Yeah. Is Hillsong the name of a town? Damn. The whole country is Hillsong. Yeah.
451.36 485.10 speaker2  Those were Hillsongs, right? Yes, they were. These hills have songs. These hills are alive with the sound of music. What did the guy say in Jason? Friday the 13th? It's a blood curse! It's a blood curse! You ought to be lucky the mental asylum fucking closed down or you'd be getting beat every day by Nurse Ratched.
484.10 486.10 speaker3  Captain Neckbeard.
485.10 539.74 speaker2  Captain Neckbeard. Was that it? Yes. Nice. Captain Neckbeard's dead, the rest of it's serious. The bubbles rising above where the dread pirate neck beard had gone under have ceased to bubble. And the crew from Neckbeard's ship ties their belts together. Wait, all together? Like in a circle? Yeah. Yep, to each other. And then they hold each other's shoulders and begin walking back toward the beach. Are you Neckbeard's?
536.86 543.82 speaker4  Your captain just killed our doctor with his stupidity.
542.10 568.86 speaker2  Wish YU is a doctor. The three of them all look at each other and let's roll luck, 50-50 shot up and down. Is that a 10 or a 100? It's a 10. I can't see what the- It's a 10. No, 100 is all zeros. It's a 10. It's a 10! Yeah! And I was actually gonna say-
567.26 573.94 speaker4  He's a fucking medical chap.
570.86 600.42 speaker2  And the other two kind of move, try to shuffle behind him. But again- I have 100 minus whatever you rolled is what I was gonna say. What's your name? I'm very, very skilled. Jammin? Did you say, uh, Shammin?
599.42 608.54 speaker3  Did you say Jermaine?
607.54 612.64 speaker2  Yes. I'm very scared right now. I think it's Jimmy. All right, Jimmy.
611.64 629.02 speaker4  He nods.
627.02 630.02 speaker3  I mean, I've got swords.
629.02 638.94 speaker2  Okay. I'll swing to try and cut him free from the other two. Oh, cool. Which one of you would be more likely to do a cool, yeah.
634.86 652.82 speaker3  I have like a knife that I can just cut the rope with. Who would do it cool? Can you beat that? Oh, he's the one in the middle. Okay.
651.82 667.50 speaker2  Yeah. We'll throw at the same time. We'll show off these sword tricks. Don't pass mine.
665.22 674.90 speaker3  28 on a 70.
672.46 693.46 speaker2  so he just hits the rope with the scabbard. He just reaches down and cuts the other side and looks at alabaster owl and is like, oh,
689.46 719.78 speaker3  Alabaster stares at him for a second with like a questioning look and then he, he looks over at Mr. Spitz. I forgot we lost our doctor. The rest of you, uh, go wade into the quicksand.
718.78 720.78 speaker2  Okay.
719.78 726.98 speaker3  I, yeah. Then I like, I'm not intimidated at all. I'm like expecting them to just wade into the quicksand.
725.98 730.16 speaker2  Oh God.
727.98 733.50 speaker4  If we could actually just go back to the ship, that'd be great. Just knee deep and you were here.
732.50 737.18 speaker3  Yeah. Maybe some more neck pads will come along.
735.42 754.58 speaker4  Maybe the jungle will take you.
751.46 770.14 speaker3  So you need to get in the quicksand. You don't have to go all the way neck deep or, you know, head deep as your captain did, but you need to stay there. So fucking walk into the quicksand now. Eye roll, persuade.
769.14 772.14 speaker4  like you found your voice there.
