0.00 8.24 speaker0  Hello, all of my sweet little ones.
3.76 163.92 speaker1  It's your caretaker from another dimension, Wolf the Dog. And I'm here to nuzzle you until you grow big and strong and become capable of great and grand things. with just a little teeny tiny bit of your life force. Just a little bit. You won't even notice it, I promise, until you do. And I am sapping y'all live from 694.2 PTBP, the radio station that you listen to, the only one that makes sounds at night to drive away the old ones. I guess I'll read it. This week's Howlin' with Wolf is from Jaron in Springfield, Oregon, the real Springfield the Simpsons was based on, and are currently listening to. Well done, Jaron. Never heard of any Simpsons, Jaron writes, Well, we've been talking about this entire time. See you there. P.S. Keep up the good work, my guys. My favorite RPG podcast by far. Just became the proud owner of a Splashylvania Fastpass myself. but I'll be declining your invitation
162.72 171.84 speaker0  I guess you could say
169.52 182.96 speaker1  for your big, bad Wolfie to hell, tag at pretending pod on Twitter or Instagram. Tag pretending to be people on Facebook or write up a five star review
180.32 198.88 speaker0  on the podcast app of your choice. Screenshot that absolute gift
195.60 247.36 speaker1  and unlock 37 bonus episodes, all while getting us closer and closer to our goal of getting back to the weekly releases that you crave, Now, in fact, you can find us on a few different places on the internet for merch or to listen to the soundtrack or to engage with this nasty community. You're gonna want to go to the show notes. How many times have you heard me say that? A bunch, I bet. And have you ever clicked in and actually looked at those little links
244.32 250.32 speaker0  It takes him so long to type up.
249.04 280.32 speaker1  Admire it. I know I do. Well, either way, it's time for the news. to escape from the It Pit.
278.72 283.52 speaker0  Hmm, weird.
280.32 325.20 speaker1  The can crew then crept quickly through the woods on the far east side of Grover's Gorge, heading south until they met the enormous plant wall. without starting a commotion. There was, however, a commotion in Grover's Gorge and backed toward Godel's Gate to Grover's Gorge,
322.72 332.80 speaker0  that crosses the foggy crevasse
329.92 355.04 speaker1  and a church stuck upside down where it fell into this chasm so many years ago. You know what?
352.72 405.04 speaker0  and it's all my fault. It's all my fault Cause my life is great And it's all mine Cause my life is great And it's all my fault What about my hair?
402.56 422.72 speaker2  if you don't follow us or if you do specifically on camera.
421.04 428.96 speaker3  Do you put anything in your beard? Nope. Yeah, gasoline.
428.32 433.36 speaker2  but it doesn't. It's just dry and brittle.
432.24 444.80 speaker3  and that was crazy. Yeah, then we smelt it for a while. I think I just got used to it and then go outside and come back in. I'm like, oh, it definitely smells like burnt hair.
443.44 449.20 speaker2  I was smelling it the next day.
448.72 451.52 speaker3  Yep. How does it feel?
451.12 468.00 speaker2  It's fine. It's 100% fine, except that I did singe my eyelashes and they feel weird still, but they're going to be fine. Like crusty?
466.64 480.16 speaker3  when I was standing outside. Oh, I got the whole thing.
477.20 488.16 speaker2  but I looked at myself in a mirror later and always and I was like, did I get like Cheeto puff in my hair? Like dust?
487.04 491.44 speaker3  It was orange?
488.16 500.64 speaker2  It was like a little, I guess cause I have like brownish hair. I had like brownish hair.
498.80 515.60 speaker3  New Year's 01 was crazy. Everybody thought, you know, Y2K was going to end it all the year before.
511.52 537.28 speaker2  Oh, so you guys just pass through the door? The door? Well, I did some research on what those doors are called. Nice. Yeah. And apparently...
533.52 543.36 speaker3  that the fucking libs have put on the big ass door industry. What did you learn?
542.72 557.12 speaker2  Wait, wait, wait. Dows. The watertight things that come together. So like the seal.
554.80 569.12 speaker3  The cams is what I'm reading on the internet. Submariner. Whatever.
565.20 580.88 speaker2  And they said dog the door. Spin the wheel to engage the cams in the closed position. The pins.
579.52 591.52 speaker3  So it's not called the dog. Okay. So the pins that like lock it into place? But not the door itself, which is what you just said earlier.
590.16 597.20 speaker2  It's called a door, I think. And then the parts around are dogs. So dog the doors. I adore with my dogs.
596.16 604.40 speaker3  I adore my dogs. Nice. Y'all.
602.16 612.56 speaker2  See, that just opens up more confusion now. Cause when you say dog door, we're going to all start crawling. Yeah.
612.08 620.16 speaker3  Very good.
613.20 668.64 speaker2  Cal Colorado, Beck Wilder, Julius Summers, and Stevie are all standing in a simple steel single train car sized train station on an unnecessarily massive bridge, 20 meters tall and 100 meters long. This bridge that crosses this enormous massive ravine is a minimalist construction showcasing the steel that seems to be your only way back over this deep, wide, and foggy ravine. The fog seems to be growing thicker and taller with every second. And soon it will be a wall that this simple steel single train car will need to penetrate to get to the other side.
664.88 670.64 speaker3  Did you want us to, uh, where did you have a beat written in there? No, no.
669.28 679.04 speaker2  It says and standing. So there's a, there's a hatch.
677.76 680.72 speaker3  Pause for the dirty boys.
679.04 759.84 speaker2  Pause for the dirty boys. Is this the kind of hat you can dog? Chug Bidwell in his snug, now snugger green, now darker green polo steps confidently through the door, just dripping. Suddenly Stevie, their eyes get huge with realization. And she begins like she's going to sprint out of the train car toward the soggy current mayor of Grover's gorge. We're going to move in dexterity order. So if one of you has higher decks than Stevie. Yep. 75. 50. 50 and? 45. 45. So it's going to go Julia Summers, Stevie, and then down the line, we got Beck, Beck What do you do?
759.60 769.76 speaker3  Okay.
768.96 804.16 speaker2  Yeah, I don't win. Stevie rolled a success. single steel, simple train car sized simple train station and toward the sopping wet current mayor of Grover's Gorge. It is Beck Wilder's turn.
798.48 812.32 speaker3  Beck, we've all resigned ourselves to trying to get the fuck out of here. I don't think that he's on the train.
809.68 827.12 speaker2  Stevie, dude, we got to go. Would that be helpful? We need to leave. No, it's got to happen now.
826.88 843.28 speaker3  knee. But yeah, he's starting to chase after Stevie and he's shouting, Stevie, I don't think this is very prudent. Have you really considered if this is the best course of action? Why don't you just wait up a minute there? Hold on, Stevie.
841.76 857.92 speaker2  I'm really serious, guys. This is very serious.
855.68 864.10 speaker3  I fail mine a 65 on a 50. I also rolled a 65 on a 80.
863.60 871.44 speaker2  Nice. Very good.
865.60 878.16 speaker3  So you are giving it your all, but I gave her a plus 20 because you had a predetermined
873.28 889.44 speaker2  I gave her a plus 20 because the thing that she knows is very stout. And I gave her a 50. What did she roll? For a human. Luke, what did she roll?
888.00 918.16 speaker3  77 on a 70. Wait, why did you want to, what were you going to do? Okay.
910.72 935.60 speaker2  Sopping wet, Chuck Bidwell is just walking confidently, carefully, and slowly toward the edge of the cliff with one eye kind of looking over. He's kind of glancing over Stevie, giving her a very dirty eyes. Where's the other eye looking? Now, both of them, both of them together, one of them and the other one. Two eyes.
933.84 942.48 speaker3  He's got two eyes on Stevie.
936.88 946.80 speaker2  And he's just walking away and walking toward the edge of the cliff while you guys, they've turned around and they look at you.
946.40 968.48 speaker3  Yeah. Now I feel like I've made a mistake. Should you run after him, Stevie?
