start	end	text
0	2060	you
30000	32060	you
60000	62060	you
90000	92000	you
92000	94000	you
94000	96000	you
96000	98000	you
117360	125000	Well, well, well who do we got here a couple of scamps that have wandered into my slime
125360	129240	Covered layer you came here just the right time
129840	135960	friendos for we are about to have a top-secret broadcast from something called a
136920	139000	patreon this episode comes
139680	146720	Especially from my producer with a note that says please give us money and listen to the other episodes
147080	148640	Okay. Bye
148640	149900	sincerely
149900	156260	Producer will huh? This is gonna come at you live from six nine four point two PT BP
156260	159260	And y'all this is a top-secret episode
159940	161940	made unsecret
161940	163940	but me
164220	168580	Content warning this episode is mighty raunchy and nasty
168580	174060	It's got lots of talk of nasty sex related stuff going on and it's mighty
174380	178500	Violent if you're ready for the ride then buckle up because
179140	185460	Yeah, it's gross. I've been told by my producer to plug the patreon
185740	191860	So plug it on in babies plug that money in there to help those pretending pod boys
191860	197500	Keep being able to make the high quality content TM for y'all's ears to devour
197860	203420	The patreon enables us to do more dope shit as well as make sure the boys get some
203780	209140	Reimbursement for all the hard work they do and you know your boy Wolfie gets a little cut
211620	218700	Lover in the ice part 3 will be posted in the exclusive patreon feed as soon as my producer has
219020	222940	Wi-Fi now, I don't know what the hell Wi-Fi is
222940	227340	But I've heard that it can be a bit important for people especially
228380	234660	Producers so anyway later this month you can hear Luke run the boys through a scenario of his own
235060	239560	Creation his first time running a game and it's a damn home brew
239560	244580	I wish someone would home brew me up some delicious nog to drink on
245140	247700	something spicy something creamy
248340	250060	something nasty
250060	252060	And speaking of something nasty
252060	258060	I just gotta warn y'all once more you better buckle up because this episode is real nasty and
258420	261140	Might be a bit fucked up for some of y'all
261140	267980	So, please continue at your own discretion and now that we got that content warning out of the way
267980	274380	It's time to warn you of some content. That's here to stay. It's kudzu with no backbone
280060	305540	Music
305540	307540	Did you say we're live mm-hmm
308500	314220	Hello everyone and welcome to the den of sin for those of you who are listening now and for those of you who are listening
314580	316460	Not now at a later time
316460	323480	You're part of the splashylvania fast pass holders or above on our patreon over at patreon.com slash pretending pod and thank you so much
323660	325840	Hang on Justin. Can you see the chat?
326420	328420	They're saying they can't hear any other saying
329460	330820	awesome
330820	335280	Nailed it. Oh, I had the desktop audio muted. We're on BRB
335280	338240	So go ahead and reintroduce us
342640	344640	Did you guys like that
345000	347000	Did you like only hearing me talk?
347400	352500	Like moved my hands and everything to give this I'm watching it now. I gotta pause this. That's terrible
353460	356560	Welcome everyone to the pretending to be people
357120	361960	Patreon this is an episode for our splashylvania fast pass holders and
362640	366660	Bonus content, we're playing Delta greens lover in the ice by the
367920	373200	Wonderful Caleb Stokes written for Delta green the role-playing game for those of you who are tuning in
373480	379040	Right now on the live stream. You're in the den of sin or higher and thank you so much for joining us
379440	386600	Here and now getting a little behind the scenes of how long it takes to start recording and for those of you who are listening
386640	392600	Later thank you so much for being a patron on our patreon page super fucking cool of you. Yeah
394200	402120	So we are here with a very specific purpose and we're gonna jump right into it because I am itching Oh
402960	408040	All over my body to play this game like I'm Ray Charles. So let's begin
410640	412640	Right now
412640	416200	It's the first week of January in the year of your choosing
417800	420980	2020 wait you choose 2020 I choose
422280	427480	2020 I'm gonna do 78 does that mean as federal agents were fully aware of the looming?
428120	429920	coronavirus threat as
429920	436400	Federal agents you would be but just know that the civilians on the ground have no idea what's coming
436400	440460	So you need to get your like financials in line now that way
441020	444140	You can do better than the people who don't have knowledge
445620	451020	an apocalyptic ice storm struck LaFontaine, Missouri on January 2nd an
