start	end	text
0	4400	Well, well, well, hello there once again.
4400	11200	Fancy catching you here at this place we call the Radio Waves.
11200	14080	Come on in and have yourself a seat.
14080	18240	Stay a while, listen to me, Wolf the Dog.
18240	27280	Broadcast from 694.2 PTBP, the greatest radio station ever by galactic mile.
27280	31440	That's like a country mile, but for space.
31440	36080	Speaking of great things, this week's Howlin' with Wolf is from Zach,
36080	42960	out in Ventura County, California, who tweeted about the show and tagged at Pretending Pod.
42960	46320	Hey, listener, what a fine idea, hmm?
46320	51040	Just a little tweet to tell your friends that you're the kind of freak
51040	55520	that don't shy away from the horrors of at Pretending Pod.
55520	61360	Sounds pretty cool to me, thanks Zach from Ventura County, California.
61360	62640	Zach writes,
62640	66240	Hey Wolf, love you and everyone on the show.
66240	71360	For anyone listening in SoCal looking for their own furry critter companion,
71360	74400	check out the Ventura County Animal Shelter.
74400	81200	They got dogs, cats, rabbits, and all manner of cute cuddly critters looking for homes.
81200	86960	No unnatural horrors, just members of the coalition you haven't met yet.
86960	91120	You never know when you'll need a friend to tell you to hide in the creek.
91120	93040	Thank you for all your hard work.
93040	95760	Can't wait to see what's next in season two.
96720	101360	Well, thanks for writing in, Zach, about these dang good animals.
101360	106560	I share a special bond with all creatures of all dimensions,
106560	111360	and a cool name, Zach, if it's even a real name.
111360	114880	I don't know a single human being named Zach.
114880	118880	Zach is a fake name invented by the Illuminati.
118880	123280	If you know anyone named Zach, report them to the agency.
123840	126000	Do not approach a Zach.
126000	129600	Do not lock eyes with any of them.
129600	131920	They do not exist in this space.
132560	136720	They are from elsewhere that does not exist.
137360	140400	If you want to write up something for your wolf to how,
140400	142880	tag at pretending pod on the internet.
142880	145120	All of our links are in the show notes.
145120	149200	And if you really like this show, like you like like this show,
149200	154400	and you want to show it by showering us with $6 and 66 in coins,
154400	157360	mostly dimes, at least one penny,
157360	161280	you'll be pleased to know that one of those links down there in the show notes
161280	166000	is to our Patreon at patreon.com slash pretending pod.
166000	169920	That money buys Papa Wolf the special grease.
169920	174480	This month, you'll get to hear the PTBP boys break down some mistakes
174480	178320	that were edited out of their recent run of control copy.
178320	181840	In a Patreon exclusive bonus episode that Zach,
182480	186560	not a real name, is calling how to be a bad GM.
186560	188400	You won't want to miss this one.
188400	192560	It's over an hour of laughing at that dumb ass Zach's mistakes
192560	196480	while he desperately tries to learn how to do better next time.
196480	200880	But if hyperbolic headlines aren't your thing, don't worry.
200880	202480	It's time for the news.
203040	208240	Last time, Dr. Rusty Hooch, the never missed scientist.
208240	212400	Dr. Olivia Miller, the sad single mom surgeon.
212400	216800	Doreen Maureen, the iPad scrolling Pinterest lady
216800	222400	and the refrigerated pocket having basic training dropout, the Chuckster.
222400	228320	They went to a corrugated metal hunting cabin in the middle of the Arkansas woods,
228320	235200	posing as Dr. Ann Falsom, the Bigfoot scientist and friend to B-U-S-H
235200	240080	in order to retrieve the corpse of an unnatural creature.
240080	243680	However, when Dr. Ann Falsom and her team
243680	246640	entered the headquarters of Bigfoot underground,
246720	250160	search and hunt, the air was sucked out of the room.
