0.00 17.16 speaker1  This is yet another introduction from your big boy Wolfie.
13.20 52.38 speaker0  Recorded live in front of a studio audience. And live in front of my producer, at least. Producer don't seem to talk too much these days, though. Speaking of my possibly deceased producer, who tweeted about the show and tagged that pretending pod, which is a top notch internet move in my opinion.
49.76 67.92 speaker1  for the great work you put into this pod. It has brought me an immense amount of joy and comfort. Zach, your world building and storytelling is top class.
63.32 92.08 speaker0  And to our dear PCs, your characters always managed PS, to everyone, winter is coming. Love each other and remember your vitamin D.
89.32 106.00 speaker1  The only pod I know about is the ones
102.96 126.44 speaker0  They will probably devour us all rather quickly
123.20 139.48 speaker1  or write a five star review and shoot us an email. or trapped by a sleeping pet right now,
138.56 145.76 speaker0  Get on it.
143.64 192.52 speaker1  because it's time to get scary. I don't want to be gruff or forward, THEME SONG
189.28 214.32 speaker2  presume is Astin Hawkes' laboratory. something perhaps moving in liquid towards the back. There are indistinct shapes in the gloom, but there really isn't enough light to work out what anything is.
212.44 264.60 speaker3  just in case you want to recheck your pockets with another luck roll for those flashlights? and has worked in the dark many, many times and has learned to rely on his keen sense of ears as well as smell. And so he is going to try to really dig past his inability to see, to make out anything else that's going on in this room. has a lighter in there. OK, well, give me a luck roll.
261.28 267.52 speaker2  You do have your trusty old Zippo in there.
264.60 285.88 speaker3  I see Frederick making some weird faces, like sniffing around and trying to hear, and I flip that on like this, this might help. I passed my listen roll, so I hear the lighter.
283.56 340.60 speaker2  identify where that sound is coming from. And sure enough, as you've got a bit of light in there and it's a lighter, so it's not lighting up the whole room, but as Dr. Rothstein mixes way in a bit, you can make out details and you can see a glint at the back of glass and metal, and you reckon the sound you heard of something moving in liquid came from have, it looks, well, maybe not quite like a fish tank, but certainly, you know, there's more metal on it than a fish tank. But there's glass windows and it definitely looks like some kind of large tank that's holding of equipment on them, including more of these cylinders and forceps and gloves and aprons and stuff like that.
340.28 343.68 speaker3  Good.
340.60 352.80 speaker2  Yeah, we should stock up on all of those, all
347.76 359.96 speaker3  man. Do we see any light fixtures?
356.16 409.88 speaker2  There is also something that looks like an electrical wiring loom with all sorts of equipment. And yeah, you're not quite sure initially what it is, or maybe with a bit of time, Dr. Rothstein could work it out. But what looks like some fairly complicated electronics just covering an entire part of the wall on this loom. And there is a bigger knife switch that's there and a few controls. the floor. The floor is flag stoned, but there is this big ring of metal of some kind, maybe copper, that seems to have all these strange somehow to this electrical loom.
409.48 417.76 speaker3  Yes. Or does it kind of run around the room indiscriminately?
415.60 423.96 speaker2  the room. All the other equipment, everything else is outside that circle. Cool, yeah.
423.52 457.56 speaker3  repair? 60%. Dope. I was hoping it was higher than mine because I actually pulled 50 in it because I thought Frederick Mellon might have cut people's power when he went to rob them, you know, gotten adept at handling that kind of stuff. But then I was like, Oh, no, what if I Did you? No. ceiling directly above it? No, it's just on the floor. Good question.
455.00 481.00 speaker2  Rothstein in particular can work out fairly quickly, I guess, that there is no power source in this room. But obviously, you saw those cables going off to the other outbuildings. And, you know, it probably makes sense to you that those must be external generators.
479.76 528.36 speaker3  Do you think this here is that? I mean, if anything was a portal, that would be it. Don't you believe? I mean, when you think of portal, you think of that, don't you? I don't have a great sci-fi horror frame of reference at this point in history. This is real life. So I didn't know. looks like a portal. I think it is. Frederick Mellon is like standing in the middle middle of the circle back on the other side.
524.60 540.16 speaker4  the outside. Should we try to turn the power on? No, absolutely not.
538.16 551.00 speaker5  I thought we were going to send them back. No, I think we just light them on fire.
547.84 558.40 speaker3  wants to walk back further toward the tank and inspect it a little closer.
555.88 586.44 speaker2  the penumbra of Rothstein's Lighters, so it's fairly dark. But yeah, you get back there and yeah, there is some kind of dark liquid, probably water, maybe not, inside this tank. And in the little bit of light you have, you can
583.16 594.36 speaker3  before, or is it a wholly new thing to me?
592.04 600.68 speaker2  in the gloom.
597.04 608.16 speaker4  I pass a 7 on a 25. 25.
604.52 640.40 speaker2  that wriggle past do look like the specimens that you saw earlier, albeit larger versions. But there is something in that tank as well. You can't really make out the details a bit, but from the size and shape of it, it looks... No, it looks very, very different, paler and larger. And there are tendrils coming off it.
637.20 658.64 speaker4  like maybe they keep them here swimming around or something. There's another one. There's another thing in there. I don't know if it's like insects in our world. It's maybe it's queen or something.
