start	end	text
0	4640	This is yet another introduction from your big boy Wolfie.
4640	7320	Hello to anyone out there that is listening.
7320	12320	I'm Glistening, live here from 694.2 PTBP.
13200	17160	Recorded live in front of a studio audience.
17160	22160	And live in front of my producer, at least.
22480	26040	Producer don't seem to talk too much these days, though.
26040	29320	Speaking of my possibly deceased producer,
29320	32200	we got a new Howlin' with Wolf this week.
32200	34440	Who's delivering these to me?
34440	38200	This week's Howlin' with Wolf is from Big Danny Dan Dan,
38200	41800	who tweeted about the show and tagged that pretending pod,
41800	45600	which is a top notch internet move in my opinion.
45600	46720	They right.
46720	49760	Hey friends, just wanted to say thank you so much
49760	52380	for the great work you put into this pod.
52380	55440	It has brought me an immense amount of joy and comfort.
55440	59480	Zach, your world building and storytelling is top class.
59480	63320	Justin, your music is absolutely on point.
63320	67920	And to our dear PCs, your characters always managed
67920	72920	to accentuate the absurdity that is human nature just right.
72920	76120	PS, to everyone, winter is coming.
76120	78960	Love each other and remember your vitamin D.
78960	83040	Also to whom it may concern, your tea is getting cold.
83040	86000	Love, Big Danny Dan Dan.
86000	89320	Well hello, Big Danny Dan Dan.
89320	92080	The only pod I know about is the ones
92080	94720	from which my spawn will hatch out of.
94720	98180	Millions of tiny baby wolves, many limbed
98180	102960	and frothing at the mouth, hungry for father's special maulk.
102960	106000	They will probably devour us all rather quickly
106000	108120	when the birthing concludes.
108120	111160	But as I posted on my dating app profile,
111160	115040	I'm here for a good time, not a long time.
115040	118940	But also, what the fuck is time anyway?
118940	123200	If you want to howl at your wolf, tag us on the internet
123200	126440	or write a five star review and shoot us an email.
126440	128840	All the links are in the show notes.
128840	132040	It takes like two minutes tops, fuck.
132040	133640	And if you're sitting on the toilet
133640	135880	or trapped by a sleeping pet right now,
135880	138560	you have absolutely no excuses.
138560	139480	Get on it.
139480	143640	Wolf can and will wait, but only like barely
143640	145760	because it's time to get scary.
145760	148200	I don't want to be gruff or forward,
148200	151320	but I would do weird stuff to scot doorward.
151320	154040	Those who would love to are not alone.
154040	157400	It's time for kudzu with no backbone.
157960	159440	THEME SONG
159440	189280	So, you're there at the doorway of what you
189280	192520	presume is Astin Hawkes' laboratory.
192920	197240	It is dark inside, there is that sound of
197240	201120	something perhaps moving in liquid towards the
201120	204960	back. There are indistinct shapes in the gloom,
204960	207600	but there really isn't enough light to work out
207600	208800	what anything is.
209840	212080	Do you guys want me to run away and tear again,
212440	214320	just in case you want to recheck your pockets
214320	216160	with another luck roll for those flashlights?
219280	225960	No, but Frederick Mellon is a seasoned burglar
226360	230160	and has worked in the dark many, many times and
230160	236720	has learned to rely on his keen sense of ears as
236720	238160	well as smell.
239040	244680	And so he is going to try to really dig past his
244680	249440	inability to see, to make out anything else
249440	250600	that's going on in this room.
250880	252400	Yeah, give us a daredevil roll.
252400	254520	Carl's going to check his pockets to see if he
254520	255560	has a lighter in there.
255640	257160	OK, well, give me a luck roll.
258680	260840	Seven on a 20.
261280	264600	You do have your trusty old Zippo in there.
264600	267520	I see Frederick making some weird faces, like
267960	271360	sniffing around and trying to hear, and I flip
271360	273600	that on like this, this might help.
273600	276600	I passed my listen roll, so I hear the lighter.
281160	283560	But also, yeah, that listen roll does help you
283560	285880	identify where that sound is coming from.
286240	288840	And sure enough, as you've got a bit of light in
288840	291320	there and it's a lighter, so it's not lighting up
291320	294520	the whole room, but as Dr.
294520	297320	Rothstein mixes way in a bit, you can make out
297320	299920	details and you can see a glint at the back of
299920	304880	glass and metal, and you reckon the sound you
304880	307160	heard of something moving in liquid came from
307160	310320	back there. And in the little bit of light you
310320	314040	have, it looks, well, maybe not quite like a fish
314040	317360	tank, but certainly, you know, there's more metal
317360	318800	on it than a fish tank.
319560	321920	But there's glass windows and it definitely looks
321920	323920	like some kind of large tank that's holding
323920	326280	liquid. But you can also make out that there are
326280	329480	a number of workbenches that have got all sorts
329480	331200	of equipment on them, including more of these
331200	336760	cylinders and forceps and gloves and aprons and
336760	337640	stuff like that.
337680	339960	Frederick Mellon will grab a pair of forceps.
340280	340600	Good.
340600	343680	Yeah, we should stock up on all of those, all
343680	347760	those things. A forcep and a canister for every
347760	352800	man. Do we see any light fixtures?
353360	355760	Yeah, there are a number of light fixtures.
356160	359960	There is also something that looks like an
359960	362160	electrical wiring loom with all sorts of
362160	365680	equipment. And yeah, you're not quite sure
365680	367720	initially what it is, or maybe with a bit of
367720	368320	time, Dr.
368320	369800	Rothstein could work it out.
370440	372960	But what looks like some fairly complicated
372960	376040	electronics just covering an entire part of the
376040	377480	wall on this loom.
378280	381480	And there is a bigger knife switch that's there
381480	382840	and a few controls.
383400	386480	The other thing that attracts your attention is
386480	391000	the floor. The floor is flag stoned, but there is
391520	395840	this big ring of metal of some kind, maybe
395840	398200	copper, that seems to have all these strange
398200	402960	carvings and designs in it that is connected up
402960	406440	somehow to this electrical loom.
406960	409280	Are the workbenches all outside of that?
409480	409880	Yes.
410000	411480	Or does it kind of run around the room
411480	412080	indiscriminately?
412400	415600	No, it's a circle that's within the center of
415600	417760	the room. All the other equipment, everything
417760	420240	else is outside that circle.
420320	420840	Cool, yeah.
420920	423360	Hey, Luke, what's Karl Rothstein's electrical
423520	423960	repair?
424000	425000	60%.
425080	427240	Dope. I was hoping it was higher than mine
427240	429200	because I actually pulled 50 in it because I
429200	432360	thought Frederick Mellon might have cut
432360	435920	people's power when he went to rob them, you
435920	438800	know, gotten adept at handling that kind of
438800	440720	stuff. But then I was like, Oh, no, what if I
440720	443040	put my electrical repair higher than the
443160	443680	physicist?
445600	446080	Did you?
447360	447680	No.
447720	449760	This copper circle, is there anything on the
449760	450840	ceiling directly above it?
450960	452200	No, it's just on the floor.
452440	453040	Good question.
453520	455000	But Dr.
455000	457560	Rothstein in particular can work out fairly
457560	462600	quickly, I guess, that there is no power source
462600	465960	in this room. But obviously, you saw those
465960	468600	cables going off to the other outbuildings.
469080	472800	And, you know, it probably makes sense to you
472800	475200	that those must be external generators.
476040	479360	Rothstein, we heard about some kind of portal.
479760	481000	Do you think this here is that?
481200	484200	I mean, if anything was a portal, that would be
484200	486800	it. Don't you believe?
488120	489280	It is very portally.
489440	492160	I mean, when you think of portal, you think of
492160	492920	that, don't you?
493160	497200	I don't have a great sci-fi horror frame of
497200	499560	reference at this point in history.
501880	505400	You know, this might not be science fiction.
505480	506760	This is real life.
506800	508480	So I didn't know.
