start	end	text
0	2560	What's good, my nasty children?
2560	7000	It's your busted ass ass bustin' Buster Wolf the dog.
7000	9520	And I'm here to bust up them eardrums
9520	11880	with my drumstick tongue.
11880	16040	Am I Russian or am I dragon?
16040	17320	Who can say?
17320	20420	Prepare to get whiplashed like JK Simmons
20420	22840	because we got a new Howlin' with Wolf.
22840	27300	Today's Howlin' with Wolf comes from Maury from Seattle
27300	28640	who tweeted about the show
28680	30960	and tagged that pretendin' pod.
30960	32200	They right.
32200	36420	First things first, Wolf, your dulcet tones haunt my dreams
36420	39680	and your musical taste is always on point.
39680	41080	Much respect.
41080	43800	Mad thanks to the PTBP crew.
43800	47120	Y'all introduce this lifetime D&D player
47120	50200	to the fun Delta Green has to offer.
50200	54000	And last things last, shout out to my friends Darian,
54000	56880	Ryan, Robbie, and Mike.
56880	60760	You volunteered so I could learn how to be a good handler
60760	65760	and I promise to murder you all in fun and interesting ways.
66760	69260	Ha, ha, ha, ha, ha.
69260	71360	Thank you, Maury from Seattle.
71360	75040	I once went to Seattle and I saw a whole bunch of crabs
75040	77940	feasting on a mound of rotten hot dogs.
77940	81740	Now that is a city Wolf can get inside of.
81740	85920	If you wanna howl at your Wolf, tag us on the internet.
85960	88080	Or write a five star review
88080	90400	and shoot us an email or somethin'.
90400	92360	We love hearin' from y'all.
92360	96760	All the links are in the show notes.
96760	99480	And while you're perusin' that vast and mysterious
99480	104480	worldwide spider butt stuff, go ahead and do Wolf a favor.
104520	107800	Follow at Scott Dorward on Twitter
107800	110120	and check out his various projects,
110120	113880	be they podcast or publication based.
113920	117360	And maybe fill up on hugs when you feel strife.
117360	121240	It's Grady Philip Drug with Real Life.
121240	126240	Life, surreal, in retrospect a dream.
127880	132880	Easy times, feel less than serene.
133880	138880	In the moment it's hard to count your blessings
138880	143880	so we long for days gone past us.
144880	149880	Grief and strife, bloody, that's Real Life.
158360	160440	All right, let's get gory and vory, baby.
160440	163080	So the rest of you upstairs,
163080	166840	having heard the orifice of the Earth,
166840	170480	having heard the orifice demanding Rothstein
170480	174160	and having lost Rothstein and his panic through the house,
174160	175640	what are you actually doing?
175640	176920	We gotta go.
176920	179720	And Frederick Mellon runs downstairs, takes off running.
179720	182360	This is the only room that we saw from the outside
182360	184120	with a light on in it.
184120	188000	There were other lights dotted throughout the house, yeah.
188000	190100	I guess I mean upstairs.
190100	192280	No, this was the only one upstairs.
192280	195440	Freddie, wait, what if the brain's in here too?
195440	198960	Do we wanna kill it before we get like the kids?
198960	200520	I don't, I really don't know.
200520	202560	It just might be good information to have
202560	204960	where this thing's like neurological center is.
204960	208040	Yeah, I mean it can hear us clearly talking about it.
208040	209920	Oh yeah, I mean.
209920	211180	Oh yeah, sure.
211180	212700	Well, it seems to be in a lot of pain.
212700	214280	All it wants is Rothstein right now.
