start	end	text
0	7600	Greetings, listeners, this is an introduction of myself, Wolf the dog, and this introduction
7600	14940	is introducing itself as hard as it can, live from 694.2 PTBP.
14940	20340	Speaking of meet and greets, we got a new Howlin' with Wolf this week, ain't that special.
20340	27780	It goes, hey there, Crystal, yes, you, coat rack, just keep working and act normal, they'll
27780	34560	know we're talking, they're always watching, where do you think the glowing flamingo really
34560	41420	came from, the kitchen light flashes and cold but I've started to crack it, we'll talk soon,
41420	47820	see you in the car, from Millhouse, hmm, this seems like a message that may not have been
47820	54640	meant for y'alls truly, but y'all, I think the postal service is a lie, so I always open
54640	61600	up anyone's mail I see, it's like I have access to infinite gifts year round, it's
61600	67500	always someone's birthday somewhere and I'm usually in that someone's dumpster when the
67500	75520	mailman goes walking by, happy birthday to me, baby, glowing flamingo do sound pretty
75520	80520	choice though, remember, if you wanna write up something for your wolf to howl, tag at
80520	86200	PretendingPod on Instagram or Twitter, tag PretendingToBePeople on Facebook or write
86200	93280	a 5 star review on iTunes and email us at PretendingPod at Gmail.com, seriously though,
93280	99920	fuck Mark Zuckerberg that comfortable coward, of course, you can also support the show financially
99920	107080	over on Patreon.com slash PretendingPod, subscribe for just 5 bucks a month and instantly access
107080	110360	six exclusive bonus episodes.
110360	116680	The most recent one is the recently unearthed recording of session zero for this whole damn
116680	122680	campaign in which the town of contention is created and the cast discusses their plans
122680	128720	for the podcast, well, everybody makes plans, but only what actually happens becomes the
128720	130320	news.
130320	138000	As of right before sundown, Liz Lonklin had spoken with a strange rambling man in a clearing
138000	144860	surrounded by sigils in a circle of a white powder before she ran into Ash Hornbeam, arm
144860	151000	still stuck in the tree, coming up with no solution, Ash freaked out and pulled his arm
151000	156440	halfway out, his extreme pain tolerance the only thing keeping him conscious.
156440	161600	Liz bailed to go look for help and she found Jeremy Pettymore and Ken Krenkelhoff with
161600	168120	a naked, bloody, muddy man tied to a tree, Jeremy was feeding him sausage toe beans in
168120	174920	an attempt to calm his new friend he called Rusty, Ken was not on board with this situation.
174920	181040	Judy Krenkelhoff ran off into the woods after losing her shit and calling Shadow a tree,
181040	187240	the two of them almost fell into a pit trap but instead found a rather gregarious raccoon
187240	193680	that charade style told them to avoid the hand sanitizer and to all get the absolute
193680	199760	fuck out of the woods, the three of them walked back to the trailhead where they found Krista
199760	205200	Krenkelhoff in the ranger's shack, she gave Judy more hand sanitizer before the three
205200	211200	came to the conclusion that the best next course of action is for Krista and Shadow
211200	216920	to go back into the woods to find Liz while Judy stays at the ranger's shack with the
216920	224200	raccoon and then Judy Krenkelhoff opened the door to the bathroom and she learned exactly
224200	231200	why it is blue false indigo with moon dance, she runs, the sun is sleeping soon, she knows
254200	270200	she knows she knows that the time has come to dance beneath the dance beneath the shadow
270200	285200	of the moon.
285200	290440	You guys are walking through the woods looking for Ash Hornbeam who Liz has told you has
290440	298600	his arm stuck in a tree and the sun goes down behind the trees of the woods and you are
298600	306200	now walking through total darkness, you are not on the path of the trail any longer because
306200	312820	that is not where Ash Hornbeam resides in the mind of Liz Lonklin and as you're walking
312820	319920	through you all begin to realize that you have no fucking clue where you are or where
319920	323960	you're going.
323960	330440	Rusty no, Rusty, you eat smokies but don't bite the fingers, leave my fingers alone.
330440	334480	He's looking at your fingers and like doing that thing where he wraps his lips around
334480	341800	your fingertips like a horse might looking for a carrot, see I feed him palm down from
341800	348880	now on, palm up like you do a horse and then he immediately like looks over at Ken Krenkelhoff
348880	358360	and like yeah, he's being a turd, huh?
358360	362600	I pick up my pace ahead of that.
362600	365200	Liz you said he was this way, where is he?
365200	369900	I don't know, I swear to god he was just over here like just over around this corner.
369900	375960	And as you guys pass that corner you see that amongst these trees you can make it out in
375960	382240	the moonlight, it happens to be not a full moon but like so close to a full moon that
382240	386040	you might be like that's a full moon but then you look it up and you're like it wasn't a
386040	387040	full moon.
387040	388040	Yeah it's just waning.
388040	392280	Does this ever happen to you where you think it's a full moon and you say oh that's a full
392280	395840	moon and someone corrects you because they know when the full moon is?
395840	399520	No but I correct people because you can just fucking look and see when it's a circle or
399520	400520	not.
400520	404720	Sometimes it's really close to a circle.
404720	412120	So this moonlight is shining down and ahead of you you see glinting from the moonlight
412120	418360	is a frame like of a painting and it's hanging from a tree.
418360	422400	Let's just turn around y'all, fuck that.
422400	425320	What if we just went the other way immediately?
425320	430960	And with that I'm gonna need Thomas and Lindsay to leave the room.
434720	443920	Hey Joe.
443920	448360	Hey Zach.
448360	451480	We're gonna cut to a quick flashback here.
451480	452560	Oh boy.
452560	460280	It's a couple years ago and it also happens to be the evening that Kane Krinklehoff, Ash
460280	464660	Hornbeam, and Jeremy Pettymore are out in the woods.
464660	466340	Looking for Madge.
466340	467860	Simpler happier times.
467860	468860	Of course.
468860	472460	You actually felt one when you were with him.
472460	476220	They were, they're my buds.
476220	482340	The look in your eyes when you say that is so like nostalgia killing.
482340	489580	Kane Krinklehoff pops away to go pee, finds a spot in the woods, behind a tree, something
489580	491060	else that rhymes.
492020	501340	As you're looking up from your stream of urine, you see the frame of a painting hanging in
501340	503980	the woods.
503980	506620	Can I make out what is within the frame?
506620	507820	How far away is it from me?
507820	514660	It's about 25 yards away from you and you can see that it looks as if there is nothing
514660	515900	within the frame.
515900	519180	You see the trees on the other side.
519220	525740	I'm going to approach it a little bit, that's weird, who put a frame out here in the woods?
525740	528380	Go ahead and roll alertness for me.
532860	536700	I pass a 27 on a 50.
536700	543300	Kane Krinklehoff notices that somewhere around the edge of the frame, something doesn't line
543300	544300	up.
544420	549020	It looks almost as if what's behind this frame that's hanging isn't the same as what you
549020	550340	can see through it.
550340	557780	And so you move to the side and you walk, you strafe, is that how you say that word?
557780	558780	You straffy.
558780	566820	When I was a kid, I always said straffy because I didn't, I didn't, I was a fucking idiot.
566820	578060	You slam and as you walk to the side, you see that beyond this frame is a cabin sitting
578060	580020	in the woods.
580020	583720	Ken wants to push his hand through the frame, can he?
583720	586580	Go ahead and roll a survival check for me.
586580	590060	Oh fuck, that's a fatal mistake.
590060	591060	What's your survival?
591060	592060	A 50.
592060	595620	I pass a 24 on a 50.
595620	604220	As you approach the frame, you make a misstep and your foot is about to land on a wire.
604220	608720	There's a wire that is going across the ground that's right in front of the frame and you
608720	614100	almost step right on it and you see it's connected to like a stake in the ground and then it
614100	616820	goes off to a tree and ties off.
616820	618060	Oh shit.
618060	622340	Okay, I want to abort my mission of the hand through the painting and I want to step back
622340	627540	and grab a branch or a rock, anything that's nearby and try and toss it in from where I'm
627540	628540	standing.
628540	635940	You toss it onto the wire and a giant wooden spear comes flying through the canvas of this
635940	642420	painting and strikes directly into a tree that is five feet away from you and you think
642420	646900	if you would have been standing there when you stepped on this wire, you would have gotten
646900	652140	a face full of splinters and probably a back of the head full of splinters as well.
652140	656080	And it came out of the frame, like I couldn't tell where it came from.
656080	658940	You couldn't, but it busted through the frame.
658940	662340	Go ahead and roll a retroactive sanity.
662340	663340	Yeah.
663340	671260	I fail a 78 on a 34.
671260	674960	What's going through your mind as you race back to your campsite?
674960	675960	It can't be real.
675960	676960	It can't be real.
676960	682480	I've just not gotten enough sleep tonight and it doesn't exist.
700480	705100	Jeremy Pettymore, Liz Lonklin, and Ken Krenkelhoff.
705100	713100	As well as this large, bloody, muddy man who is at the end of Jeremy Pettymore's rope.
713100	714100	Rusty.
714100	715100	Rusty.
715100	716100	I'm so sorry.
716100	717100	Rusty.
717100	723540	Are all standing in this clearing looking at this frame that is glinting in the moonlight.
723540	724540	Jeremy!
724540	725540	Elizabeth stop!
725540	726540	Yeah, don't stop.
726540	727540	Okay.
727540	728540	Don't.
728540	729540	Go.
729540	730540	Near it.
730540	731540	You recognize that frame?
731980	735020	I didn't, I didn't, I didn't think it was real.
735020	741300	I didn't think it was, I just thought I was, just hadn't had enough sleep that night.
741300	745520	It's, look, and I point at the thing on the ground.
745520	752300	Looking down where Ken Krenkelhoff is pointing, you see that right before this frame that's
752300	758840	hanging there is a trip wire on the ground tied to a stake in the ground and the other
758840	761900	end of the wire goes to a tree that is nearby.
761900	767360	So they wanted to distract us with the frame and trip us up with the wire.
767360	768360	Stand back, stand back.
768360	770920	And I push them where I know it is a safe place.
770920	772320	Rusty, come here boy, come on.
772320	775680	And I go ahead and throw a log and show them.
775680	784160	When Ken Krenkelhoff throws a small log onto this trip wire, a long wooden spear flies
784160	791200	through the canvas of the frame and directly into a tree 10 feet away from you guys.
791200	793080	Whoa, that was cool.
793080	795600	Holy shit.
795600	796600	That was awesome, Ken.
796600	799360	How'd you know it would do that?
799360	808200	I, a couple of years ago, I was, I had to pee and I came over here to pee and I saw,
808200	810520	I saw it then.
810520	811520	I didn't think it was real.
811760	814280	I didn't, I didn't, I just pushed it out of my memory.
814280	816680	I didn't, but it's real.
816680	817680	It's there.
817680	818680	You guys see it, right?
818680	824560	The painting, the frame there where the giant spear came through the canvas.
824560	831240	You now see there's a cabin in the woods on the other side of the frame.
831240	832240	Oh my God, Zach.
832240	833240	That's already a movie.
833240	835240	I think it's a lot of movies.
835240	836240	Did you not know?
836240	838560	Zach, that's a name of a literal movie.
838560	839560	Wait, what?
839600	840600	There's a movie called.
840600	841600	Fucking beautiful idiot.
841600	842600	Cabin in the woods.
842600	843600	That's a very popular movie.
843600	845600	Are there any eldritch gods in it?
845600	846600	I think so, yeah.
846600	847600	Actually, kind of.
847600	848600	Oh, fuck.
848600	851400	I think that's like the whole deal.
851400	852800	If you want to start over, we can.
852800	853800	Let's just go back.
853800	854800	This is so embarrassing for you.
854800	857120	Do you guys want to make middle schoolers this time?
857120	858120	Sure.
858120	859120	Yes.
859120	860120	You'd like that.
860120	861120	Gah, again?
861120	865920	Oh, it's super cool when you do that.
865920	868040	It makes me feel good.
869040	872040	No, it makes me feel good.
872040	873040	Oh.
873040	874040	Got him.
874040	875040	FBI.
875040	876040	Come on, inside.
876040	877040	Got him.
877040	878040	Ew.
878040	880040	Busting makes me feel good.
880040	882040	Busting makes me feel good.
882040	883040	Oh, that was good.
883040	887040	Busting makes me feel good.
887040	888040	Sorry.
888040	889040	All together now.
889040	892040	Busting makes me feel good.
892040	893040	It's all about ghosts now.
893040	895040	It's middle schoolers and ghosts.
896040	901200	Hey, Jeremy Pettymore, how do you feel about the fact that Ken saw something out in the
901200	904560	woods a couple years ago and didn't say anything to you?
904560	908040	Jeremy is probably just a little too excited by all this.
908040	914040	And if he really processed it, he'd put one and two together and he'd be like, what the
914040	915040	fuck, man?
915040	919040	But right now, he's very much in the moment.
919040	923040	You're the treasure hunter who has found a chest at the bottom of a hole.
923040	926040	Yeah, of course this woods is full of freaky frames.
926040	927040	Freaky frames?
927040	928040	Cabins in the woods?
928040	932040	I grab Jeremy, I grab him and kind of move him to show him that there's no cabin over
932040	933040	there.
933040	934040	It's just when you look through here.
934040	935040	Nope.
935040	936040	Oh, that's not the case?
936040	940040	When you look through on the other side this time, there is a cabin.
940040	942040	Oh, that freaks Ken out.
942040	943040	Go ahead and roll sanity for me.
943040	945040	There's obviously a cabin there, dude.
945040	946040	It wasn't there.
946040	948040	It wasn't there.
948040	950040	I fail hard.
950040	952040	A 93 on a 34.
952040	957040	Go ahead and roll a D6 for me.
957040	959040	Oh, boy.
959040	960040	Oh, boy.
960040	961040	A five.
961040	962040	Yeah.
962040	965040	That's what I wanted to happen.
965040	967040	So, you lose five sanity.
967040	968040	Go down to 29.
968040	969040	What the fuck?
969040	971040	Oh, we hit a lot, relatively.
971040	975040	And we're playing a slightly different sanity mechanic for this game.
975040	981040	It's come through a couple of times, maybe just once earlier, but you have not seen it.
981040	983040	We're going to do bouts of insanity.
983040	987040	Do you remember earlier in one of our other campaigns, maybe both of them, what I would
987040	991040	have you do is rank fight, flight, and feint.
991040	992040	Oh, yeah.
992040	995040	From most likely to least likely for your character.
995040	997040	So, which would be most likely?
997040	998040	Flight.
998040	1000040	And next would be?
1000040	1001040	Fight.
1001040	1002040	And the third would be?
1002040	1003040	Feint.
1003040	1004040	All right.
