start	end	text
0	3740	Beep bop, beep boop, beep bop boop.
3740	7100	It's Wolf the Robot here to give y'all the scoop.
7100	12100	PTBP 694.2, y'all know the drill
12580	15780	and y'all definitely know what time it is.
15780	19420	But wait, do y'all actually know what time it is?
19420	23300	Cause I have never once looked at a clock.
23300	25820	I hope we broadcast at a decent time
25820	29180	where people can tune in in mass droves.
29200	33400	Today's Howlin' with Wolf comes from at SexyBaconStrip,
33400	37140	who tweeted about the show and tagged at PretendingPod,
37140	40620	a delicious, smoky, and salty thing to do
40620	42700	if I do say so myself.
42700	43620	They right.
43620	45640	Howdy, Wolf, just a heads up.
45640	47220	Ever since all that weird stuff
47220	48780	started here in contention,
48780	52260	the dumpster behind Al's Tires and Tiger Sanctuary
52260	56600	has turned into some Grade A quality eats.
56600	59960	Much like this podcast, it's got all the goo and slime
59960	62200	in all the right places.
62200	64120	Really though, this podcast has become
64120	66460	one of the main things I look forward to.
66460	69680	It's so great I even got my own slip case for Delta Green
69680	72380	and I can't wait to put my players through hell.
72380	75360	Thank y'all and fuck Jeff Bezos.
75360	77960	Thank you for writing SexyBaconStrip.
77960	79800	I ain't never met a bacon strip
79800	82720	that I didn't find at least somewhat erotic.
82720	85600	I appreciate you saying those positive things,
85600	87860	but the way that none of those positive things
87860	89840	were directed at y'alls truly
89840	92880	specifically has me feeling some kind of way.
92880	95800	Time to hit up Al's Tires and Tiger Sanctuary
95800	97720	for some delicious rubber
97720	100920	and possibly endangered mystery meat.
100920	104680	Remember to tag us in some nice things on the social things
104680	107800	if you want us to probably read a thing that you said.
107800	110100	Spread the love, spread the goo,
110100	113020	and remember to spread the word of wolf too.
113020	115580	Now prepare a warm spot on the floor
115580	119460	to vore even more of this hardcore lore with Gorgolore
119460	121700	and I'll roar and roar for an encore
121700	124140	from the troubadours that I adore.
124140	126140	It's kudzu with no backbone.
156140	158860	In a high school classroom,
158860	162140	the analog clock on the wall said 3.30
162140	165140	and the chalkboard said detention.
165140	167820	Sat at the only occupied desk in the room
167820	170020	was a boy of 13 or 14.
170020	174100	Jeremy Pettymore wore a denim cutoff jacket,
174100	177660	a raggedy thin Western shirt, wrangler jeans,
177660	181700	some punky boots, and a perpetual scowl.
181700	182940	There was a knock on the door
182940	186700	and two more boys of a similar age entered the room.
186700	189100	The first was Ken Krenkelhoff,
189100	192680	wearing a letterman jacket bought for him by his dad.
192680	195180	Ken was tall, fit, had great hair,
195180	198280	and walked with his head held high.
198280	200120	The teacher greeted Ken warmly,
200120	203660	then happily acknowledged the second boy, Ash Hornbeam,
203660	206520	with his black, messy hair, white t-shirt,
206520	209260	cheetah print vest, acid-washed jeans,
209260	211280	and scuffed tennis shoes.
211280	213240	The teacher administering detention
213240	216760	was confident the new arrivals didn't belong,
216760	217920	but Ken said they wanted
217920	219960	to keep their friend Jeremy company.
219960	221320	The teacher was reluctant, but said,
221320	224180	"'These two boys are allowed to do whatever they want.'"
224180	227240	Jeremy said his schoolwork necessitated his friends,
227240	230240	so if he was supposed to get anything done,
230240	231680	he had to go with them.
231680	234600	The teacher was relieved to have an excuse to end detention,
234600	237160	and Jeremy flipped him off on the way out.
237160	238880	The young Pettymore asked the other two
238920	241320	if they were ready for the woods that night,
241320	243440	and Ash opened his jacket
243440	246400	and revealed a bunch of water dynamite.
246400	248920	Ken seemed a bit reluctant, but agreed to go,
248920	252200	since this year was their last hurrah.
252200	254320	Ken would have to meet them in the woods, though,
254320	257940	since his mom would still wanna drive him there herself.
257940	259340	As they walked through the hall,
259340	262080	an upperclassman asked them what they were up to that night.
262080	263740	Jeremy said they were going to the woods,
263740	264580	that's their thing.
264580	266080	Once a year, they go into the woods
266080	270640	to look for some folktale legend called Ol' Madge.
270640	272520	They left Silas Cole K through 12,
272520	275200	slapping the banner sporting their mascot,
275200	277060	a minor, on the way out.
279900	282560	That evening, Ash drove Jeremy to the woods
282560	284020	in his older brother's car.
284020	288720	A 1991 Firebird painted a weird, ugly gold.
288720	290560	They turned onto a dirt road,
290560	293160	and a squirrel ran into the path of the car.
293160	296320	Ash was able to quickly swerve and miss it.
296320	298140	They pulled into the gravel parking lot
298140	300000	for the contention woods,
300000	302300	and there were two cars in the lot already.
302300	304680	One had a boot on the back left wheel,
304680	307840	and the other had a notice taped on the driver's side window
307840	310840	that threatened to boot if it wasn't moved.
310840	313720	There was also a Ford Bronco with a lift kit on it
313720	316840	over next to the small, usually unoccupied,
316840	320480	park ranger shack at the entrance to the woods.
320480	322780	Ash left a note under his windshield wiper
323260	326860	that said, please don't boot my car, signed Ash Hornbeam.
326860	329260	They checked if the two cars were unlocked, both were.
329260	331380	In the first car, there was almost nothing,
331380	333820	as if it had already been cleaned out.
333820	336580	In the second car, there was a bunch of camping equipment
336580	338060	and a title for the vehicle,
338060	341420	which listed a Stuart Feldman as its owner,
341420	343580	registered in the city.
343580	345820	Jeremy found some liquor and a pistol.
345820	347660	Ash grabbed some of the camping equipment
347660	351540	and headed over to the shack where he saw an elderly man
351540	354580	wearing a state issued uniform sitting on a stool,
354580	356860	just waking up as Ash approached.
356860	360060	The boys realized this wasn't the normal forest ranger
360060	363060	of contention, he introduced himself as Woodrow
363060	364980	or Buzz for short.
364980	368060	In addition to the normal ranger paraphernalia,
368060	371520	there was a big thing, a hand sanitizer and a board
371520	373460	behind Buzz covered in pictures
373460	375900	and pieces of paper thumbtack to it.
375900	378720	Buzz took out a Polaroid camera, took their pictures,
378760	381720	took down their information, citing a recent string
381720	384440	of disappearances in the woods as his reason
384440	388320	and placed the pictures and information up onto the board.
388320	390920	Ash asked if they could borrow the first aid kit
390920	392720	and Buzz gave it to them.
392720	395920	Ash shot an M80 into the distance with his slingshot
395920	397840	and Buzz about shat his pants.
397840	400600	So he went to the bathroom and Jeremy seized the opportunity
400600	403520	to grab a fire extinguisher, two machetes,
403520	406160	three flashlights and hand sanitizer
406160	408960	and they shoved it all into their bags.
408960	410920	They looked over the missing persons board,
410920	412840	there were 18 missing people,
412840	415280	several of whom the boys recognized.
415280	417280	They saw Stuart Feldman on the board,
417280	420560	he was an older bald British man in incredible shape
420560	422440	with a thick jawline.
422440	426020	He had claimed to be in the woods on business.
426020	428680	Jeremy also saw the keys to both the Bronco
428680	431260	and the shack itself and snagged them.
431260	434200	Buzz returned and the boys asked if they could take a picture
434200	436080	of the missing persons board so they could have
436960	439560	a reference if they ran into any of the people in the woods.
439560	441880	Buzz agreed and gave them a Polaroid picture
441880	444480	of the board of Polaroid pictures, woof.
444480	447280	The two boys gathered their things and headed off
447280	450520	to their usual camping spot on foot.
450520	452920	As they hiked, Jeremy noticed tracks.
452920	455640	It looked like a car and a smaller vehicle,
455640	458840	like a four-wheeler had driven down the trail.
458840	460160	When they arrived at their spot,
460160	463680	there was unusually no firewood waiting for them.
463680	465680	Ash went to chop at a big log
466160	467160	and Jeremy started looking around,
467160	470160	frustrated at the lack of logs.
470160	473960	Ash heard a rustling nearby and saw a man's head pop up
473960	476000	from behind some bushes.
476000	478320	The man made dead eye contact with Ash
478320	481000	and popped back down into the thicket.
481840	485080	Ken Krinklehoff's mom, Krista Krinklehoff,
485080	486720	drove him to the woods in her minivan
486720	488640	and explained she didn't like the tradition
488640	490800	he and his friends had of going to the woods once a year
490800	492120	for their silly game.
492120	493200	Ken said not to worry,
493240	495960	but a baby fox jumped out trying to cross the road.
495960	499920	Ken's mom hid it and crushed the fox without remorse.
499920	501320	They pulled into the parking lot
501320	503760	and saw the same cars Ash and Jeremy saw
503760	506520	plus the 91 Firebird Ash had borrowed.
506520	508400	Ken's mom mentioned how multiple people
