start	end	text
0	3160	Slap a can of beans and throw it at your mama.
3160	6280	It's Wolf the Dog here to give you bad advice
6280	9400	regarding your parental figures.
9400	11200	And I'm coming at you dead.
11200	16200	From 694.2 PTBP, the only radio station
16840	20640	that utilizes a bean-based biofuel
20640	25520	to make the electricity absolutely electric, my babies.
25520	29200	We also use coal, apparently.
29200	30600	People still use coal?
30600	32120	That shit is nasty.
32120	34680	What is not nasty is that this edition
34680	37040	of Howlin' with Wolf is from Jack.
37040	41160	Jack tweeted about the show and tagged at Pretending Pod,
41160	44720	which is one of the greatest feats a tweet can achieve.
44720	48720	They write, my dearest wolf, in times like this,
48720	51380	it is such a comfort to listen to your news
51380	56040	from contention, murderous ooze, orphan experiments,
56040	59920	inscrutable aliens, blood magic feds,
59920	62800	spine-rippin' robot balls,
62800	66760	the unspeakable whore come to eat the world.
66760	70680	These terrors keep the even larger daily ones at bay
70680	74160	for an hour or so, and for that, I am grateful.
74160	76180	Even when the world's a dumpster fire,
76180	79360	you still find us all the scrumptious,
79360	82220	unscorched, slop to slurp.
82220	86260	Love to my contention folks, Jack.
86260	88340	Hey there, Jack.
88340	90740	I always love when a fan of mine
90740	93460	talks about slurpin' that slop.
93460	97540	It makes my orifices tingle with anticipation.
97540	102540	My pores ooze with, ooze.
102540	104180	If you want me to read your words
104180	106420	on a segment similar to this one,
106420	110140	similar because it would be on this exact same segment,
110140	112700	go on and tag at Pretendin' Pod
112700	115860	or write a five-star review on Apple Podcasts
115860	117300	and report that review
117300	121500	to your Wolfie at pretendinpod at gmail.com.
121500	124220	I promise I definitely read all of them
124220	126900	and it's not forced on my producer.
126900	129800	I'm fuckin' hungry, y'all.
129800	132120	And speaking of the rich,
132120	135140	we're rich with theme songs in this final recap
135140	137580	of season one of Pretending to be People
137580	140740	here at 694.2 PTBB,
140740	144540	Contingent's newest and only radio station.
144540	147720	But all arouse the menage a trois with a banger.
147720	148560	Banger?
148560	149660	Barely knew her.
149660	152580	It's Dream Girl with Pretty Sexual.
155580	156420	Mmm.
156420	159000	["Pretty People"]
170080	172340	Don't make me pretty, baby.
177260	179260	This is real love dream.
182940	185440	I knew I'd make you be pretty.
186420	189100	I knew I'd make you be pretty.
194100	195580	The tops of trees,
195580	199620	thick enough to obscure any view of what was below,
199620	201580	covered in a layer of kudzu,
201580	204720	seemed to go on endlessly.
204720	207820	Up and down, over hills and valleys,
207820	209580	mountains and gorges,
209580	213900	there was nothing but dense, verdant forest.
213900	216500	A circular, calm lake found itself
216500	219720	somewhere in the midst of this lush wilderness
219720	222220	and in the middle of that lake,
222220	225420	a small island with less than a quarter mile
225420	227100	from shore to shore.
227100	230580	A long wooden dock on the north side of the island
230580	233580	led to a charming two-story boathouse
233580	235860	with six well-kept cedar canoes
235860	239500	tied up below the second-story apartment.
239500	241820	If the island was the face of a clock,
241820	244240	that dock was at high noon.
244240	247360	There were six cute, cozy little cottages
247360	250460	evenly dispersed along the shore of the island
250460	253380	at one o'clock, three o'clock, five o'clock,
253380	256800	seven o'clock, nine o'clock, and 11 o'clock.
256800	260660	Five of the six cottages were in pristine condition.
260660	263060	The 11 o'clock place might have been two,
263060	265640	but it was impossible to tell from the outside
265640	268500	since the entire building was covered
268500	271060	by a massive blue tarp.
271100	273220	Truly master craft landscaping
273220	275800	surrounded each of these cottages.
275800	279860	Stunningly gorgeous flowers in every shade and shape
279860	282580	filled varied gardens and planters
282580	285260	that somehow both overran the terrain
285260	287940	and complemented it perfectly.
287940	290660	Each cottage had a cobblestone walkway
290660	293740	lined on either side by these lovely flower beds
293740	295940	and the walkways all made their way
295940	297980	to the center of the island
297980	300460	where a large, equally cute and cozy
300460	302980	hexagonal building sat.
302980	304700	There was a small welcome sign
304700	307620	on the south side of this building right at six o'clock
307620	312620	and it read, welcome to calm, comfy campground.
314060	316500	The circle of knowledge used this land
316500	318500	isolated by both geography
318500	320840	and some sort of unnatural perimeter
320840	324060	to execute a brainchild of Jim Cook
324060	327180	called Operation Hole Puncher.
327220	329740	This operation utilized the potent pheromone
329740	332980	from their newly developed experimental family of flowers
332980	335380	named Sanferra Blom.
335380	337780	This pheromone made the uninoculated
337780	339980	unnaturally suggestible.
339980	343680	The targets of this mission were so malleable
343680	346700	entire backstories could be prescribed
346700	349860	in order to extract specific information.
349860	352200	Roger Fairfield, an archeologist
352200	355140	with access to a new excavation site
355140	357820	designated The Nameless City,
357820	362460	was made to believe he was married to a woman named Angela,
362460	365460	actually played by Anne Love.
365460	369940	Alan Grimes, a child trafficker with government contracts,
369940	373020	was convinced a boy from one of his warehouses
373020	376860	was an artificial intelligence.
376860	380740	Each mark had something the circle of knowledge wanted.
380740	383320	Charles Digby had enough compromising evidence
383360	386400	to blackmail every important person in the city.
386400	390280	Martin Cupertino was in the midst of creating Cube,
390280	393520	the future of personal technology.
393520	395480	Pliable guests were duped
395480	398420	into signing extensive contracts.
398420	401140	The aim of Operation Hole Puncher
401140	406140	was to acquire as much information and access as possible,
406200	409040	but the system didn't always work smoothly.
409040	412520	Groups would sometimes trigger reality for each other.
412520	414640	They would need to be reset.
414640	417800	With Fairfield, the Grimes, Digby, and Cupertino,
417800	421160	even the fifth reset didn't quite stick,
421160	425100	and Cupertino somehow escaped before the sixth reset.
425100	427380	He was an anomaly.
427380	428960	And of course, there were some folks
428960	430680	who refused to share their secrets
430680	432700	regardless of their altered state.
432700	435960	A completely random example would be
435960	437720	Eunice and Jerry Bishop,
437720	440120	who at the time possessed a rare
440120	443200	and specifically sought-after book.
443200	447240	No matter what Jim Cook, Leon Simpson, or Ann Love tried,
447240	450240	friendship, torture, worse,
450240	453480	the bishops never surrendered their knowledge
453480	456600	of where the book was hidden.
456600	458160	This is the kind of environment
458160	460880	in which young Maggie Cook was raised.
460880	464000	She quickly found her life much more interesting
464000	466760	when the victim suspected or saw reality
466760	469560	through their flower-induced haze.
469560	472080	So she began to play her own games
472080	473840	with the temporary tenants.
473840	475520	It started innocently enough
475520	478480	she would talk to Circle of Knowledge members
478480	480680	when they were undercover with a mark.
480680	483940	Then she planted walkie-talkies in the cottages
483940	485840	to taunt the visitors.
485840	488120	But little Maggie eventually took it upon herself
488120	492400	to actually inoculate guests while they slept.
492400	493760	She was bored.
493760	498280	And some kids just like to watch the chaos they've created.
498280	500320	She watched from the roof of a cottage
500320	502520	the night she first saw the thing
502520	506120	that lived in the brackish waters of Lake Calm.
506120	508520	The six of them paddled the three canoes
508520	511000	like their lives depended on it.
511000	512560	Jack Russell always says,
512560	514440	"'To do a canoe.'"
514440	517560	She wondered if it was the last thing he said.
517560	520880	An unspeakable worm-like abomination
520880	524140	erupted above the surface of the water.
524140	528040	The thing rose 10 feet out of the ichor.
528640	531680	It was tube-like, covered in a squamous,
531680	534880	black, partially translucent membrane.
534880	536840	Its body was segmented,
536840	541000	and toxically green, pulsating arteries and veins
541000	544760	were visible through its thin-looking exterior.
544760	548080	It had no identifiable eyes or nose,
548080	551280	and its cavernous, circular mouths,
551280	553640	one sat just inside the other,
