start	end	text
0	3400	Hello, insert audience name.
3400	10000	It is I, Host the Animal, and I am here to verb your... body parts?
10000	14400	Damn, my producer wrote me a weird-ass intro this week.
14400	16800	I'm gonna wing this one, y'all.
16800	19200	Greetings, audience members.
19200	27800	It is I, Wolf the Dog, and I am here to gobble your biscuits and... bake... some... some biscuits.
27800	30100	This shit's too hard, man.
30100	33400	Let's skip to the fan stuff, why don't we?
33400	42800	This blessed edition of Howlin' with Wolf is from Cyrus, GW, in Snellville, Georgia,
42800	46800	who tweeted about the show and tagged "@pretendingpod",
46800	49800	a thing you could easily do right now.
49800	51700	Like, so easily.
51700	54300	Just fuckin' do it, dude.
54300	62700	Just type, I listen to "@pretendingpod", and you should, too, if you're nasty enough to handle it.
62700	66000	And tweet. See? Easy.
66000	70600	Be like Cyrus, GW, in Snellville, Georgia.
70600	73500	Cyrus, GW, writes,
73500	75000	Dear Dog,
75000	81700	The only thing that keeps me happy is my favorite DJ Dog the Wolf along with his dog, Wolf,
81700	85700	who plays me sweet new tunes every other week.
85700	93300	I'd like to shout out Becca, Kim, Chris, and Kristen for introducing me to TTRPGs,
93300	103700	and Kane, Ellie, Charlie, Alex, Other Alex, and Emile for lettin' me haunt them with my TTRPG ideas,
103700	106500	which I hope to do again soon.
106500	107900	Wait a second.
107900	111100	This is Dog the Wolf, right?
111100	114300	The wolf that eats my recyclables?
114300	116500	Or is this the wrong number?
116500	120100	Either way, fuck Zuck Markleburg.
120100	122800	Did you just call me Dog?
122800	124100	The wolf?
124100	127500	Get the freakin' hell out of here, buddy.
127500	130200	Thanks for the email, pal.
130200	133300	Hope you have a good one, friend.
133300	135200	And hey, you know what?
135200	139500	I would never chow down on any recyclables.
139500	145700	Only burgeoning bags with bountiful biomass for this beautiful babe.
145700	148800	If you want to write up something for your wolf to howl,
148800	152900	tag at PretendingPod on Instagram or Twitter,
152900	156200	tag PretendingToBePeople on Facebook,
156200	162300	or write up a five-star review on the podcast app of your choice and send it on over,
162300	166300	or make that review a clear message to your wolfie,
166300	171900	and I might just howl it out because of the things you say about little ol' me.
171900	174500	Mmm, I'd like that.
174500	180500	Also, I don't want to be weird about money, but you should sign up for the Patreon.
180500	185300	Hey, it keeps my throat wet with that good, good sloppy juice,
185300	189900	so I can keep howling with the lush flow of words you hear now.
189900	196100	And second, you'll get immediate access to 41 exclusive bonus episodes
196100	200200	on the contention confidential RSS feed.
200200	202900	Y'all know what RSS means, right?
202900	205200	Really super stuff.
205200	212100	The most recent three episodes are the kickoff to a Patreon-exclusive campaign
212100	218900	run by Thomas and sit in the holler outside a contention in the aftermath of season one.
218900	221500	It has been an absolute blast.
221500	225900	Joe, Luke, and Zach are playing members of the Pettymore family
225900	229500	searching for the lost treasure of John Lee Pettymore.
229500	233900	If that sounds rad as fuck, and that's because it is,
233900	240100	and if you're looking for a link, the links are in the show notes.
240100	244600	And speaking of links, what y'all know about sausages?
244600	248100	It's, uh, it's time for the news.
248100	256400	Last time, Shelly St. Blythe, Jimmy Corrigan, Vincent T. Bory, and Meat Hook
256400	261700	went to the main offices of Holy Cow Farms, set off the alarms,
261700	267500	called Bowery Security, found a few different options for leads,
267500	275000	and viewed some strange security footage of Dr. Brock Hargrave and his missing co-worker.
275000	282000	With sirens in the distance, they bailed in the weirdest and most chaotic way possible.
282000	288200	They called up Aurin and Aaron Strummer from Strummer's Resonating Crystals,
288200	293200	who are purveyors of crystals and crystal meth, respectively,
293200	299400	and they learned that Dr. Brock Hargrave has been a... smoking meth, I guess?
299400	305800	That's wild. He seemed like he had a good head on his shoulders, good gut instincts.
305800	307000	Guess not.
307000	313500	And Aaron mentioned that Hargrave has been digging holes out by the Zeitgeist,
313500	317500	an abandoned space needle copycat in the city.
317500	324000	Taking us now to what is hopefully the most dysfunctional group at the cowboy's disposal,
324000	328500	it's Hudson Freeman with Muscles R. Springs.
337000	355000	🎵
355000	362000	🎵 They fed some consolation 🎵
362000	369000	🎵 I was thinking the same thing 🎵
369000	376000	🎵 I am now mechanization 🎵
376000	383000	🎵 All my muscles work like springs 🎵
383000	387000	And with that... I promised.
387000	389000	They promised really put me on the spot.
389000	391000	They made a promise to me.
391000	395000	They made a promise to the boys. Welcome to episode three of this short arc
395000	397000	with our guest player, Becca Scott.
397000	399000	Woo!
399000	400000	Oh, hello.
400000	403000	She came back for a third episode.
403000	405000	I debated. You know?
405000	408000	I thought about, what happens if I never come back?
408000	409000	That's right.
409000	411000	You just walk away. End of the night.
411000	415000	Meat Hook just dipped in her sewer and... who knows?
415000	419000	Did she wash into the ocean? Was there a rainstorm?
419000	422000	Did she find some other way to get electricity?
422000	425000	Or the hole?
425000	429000	I think Fishface had something to do with it.
429000	430000	There's your cue.
430000	433000	What? Oh, sorry. What?
433000	435000	Fishface, you're here in the intro?
435000	439000	Oh yeah, here I'm in the intro and I think I can hang out for a second.
439000	441000	Well, you don't need to be here until we call in.
441000	444000	Okay, bye.
444000	445000	Wow.
445000	450000	The longest amount of time Fishface ever went without someone telling him to leave.
450000	455000	I got a William H. Macy face on because that shit...
455000	457000	Oh boy, it was shameless.
457000	459000	Let's get into this. We've got a lot of...
459000	461000	I was trying to get through his filmography.
461000	464000	Because that shit was Fargo.
464000	469000	And so, this group was headed to the zeitgeist.
469000	473000	I want a quick rundown of the interior of this stretch,
474000	476000	Escalade, as well as the...
476000	477000	Were we headed to the zeitgeist?
477000	480000	I thought we specifically said we were saving that for last
480000	482000	and there was another place to go, but I may be wrong.
482000	483000	You said that first.
483000	484000	Right, we called...
484000	488000	Let the DM direct it where the story is.
488000	493000	Don't tell him he's giving away where he wants us to go next.
493000	496000	Strummer's Resonating Crystals was called
496000	501000	and I think after that phone conversation with both Aaron and Arin Strummer...
