start	end	text
0	6000	Good evening to all of those who join me in this dimension we call home.
6000	13700	It is I, Wolf the Dog, DJ Extraordinaire and also Enjoyer of Slop.
13700	18900	And I'm here to sling some sound directly to your ear canals.
18900	24600	The radio station is called 694.2 PTBP.
24600	29400	The time is now and forever ago simultaneously.
29400	34300	And the best part of the show has arrived and it is starting.
34300	40800	Now, this here howlin' with Wolf is from Ben Feliciano in Denver, Colorado.
40800	45000	Who tweeted about the show and tagged at Pretending Pod.
45000	47700	A thing you can do too if you wanna rule.
47700	50600	Like, rule, not rule.
50600	53700	You know, Ben Feliciano rules.
53700	55100	And he writes,
55100	57500	Hey Pretendy Friendies.
57500	61400	I'd like to howl at my bandmates in Younger than Neil.
61400	70100	Listening to and talking about RPG podcasts is one of the many ways we pass the time at rehearsal or in the tour van.
70100	74000	Besides trying to guess who farted by scent alone.
74000	79500	We're no kudzu with no backbone but we do like making ska punk.
79500	84500	A genre more dead than half the townspeople of the first season.
84500	86600	And PTBP.
86600	88800	If it's not too much to ask.
88800	93100	On May 5th through the 27th of 2023.
93100	102300	I'd love to meet any fellow Denver fans at the opening of my first solo art exhibit at Memento Mori Art Gallery.
102300	106700	I'll be there on opening night and periodically throughout the month.
106700	111600	Visit BenFeliciano.art for more details.
111600	116500	Woof the dog.
116500	120500	Praying for you but more importantly to you.
120500	122400	Do you hear me, wolf?
122400	125100	Do you smell the blood on your altar?
125100	128100	P.S. Should I try different candles?
128100	130900	Maybe you're not a fan of lavendar.
130900	133800	Thank you dearest Ben.
133800	135600	And I do hear you.
135600	137400	I do smell you.
137400	140700	And I do see you at all times.
140700	143600	You're my favorite Ben so far.
143600	147600	Even if you use the worst scented candle of all time.
147600	152100	You make music, you make art, and you love little old me.
152100	155100	And what's not to love about all of that?
155100	156400	Remember y'all.
156400	162100	Go to old Ben's art show if you can and tell everyone there that wolf sent you.
162100	165400	If you want to write up something for your wolf to how.
165400	168100	Tag at PretendingPod on the internet.
168100	169400	Fuck Al Gore.
169400	175400	Or write up a five star review on the podcast app of your choice and make me aware of it.
175400	177300	Oh, hey, you.
177300	178600	Yeah, you.
178600	181000	You seem cool.
181000	184100	So I'll let you in on a little secret.
184100	191200	You can help support this show and make sure it keeps happening by exchanging five US dollars
191200	197500	for shitloads of bonus content over at Patreon.com slash PretendingPod.
197500	200100	There's other cool shit on the internet, too.
200100	204500	And for a fair amount of it, the links are in the show notes.
204500	211000	Lose your muse and choose to refuse an excuse to those whose blues cruise through the...
211000	211900	What's that?
211900	213200	No news?
213200	214700	Are you for real?
214700	215400	Ugh.
215400	222800	My producer is telling me the boys, almost all of whom are in their early thirties now,
222800	226000	except Luke who is seventeen years old.
226000	232200	I guess these dude kids do a fine job of reminding themselves where they were before
232200	234600	things really get going.
234600	236500	Welcome back, y'all.
236500	239800	And get ready for the world to unfurl.
239800	246500	It's Alter Girl with My Life is Great and it's All My Fall.
