0.00 14.24 speaker0  Howdy-doody, my spooky-poopies.
8.68 136.40 speaker1  And I'm here to provide sustenance to all of my little baby buddies. I'm tootin' at y'all live from 694.2 PTBP, Speakin' of weird shit that I'm forced to read that makes people mildly uncomfortable, this week's Howlin' with Wolf is from Kyle. Remember, listener, Kyle asked for this. Kyle writes, To my darling wife, Steffy. Hundland, Hundland. Ow! Cough, cough, cough. Hundland, Hundland. Uh... thanks for that, Kyle. I know I did. At certain parts, but mostly I didn't. If you wanna write up somethin' for your guttural wolf to how, tag PretendingToBePeople on Facebook, or write up a five-star review on the podcast app of your choice. Screenshot them deliciousnesses and send them my way. If you refuse to post on social media, but you still wanna support the show, give us money in exchange for a whole bunch of bonus episodes, access to submit NPCs and locations, behind-the-scenes livestreams, exclusive T-shirts, and et cetera, et cetera. It also helps give Zach the little bits of sausage he needs that keep him goin' as he produces, GMs, and edits this fine show. Links to all that and Wolfie's merch store are, you guessed it, in the show notes. For those just tunin' in, I'm Wolf the Dog. You are listening to 694.2 PTBP,
133.72 146.64 speaker0  and this is the news.
141.84 207.12 speaker1  and his childhood connection to the City Action News Studios. And when Julius was a child, crawlin' around gnawin' on marbles that were, Well, back then, Cal Colorado was the frothy film of the slot bucket, my babies. sided with Julius against Cal Colorado when the team was asked to follow a lead that Cal balked at. Let's see if we can top that. Here's a brand new rock act. It's Alter Girl with My Life is Great and It's All My Fault.
202.96 230.88 speaker0  Cos my life is great And it's all my fault
228.84 253.60 speaker2  Hell yeah, dude. Find somebody in to piss play. looking at the charge. Cos I was talking to somebody and stuck my phone in my pocket while we were messaging. Oh no, how much? That's still insane for a month.
251.36 259.08 speaker0  That is insane for a month. But I was hoping, oh wow.
255.48 296.52 speaker2  You just made me feel fine about this, I guess. And instead I have a month of Bumble Premium. I guess I'm gonna have to make the most of this. Yeah dude, go fucking wild on Bumble now. Fucking unlimited swipes. What is Bumble? Bumble's the one where the women message you first. So you never get like anything live? No, no. It's all a trick.
294.76 338.96 speaker0  I don't think they're real.
336.88 340.56 speaker2  Also go back and listen to episode one.
338.96 346.36 speaker0  If this is your first episode, this is the perfect time to go back a couple episodes. We only got three now.
344.48 350.68 speaker2  This is the only time where we can say just go back a couple.
347.48 355.04 speaker0  Now is the easiest time to make sure you go back now.
353.48 388.80 speaker3  and you go back a couple, I don't have a fun folksy word for nine. Say it like Mr. Lemon.
387.84 395.28 speaker2  Oh yeah, I do. Yeah.
393.16 411.24 speaker3  this episode starts with a shot of Jeremy standing in the parking lot, standing in the empty spot where the can van just was holding a hot iced latte and two energy drinks.
407.80 418.88 speaker0  It's about now in the van that Beck remembers that,
415.00 447.36 speaker3  And he begins sprinting down the road through traffic holding these three items. We didn't get very far, did we? We did not get very far. We're stuck. almost immediately. So let's see the inside of this van. Like 6 p.m. in the middle of downtown. Shit is. So? Shit's fucked.
445.32 452.48 speaker2  That's actually the beginning of the TikTok. He's asking the person in front of us in their car
451.64 464.04 speaker0  What? Does the city suck? Yeah. We've only known him for two episodes,
461.04 472.80 speaker3  but there's no fucking way Cal Colorado's saying that. But you could try to talk him into it and scene. Wait, that's at the end. How do you start one?
471.24 478.00 speaker0  Fire.
476.36 481.36 speaker2  That's why you don't yell fire in a theater because they'll think it means well.
479.84 493.22 speaker0  It's time to start. but he still doesn't have a clear idea
491.00 502.22 speaker2  Julius is scrambling for ideas and just kind of looking around and he sees a pizza at Cal's own shop. And he looks at Cal.
500.74 509.42 speaker0  Oh my God. And he looks back. And he looks back. Oh my God. Oh my God.
506.10 542.94 speaker2  Cal is blinking and smiling and here at TikTok, so he's telling you the time. I had a sensible lunch and breakfast. I, no, I don't think I could eat right now. Just a bite or two. I'm sorry, I don't know if you've noticed, but I do keep my figure trim. And I just point to like people walking. Man on the street, I love it.
538.26 558.10 speaker3  it's like way too big and it's drooped over his eyes almost. He's walking like he's sitting down, but he's walking. And- I'm sorry, Zach, what? He's walking like he's sitting down, but he's walking. So he's ass- You've seen people, right? Oh man.
557.26 564.98 speaker2  Yeah, he's like- Zach, what do you think walking?
562.42 567.58 speaker3  and kind of like dancing around. Cal has a microphone in his face.
566.26 575.14 speaker2  You, sir, what are you doing?
572.36 588.98 speaker3  like sitting dance thing, like a silly walk. And he's just like, you know, I like to get through the city by dancing. You see these cars here? They're stuck. I'm not stuck. I'm free.
587.14 593.78 speaker2  A disturbingly ableist message. From the Cal zone.
592.74 611.66 speaker0  From the Cal zone. we try like you try to dance like him with him. That might be amusing. Oh, a street man. Okay.
610.78 625.28 speaker2  Cal is nailing it. Cal is like athletic. Cal watches this guy move and then moves like that.
623.86 632.14 speaker0  in your basketball days.
629.90 653.86 speaker2  Well, yeah, I mean, I played some D and when they got in the Cal zone, they got slapped down. Your sign off needs to be, and that's another slam dunk from the Cal zone. Oh yeah.
651.94 660.62 speaker0  he's doing, he's maybe adding a filter and he's putting the text over the top and it's when you in the Cal zone.
659.54 663.78 speaker3  That face when. What's the song?
662.78 682.00 speaker0  Whoop, there it is.
678.62 692.62 speaker2  like just stoked that it's perfect. And he just adds the caption, another fresh hot Cal zone.
690.66 705.66 speaker3  As soon as it's blasted out, literally the second it posts a TikTok, you get a notification on your cell phone, Julius and Tife has hearted the message that he sent you.
704.30 729.74 speaker2  Make a TikTok, bitch. Oh, right. saying that we posted a TikTok or something like that. Breaking news, a new TikTok is dropped.
725.64 743.18 speaker3  As you guys are all reconvened, as you were all- Jesus.
741.48 758.82 speaker0  Can we start the season two over?
755.48 784.44 speaker3  of traffic in the rear view mirror on the can van. And he is holding one hot ice latte and two energy drinks. And he approaches the van and he's like, They were not happy about that order, Julius,
782.02 794.20 speaker2  He takes it and he's surprised that it is somehow both very hot and very cold. And here are these for you, Beck.
792.16 801.56 speaker0  that he has with him that has a bunch of extra cans
797.94 812.88 speaker2  Cal has Julius's phone and he's just watching the TikTok like repeatedly with a huge grin on his face.
810.64 822.76 speaker0  and if you could get me a black coffee, please.
821.80 851.54 speaker3  as Julius. It's a group text between Taif, Cal and Julius. And he says, her name is Kaylee Silver. Shout out to Distant Egg Song in Houston. Hey. For Kaylee Silver, we'll likely meet her soon. Kaylee Silver, it says, specifically asked for Cal because he is a truth above all type of guy.
846.66 856.10 speaker0  She grew up watching him on TV and she trusts him.
854.18 863.94 speaker2  then I grew up watching you on TV. That gives him pause. Sure. He's heard that. That can go a lot of ways.
861.22 886.52 speaker3  immediately back is Jeremy. The quickest coffee run, I time myself, thank you, that I have ever made. Thankfully, because, and he points behind him. I went to the U zone.
885.06 896.74 speaker2  Cal kind of realizes what he's done. He like realizes they're in the street and not the office
895.46 905.62 speaker3  from where he came from.
904.02 927.18 speaker2  I said what I said. or we could go find out what's going on with backwards running, man.
924.86 948.46 speaker3  And then eventually it kind of opens up and you guys get to your destination And on that piece of paper that you have says apartment 836.
946.90 956.22 speaker0  of the outside of the building. So he's got a tripod under an arm and his case of camera equipment.
955.34 960.74 speaker3  What's Cal doing?
959.02 980.66 speaker2  I was talking to this girl on Bumble and we've hooked up a couple times and she was like, hey, this guy just sent me this really weird dick pic and I don't know if it's like diseased or what. And she just sent it to me.
979.34 989.06 speaker0  Cal has a crazy life.
986.74 995.90 speaker3  Was that like a play of some sort? Of like just showing off your personality early?
992.74 1007.62 speaker2  No, again, this is a person I've had sex with.
1006.06 1026.66 speaker0  No, no, no. She was like this dude sent me a dick pic
1025.26 1066.42 speaker3  Did you look at it again, you freak? It won't be a dick though.
1065.58 1081.38 speaker2  Fucking idiot.
1080.38 1089.46 speaker0  Why did I have taste buds?
