start	end	text
0	3080	Howdy-doody, my spooky-poopies.
3080	8680	It's your turd-blasting, time-traveling, greasy, and parental figure wolf, the dog.
8680	14240	And I'm here to provide sustenance to all of my little baby buddies.
14240	18920	I'm tootin' at y'all live from 694.2 PTBP,
18920	26280	the city's only radio station that also doubles as a crawdaddy bio-farm on the weekends.
26280	32440	If we eat only the crawdaddies, what happens to all the crawmommies?
32440	37760	Speakin' of weird shit that I'm forced to read that makes people mildly uncomfortable,
37760	40560	this week's Howlin' with Wolf is from Kyle.
40560	43680	Remember, listener, Kyle asked for this.
43680	45280	Kyle writes,
45280	48200	To my darling wife, Steffy.
48200	51600	Hundland, Hundland.
51600	52960	Ow!
52960	55400	Cough, cough, cough.
55400	58480	Hundland, Hundland.
58480	61720	Uh... thanks for that, Kyle.
61720	63840	I hope your wife enjoyed that.
63840	65560	I know I did.
65560	68680	At certain parts, but mostly I didn't.
68680	73280	If you wanna write up somethin' for your guttural wolf to how,
73280	76360	tag at PretendingPod on Twitter or Instagram,
76360	78800	tag PretendingToBePeople on Facebook,
78800	83040	or write up a five-star review on the podcast app of your choice.
83040	88080	Screenshot them deliciousnesses and send them my way.
88080	93560	If you refuse to post on social media, but you still wanna support the show,
93560	98080	give us money in exchange for a whole bunch of bonus episodes,
98080	101880	access to submit NPCs and locations,
101880	104680	behind-the-scenes livestreams,
104680	107080	exclusive T-shirts,
107080	109840	and et cetera, et cetera.
109840	113760	It also helps give Zach the little bits of sausage he needs
113760	119160	that keep him goin' as he produces, GMs, and edits this fine show.
119160	122800	Links to all that and Wolfie's merch store are,
122800	126000	you guessed it, in the show notes.
126000	129360	For those just tunin' in, I'm Wolf the Dog.
129360	133720	You are listening to 694.2 PTBP,
133720	136400	and this is the news.
136400	141840	Last time, we learned about the new field producer, Julius Summers,
141840	146640	and his childhood connection to the City Action News Studios.
146640	151560	And when Julius was a child, crawlin' around gnawin' on marbles that were,
151560	154640	of course, securely fastened to the floor,
154680	160640	Well, back then, Cal Colorado was the frothy film of the slot bucket, my babies.
160640	162680	He was on top.
162680	166240	His trusty field camera operator, Beck Wilder,
166240	169600	sided with Julius against Cal Colorado
169600	173600	when the team was asked to follow a lead that Cal balked at.
173600	175840	Let's see if we can top that.
175840	178360	Here's a brand new rock act.
178360	184400	It's Alter Girl with My Life is Great and It's All My Fault.
184400	187240	And it's all my fault
188520	192840	Cos my life is great
193480	195480	And it's all mine
202960	207120	Cos my life is great
207880	210520	And it's all my fault
214400	222600	I never record the good jokes.
222600	225800	I swear, that's not what this podcast is about.
225800	228840	I've got a month of Bumble Premium.
228840	230880	Hell yeah, dude. Find somebody in to piss play.
230880	233120	Did they maybe give you the first month free?
233120	238480	No, no, no. My phone did this in my pocket while we were at brunch,
238480	240360	looking at the charge.
240560	244480	Cos I was talking to somebody and stuck my phone in my pocket while we were messaging.
244480	246800	Oh no, how much?
246800	249240	30 bucks. Could be worse.
249240	251360	That's still insane for a month.
251360	253600	That is insane for a month.
253600	255480	But I was hoping, oh wow.
255480	259080	You just made me feel fine about this, I guess.
259080	262240	No, actually I don't. That's almost an eighth of weed. Fuck that.
262240	267920	I was gonna hit up my person today.
267920	271760	And instead I have a month of Bumble Premium.
275640	278080	I guess I'm gonna have to make the most of this.
278080	280680	Yeah dude, go fucking wild on Bumble now.
280680	283080	Fucking unlimited swipes.
283080	284880	What is Bumble?
284880	287160	Bumble's the one where the women message you first.
287160	288360	Oh, okay. Got you.
288360	291880	So you never get like anything live?
291880	294760	No, no. It's all a trick.
294760	296520	I don't think they're real.
296520	302320	Yeah, mine was broken, I think.
302320	306560	Welcome to episode three of Pretending to Be People.
306560	311600	I could add weed, y'all.
311600	316800	Instead I might get a life partner.
316800	319320	Fuck me.
319320	320520	How's it going?
320520	323160	Oh, it's fine.
323160	327960	You know, a little miffed.
327960	329440	I've been scrolling through TikTok,
329440	333760	disappointed that Kan hasn't updated in a while.
333760	335840	City Action News, if this is your first time
335840	336880	listening to the podcast.
336880	338960	Also go back and listen to episode one.
338960	340560	If this is your first episode,
340560	343080	this is the perfect time to go back a couple episodes.
343080	344480	We only got three now.
344480	346360	This is the only time where we can say
346360	347480	just go back a couple.
347480	350680	Now is the easiest time to make sure you go back now.
350680	353480	If you're in the next episode listening for the first time
353480	355040	and you go back a couple,
355040	358840	ooh, I'd rather you went back a few.
358840	363440	Hey, fair point, but it's not like we're at 10.
363440	364760	It's not like we're at 10.
364760	369520	I don't have a fun folksy word for nine.
369520	371360	Say it like Mr. Lemon.
371360	376120	Well, I say you have to go back nine episodes.
376120	377640	Did you like that? Say it like the editor.
377680	380960	Oh, well, you'd have to go back nine episodes.
380960	383280	Was any a little weird? Vivica?
383280	385080	Oh, who was the guy who sounded weird?
385080	386320	Do you mean Jeremy?
386320	387840	Oh, the intern.
387840	388800	Oh yeah, I do.
388800	389640	Yeah.
390640	393160	Oh, speaking of Jeremy,
393160	395280	this episode starts with a shot of Jeremy
395280	397160	standing in the parking lot,
397160	399640	standing in the empty spot where the can van
399640	404560	just was holding a hot iced latte
404560	406840	and two energy drinks.
407800	411240	It's about now in the van that Beck remembers that,
411240	413920	oh, damn it, we forgot our drinks.
413920	415000	Damn it.
415000	418880	And he begins sprinting down the road
418880	421640	through traffic holding these three items.
421640	422480	We didn't get very far, did we?
422480	423320	We did not get very far.
423320	424160	We're stuck.
424160	426600	I said that you got pretty much trapped in gridlock
426600	428120	almost immediately.
428120	430200	So let's see the inside of this van.
430200	431720	Hey, does the city suck?
431720	436240	Oh, I mean, you're here at what?
436240	440320	Like 6 p.m. in the middle of downtown.
440320	441280	Shit is.
441280	442120	So?
442120	442960	Shit's fucked.
442960	445320	Right, and when he says, does the city suck?
445320	447360	That's actually the beginning of the TikTok.
447360	450080	He's asking the person in front of us in their car
450080	451640	that question.
451640	452480	What?
452480	453680	Does the city suck?
453680	456960	I don't think Cal Colorado would ever say those words.
456960	457800	Yeah.
459320	461040	We've only known him for two episodes,
