start	end	text
0	2340	Slip in some slop, y'all.
2340	14080	It's Wolf the Dog, the DJ Supreme from the radio station formerly and currently known as 694.2 PTBP.
14080	21540	And I am here to give your ears a little butterfly kiss, but with my vocal cords.
21540	28360	And speaking of things that are right, this Howlin' with Wolf is from Harley in Southampton, England,
28360	31800	who tweeted about the show and tagged at Pretending Pod,
31800	39720	a worthwhile thing you can do, too, regardless of if you have a cool name and or are from a cool port city.
39720	44680	You can still share the new promo video and tag at Pretending Pod.
44680	47640	Harley from Southampton, England writes,
58360	67720	And scrubbing Luz seems a bit less daunting while I have Keith Beans being an absolute mess in my headphones.
67720	75800	Sometimes I do get strange looks when I start laughing out loud in the middle of a shift, but it's a small price to pay.
75800	79480	Keep it up, guys. You make a lot of people really happy.
79480	81880	And Wolf, keep on howlin'.
81880	86600	I look forward to your dulcet tones at the start of every episode.
86600	96120	Oh, and a look out for my upcoming post-apocalyptic gamebook, I guess, with Savage Realms gamebooks?
96120	101400	Love, Harley from Southampton, England, xxx.
101400	106200	Now, Harley, did you give ol' Wolfy an owoo?
106200	109960	Owooooo!
109960	115400	My lord, do I love a good howl with me, Wolf.
115400	120760	Thanks for the kind words, especially the ones that are about yours truly.
120760	128840	If you want to write up something for your slippy, sloppy wolf to howl, just tag at Pretending Pod on Twitter or Instagram,
128840	135160	tag Pretending To Be People on Facebook, and tag user slash Pretending To Be People on Reddit.
135160	143960	Or write a five-star review on the podcast app of your choice and get that delicious evidence before my sloppy wet eyes.
143960	147560	And it's never been easier to share something around,
147560	155400	because Pretending To Be People collabed with a wildly talented film production team called Mood Ring Films.
155400	164600	And together, they created a promo video that turned out well beyond the PTBP crew's most auspicious dreams.
164600	169560	So just, uh, share that, and tag at Pretending Pod, and you're good to go.
169560	172760	You can, uh, you can do that now. Go on, I'll wait.
172760	177240	Oh, you need the link. That's what you're telling me. Well, guess where the link is.
177240	181720	That's right, the links are in the show notes.
181720	185400	Pretty cool news about that promo video, huh?
185400	188600	And that weren't even the news.
188600	197240	Last time, Cal Colorado smelled a smeared waxy substance left behind at the scene at the Zeitgeist.
197240	202200	And he determined that it smelled like some moron's earwax,
202280	208600	which was an enormous letdown, given that Julius and Stevie said they smelled God.
208600	214520	And Beck claimed he saw visions of the wet energy and the lightning tornado.
214520	220920	After another round of sniffs, Beck witnessed even more unnatural activity.
220920	227480	Julius saw a blood moat above train tracks in the upside-down church in Grover's Gorge.
227480	230600	And Cal smelled earwax again.
230600	232200	Oh, what? Hold on there.
232200	236600	Being handed a note by my producer, which is frankly horrible.
236600	240520	Terrible smell, cold hand. Five stars.
240520	248360	The note says that Thomas just released the finale of his Oops All Pettymores campaign over on the Patreon.
248360	253560	That's right, all six parts of The Lost Treasure of John Lee Pettymore,
253560	260120	including the two-part finale, part six, part one, and part six, part two,
260200	268200	are now available in edited audio format at patreon.com slash pretending pod.
268200	272120	And these were edited by the Thomas himself.
272120	276120	And let me just say, pretty solid work there, Thomas.
276120	277720	Well done, boy.
279160	285000	So if you want to listen to the six part seven episode scenario that Thomas ran,
285000	289880	which is a wild continuation of a region of contention story,
289880	294520	you can get access for five bucks, five US dollars.
294520	299640	And you can watch the very strange, sometimes partially cosplayed,
299640	307560	VOD BTS streams of the Patreon recording process for fifteen dollars.
307560	312840	Which just so happens to be the cost of a nice lunch sometimes, which is nice.
312840	319480	But this is like hours upon hours of nasty streams from these dudes at their weirdest.
319640	321320	Anyway, check it on out.
321320	323720	It's a solid little horrible story.
324280	327480	Now you know I'm not gonna say where the links are.
327480	331160	You're gonna say it in your head in this moment of silence.
332920	339240	The word segue looks like you should say it seg, which is the singular of sex.
339240	344200	Last thing, if you want to submit your interpretation of the wet energy,
344200	349080	or the lightning tornado, or the blood moat in the upside down church,
349080	355640	in the ongoing fan art contest slash drawing, you have until July 14th to enter.
355640	362840	We got some incredible work so far from illustrations, to fanfic, to an original song,
362840	364920	to even embroidery.
364920	367400	And we're just beside ourselves.
367400	371960	And if you need some more ideas, no one has sent in cosplay,
371960	376920	or a recreation of the sitting while walking dance from the calzone.
376920	378920	And I sure would like to laugh at that.
380600	381800	Just the idea.
381800	383320	Damn, that's silly.
383320	389160	But really, it's time for a hot new ditty that'll make you huff and puff, daddy.
389160	394760	It's Alter Girl with My Life is Great and It's All My Fault.
406920	420760	Because my life is great and it's all my fault.
433800	434440	Good energy.
436920	440200	What else we got?
443000	444200	What else we got?
446920	448280	How about them cardinals?
448280	449640	Man, pretty mixed bag.
450760	454360	I just opened up an orange filled with tiny products.
455000	455800	That was fun.
455800	456440	Wait, what?
456440	457560	There was an orange.
457560	461880	Your wife said open this orange and I opened it and there's tiny products inside.
463240	466760	They said open this orange right in front of Thomas and don't offer him a chance to open
466760	471080	any of the five slices, even though there's ten total between the two of us.
471080	473640	And we're going to do this and we're going to laugh at his pain.
473640	474600	Had Thomas...
474600	475720	I just thought that was weird.
475720	478200	Had Thomas not been staring at a puzzle and said like,
478200	479480	Oh, can I open one?
479480	481640	Then you would open more than one, probably.
482760	484120	I shouldn't have to ask.
484120	484840	That's...
484840	485800	Oh, wow.
485800	487880	I shouldn't have to assume what you want to do.
489000	489960	No, you should.
489960	490600	At all times.
490600	496760	Why aren't you thinking about Thomas all the time?
496760	498360	No, this is not...
498360	500520	I was like, I could be offered an orange.
500520	502680	I wasn't actually mad, but I thought it was fun to do.
504280	508120	But you started thinking about it early in the orange filling process.
508120	509400	Ten little orange slices.
510040	510760	That is true.
510760	511960	There's ten chances.
511960	514040	He's starting to count on his fingers.
514040	515240	And then looking at the ceiling.
516440	517720	Oh, yeah.
517720	518680	Almond breeze, huh?
518680	519640	What if I open one?
519640	520520	Maybe it would be cool.
522200	527960	I guess if they stop now and offer me one, I could still even it out and get three in.
527960	529240	I just wanted one.
530120	531560	Thomas, you want to open one?
531560	533320	We didn't know, unfortunately.
533880	535800	I don't think it crossed either one of our minds.
535800	537240	That's my whole point, clearly.
541240	543880	But let me tell you, we did get some Oscar Mayer wieners.
544760	547960	We got some oven roasted turkey breasts.
548040	549000	All tiny, huh?
549000	549640	So tiny.
549640	550680	How small are we talking?
550680	552120	We're talking not big.
552920	554840	We're not even talking normal size.
555800	561000	If you took a product and you shrunk it down like Honey, I Shrunk Your Products, it's that.
561560	562920	Maybe it is all leading up to...
563560	565480	It's all promotion for a movie.
565480	566440	Everything's promotion.
566440	567880	God, it sounds so much fun to open one of those.
569800	570840	Actually, hold on.
570840	572200	Joe and I are upset, too.
573080	574200	That you didn't get oranges?
574200	574840	Yeah.
574840	575720	It's your wife.
