start	end	text
0	6000	Salutations and hellos. It's your radio goddess, Wolf the Dog.
6000	15000	I host this little old show y'all may enjoy at the radio station known as 694.2 PTBP.
15000	21000	What do those numbers and letters stand for? I honestly have no idea.
21000	25000	I used a random number and letter generator to make it.
25000	31000	But what is not random is the intentional love y'all have sent our way.
31000	38000	This howlin' with Wolf is from Silvestri who tweeted about the show and tagged at PretendingPod on Twitter.
38000	46000	Which, don't even get old Wolfy started on that. I'll X a thread so fast you'll zuck your musk.
46000	49000	Anyway, tag us on the internet please.
49000	51000	Silvestri writes
80000	83000	to listen to all the bonus episodes.
83000	87000	Now who is this Zach people keep speaking of?
87000	90000	And why does he spell his name like that?
90000	93000	What's so special about him?
93000	97000	I don't know. Maybe one day I'll get to meet this Zach.
97000	99000	Probably not though, I'm uh, I'm pretty busy.
99000	102000	Anyway, thanks for writing in.
102000	107000	Next time if you could talk a little less about a Zach and a little more about a Wolf
107000	109000	that would be pretty nice of ya.
109000	112000	If you want to write up something for your wolf to how,
112000	116000	tag at PretendingPod on Instagram threads or Twitter.
116000	119000	Tag PretendingToBePeople on Facebook.
119000	122000	Tag users slash PretendingToBePeople on Reddit.
122000	127000	Or write up a five star review on the podcast app of your choice.
127000	130000	And get it in front of these here eyes of mine.
130000	133000	Oh, my favorite podcast app?
133000	138000	For reviews, it's definitely the Apple Podcast app.
138000	144000	Writing out a five star review on Apple Podcast does wonders for us here at PTBP,
144000	152000	which hopefully will allow us to continue broadcasting these wondrously terrible stories from 694.2,
152000	156000	the city's oldest and only radio station.
156000	158000	Whoa, what's that?
159000	167000	You want to support the show financially in exchange for a wild amount of really dope fully edited bonus episodes?
167000	170000	The Patreon link is in the show notes.
170000	174000	You want a shirt or a hat or a fanny pack or a beach towel?
174000	177000	That's so fun, I love that for you.
177000	180000	The merch store link is in the show notes.
180000	186000	You want to see all the links I tirelessly typed up to all of our shit?
186000	190000	Fucking bet, babies, the links are in the show notes.
190000	196000	There, there, I know change is hard, but it's already time for the news.
196000	201000	Last time, on episode 33, that's not Brock,
201000	209000	Daddy ran away with the drone footage of the old timey gymnasium with the bloody throne under the basketball hoop.
209000	216000	So they decided to head to the foundry, both for a drink and to hopefully meet up with Dr. Brock Hargrave.
216000	225000	In the foundry's parking lot, Beck showed the team a clip of the Jaguar that jumped on the train over Godel's Gate to Grover's Gorge,
225000	230000	seemingly speaking as it slid down the side of the strange smooth chasm.
230000	238000	Inside the foundry, the can crew was approached by a ghastly gaunt woman who called herself Elijah.
238000	246000	It muttered about 836 under her breath while she openly discussed Dr. Hargrave and Dr. Murray
246000	251000	and her status as a cowboy before she attempted to smoke meth at the table.
251000	260000	Taking us now to the foundry where Stevie is feeding this Elijah woman Adderall so she doesn't smoke methamphetamine in public,
260000	263000	it just feels so right.
263000	268000	It's Alter Girl with My Life is Great and It's All My Fault.
293000	295000	All my fault.
313000	315000	What's he building in there?
315000	317000	You know that song?
317000	319000	Chocolate of course.
320000	326000	It's like chocolate of course. Of course.
328000	330000	I'll buy us IMAX tickets for that one.
330000	334000	Oh gosh. Look how big the chocolate is.
338000	341000	I thought he was going to redo Chocolat.
341000	342000	That'd be better.
342000	343000	Timothy Chocolat.
343000	346000	What other Johnny Depp movies could he do?
347000	350000	If Timothée Chalamet played...
350000	351000	Rango?
355000	356000	That'd be crazy.
356000	359000	What was that movie? It was a book I think.
359000	360000	The Rum Diaries?
360000	362000	Fearing Loathing in Las Vegas.
362000	364000	Fearing Loathing in Las Vegas?
364000	367000	Dude, but Timothée Chalamet in Leaving Las Vegas?
367000	369000	Do you think he could do it?
369000	370000	Do you think he could do it?
370000	371000	He could do a pretty good job at it.
371000	374000	After seeing the trailer to Wonka, you think that he could do it?
374000	379000	Yeah, I think it's not him being bad as the movie is bad.
379000	383000	You know what? No shit. He would be a great What's Eating Gilbert Grape.
383000	385000	Yeah. The mom.
388000	389000	Or the grape.
389000	390000	The grape.
390000	392000	Being grape of course.
392000	394000	Tell us what you're doing over there.
396000	401000	From now on, when I think Timothée Chalamet, it'll be verbing of course.
401000	403000	Peabody Award.
408000	410000	I think that's kind of how you say it.
410000	411000	Peabody?
411000	412000	Peabody.
412000	413000	Nah, say it in a British accent.
413000	414000	Peabody Award.
414000	416000	The Peabody Award.
417000	418000	Sorry dude.
418000	419000	Were you just saying it in a British accent?
419000	423000	You guys are saying body so hard which is not how anybody says it.
423000	424000	Peabody.
424000	425000	Peabody.
425000	426000	Peabody.
426000	427000	Peabody.
427000	428000	Peabody. I think it's Peabody.
428000	429000	Peabody.
429000	430000	Peabody.
430000	431000	Peabody Award.
431000	432000	Peabody.
432000	433000	Peabody Award.
433000	434000	This is the Peabody.
434000	436000	The first annual Peabody's.
436000	443000	For highest score on the turfs, has Cal won a Peabody Award?
443000	444000	Yeah, for sure.
444000	445000	A what?
445000	447000	A Peabody Award?
447000	448000	Peabody?
448000	449000	Peabody?
449000	450000	Peabody?
450000	451000	Peabody.
451000	457000	There were a couple websites that awarded him a Peabody Award but he wasn't really aware
457000	458000	of that.
458000	459000	Was he deserving?
460000	464000	I think it was more of a wish, like a wish that like buddies we'd like to pee with.
464000	465000	Oh, okay.
465000	466000	Yeah.
466000	467000	A hundred percent.
467000	468000	But he's also won a Peabody.
468000	469000	Yeah.
469000	473000	It's like comedians in cars but it's journalists in bathrooms.
473000	478000	We're gonna go check out this restaurant and spend a whole lot of time in their bathroom.
478000	481000	And it's carpool karaoke so they sing in there too.
481000	484000	A stall to stall interview.
484000	485000	Yeah, interview.
485000	488000	You know what Julius has been talking to us about in the van?
488000	489000	Pitching.
491000	495000	But like the thing is, you know, like on Hot Ones, they have to eat the wings.
495000	497000	You have to take a shit during the interview.
500000	504000	If you can't take a shit, they send a camera up there and find out what's going on.
504000	508000	And like everyone in the comments like makes fun of you for like not taking and picking
508000	509000	up shit.
509000	512000	Dude, it's like we call it talking shit.
512000	513000	Shit talking.
513000	514000	Shit talking.
515000	516000	Taking the piss.
516000	518000	Lord took a shit like nobody else, dude.
521000	524000	Who would the best shitter be, do you think?
524000	527000	What a weird joke.
527000	531000	That's somebody who's watched a lot of Hot Ones.
531000	536000	I think there would be different groups of fans who would want to see different kinds
536000	537000	of shit.
537000	539000	Because like best shit is pretty subjective.
539000	541000	Does it show the shit after they did it?
541000	546000	Oh yeah, there's a camera down there watching the shit go in.
546000	550000	And so you're like, yeah, no ass, just shit.
550000	552000	It's a perpendicular.
552000	553000	Yeah.
554000	555000	Did you see?
555000	556000	It's tasteful, okay?
556000	557000	It's tasteful.
557000	563000	But some people like, I think if it's a more spectacular splash, that might do it for some
563000	564000	people.
564000	567000	But you'll see a lot of people in the comment going like, eat fiber scrub.
