start	end	text
0	2160	Welcome, my brood.
2160	6400	It is I, Wolf the Dog, DJ of the Year,
6400	10320	and I set upon many eggs to birth all of you
10320	14840	so that you may be my lifelong loyal listeners.
14840	17220	I think, maybe that was a dream.
17220	20560	Ever since I started eating grease too close to Betty
20560	25200	by time, I've been dreaming up all kinds of crazy shit.
25200	28920	And oh yeah, I'm the host of this here radio show.
28920	33920	Y'all find yourselves tuned into 694.2 PTBP.
35440	39560	All I ask from my hatchlings is for a little love,
39560	43960	maybe a little forehead kiss, or some fan mail.
43960	48080	And hey, would you look at what we got here, y'all?
48080	51160	This episode's Howlin' with Wolf is from Eric
51160	53680	in Jersey City, New Jersey,
53680	56840	who tagged at Pretending Pod on the internet.
56880	59640	Well done, my good and faithful Eric
59640	63120	in Jersey City, New Jersey, Eric writes.
63120	66560	Looking for a little more spookiness in your life?
66560	69720	Check out The Nature of My Game podcast,
69720	73400	a story-focused actual play of investigation,
73400	75600	strangeness, and fear.
75600	80600	Each season of the show features a new horror-themed RPG,
80920	84020	a new cast, and a new story.
84020	89020	And soon, we'll be kicking off a Yellow King RPG campaign,
89140	92540	playing the yet-to-be-released Casilda song
92540	94560	from Pelgrain Press.
94560	96860	Listen to The Nature of My Game
96860	99380	wherever you get your podcasts,
99380	104180	and a huge thanks to PTBP for the inspiration.
104180	108540	Well, New Jersey Eric, I'm glad that my radio show
108540	111180	could be of inspiration to ya,
111180	114700	although I'm not too sure what a RPG is
114700	117500	or what an actual play is.
117500	120480	Are there theoretical play podcasts?
120480	122820	Damn, metaphysical ones.
122820	126240	I gotta start listening to these damn things someday.
126240	129540	If you wanna write up something for your wolf to howl,
129540	132860	just tag at Pretending Pod on the internet
132860	136620	or write up a five-star review and make sure I seize it.
136620	138900	Heck, if you write up a five-star review
138900	141660	and you title that bad boy howling with wolf
141660	143420	or something to that effect,
143420	147260	I might even just read your review right here on air.
147260	149580	And speaking of airwaves,
149580	153940	we have a privileged, confidential RSS feed
153940	155500	that you can get access to
155500	158040	by supporting this show financially
158040	161480	at patreon.com slash Pretending Pod.
161480	164800	It's basically like having a tin can on a string
164800	167260	coming into the window of your bedroom,
167260	170780	and that string is strung all the way over to me
170780	173400	here in my current studio,
173400	176500	and it's not attached to a tin can on my end.
176500	178340	Ha ha ha, no way.
178340	180300	It's attached to my soul,
180300	183060	and my greedy soul needs feeding,
183060	187120	so heed my reprieve and hop on that secret feed,
187120	189500	and you will receive, I kid you not,
189500	193660	47 bonus episodes for just five bucks.
193660	198020	That's like less than a dime and a penny per bonus episode,
198020	199680	and the most recent ones
199680	203060	are a side-splittingly goofy two-parter
203060	207100	of the boys playing a mad gab-style party RPG
207100	209140	called The People and Patrick,
209140	211900	wherein they played little alien guys
211900	216740	inside a human Jaeger just trying to fit into society.
216740	218740	And not only do you get access
218740	222500	to that thick bonus feed of 47 episodes
222500	223860	you ain't heard yet,
223860	226500	you also get the satisfaction of knowing
226500	229620	that you support the dudes who make this show happen,
229620	233060	like me, Wolf the Dog, and my producer,
233060	238060	and some guys named Tim, John, Luis, and Zarch,
238460	239860	and that's pretty neat.
239860	242060	Oh, you don't have to type out
242060	245380	HTTPS semicolon slash slash
245380	249940	www.patreon.com slash pretending pod.
249940	253740	That's fine, because the links are in the show notes.
253740	256900	I gave up measuring time in SI.
256900	259140	That's a non-sec-quitter,
259140	262780	but that don't mean it ain't time for the news.
262780	266660	Last time, the can crew had a difficult conversation
266660	269860	with Kaylee Silver, difficult due to the presence
269860	272700	of the bagged waxy substance they carried,
272700	276820	but Kaylee did tell them her best friend, Kaylee Gold,
276820	279060	had gotten partially inside her
279060	282180	after Silver took a swig of a new beer
282180	285860	she had brewed with yeasts from the Godel Company,
285860	290340	and that wasn't even the wildest part of last episode.
290340	293300	Julius kicked off a jailbreak attempt
293300	295780	by breaking his dad's shackles
295780	300540	with Dr. Brock Hargrave's unnaturally sharp shovel,
300540	303540	and after Burl took down some guards,
303540	306260	Julius followed in hot pursuit,
306260	310060	taking us now to the moment between Cal Colorado,
310060	312380	Stevie, and Beck Wilder,
312380	315780	where they decide if they want to follow the summers
315780	318340	or bail with their friends in the air.
318340	321420	It's Alter Girl with My Life Is Great
321420	323980	and It Is All My Fault.
323980	326980	My life is all my fault
326980	331980	Cause my life is great
331980	333980	And it's all mine
341980	345980	Cause my life is great
345980	348980	And it's all my fault
353980	359980	Episode 36, Let's Go
359980	364980	Okay Beck, here we are, standing at the precipice.
364980	366980	We either follow the green line back,
366980	368980	or we follow the bodies.
368980	371980	I mean, I think we should follow the bodies.
371980	375980	I don't want to be caught
375980	377980	without the guys who know what they're doing.
377980	379980	Like, this is weird fucking shit,
379980	381980	and I think that we should follow the bodies.
381980	382980	This is weird fucking shit,
382980	384980	and I think that we should follow the guys
384980	386980	who know how to handle weird fucking shit.
386980	387980	Cal thinks about that,
387980	389980	and he doesn't even bring up the news.
389980	393980	He realizes, like, you're right, this is real shit.
393980	396980	He doesn't have to play act about it.
396980	398980	We need to get the fuck out of here.
398980	401980	Do keep rolling though, but yes, yeah, you're right.
