0.00 15.86 speaker0  This is yet another introduction to a show that you listen to called, well it's broadcast live
12.94 195.84 speaker1  with the gross wolf the dog. This week's Howlin' with Wolf is from Ash and tagged that pretending pod, which is a nice thing to do. I listen every day while I'm at work and it passes the time so fast, my job feels almost inconsequential. Almost as if the atrocities I've committed don't affect me. As if I can't hear the violent snapping of tendons and viscera emanating from my monitor. A mere taste of the despair that lies and keep up the great work. Hmm, nightmare network? Did you just try to sneak in promotion for another media channel that isn't my radio station on my radio station? at you, for sure. If you wanna write up something for your wolf to howl, tag us on the internet or fuck the zuck, but preferably write us a five star review on your podcast listening application. the never missed scientist. Her ex was pissed, you get the gist. Dr. Olivia Miller, the sad single mom surgeon. Her daughter saw her dissect some sort of a extra dimensional creature out of a screaming woman's neck and it shot into a sir's snot socket who was promptly shot in the skull by his sorrowful sidekick, full stop. Next, Doreen Maureen. Scroll Pinterest on that iPad, that's a good haiku. Finally, the step motherfucker himself, the Chuckster. Coming in at five foot seven, 213 pounds of round muscle that is. It's ball buster 420, hell yeah. And he survived the holy suffocating, holy decapitating tongue from hell. Well, it's time for the briefing. Yep, you can hear that creeping. If your ears aren't leaking, it's Molly Healy with circles. See ring star, deafening heaps.
193.00 218.04 speaker2  You don't know where you found it. In this state, as your eyes fall short, Welcome to Pretending to Be People.
215.12 239.04 speaker3  on episode one, part one of this story. It is now part two. Let's go around the room as well as the TV. Eleanor is on a TV on our kitchen countertop here. We'll take a group photo at the end of this with us and the TV.
238.20 244.40 speaker2  Oh, that's right. Oh, sorry.
242.04 258.20 speaker3  And you can put up a picture of yourself. Yeah, perfect.
257.36 271.72 speaker0  You sell it. Ellie on the kitchen counter, the nudes. No, okay.
268.92 273.52 speaker3  I've been trying, Eleanor, but-
271.72 275.48 speaker0  Dude, more feet, more feet.
273.52 278.20 speaker3  Oh, okay, yeah.
275.48 280.96 speaker0  More feet in this audio podcast.
278.20 298.16 speaker3  Oh no, they want to see it, they want to see it. your character's name, and then the worst thought you've ever had about your mom. So let's start with Allie. Ooh, can't wait. My name's Allie.
294.96 317.88 speaker0  My character name is Rusty Hooch, Dr. Hooch. The worst thought I've ever had about my mom is that I'm exactly like her. Really?
317.04 323.60 speaker3  Hi, Jen. My mom won't listen.
322.76 348.64 speaker0  I'm Lindsay. I play Doreen, Maureen, or Chlorine, or Boreen, or whatever you want to call me. First name, Doreen. And the worst thought I've had about my mom is probably that I based this character off of her.
346.80 353.72 speaker3  I have Facebook here. It's like, I'll tweet at it. No, I'm probably not. Because she definitely has a Facebook. Pinterest. Pinterest.
352.24 430.92 speaker0  You can just DM her on Pinterest. That's the most definite way to get a hold of her. What's up? Hi, I'm Eleanor DiLorenzo, and I play Dr. Olivia Miller. And do you want to know the best thoughts I've had about your mom, Zach? OK, actually, I don't know anything about your mom. But what's her, never mind. We're not going to go down this road. You're going to dox my mom? I'm not going to dox your mom, no. I'm sure she's a lovely lady. Most American ladies I've met are super kind and sweet. So I'm sure she's great. My mom, on the other hand, what a, no. oh, shit, yeah, I don't know. I feel like you can't talk shit about your mom if you have a good mom, because moms are the best. So I feel bad about even considering like the list of awful things. she made like a pretty nasty chicken tikka masala.
428.72 435.56 speaker4  Yeah, exactly, exactly.
430.92 445.12 speaker0  So, yeah, that's the worst mom thought I've had. And Taylor?
440.40 447.96 speaker4  My character name is Chuck Cheese. Oh, yeah?
447.12 450.84 speaker3  Charles Cheese. You're going with Charles the Chuckster Cheese?
449.88 462.88 speaker4  Charles the Chuckster Cheese. Charles Chuckster Cheese. OK, anyway.
461.24 464.36 speaker3  My mother-in-law rules, so.
462.88 492.16 speaker4  I will say, though, I've had time to think about this because I was the last one to go. And when I was a kid, I would walk to and from school and elementary school. And if I was mad at my mom, I would intentionally Yeah, actually, yeah, she had to get a breast reduction because her boobs are so big it hurt her back.
489.92 494.84 speaker0  by stepping on the cracks?
492.16 506.40 speaker4  Yeah, every time it's like a Pinocchio. They just grew and grew.
500.76 511.72 speaker0  And I was like, give me those titties.
508.80 526.28 speaker4  And I had a lot of sleepovers as a kid. And after my mom got the surgery, any time my friend came over, she was like, look. And just lift up her shirt and show her smaller scarred boobs. Do they shape them?
525.76 536.32 speaker0  They do. So they look like perky nice titties, huh?
534.80 538.00 speaker4  So Zach, are you really happy we're
