0.00 9.48 speaker1  Hello, my ever-present fan base.
6.20 115.26 speaker0  grease pumping baby wolf the dog. And I'm here to slurp up all the information of the worlds and regurgitate it back into all y'all's mouths like the baby birds y'all are. Chirp, chirp, my hungry little chickadees. Mama Wolf is bringing that good slop fresh out of her gullet. Oh yeah. We're also live from 694.2 PTBP or something, I guess. this week's Howlin' with Wolf is from at Bagel Boy, who tweeted about the show and tagged at Pretending Pod, which is the third quickest way to make wolf salivate. Bagel Boy writes, howdy wolf. Just wanted to send some good vibes your way and to tell you to stay greasy. I'm new to the big city I'm glad I got good old wolf to grace my hearing holes. The city seems nice so far. Aside from the fact that I've been mugged four damn times this week, I haven't seen a single damn police officer since I got here. Though I'll admit it does make me oddly feel like I'm right back home in sleepy, quiet contention. Anywho, keep up the good work over there and I'll keep on tuning in over here. Oh, and stay safe out here in the concrete jungle. I wouldn't want to see my good friend wolf on the evening news. Thanks for writing into the show, boy of bagels. I'm glad we got some listeners buzzing in from old sleepy and quiet contention. ever happened over there. No sir, redo.
111.88 127.12 speaker1  Nothing to see over there, that's for dang sure. Ha, ha, ha.
123.92 167.44 speaker0  tag at pretending pod on Twitter or Instagram, Screenshot that stunning missive Wave them around, get weird with it. Fuck everybody else because you, my delicious listener,
165.64 197.12 speaker1  get your freak on. In the words of Cal Colorado, began in a familiar place, the CAN Conference Room.
192.92 279.78 speaker0  off on a wild goose chase to a mysterious drop pen for exclusive coverage of a secret town run by the Godel Company. They were joined by Stevie, a production assistant with a wall of dark wavy hair that covered all of her face except a pierced bottom lip. further and further off the grid. All the road signs told them to turn back, but they carried on until the CAN van made of tree-lined vines and kudzu, taking us now to the other side of this foresty facade,
277.78 281.78 speaker1  Were you at his house that said that?
279.78 283.78 speaker0  I didn't say it was disgusting, but I was like
282.78 284.78 speaker1  You are
283.78 297.78 speaker2  I don't think it's disgusting.
295.78 309.78 speaker1  Well, so I don't think about being emasculating
305.78 322.78 speaker2  Yeah, you're more like a sexually dominant, like Always I don't really ever think of myself as a man I don't have a beard Do you have to shave?
320.78 333.78 speaker3  I thought you were saying, I don't have to
329.78 382.78 speaker2  Yesterday at Ethan's house, Jake Herron was over there and he's like Shout out to Jake's Vegan Burgers Are we recording? and on our Patreon or something Yeah, a church group fighting the devil in Hawaii and I'm like, yeah, it's a mistake I don't have facial hair and this is something that I don't know that I've brought up with you guys before, but I follow a Reddit about what I have and they say, tell your friends No and it's like, I enjoy doing that
380.78 397.78 speaker3  but it's like, you shouldn't do that
395.78 419.78 speaker2  No, I mean, it's by taking it Some people it's like random parts of the body So when I grow my facial hair out, it's only here and here So if you see me doing that, tell me not to
417.78 423.78 speaker3  So is it like a support group on Reddit kind of thing?
419.78 426.78 speaker2  Yeah, it's like a join this so that you can think about doing it so you stop doing it Interesting
425.78 438.78 speaker3  Should we get a spray bottle?
437.78 449.78 speaker2  It's literally like
