0.00 8.20 speaker1  Welcome, brothers, sisters, and siblings.
4.40 40.90 speaker0  It's your ethereal pup god, Wolf the Dog. Blessings to you all, my children. And I'm hollerin' from the heavens and the hells at you live from 694.2 PTBP. A station of radio. You know how most companies exclude their employees for participating in drawings,
35.20 89.00 speaker1  Apparently that's not the case here at 694.2 PTBP, cuz this week's Howlin' with Wolf is from Joe Terry in Springfield, Missouri, who tweeted about the show and tagged that pretending pod, which is self-promotion when he does it, but it's super fuckin' cool when y'all do it. Hey, dog. so I want you to say Studio 60 on the Sunset Strip Bradley Whitford and Matthew Perry turn in electric performances as co-showrunners of a Saturday Night Live-type program. It got one season.
87.60 161.50 speaker0  Love ya, dog. You will, Joe. Sweet Joe. I love you too, buddy. One day we shall frolic in the slop together as one, but you shall feed me your life force so that I may continue to live on and grow in power. Do not tremble when the darkness fills your vision, surrounding you, when all of your senses start to fail you We will become one, Joe. And you start to think maybe we always were. Welcome back, Joe. The links are in the damn show notes. The news. Last time, the City Action News field team
158.70 223.90 speaker1  across an awe-inspiring bridge that ran over an unnaturally smooth chasm filled with fog and an upside-down church. A pre-recorded Fred Godel from the TVs in the train car welcomed them to Godel's Gate to Grover's Gorge. Through the next Spongebob-y hatch door was a town ripped from futuristic concept art of the 1950s. The first thing Julius wanted in Grover's Gorge was an interview. And while they talked to a great employee of the Godel Company, a GE of the TGC, they noticed hopping along the synthetic track they all stood on, a jackalope, taking you back to this mythical critter.
219.90 262.00 speaker0  And it's all my fault Cause my life is great And it's all mine Cause my life is great And it's all my fault And it's all mine
258.10 266.90 speaker2  You are now listening to what I think is probably episode 7. Mr. Joe Terry, tell me what's a weird dream that you've had?
265.90 273.30 speaker1  Yeah.
270.20 299.70 speaker2  Oh, I mean, there's one I've remembered for some reason since I was a kid. Awesome. I'm running down the hillside and it's like the Windows XP background, like beautiful lush green hills and beautiful clouds, and I'm leading an army of giant ants toward like a hole at the bottom of the ground. I'm not an ant, no, but I'm like running fast and it's like joyous. Like it's not scary or dangerous or anything. We're like a stampede of giant ants running toward it.
298.30 302.10 speaker3  It's like the most joyous dream I've ever heard of.
299.70 322.10 speaker2  Yeah, that's so cool. I don't know if that's weird though. Where are we at? What are we doing? Are we in the normal world? Are we just like hanging out at the news station? No, man. Are we in the city?
318.30 340.00 speaker3  No, we're out on assignment and shit is not normal, Zach. We're not in the city. We're in Walmart country. surrounded by impossible geography,
339.10 351.30 speaker2  answers for the people. So, uh, Luke, can you describe the landscape in which you are standing currently?
350.90 365.50 speaker3  Nice. Got it. Nailed it. You can describe the city in one word. I would say weird. The landscape weird. The people weird. It's a huge space age city with bouncy colorful synthetic walkways. Awesome.
364.70 368.90 speaker2  Nice notes. Very good notes. Do you have luck right now?
368.50 369.70 speaker3  Actually.
368.90 375.40 speaker2  You have luck now.
374.70 385.20 speaker3  Joe's like, what the fuck?
384.20 400.20 speaker2  Do you guys remember, um, Dave Coulier hosted a show that was kind of like America's home videos, but it had a Jackalope. Do you remember this? You're thinking of Bob Saget hosting America's home videos. Are you throwing us off because Thomas took good notes? Oh shit.
399.40 424.10 speaker3  No, I have no, I have no recollection of this. Coulier time. Um, I'm going to start taking notes once I use my point of luck. Just when you thought it was safe to check the mailbox,
421.80 430.00 speaker2  and it's just a rabbit that they've tied horns to and they do bits with it. It's a real dead rabbit. It's like a taxidermy rabbit that they've attached horns to.
429.00 434.60 speaker3  That's awesome.
430.10 443.40 speaker2  the one that you guys are looking at here in Grover's Gorge is alive and it is just kind of hopping on this synthetic walkway
440.90 448.90 speaker3  where is it between us and the massive square park? nice.
448.70 456.10 speaker2  Oh, you can't have more than just luck, but I'd give it to you again. Ooh, I'd give it to you again. Oh, no, no, I just want,
455.20 465.30 speaker3  I just want your praise.
460.60 485.10 speaker2  in either green or yellow tinted or accented uniforms. What's on the other side of that park? I bet Joe knows. Is it two big statues? It is two big statues. Yeah, they're about twenty six point three meters tall. In fact, and they're made of green rock.
481.20 495.30 speaker3  labs? Yeah,
491.30 505.50 speaker2  It rhymes ass. Brass.
502.00 509.90 speaker3  Ass glass of grass.
508.20 524.00 speaker2  you see housing, beautiful, beautiful,
522.10 527.00 speaker3  what do you think that to the left is? What would you say those buildings look like? I don't know,
526.60 565.00 speaker2  what are they? They're all unique to each other though. They all have their own special flair to them and they're enough apart to where you think it wouldn't be an issue to like hear your neighbors or anything. There's definitely privacy. And so those are to the west. Those are to the west. If you came from the south, Headin' west like you're blowing Kanye. Oh,
563.30 568.50 speaker3  nice.
565.00 571.30 speaker2  Childish Gambino line for you there.
569.80 574.60 speaker3  You should have just said it was yours. I thought it was yours.
572.30 608.80 speaker2  I'm Donald Glover. Donald Glover. Oh, dong lover? Okay, you would assume you're not sure how big they are proportionally based because you're just too far away to make out the subtleties of these statues. However, you can assume based on the enormity of the statues that the dongs might have a similar weight to them. Interesting.
605.80 612.40 speaker3  The dongs weigh as much as the statues or at least a similar amount. They've got dense dongs.
609.90 623.00 speaker2  The dongs take up. What? No,
620.50 626.10 speaker3  So two giant dong statues.
624.90 639.90 speaker2  They're big penises. Men. They are two men. Are they doing anything?
639.10 640.70 speaker3  Yeah.
639.90 690.80 speaker2  Are these the Godels? These are these the Godels. The one with the hands on the hips is Frank Godel Grand Granddaddy Godel. Which is his son. Yes, Fox and Faith Fox and Faith Godel. dude. Some people do that.
690.00 693.20 speaker3  That is correct. Yes,
691.00 696.90 speaker2  according to the story told on the train.
693.20 700.60 speaker3  Some people name their kids mostly like their sons like the same name. It's fucking weird as hell, dude.
699.50 804.50 speaker2  Must be confusing. I would never name an NPC with the same name as another NPC. No, You're talking to Jennifer who is from here. She's a GE. She's a great employee. She said for the Godel company here in Grover's Gorge. She was born and raised here and has worked for the Godel company for a few years now. She's in her like early to mid 20s. And now the corner of your eyes, you all noticed a Jackalope kind of hopping across this bouncy walkway that others are exercising and jogging on. Some people are paying it a little bit of attention, you know, And you see that it has a yellow ribbon tied around its head around its antlers. Cal says, Woo woo yeah go GE's hungry for points. And she kind of like motions with her hand to a couple others and they all kind of run around and make a circle around this Jackalope that's sitting on the ground and they hold each other's hands and they go, I'm a GE of TCG. Well, so as as they're like doing that,
803.60 856.80 speaker3  Definitely doing that. Yeah. No, sorry. Yeah. So I thought you were saying oh my god. I knew you were just fucking up.
855.10 873.30 speaker2  Thank you Thomas.
871.10 897.10 speaker3  So I'm like you're hiding something from us you fucker. Julius is definitely recording on his phone like trying to get up as close to the Jackalope as possible. Is it does it seem scared?
896.10 900.70 speaker2  No, not at all.
897.90 907.40 speaker3  What are you guys? What are you guys doing? I've asked the people around the Jackalope.
