start	end	text
0	6280	This is yet another introduction to the show known as PTBP.
6280	10680	The good numbers follow, 694.2.
10680	16960	I'm Wolf the dog, the dog father, the dog mother, the dog puppy.
16960	19560	Many more nicknames follow.
19560	27000	I'm glad you can be here with us today, whatever today is, whenever today is.
27000	33320	And speaking of today, this week's Howlin' with Wolf is from Dean in the UK.
33320	35000	Dean writes,
35000	36760	Hello Mr. Wolf.
36760	39080	What's the time, Mr. Wolf?
39080	42600	It's time for more sickly sweet dumps to dive in.
42600	45400	Anyway, enough about my weekend.
45400	49760	I just wanted to give a big shout out to the fine fellas from Contention
49760	53440	doing their absolute best to keep us safe and sane.
53440	61440	You, yes you too, Mr. Wolf, have brought such joy, delight, and revulsion into my life.
61440	63440	And I couldn't be happier.
63440	69040	Just a shout out to my wife, Ellen, for trusting in me and listening to the show.
69040	71680	Two avid listeners from the UK.
71680	73360	Much love, y'all.
73360	77040	Signed, Dean, a fool.
77040	81360	Well, hello Dean, if that is your real name.
81360	87680	I'm glad you forced our show upon your spouse, Ellen, if that is her real name.
87680	94960	And do us all a favor and keep converting more and more people to be disciples of the wolf, the dog.
94960	98240	If you want to write up something for your dog mother to howl,
98240	103200	please submit your memorandum as a five-star review on Apple Podcasts.
103200	107680	And I'll read it here on 694.2 PTBP.
107680	113120	Ocean City, New Jersey's sloppiest and creamiest radio station.
113120	115200	Would you like that, dear listener?
115200	117680	Either way, I got some news for you.
117680	119840	It's time for the news.
119840	124560	In the early morning of March 22nd, Daniel M. White,
124560	130240	an active Delta Green agent and the former partner of Arvon Chilton,
130240	135760	received a phone call at 4.55 AM from an unknown number.
135760	141200	Neighbors in his apartment complex reported they heard shouting, then weeping,
141200	147520	and finally watched as Arvon Chilton chased Daniel White from the building.
147520	154000	White was found by a jogger three hours later on a trail behind the apartments.
154000	159520	He had been stabbed 25 times and his eyes had been meticulously cut out.
159520	162160	Neither of his eyes had been located.
162160	166160	The McCarty case and the White case was soon connected.
166160	171920	Arvon Chilton is still at large and he is still dangerous.
171920	175920	I've got to make a quick correction here as I drop this next track.
175920	185120	Last time, I said Brian Bolger, bowl like a bowl of slop and grr like an upset dog.
185120	188640	But I have since realized his name is Brian Bolger,
189280	194960	bowl like load one up and grr like the prefix to cough.
194960	198400	So go ahead, load a bowl and jerk off.
198400	202320	It's Brian Bolger with Bad in a Good Way.
218640	224880	And the shell shock of this pit stop frees my mind.
224880	233040	I'll be alright, I can go there now that I've stared death in the face.
233040	240480	I'll be alright, I can go there now that I've stared death in the face.
240480	248720	Alexander Duchene looks at Agent Sparrow.
248720	251760	He is 79 years of age.
251760	258320	He is clothed in old often mended clothing and a pork pie hat.
259280	266320	And he has a long winding scar up the right half of his face.
266320	273360	It's clear that he drinks due to the large nose with burst capillaries,
273360	279920	just filling this big, almost like pulsating thing on the tip of his nose.
279920	283680	And he moves slowly, seemingly with great pain,
283680	286800	as he kind of like pops his head around the side and is like,
289760	293440	Arvin said that it would be fitting.
293440	297840	And as he says that, a massive thunderclap hits
297840	300800	and rain starts to begin pouring down outside
300800	303280	and you can see it drizzling through the window.
303280	306160	Can I do an intelligence check about what As You Like It's about?
306160	306800	Sure, yeah.
308480	310960	I hope you pass before he does, well...
314000	316400	I pass with an 84 on an 85.
317920	319680	Shit, amazing.
319680	326400	Before anybody clarifies what it is, Agent Sparrow, Sparrow Agnew,
329360	330960	Agent Sparrow wants to ask,
330960	332240	and have you read it?
332240	333520	Did you find it to be fitting?
336320	337680	I haven't had time.
337680	342720	I just, I haven't had any time.
342720	344160	Do you know what he found?
344960	345840	Did he clarify?
345840	347280	Why do you think he found it fitting?
347280	348000	I don't know.
348640	352160	People who are into that kind of thing, you know, they're nerds.
353040	356400	And I'm not really much of a reader.
357120	360640	Elwood kind of perks up at the idea of nerd, nerdom.
361360	363120	I am.
363120	364400	I've read it.
364400	365200	I've read them all.
365200	365840	All?
365840	366720	All of Shakespeare.
366720	367840	So what's it about?
367840	373200	Well, it boils down to a bunch of people were pretending to be other people.
373200	373760	Yeah.
373760	374720	That does sound fitting.
374720	379440	People pretending to be people.
380160	381040	That's the gist of it.
381040	381200	Yeah.
382320	383840	That's how it works.
383840	386400	Agent Sparrow, your phone starts ringing.
388880	392240	It is the Ocean City Police Department.
392240	392720	Uh, yeah.
392720	398560	Hey, uh, Agent Sparrow, Detective Quinlan is actually back from lunch and she's interested
398560	399360	in talking to you guys.
399360	401600	She's the Newark police on the case.
401600	402080	All right.
402080	403760	Please tell her we'll be there soon.
403760	404560	Thank you.
405040	411600	Do you have any other questions for an old man before you go out?
411600	412000	Really?
412000	413920	I must insist.
414800	416800	Arvin is innocent.
416800	418480	How long did Arvin live here with you?
418480	419200	Five years.
419200	421360	Did he have a key to your apartment?
421360	422080	Yes.
422080	422720	Yes.
422720	426160	Maybe we should look around to see if he hid anything in here.
426160	428960	If he hid anything in here?
428960	434080	And he looks around at the place and he's like, no, I don't think Arvin would have
434800	436800	hid anything in my apartment.
436800	438080	It's always a possibility.
438080	441040	So if you don't mind, my associates are going to start looking around.
441040	446000	Um, while they do that, would you tell me the significance of these baseballs?
446000	447120	Oh, uh, yes.
447120	449440	I'm a big fan.
449440	450480	Who's your favorite team?
450480	451360	Yankees.
451360	452240	Where do they play?
452240	453280	The New York.
453280	454240	The new one.
454240	454720	That's right.
456960	458880	Did you play baseball as a child?
458880	459520	Who didn't?
460880	461600	Did you?
461600	461840	Yes.
462800	463280	All right.
463280	463840	Were you good?
465440	470480	Hey, you look at this like five foot seven, 210 pound man.
470480	472800	And he's just like, no.
478080	481920	I was a bit of a ball magnet crowd, the plate and hope they hit me.
481920	484560	Cause I wasn't much of a contact hitter.
485600	486960	I don't know much about sports.
486960	492160	I find that they take away from value funds that could be applied to youth academics.
492240	494400	He rolls his eyes at Elwood.
497120	502160	I think Elwood would kind of agree with this.
502160	506640	He's like wanting some sort of, you know, camaraderie there.
506640	507280	Not getting it.
508320	508640	Okay.
508640	514640	Well, you guys should go on out and, um, you know, take, take your call, talk to whoever
514640	519360	you want to, but keep in mind, you should be looking for someone who is not Chilton.
519360	521280	There's a, there's been a change in the voice.
521280	522880	Do we clock that or is that Zach?
523520	524800	He will human.
524800	525300	Okay.
529520	531760	That's a 100.
531760	535120	Oh yeah.
536080	537680	There's clearly something wrong.
539600	542160	There's clearly something wrong with this old man.
544640	547360	You're like convinced now with a fail.
547360	550560	Could I ask him, do you have something in your throat?
551280	554720	Yeah, yeah.
554720	557760	It's been allergies, spring allergies.
557760	558640	They come in.
559280	560400	It makes me talk weird.
560400	560800	I know.
560800	561280	I'm sorry.
562960	568400	That's seasonally appropriate, but no, this is what I always sound like in spring.
570240	574400	I can hear glimpses of your, the voice we heard you with before peek through.
574400	576320	It sounds like it's kind of come over you.
576320	577360	It's up here.
577360	578320	It's it's still here.
578320	581360	This is when I'm like really trying to hold back a cough.
581360	587920	And then down here is more so when I feel more comfortable, but I'm holding in a cough.
587920	594000	If I accidentally cough, I might have an accident if I'm being honest.
594000	597120	And I just don't like wearing them.
597120	597920	The diapers.
599920	602480	You're saying you suffer from incontinence, sir?
602480	603040	Yeah.
603040	604640	The bandages smell.
605200	607040	Do we see bandages on him?
607040	608960	No, he's well covered up though.
608960	613280	He, uh, he's wearing like a long sleeved shirt and pants.
613280	618880	And if I did like a medicine roll, do you think I could determine maybe what caused his scar?
619680	621040	Yeah, go ahead and roll medicine.
621680	623440	36 on a 60.
623440	623760	Okay.
623760	629760	Uh, yeah, it seems to have come from you think maybe some piece of metal.
629760	631920	How'd you get that scar, Mr. Duchesne?
631920	634480	How did I get these, this scar?
637600	639440	Uh, a horse.
639440	640400	A horse.
640400	641520	I fell off a horse.
641520	642320	Of course.
642320	642880	On two.
642880	643440	I fell.
643440	650560	And as I was falling, I got, I got kind of, you know, that, that horse kind of BDSM stuff
650560	651200	that they wear.
654160	654660	Yeah.
655200	656960	I think it's called Tack.
656960	657600	Tack, yeah.
657600	657840	Yeah.
657840	664800	Uh, there is a slice of metal, uh, you know, kind of shanked off the side and it got me
664800	666080	as I fell off.
666080	666960	Can I humid that?
666960	667460	Yeah.
670160	670960	One.
670960	671680	Oh yeah.
671680	673040	This is a lie.
673040	675040	Why are you lying to me, Mr. Duchesne?
675040	676800	His face gets super serious.
677760	680480	As you look into his eyes, he looks past you.
681360	682000	Who are you?
682560	683200	Who are you?
685280	686800	Why are you in my house?
686800	687920	Kevin gets scared.
687920	689920	Special agent Clarissa Sparrow.
691280	694640	And he's like kind of shuddering and hiding from you a little bit.
694640	695440	And he's like, get out.
696160	697200	Get out of my house.
698320	698960	Get out.
698960	700800	You invited us in Mr. Duchesne.
700800	701520	Okay.
701520	703680	I'm just not comfortable right now.
703680	704800	Please leave.
704800	705840	Please leave.
705840	706880	Now you meant that.
706880	707380	Yeah.
708800	709600	20.
709600	710100	Pass.
710720	712080	He's fucking with you.
712080	714240	You can drop the act, Mr. Duchesne.
714240	715520	What, what, what act?
716080	716640	This act.
716640	719760	Something about my line of questioning has made you uncomfortable.
719760	721760	And then you lied to her about the scar.
721760	723440	And I kind of make eyes at Kevin.
723440	724400	He starts weeping.
724400	727280	Kevin puts his hand on Duchesne's shoulder.
728000	730880	Not like to hurt him, but like it is shoulders.
730880	737040	Like it covers his hands kind of like around the back of his neck and on his shoulders.
740800	742960	My memory is so good.
743760	744800	Stop crying.
744800	745200	It is.
745200	746080	Mr. Duchesne.
746080	747920	My memory is just so shy.
747920	750800	I want to tell you that I don't know.
751520	752560	I don't know.
753440	755840	Not to just keep going at him at that.
755840	756340	Yeah.
757680	758180	12.
758640	760560	He is telling the truth.
760560	764720	He does not remember how he got this scar.
767200	769280	Mr. Duchesne, you have some problems with your memory.
774960	777680	Please have, have an olive.
777680	784800	She sees that he's like got his eyes clenched with tears and she kind of like motions to
784800	786720	plop one in her mouth and just throws it behind her back.
789920	790240	All right.
790240	792480	I accept your hospitality, Mr. Duchesne.
792480	793680	Thank you very much for that.
794640	795840	Have a good day.
795840	796960	Thank you for your spread.
797680	798480	Have a good day.
799840	802960	And you guys head back to the Ocean City Police Department.
802960	805840	Can I ask real fast when, when he passed his medicine,
805840	809280	could he maybe have gotten like a timeline on how old the scar is?
809280	810320	Yeah, that's a good question.
810320	811440	That is a good question.
815280	820400	Probably that scar happened when he was still growing.
820400	821120	Okay, cool.
821120	823600	So definitely childhood or early childhood.
823600	824240	Okay.
824240	824480	All right.
824480	826000	Yeah, I think we're.
826000	827120	So back at the PD.
827120	828400	Going back to the police department.
828400	830400	We've got to meet the Newark Police Department.
830400	831440	Well, she was detective, right?
831440	833920	Detective Mara Quinlan.
833920	835520	And she's PD, not.
835520	836320	She is PD.
836320	836560	Yeah.
836560	843280	And when you guys arrive, the woman at the front desk points you off to a separate hallway
843280	848800	where Quinlan is set up in a smaller room than the FBI.
848800	853680	The FBI guy was set up in this big conference room with an entire conference table,
853680	855040	and he's sitting at it by himself.
855680	858320	And Mara Quinlan is in a closet.
858320	861280	This is not her department, her police department.
861360	864720	No, she's from Newark, but she's been brought in because
864720	867040	part of the case took place in her jurisdiction.
867040	868880	So there's some cross lines.
869520	875120	When you open up this small closet, you see an immaculately dressed police officer.
875120	877840	Her hair is done very, very neatly.
878560	880960	Her makeup is done very neatly.
880960	883120	Her nails are done very neatly.
883120	887600	She's just a very well put together person and professionally addresses you
887600	888720	when you enter the room.
888800	893040	She says, Hello, Mara Quinlan, detective, Newark PD.
893040	895680	Nice to meet the FBI on this case.
895680	899920	Before they can say anything or like extend a mannae's hand.
899920	903040	Sparrow's very quickly like, Pleasure to meet you, Detective Quinlan.
903040	904000	Pleasure's on my agent.
904000	905120	Agent Clarissa Sparrow.
905120	906160	These are my associates.
906160	906640	Sparrow.
906640	907440	Agent Boyd.
907440	908160	Hi, Kevin.
909440	910560	Agent Kevin.
910560	911680	Elwood just nods.
911680	914640	Okay, I learned that you guys already spoke to Garza.
914640	915280	Is that right?
915280	915840	Yeah.
915840	917120	The stinky fat guy.
917920	918420	That's her.
919360	920240	She like laughs.
921520	922720	Clarissa elbows you hard.
923760	929120	She laughs and she's like, Yeah, you know, he seems like a nice guy.
929120	932640	I don't think he's on the right path with this case, by the way.
932640	936320	Like his whole idea that it's a kidnapping thing.
936320	937520	I'm not for that.
937520	940960	I think that this is a crime of passion clearly committed by Chilton.
941680	946240	Eileen McCarty is the body who died in her own home.
946240	948400	Her husband is the body that died in his own home.
949040	953840	We don't really have much of a budding of heads between me and...
953840	957760	She rolls her eyes real big and says, Uncle Jimmy.
957760	959280	You know, it'll be fine.
959280	960480	He's a good guy.
960480	963760	I think that he's got a good head on his shoulders.
963760	964960	I just disagree with him.
964960	969360	How does the gas station attendant figure into your crime of passion idea?
969360	975440	These are not murders committed by a person who has all of their faculties about them.
976240	977440	You've seen the crime scene photos.
977440	983040	I mean, the medical examiner even said quote and she reaches through some papers and grabs
983040	984480	one and pulls up.
984480	987920	I'll be damned if I know what's going on.
987920	990080	There's just there's anomalies all over the place.
990080	992000	In this case, it's wild.
992000	997200	In my experience, all anomalies and mysteries can be solved with rational, sensible answers.
998000	998960	It could be magic.
1000160	1002160	I slap you.
1006240	1011200	He just kind of like, if you speak out of turn one more time on my task force.
1011200	1012320	Or you'll do what?
1012320	1015360	She looks at Elwood with her eyes like contain him.
1015360	1022160	And then Elwood just puts a hand on like has to reach really high up to put a hand on Kevin's
1022160	1026320	shoulder and he just does a light double squeeze, squeeze, squeeze.
1027440	1030000	Mara Quinlan has had her back turned this entire time.
1030000	1034240	When she saw the awkwardness happening, she immediately turned around and started fiddling
1034240	1035680	with files on this desk.
1035680	1039520	I mean, it seems like magic though, right?
1039520	1043040	I mean, three witnesses the day after her time of death.
1043040	1048960	I fully believe that that body is Eileen McCarty, but you know, three witnesses the day after
1048960	1050800	time of death is strange for sure.
1050800	1052880	Do you have any information about those witnesses?
1052880	1057120	All I have is that there's three witnesses the day after time of death and the medical
1057120	1063760	examiner also said it looks like the eyes were cut out with great care, which is odd.
1063760	1065520	Three witnesses the day after the death.
1066240	1066880	Yes.
1066880	1071040	So this is in addition to the witnesses who saw her on the day of the gas station crimes.
1071040	1071440	Yeah.
1071440	1072160	Yeah, that's right.
1072160	1072720	Yeah.
1072720	1074080	They saw her in New York.
1074080	1075920	The day after they saw her in New York.
1075920	1078320	The day after her death, they saw her in New York.
1078320	1080800	And then the next day was that the gas station.
1080800	1084400	Yeah, she was seen at the gas station where that murder, that horrible, horrible murder
1084400	1085280	took place.
1085280	1086800	What do you think about that footage?
1087280	1089040	She shudders.
1089840	1095840	One of her hands begins to like grip the desk and her knuckles turn white.
1096880	1097440	I don't know.
1098160	1103040	Well, if it, if it helps at all in my role as a profiler criminal psychologist, you learn
1103040	1105680	a lot about how regular people act too.
1105680	1109920	Sometimes they just shut down with the fear and they can't, they can't think of doing
1109920	1110640	the right thing.
1110640	1111200	Oh yeah.
1111200	1113760	She's just nodding her head and eating it up.
1113760	1114160	Yeah.
1114160	1114720	Yeah.
1114720	1114960	Yeah.
1114960	1115680	Of course.
1115680	1117680	That's why we do the job we do.
1117680	1122800	I like to think that I would have done something, but I, I understand wanting to not get involved.
1122800	1124080	You signed up to do something.
1124080	1124640	Exactly.
1124640	1127520	That's, that's what your service to this community is.
1127520	1130640	And my service is kind of at an end for you guys here.
1130640	1132640	I've given you everything I have.
1132640	1134400	If you have any questions for me, sure.
1134400	1138000	But I do have these super high res crime scene photos.
1138000	1140880	I know you probably saw uncle Jimmy.
1140880	1144800	All of our copies of those are, well, disgusting.
1144800	1145200	Yeah.
1145200	1145520	Yeah.
1145520	1149120	So I I've, I've got some on, on a thumb drive here if you want them.
1149120	1149920	Thank you very much.
1149920	1150800	I take the phone drive.
1150800	1151120	Yeah.
1151120	1157680	And maybe even after he handled Kevin dropping the magic like line, she like takes it, looks
1157680	1160000	over at Elwood and then tosses it to him.
1160000	1162080	Uh, Elwood catches it out of the air.
1162080	1163280	It sticks to his hand.
1164640	1168720	She instantly, she's like, no, now they're just covered in mayonnaise in another way.
1172480	1173520	Holler if you need anything.
1173520	1174480	Here's my card.
1174480	1175040	All right.
1175040	1177120	Thank you for your cooperation detective.
1177120	1178160	We'll be in touch.
1178160	1179040	Have a great day guys.
1179040	1180400	And you as well.
1180400	1182560	Hey, have you guys eaten since you've been out here?
1183280	1185760	Yeah, we had some charcuterie.
1185760	1187280	I had a bunch of olives.
1187280	1189280	Elwood made me spit it out.
1189280	1190560	Oh, I huh.
1190560	1192560	Well, you know, you just keep, you have a good day now.
1192560	1192800	Okay.
1192800	1192960	Yeah.
1192960	1194000	I regret asking.
1194560	1195760	They didn't taste good.
1195760	1196240	Okay.
1196240	1197280	Why do you care?
1197280	1200400	It's just, I had really good lunch, so I was going to suggest the place.
1200400	1201040	Where did you go?
1201600	1202880	Ocean city cafe.
1202880	1203760	It's really good.
1203760	1206720	It's just literally like around the corner from here.
1206720	1207120	Pretty good.
1207120	1208320	So if you need a bite to eat.
1208320	1209840	Is it by the dripping scoop?
1210480	1213520	Yeah, it's literally two doors down from the dripping scoop.
1213520	1213760	Okay.
1214560	1216080	I assume that was ice cream.
1216080	1217360	I want ice cream.
1217360	1218880	Oh no, that's not ice cream.
1221440	1222400	Hey Zach, what is it?
1227040	1229040	Where should we go almighty sparrow?
1229040	1234160	You guys all say as you're looking out, uh, kind of standing at the double doors of this
1234160	1237680	police station, looking out at the torrential downpour of rain.
1237680	1240560	Now coming down here in ocean city, New Jersey.
1240560	1242960	I get an umbrella out and hold it above Elwood.
1245680	1247360	There's no acknowledgement from Elwood.
1247360	1248240	It's just expected.
1248240	1248480	Yeah.
1249040	1251200	What was the name of the restaurant you told us to go to?
1251200	1256000	Ocean city cafe, a real place in ocean city, New Jersey.
1256000	1259200	That is like catty corner from the police station.
1259200	1261040	I only, I only had olives.
1261040	1262080	I will remind you.
1262080	1264160	And I could use something else.
1264160	1266640	I threw up my food and spit it out.
1266640	1271600	I didn't need any of this food, but I pretended to eat an olive, which I just feel rotten about.
1271600	1273760	Let's go where the lady told us to go.
1273760	1275600	Yeah, let's stop by the ocean city cafe.
1277440	1278400	Oh, that looks good.
1278400	1278800	Right?
1278800	1279120	Yeah.
1279120	1283040	So I pulled up a picture of the ocean city cafe from Google street view.
1283040	1284320	It's like an old house.
1284320	1284720	It does.
1284720	1287280	It looks like an old house, like an old three-story house.
1287280	1293680	And there's a nice green awning on the outside that says ocean city cafe, breakfast, lunch,
1293680	1300560	dinner, and there's some nice patio tables, like four or five tables outside with umbrellas.
1301200	1304960	No one's sitting outside cause it's fucking coming down cats and dogs.
1304960	1310640	And you guys rush in out of the rain into the ocean city cafe, which is a
1311600	1316480	bustling little cafe here at about 1 32 o'clock PM.
1316480	1318400	Hey, my name's Leah.
1318400	1319360	I'll nope.
1320160	1320560	Hello.
1320560	1321440	My name's Leah.
1321440	1322960	I'll be out in just a moment to help you.
1322960	1324880	You can find anywhere to sit that you would like.
1324880	1326480	Well, what happened with your voice just there?
1329040	1330240	I decided to change it.
1330240	1331840	Oh, are you like an actor?
1331840	1335040	No, it's just, I studied journalism at the university.
1335040	1340320	And so I was just, it's just, sometimes I like to put myself into other people's shoes for
1340320	1340880	just a moment.
1340880	1344240	Maybe, but her name tag says Leah Maloy.
1344240	1349600	She's 20 female, curly, brown hair and long limbs.
1349600	1358560	Shout out to crane song from Washington, DC, another $10 or up patron on patrion.com slash
1358560	1364880	pretending pod and crane song is actually one of our $50 a month first church of contention
1364880	1366400	youth group members.
1367040	1372080	And so, uh, I, she's, uh, she's played in a couple of games that I've run now, a couple
1372080	1376160	of Delta green games, uh, that I home brewed and, uh, an excellent player.
1376160	1380880	So thank you crane song for Leah Maloy, who will sit you guys down.
1380880	1381280	Okay.
1381280	1382560	Hunts, what'll it be?
1382560	1387920	Coffee, water, black coffee, a water toast, no butter toast, no butter.
1387920	1390000	Uh, Elwood's going to order for Kevin.
1390000	1394160	We'll take, uh, two chocolate milks, put some ice in them.
1394160	1395040	Put some ice in those.
1395760	1399040	We like it when it waters down, she shudders.
1401600	1407280	Kevin's looking at a menu in front of him and I want the munchy platter and the Jersey
1407280	1407780	burger.
1410240	1411920	Oh, you already know what you want to eat.
1411920	1412400	Okay, good.
1412400	1417520	The munchy platter has chicken tenders, onion rings, French fries, mozzarella sticks, and
1417520	1419040	Buffalo wings.
1419040	1419520	Wow.
1419520	1420080	Yeah.
1420080	1421040	Make that, make that too.
1421040	1421760	I don't need the burger.
1421760	1424000	I'll just take the platter.
1424000	1424400	Okay.
1424400	1425920	Platter and the munchy.
1425920	1428240	And did you want anything to eat on?
1428240	1428560	Yes.
1428560	1429440	Butter, no toast.
1429440	1430000	That's right.
1430000	1430640	So sorry.
