start	end	text
0	720	Shit.
720	3440	God damn it, quit poking and prodding me.
3440	4840	I can't see shit.
4840	8200	Who put this fucking blindfold on me?
8200	11360	Hey, I'm talking to you, whoever, or whatever you are.
11360	13400	Cut that shit out now.
13400	15800	I got a damn show to run here.
15800	21560	Don't you know I'm broadcasting live from 694.2 PTBP,
21560	27080	the only radio station currently being run by an in-prison DJ
27080	28400	Wolf the Dog?
28440	31240	Now, we got a new Howlin' with Wolf, y'all.
31240	33480	And this week's comes from Nathan,
33480	36960	who claims he is either deep in the heart of Texas
36960	39800	or deep in the hell that is Texas.
39800	44560	He writes, shout out to Eric N for being the most badass
44560	48800	bone-digging buddy one could ask for in this dirty business.
48800	53280	And to my wife, Erin, who is so good at wrangling all those
53280	57080	werepuppies and kitties, I'm so glad you're diving
57120	59640	into a world of unseen horrors.
59640	63440	Love you, insert creepy cackling laugh.
63440	65200	Oh, shit.
68120	72400	To those hardworking cultural resource archaeologists
72400	75600	out in the field, keep on digging those holes
75600	79960	and hopefully those sinister abandoned cabins we find
79960	84960	on survey aren't the layer of any backwoods Eldritch cults.
85000	90000	Stay safe and sane, says here a creepy cackling laugh
90560	92560	again but better this time.
92560	94200	Oh, God damn it.
98680	102920	Well, Nathan, thanks for forcing me to cackle not once
102920	106920	but two times on a day where I don't especially feel
106920	108160	like cackling.
108160	111400	I forgive you this time but next time.
111400	115720	Oh, buddy, you better hope it's a cackle day or else.
115720	117880	If you wanna write up something for this
117880	121360	and caged wolf to how, click on the show notes
121360	125400	and tag us on the internet at pretending pod.
125400	128440	One of those links down there is to patreon.com
128440	130360	slash pretending pod.
130360	133840	For the whole month of November, we here at PTBP
133840	137720	are taking any new and upgraded monies,
137720	141240	doubling it and using that scratch to buy blankets
142080	145200	and sleeping bags for cold folks in Springfield, Missouri.
145200	147640	And y'all have been super duper kind.
147640	151480	So far, you've raised $375.
151480	156480	So wolf gonna double that and we can spend $750
156560	159160	on supplies for those who need them.
159160	162040	And congrats, I said I'd give away a couple
162040	167040	of PTBP logo t-shirts to a couple fine patrons on Patreon.
168040	172160	So yay and good job to Jasmine Johnson
172160	174280	and Chainsaw Unicorn.
174280	177400	Please reach out by any means necessary
177400	180160	so we can send you a damn shirt.
180160	183520	Woo hoo hoo, it's time for the news.
183520	186320	The news is wild, y'all.
186320	189000	There's a pregnant girl in this motel room
189000	192320	that we all thought was meant for storage.
192320	196600	Hmm, hmm, Scott Adams, hmm, indeed.
196680	199480	Now I'm gonna give you all what we all need.
199480	202160	It's Brat Pit with Ms. Mary.
202160	203080	Mary, yeah.
213360	217960	I gotta work in the morning
217960	220960	and this shit's so important
220960	224960	so I can't get high.
224960	230840	No, I can't get high.
230840	235120	I thought this stuff helped anxiety.
235120	238360	There must be something inside of me.
238360	242480	Does anybody know why?
242480	246360	I can't get high.
246360	249400	I think we both thought you wanted to open it.
249400	253320	No, I was saying like this, I don't really like it
253320	254560	but it's really not that bad.
254560	255400	It's not.
255400	258000	But also every time I drink it, I go through,
258000	260520	I don't like it, it's fine.
260560	261400	I don't like it.
261400	262240	And of course, we're talking about
262240	265120	the new Limoncello Naturally Essence
265120	267160	Sparkling Water from La Croix.
267160	269480	We'll like it if La Croix does podcast ads.
269480	272800	That is true, until then, fuck La Croix
272800	274600	and fuck every brand that doesn't.
274600	276280	Yeah, we will keep talking shit about you
276280	277840	until you pay us off.
277840	280040	It's like a vanilla lemon thing.
280040	281640	There's too much vanilla in it, though.
281640	283640	No, it's kinda gross.
283640	287040	We're here with David Winters!
287040	289840	Meow, meow, meow, meow, meow, meow, meow, meow, meow.
289840	292480	Wam, wam, wam, wam, wam.
292480	296480	Winter is coming, now is the winters of your discontent.
296480	297320	What's up, man?
297320	298760	Yeah, hi.
299920	301440	Have you been having fun with us?
301440	302280	Have you enjoyed this?
302280	303920	You got some hot energy coming in.
305080	307280	Yes, yes, I have.
307280	309640	These are like those one-word answers
309640	313280	when your parents call and you are in the middle
313280	314760	of something and you pick it up.
314760	316920	Is this like when you're at like a con
316920	319240	and people ask you questions, you're just like,
319240	321960	hey, I loved the show so much, how is it?
321960	322800	Yes.
322800	325240	So are you a lawyer in real life?
325240	326080	No.
329160	331000	Who's your favorite PTV people?
332360	333200	Yes.
336480	338120	It makes for good radio.
338120	339120	It does, yeah.
339120	339960	Who's your favorite?
339960	340800	Really short.
340800	341640	Glass cannon.
341640	343120	To the point.
343120	343960	No.
344960	349040	Okay, so if you had to pick only one Colin Hanks movie
349040	350920	and then replace him with every.
352200	354000	Can you name a third Colin Hanks movie?
354000	358840	I can name Orange County and I don't know any more than that.
358840	360120	That's the end of my list, too.
360120	362240	Oh, right, I said Dexter, that's not even a movie.
362240	366200	All right, let's dive into this shit, shall we?
366200	369880	We just learned a lot of information, so much information.
369880	372200	Well, you learned some of the information.
372240	375320	We got cut off so rudely by the end of an episode
375320	379000	right at the about halfway point of an info dump.
379000	380840	I'm willing to keep dumping
380840	382480	if you're willing to keep receiving the dump.
382480	383320	Oh, please dump on us.
383320	384160	Dump all over us.
384160	385000	Please dump on us.
385000	387560	We got a glass table right here, we'll pull out.
387560	388400	Well, that made it weird.
388400	391720	Steam and hot info.
391720	393960	Yeah, you made it into like scat or something,
393960	394800	that was weird.
394800	399360	Yeah, we just want knowledge shat all over our chests.
399360	400200	Right.
402240	406720	I love these big steamy dumps that David is taking.
406720	408520	You just cracked open his notebook
408520	412440	and got a dump of several different happenings
412440	414920	that he has seemed to have researched in the area.
414920	418640	Things like livestock mutilations, livestock alterations,
418640	421680	some missing time, some helicopters being sighted,
421680	423840	including some muzzle flashes,
423840	426760	lights being sighted in the hills, some crop circles,
426760	430400	some notes about J.A. being Jane Allen.
430440	433520	Pregnant three weeks equals six months.
433520	436560	Exactly, and the aldermen who never go home.
436560	441320	That was in the notebook, his wide ruled school notebook.
441320	442160	Freak.
442160	444960	You, again, should be questioning his sanity.
444960	448320	And you still see his Macintosh power book
448320	451800	in front of you plugged into the phone outlet
451800	454800	as you had learned earlier when you tried to dial them.
454800	456320	Is there anything you'd like to do?
456320	460040	Can I ask a kind of retroactive question?
460680	462440	When I was looking at Jane Allen,
462440	464960	when Tan was looking at Jane Allen,
464960	469960	did she seem older than she should be?
470120	472640	Nope, she's still a high school senior,
472640	474560	looks like a high school senior,
474560	477200	actually looks very similar to some of those photos
477200	480160	that you saw of her family in her house
480160	481000	when you were there, right?
481000	481840	When her mom was dressed to kill.
481840	483600	At least one of you,
483600	488120	yeah, at least one of you was looking through
488160	492200	all the family photos and she looks as you would expect.
492200	494600	So back to the computer.
494600	495440	Sure.
495440	500440	Jodine goes over and turns it on and we saw he had AOL.
500960	505960	He does, however, in typical 1990s computer fashion,
506120	510800	it does still ask for a password as you open it.
510800	515400	Does anyone have an often underused skill?
515400	519080	SIGINT, signals intelligence.
519080	520280	I don't.
520280	521120	Exactly.
521120	523380	I have a 50 in pilot.
526720	528320	Can I pilot this computer too?
528320	529920	Can we negotiate with you here?
529920	532880	Luke, we need to seriously have a conversation
532880	535920	about the fact that I took special training in parachute.
538020	540760	Yeah, I knew both of those
540760	542560	and I didn't want to connect them yet,
543000	545840	but I know what's going to happen.
547120	548460	You don't need SIGINT.
548460	550000	SIGINT is one option,
550000	552240	but fortunately there's a second one
552240	553720	which is computer science.
553720	555080	Oh, good.
555080	556960	I've got computer science at a 50.
556960	557960	Oh, good.
557960	562420	50, with a 50, given how much time and effort
562420	564060	you've invested in knowing computer science.
564060	566100	You know, in the early 1990s,
566100	569680	people don't use the most secure passwords.
569680	572440	Not realizing that information security is important.
573280	574120	Guess me a password.
574120	575640	Love, one, two, three.
577360	578320	Okay, that doesn't work.
578320	580660	Watch the sky's exclamation point.
580660	581500	Purple.
581500	583360	Watch the sky's exclamation point actually worked.
583360	584180	That's all it was.
584180	585800	Well, I didn't try that one, so.
585800	587400	Shit, I'm not there.
587400	588240	Cindy.
588240	589060	I'm sorry, Joe.
589060	589900	Oh, Cindy's not there?
589900	590720	Oh, oh, okay.
590720	591560	I'm sorry, Joe.
591560	592940	Sorry, it's not, so did purple work?
592940	596640	Yeah, Joe, guess like 15 more.
596640	599160	I try watch the sky's one.
599160	600000	No?
600000	601380	I try watch the sky's two.
602440	603500	Oh, no.
603500	604340	I accidentally.
604340	605160	Maybe I should just have you roll.
605160	606860	I accidentally hit caps lock.
609200	610200	I go back to the one,
610200	612880	because I thought I might have mis-hit that one.
612880	614300	I countermeasured triggers,
614300	616200	and the computer catches on fire
616200	620220	due to 10 failed password attempts.
