start	end	text
0	7600	Hot damn, y'all. I just heard cheesecake is a real thing that real human people like to eat.
7600	17000	I didn't know I could get all my favorite kinds of messy, curdled cream all in one solidified circle,
17000	21100	ready to cram all up in my maw.
21100	24900	I hope it's as slimy as I imagined it to be.
24900	28500	It's your dreamy, cheesy daddy Wolf the Dog,
28500	36300	and I am dreaming of that cheesy, sexy good time live from 694.2 PTBP.
36300	45500	We are proud to announce this community has raised $6,502 for the bail project.
45500	50000	And since the bail money goes back to them when cases close,
50000	55200	they're able to recycle every dollar donated at least twice per year.
55200	57900	Go to the link in the show notes to help.
57900	65200	The bail project combats mass incarceration and reshapes the pretrial system in the United States.
65200	70400	Screenshot your donation and email us pretendingpod at gmail.com.
70400	77000	And for every $5 donated, you'll have an entry to win a Pretending to Be People t-shirt.
77000	81700	The third winner in this giveaway will be announced right now.
81700	84600	And that generous listener is...
87600	91400	Congratulations, Joelle. Keep donating, y'all.
91400	96100	There are still two more PTBP shirts left to give away.
96100	98300	I'd love to get one of them shirts,
98300	104900	but every time I put clothes on, they melt into a kind of shirt paste after a few hours.
104900	112100	One time, I made a sweater out of a bunch of hair clippings I found out back behind a dog groomer's place.
112100	117200	And by the time I made it home, it turned into a kind of hair jelly.
117200	122600	Slap that on some toast, throw some paprika on it, and you got a stool going, baby.
122600	129400	Have any thoughts on any of that? Then tag at PretendingPod on Twitter or Instagram.
129400	132500	Let me know how you really feel.
132500	139100	It's one of the best ways to get the word out about our little show here at 694.2.
139100	141700	And it's free, too.
141700	149600	What's not free is that sweet, sweet bonus content over at patreon.com slash pretending pod.
149600	154500	But it's worth it. I'm worth it. And I guess you're worth it, too.
154500	160000	And for those of you in the Dennis Inn, get ready for part three of Lover in the Ice.
160000	171000	Streaming live into your room, workplace, or fancy toilet setup on Tuesday, June 23rd at 7 p.m. Central time.
171000	177600	My producer says the edited audio of part two will be up before Monday is complete.
177600	185400	And that episode will be available to all patrons at the Splashylvania Fastpass holder tier and up.
185400	188700	But Wolfie knows money is evil.
188700	196900	So if you can't swing the expense, write up a five star review on Apple Podcasts and I might read it on air.
196900	201300	Like this one here from Macha505 who writes,
201300	204900	I'm super impressed with the quality of this podcast.
204900	208700	All the role players are imaginative and committed.
208700	214100	And the DM is an incredible story creator and storyteller.
214100	219100	My husband and I listen to this weekly. Definitely recommend.
219100	222200	Well, that's so nice of you to say, Macha.
222200	228800	One day when I understand the merits of modern technology, I hope I can listen to the podcast.
228800	234500	For now, I just got to take y'all's word for it and blindly throw my support behind it.
234500	239300	Slap my ass and call me by my preferred nomenclature.
239300	246400	It's the news after escaping the growing but leisurely ooze by heading down into the sewer system.
246400	253900	Gary Daley showed the boys an old blog post by Harold Dorsey that had been wiped from the World Wide Web.
253900	263400	Our intrepid adventurers, along with Drew Carey, Tyler and Jimmy Sanders, were led to Harry and Gary's underground hideout.
263400	268500	There, Mildred Mitchell, Tildy B's grandma hid in her tent.
268500	277000	Casey Kristoff, the longtime janitor at the First Church of Contention, listened in while feigning interest in his book.
277000	282900	And Clara Blankenship, a dream-obsessed archivist with a familiar tattoo,
282900	290300	showed them a vlog from the previously missing John Peters that had also been pulled from the interwebs.
