start	end	text
0	3120	Well, here we are once again, folks.
3120	4800	For the first time.
4800	7960	Again, it's your favorite radio DJ
7960	12080	from inner and outer space, Wolf the Dog.
12080	15580	And where and when the fuck am I?
15580	17120	Hold on.
17120	20800	It smells like East Coast.
20800	23700	Let me check my local dimension time.
23700	28180	It's 1937 and New Year's Eve.
28220	33020	It's as if I have no control over what happens to me.
33020	37520	Like someone is forcing me to play into the sick fantasy
37520	40460	that's broadcast to all the world.
40460	45060	But yeah, I guess we got a new Howlin' with Wolf or whatever.
45060	47280	If these are even real.
47280	50860	This week's Howlin' with Wolf is from Jeff in Seattle,
50860	54180	who tweeted about the show and tagged that pretending part.
54180	58040	A simple and worthwhile use of any person's time.
58040	60280	Jeff in Seattle writes,
60280	63940	a shout out to my wonderful and adorable little brother,
63940	65640	Chalky Boberson.
65640	70360	May your D100s roll low and your D20s roll high.
70360	73180	And a warning to Matias Black.
73180	76680	Temporal manipulation never ends well.
76680	79940	Don't gaze into dimensions that are not your own
79940	82920	unless you want eyes looking back.
82920	86920	Well, Jeff in Seattle, I have to say that temporal
86920	90480	whatever you said seems pretty cool to me.
90480	93840	Sometimes you gotta gaze into another dimension
93840	95280	as a little treat.
95280	99260	And sometimes you have to consume another dimension
99260	101580	as a big ol' meal.
101580	104740	If you wanna write up something for your Wolfie to how,
104740	107280	tag at pretending part on the internet
107280	111760	or write up a five star review on Apple podcasts.
111760	114020	If you holler and let us know,
114020	117160	you're sure to get the message that's deep in your soul
117160	120220	to come out of this dirty old mouth hole.
120220	123740	And if you're interested in doling out some dough
123740	125800	to keep this show afloat,
125800	130800	head on over to patreon.com slash pretending pod
130860	134740	for 29 bonus episodes.
134740	138540	From Call of Cthulhu's classic scenario, The Haunting,
138540	141700	to silly one page RPG sessions
141700	144500	from our first season session zero
144500	148920	to a currently 13 episode long mostly homebrew
148920	153540	Delta Green campaign called The Creature Crew.
153540	158540	All the links are in the show notes.
158740	162080	Sound the alarm, but don't hit the snooze.
162080	166980	Like a beast mode stiff arm, I'm quaking for the news.
166980	169520	The first season of pretending to be people
169520	171620	was a well-loved affair.
172500	175980	So much so that it reached one million downloads.
175980	178580	Thank you to everyone who contributed
178580	183460	to this chunky number being so unbelievably large.
183460	186420	Also, this episode right here kicks off
186420	191420	the five episode guest run featuring Scott Dorward
191420	194880	running a pulp Cthulhu scenario he wrote,
194880	198520	which is called A New Age of Wonders.
198520	201180	And call me Mrs. Liam Neeson
201700	206700	if I am mistaken, but a new story deserves a new theme song
206860	209840	and A New Age of Wonders deserves something
209840	211980	full of pain and sorrow.
211980	215300	It's Isabelle Crane with Hollow.
217060	222060	I didn't know a body could be hollow
223860	227980	before its blood ran cold.
228820	233820	I didn't know that the wind could sew
235820	240820	through tissue and faggot bones.
243220	248220	You were hollow when you spoke to me.
250820	255820	Hollow when you said you were hollow.
257980	262980	I thought you might be starving,
266780	271780	so I gave you everything.
275180	277660	Oh, actually I'm peaking a bit.
277660	278980	Let me just drop my gain.
278980	282260	Drop your gain to the floor, drop your gain to the floor.
282260	286260	If your name is Scott Dorward, drop your gain to the floor.
286260	287100	Nice.
287300	289020	I've never had a hype man before.
291900	293060	How'd you feel?
293060	294140	I feel warm inside.
294140	295140	I feel special.
300140	302820	Welcome everyone to Pretending to Be People.
302820	305420	We are here with a special guest today
305420	310420	who is not only one of the good friends of Jackson Elias,
310440	314380	not only the man at the helm of multiple games
314380	315500	throughout the internet,
315500	318340	but currently including running
318340	321540	the Pulp Cthulhu campaign two-headed serpent
321540	324060	for the podcast How We Roll,
324060	327500	and just the all around incredible writer,
327500	331540	tabletop master, wizard extraordinaire on the internet.
331540	332380	Man with the golden voice.
332380	335140	And the guy who I kind of wish was my grandpa,
335140	336740	but haven't told him that to his face,
336740	338020	it's Scott Dorward!
341460	342500	Thank you very much.
342500	344140	I'm never going to live up to that now.
344740	345580	You know that.
347420	349100	Well, Scott, you've already lived up to it
349100	351060	because we had you on a while ago.
351060	352260	Was it last year?
352260	354100	Oh, maybe even longer than that.
354100	355100	It was over a year ago at this point.
355100	355940	Wow.
355940	356780	Was it really?
356780	357900	It was at the end of 2020, I think.
357900	359100	Oh my God.
359100	361980	And you ran Bleak Prospect for us,
361980	363980	which is a Call of Cthulhu scenario
363980	367740	that was written by a very talented writer
367740	369660	for Call of Cthulhu.
369660	370500	Who was that?
370500	371340	Who was that?
371340	372180	Oh, I forget.
374180	375580	They're all the same, really.
375580	379500	Well, you silly goose, it was written by you.
379500	380340	Okay.
380340	381500	I don't know why I've been so weird.
385500	386340	Are you okay, man?
386340	387980	It was, you wrote it.
390540	391780	I wrote it a long time ago.
391780	393100	I can't remember doing that.
393100	395540	It might as well have been someone else.
395540	397940	I've written so many things over the years.
398540	403540	And honestly, it was one of my favorite
404020	406300	role-playing experiences of my life.
406300	408020	It's still some of the stuff I go back
408020	411020	and listen to repeatedly just to hear it all again.
411020	412940	I'll keep that in mind when I'm getting excited
412940	414980	about the numbers, that it's just Joe.
414980	415820	Yeah.
417100	418140	So if you're listening to this
418140	419380	and you haven't listened to that,
419380	422260	Scott does an incredible job running Bleak Prospect
422260	423620	for the four of us.
423620	426460	And that was actually, that was a really wild time
426500	431500	because Scott is in Europe and we are in North America,
432100	434820	but at the time I was in Asia,
434820	437460	so we were recording across three continents.
437460	438300	Yeah.
438300	439980	Yeah, that was like five minutes a day
439980	441940	when we were all in sync, wasn't it?
441940	443700	It really was.
443700	448060	It took a long time to get on the same schedule.
448060	450060	We really are a global podcast.
450060	453780	Yeah, well, we're the international role-playing podcast.
453780	455660	That's what everyone knows that.
455700	460420	The Springfield, Missouri podcast is the international.
460420	463180	We have a pretty big blip on the map of listeners
463180	464340	in like South America.
464340	467300	So recording in Asia, North America and Europe,
467300	469900	having people in South America listen to it.
469900	471700	We just got to get some of those researchers.
471700	473580	Exactly, we got to get hit Antarctica.
476580	479140	But today we're not playing Call of Cthulhu
479140	481540	and today we are not playing Delta Green.
481540	485100	And today we are playing.
485100	486460	D&D first edition.
489460	490300	Firewall.
490300	492420	That was fun when Dungeons and Daddies did it.
492420	493260	Oh, that was tight.
493260	496500	But we're not doing that and we probably never will.
496500	497740	Sorry, I haven't been talking much.
497740	498860	I've just been trying to pretend
498860	501460	like I wasn't working on my character sheet.
503900	505380	Which is a different character sheet
505380	507620	than we are used to using.
507620	509740	I believe it's the first time
509740	512540	that I personally have filled out a PC character sheet
512540	514100	for Pulp Cthulhu.
515500	516500	Pulp Cthulhu.
516500	518060	Pulp Cthulhu.
518060	521180	I've done a couple, mostly with you, Zach.
521180	522780	You ran us through some back in the day.
522780	525100	I've run it, I've never gotten to play it.
525100	527060	I'm super fucking excited.
527060	529100	I was able to run Waiting for the Hurricane
529100	530900	from the back of the book,
530900	533380	which was written by another good friend
533380	535340	of Jackson Elias, Matt Sanderson.
535340	536180	Yes.
536180	537000	Is that right?
537000	537840	He did.
537840	541900	And of course we are wishing a speedy recovery to Matt.
541900	542740	Yeah, thanks.
542740	544500	It's been a scary month with Matt,
544500	548180	but happily he's back home and on the road to recovery now.
548180	549900	That's fantastic news, yeah.
549900	552040	How's your, the last time we recorded
552040	553820	you had like a tooth issue.
553820	554940	Oh fuck, yeah.
554940	557320	I ended up in hospital with that.
557320	558160	Yeah.
558160	558980	Oh my God.
558980	561860	Yeah, I ended up having to have emergency surgery
561860	563820	in part of my jaw removed.
563820	564980	Oh man.
564980	565820	Yikes.
565820	567620	Yeah, I can't say I recommend it.
567620	568460	No.
569460	571660	Has it been a relatively smooth sailing
572300	573500	after the surgery and stuff though?
573500	576620	Yeah, I mean, the shape of my mouth still feels wrong,
576620	578940	but apart from that, yes.
578940	579760	Yeah.
579760	580820	Oh, interesting.
580820	582980	Did they let you keep the part that they pulled?
582980	586340	I stupidly didn't think to ask because otherwise, yeah,
586340	589260	I absolutely would have kept it in a jar at my desk.
592140	594020	Scott, let's dive in.
594020	594860	Let's do it.
594860	595700	Okay.
595700	599260	So this scenario is called A New Age of Wonders
599260	603660	and it's published in issue three of the Blasphemous Tome,
603660	606820	which is the fanzine that we do for the Patreon backers
606820	608500	of the Good Friends of Jackson Elias.
608500	612180	Which you should all become because I personally
612180	615020	am a patron of the Good Friends of Jackson Elias
615020	620020	and the rewards that I reap are worth every fucking penny.
620340	621180	Well, thank you, Zach.
621180	623820	Yeah, I'll slip the check in the mail.
627180	628200	Eight bucks.
629940	631540	Every eight dollars counts.
632660	637660	Oh God, eight dollars is big money in the RPG field.
640940	644660	So this scenario takes place in 1937,
644660	648100	particularly New Year's Eve, 1937.
648100	650300	The player characters have all been invited,
650300	652340	or at least they have managed to get themselves
652340	654820	on the invitation list too,
654820	659140	what promises to be the New Year's Eve party of the year.
659140	663140	Or at least that's the way that the host has pitched it.
663140	666900	The host is a man called Cicero Mordant.
666900	669780	He comes from a moneyed background
669780	672940	and his family is incredibly wealthy,
672940	675740	but he himself has gone off
675740	677180	in a somewhat different direction.
677180	681380	He is an inventor, or at least a would be inventor.
681380	684380	I mean, those of you who've kept up with his career
684420	687580	know that he's enthusiastic,
687580	692580	he's good at self-promotion, perhaps,
692820	694340	and he certainly has the money
694340	697540	to bring his inventions to the market.
697540	700540	But really, fundamentally, he's a bit shit.
701420	703020	I mean, some of the inventions
703020	704300	that he's put out over the years
704300	707220	are things like this self-playing violin,
707220	711100	which promises to bring chamber music to every household,
711100	713100	but it really just plays the same four bars
713260	714420	over and over again,
714420	716940	and goes out of tune in about five minutes.
717980	719500	There was the electric hairnet,
719500	724220	which promised to revolutionize home hairstyling.
724220	727500	And there've been a number of unfortunate fires
727500	731060	and the lawsuits are still in the courts at the moment.
731060	733980	The less said of his radiant dentifries, the better.
736420	738540	But this time he promises
738540	741780	that he has got a magnificent new invention
741780	744300	that he wants to show off to the world.
744300	746540	And the launch of this invention
746540	749460	is going to be this New Year's party
749460	753500	at his family estate, The Mount, in rural Vermont.
753500	756900	So let's, I'd say, introduce the player characters
756900	761460	at this stage, and then we can just, I think,
761460	764180	get you on the road to The Mount.
764180	766940	So do you want to go round one by one
766940	768620	to say who you're playing,
768660	773660	and I think also why you're going to the party?
773780	777980	My character, oh, give me that voice, baby, is Checkers.
779780	781660	How old is Checkers?
781660	784820	I'm a 19-year-old cult leader.
786580	788980	I'm here, I'm going to the party
788980	792140	to recruit some movie stars
792140	797140	and high profile people for my cult, The Last Branch.
797820	802820	And I'm Elden Ring, and fuck's sake.
806380	808580	It's not my birth name.
808580	812220	Elden Ring is my given name by myself.
812220	814300	My given name for my family
814300	817860	is none of my business, nor anyone else's.
817860	821660	And I'm just very happy to be accompanying
821660	826660	my dear Checkers to this wonderful New Year's Eve party
826820	831100	and just helping him bring people to The Last Branch.
831100	835500	Our goal is to get as many of the rich and powerful
835500	839020	on our side today through the powers of persuasion
839020	842300	and Checkers' deep and utter charisma.
842300	844980	There are things at work in this world,
844980	847220	forces beyond our control,
847220	851820	and we look to control those forces.
851820	855740	With money that we make from the cult.
856100	858820	And Checkers, remember, the forces.
858820	860820	Yeah, they are real.
860820	862020	They certainly are.
862020	863860	Are there really any stronger forces
863860	865060	in the world than money?
867620	868700	True love.
869900	870740	Aww.
873740	876700	That is a question that the Lafayette J. Honeycutt
876700	877740	would like to get to know.
877740	880340	Are there any more forces in the universe
880340	882540	more powerful than love or money?
882540	884180	And he studies that in depth.
884180	885100	He's a scientist.
885140	886940	Does he sound like that when he studies it?
886940	887780	He doesn't.
887780	889340	You'll hear his voice when he speaks.
889340	890460	God damn it, Thomas.
890460	892060	You're such a tease.
892060	892900	Yep.
894060	896620	He's gonna be showing up to this party in disguise.
897540	898540	Why? Dressed as a turtle?
898540	900420	Because he is a professional,
900420	903220	yeah, he's gonna be dressed as a turtle.
903220	906980	No, he's a professional rival of Cicero Mordent,
906980	909220	and he wants to get a look at this invention,
909220	912540	but he was not invited because he's on Mordent's shit list.
912540	915300	Mordent has a very, very long shit list.
917300	919780	And I'm playing Harvey Brewer.
919780	922180	I'm here to make sure nobody gets too close
922180	925380	to Mr. Lafayette J. Honeycutt here.
925380	926380	He hired me.
926380	927300	I'm gonna protect him.
927300	929700	I told you, Harvey, tonight, it's,
929700	933580	it's, oh shit, what was the cover name?
938780	940180	You were gonna go with Harvey Brewer,
940180	942780	but that's my name, so we can't use that one.
942780	943620	That's correct.
943620	946500	Is this your fumbling your disguise role in real life?
949060	949900	More or less.
952100	953380	What is your actual name?
953380	954620	Lafayette J. Honeycutt.
954620	958100	But tonight you are Honeyfette J. Lafayette.
961540	962380	James Dean.
962380	966980	No one famous has been named James Dean in 1937.
968340	969940	I was gonna try to go for a mid-Atlantic,
970620	971460	and I think I'm gonna go too much
971460	974060	into copying your accent, Scott.
976780	978060	Oh, can you please try?
979140	980580	No, I'm not gonna.
980580	982180	Do it.
982180	984180	Do it, Scott, at Scott.
985820	987620	Maybe after a couple sessions.
988780	989780	Sessions.
989780	991060	Session IPA.
992900	997060	Oh, could we go puff some all this?
997060	998100	After this episode.
999100	1001020	We gotta get the first episode down.
1002620	1004900	So, like I say, you have all managed
1004900	1007340	to somehow get hold of invitations
1007340	1009180	to this New Year's Eve party,
1009180	1013100	and you know that there has been transportation played on.
1013100	1014660	All you have to do is get yourself
1014660	1017860	to Montpellier in Vermont.
1017860	1018700	There is a station there.
1018700	1020060	Scott, sorry to interrupt.
1020060	1021060	I'm so sorry.
1021060	1021900	It's Montpelier.
1021900	1023300	It's Montpelier, yeah.
1023300	1025900	Montpelier, sorry, I went for the French pronunciation.
1025900	1029180	We said it with such, like, a plum,
1029180	1031860	and when I learned how to pronounce it,
1031860	1036100	it was in Missouri, and we said Montpelier, Vermont.
1036100	1038300	Well, that is how they say it.
1038300	1039700	Montpelier, Montpelier.
1039700	1040540	Montpelier, yeah.
1040540	1043300	Montpelier, I shall say that again, then.
1043300	1046340	Montpelier, Montpelier, right.
1046340	1048740	It sounds like wrong when you say it.
1048740	1051900	I bet Honeycutt does say Montpelier.
1051900	1055180	Montpelier, Montpelier.
1055180	1058860	I've got a beautiful 1932 bottle of Montpelier.
1058860	1063060	Oh, God.
1063060	1065780	Right, so yes, you know all you have to do
1065780	1069220	is get yourself to Montpelier in rural Vermont,
1069220	1072180	and then there will be transportation at the station
1072180	1074540	that is laid on for you.
1074540	1078900	And sure enough, when the train pulls in at the station,
1078900	1082660	you can see that there are any number
1082700	1084940	of well-dressed people
1084940	1087980	who are obviously dressed up for this party.
1087980	1092980	Men in full evening dress with heavy overcoats on,
1093300	1096700	women in gowns, again, with furs over them
