start	end	text
0	7000	What's good, the internet. It is your web-savvy zaddy, Wolf the Dog. Net.
7000	15000	And we're coming at you live from 694.2 PTBP, the only radio station powered by Geocities.
15000	20000	Now, speaking of the World Wide Web and all of the beauty contained within,
20000	24000	this week's Howlin' with Wolf is from Gary in Scarborough, England,
24000	27000	who tweeted about the show and tagged that pretending pod,
27000	30000	which is a thing you are also more than welcome to do.
30000	31000	Gary writes,
31000	32000	Howdy, Wolf.
32000	36000	It's your brother and long-time listener from across the pond.
36000	41000	I hope this finds you well and know that you should come here to Scarborough, Wolfie.
41000	45000	That's if you don't mind fighting off mutant-sized seagulls up at the castle
45000	48000	for that extra tasty grease you love oh so much.
48000	52000	I hear it will make you howl so hard you taste colors.
52000	57000	Anyway, I love the podcast that you, Zach, and the boys are providing for us folks.
57000	62000	Keep up the great work and a big shout-out to my girlfriend, Mel, and my buddy, Paul.
62000	67000	Well, hello, Brother Gary. You talkin' about castle slop?
67000	71000	And all I gotta do is beat some seagull ass to get a taste?
71000	73000	Sign me up, Brother Gary.
73000	80000	I hope I'm not being too sea-gullible here by accepting this travel invitation.
80000	84000	If you want to write up something for your Web 2.0 Wolf to Howl,
84000	87000	tag at PretendingPod on Twitter or Instagram,
87000	89000	tag PretendingToBePeople on Facebook,
89000	92000	or write a five-star review and send us that screenshot.
92000	97000	Word of mouth through social media has been instrumental in getting this podcast to where it is today.
97000	102000	And I just want to say, from the bottom of my heart, fuck Mark Zuckerberg.
102000	108000	If you, too, have these feelings, you may find a nice community to join in our Discord or subreddit.
108000	112000	And if you want to give us money so we don't stop making this show,
112000	116000	you can do that on Patreon or our merch shop.
116000	119000	The links are in the show notes.
119000	122000	Now, it's time to catch up, but don't get confused.
122000	126000	Wolf don't work for Can, but it's time for the news.
126000	130000	Last time, we were introduced to Julius Summers,
130000	136000	the fresh-faced, thick-legged field producer who was just hired by his uncle, Typh Rayland,
136000	139000	the executive producer for the City Action News.
139000	144000	Julius picked up the former lead anchor of Can, Cal Colorado,
144000	147000	an elderly statesman of news in the city,
147000	151000	as well as their Hawaiian shirt-rocking cameraman, Beck Wilder.
151000	155000	The three put together a segment about the Godel Company,
155000	157000	top of the agricultural food chain,
157000	160000	buying up all the farmland just outside the city,
160000	163000	taking us now to that story as it unfolds.
163000	168000	It's Alter Girl with My Life is Great and It's All My Fault.
193000	196000	It's All My Fault.
206000	210000	No one knows what it's like
210000	215000	behind these eyes.
215000	220000	Welcome to episode two of Pretending to Be People.
220000	224000	I had the Kelly Clarkson Hazel Eyes song stuck in my head.
224000	227000	Do you remember that Guitar Hero 2 song that was like,
227000	230000	you got radium eyes, never listened to it since.
230000	232000	No, but do you know about the radium girls?
232000	234000	No, what are the radium girls?
234000	235000	I do know about them.
