start	end	text
0	6720	What's up everybody? It's Zach jumping in here real quick for a very short announcement, but a very good announcement because
7240	10280	We finished up our December patreon
10960	17080	matching pledge drive so that we can support a cold weather shelter here in Springfield, Missouri
17480	24680	That is doing the incredible work of keeping people warm in our hometown throughout this cold
24960	28680	You guys absolutely crushed last year's numbers
29120	33200	Seven hundred and sixty three dollars and thirty cents. That's almost
34640	40240	$800 you guys so we're gonna go ahead and just round all that shit up match it and donate
41920	49080	$1,600 to the crisis cold weather shelter here in Springfield, Missouri. Thank you to each and every one of you for listening
49080	51080	Thank you all so much for participating
51280	56800	Shit's fucking wild out there. So for anyone who is able to give that so fucking cool
57480	60000	We'll do it again next year. Absolutely and
60840	64280	God, I'm just so excited about where season two is going
64280	67920	We got a couple more EPS before we jump into another short story
68600	73680	With our new friend Becca Scott, so that'll be really fun. I'm very excited and
74600	79120	Enjoy, it's wolf time. Oh fucking shit. There were three winners
80920	86080	We did a raffle that's right we did a raffle and I've got to announce some winners real quick
86360	92360	So here we are first the winners of pretending to be people t-shirts
93440	96280	We've got the whirling house
97000	100360	that's that's fun, that's hard to say the whirling house and
101280	106280	Matt if you signed up to our patreon this month is just Matt
106880	110240	You are the winner. You're there's only one who didn't give a last name there
110440	114040	you are the winner of a pretending to be people t-shirts and
114800	120520	I will be shooting out an email to the email that you signed up with on patreon both Matt and the whirling house and now
124360	129480	Randomly selected winner to be able to get a shirt and join us at a
129760	133520	Virtual table for a game that I will run and you will play alongside
134560	136560	doubles it is
138520	140320	Justin Hawkins
140320	144160	Thank you so much Justin Hawkins when your name popped up for this
144160	151760	I freaking screamed because you've been around for a really long time and the the randomizer chose you and it made me
152080	157380	So happy so that'll be fun get to play get to play a little face-to-face there
158040	162320	Congratulations to all the winners. Congratulations to everyone who supported and helped us
162680	167640	this was this was really cool to see thank you so much each and every one of you and
168360	173420	Fuck me it's off to wolf. Hello and greetings to all of my
174000	181640	Peculiar peoples it is I your dogmatic puppy wolf the dog and I'm here to speak nothing
181640	185880	But the truth live on six nine four point two PT BP
186400	193520	Except when I feel like doing a little lie every now and then but I cannot lie about how I love
193680	200640	Seeing a new howling with wolf coming in hot fresh and fragrant I drool in
201440	203160	anticipation I
203160	206280	Masticate the words to make them more easily
207000	208240	digestible
208240	209600	something about
209600	211000	creamy
211000	215680	Stank this here howling with wolf is from Duncan and Winnipeg, Manitoba
216320	219120	Canada who tweeted about the show and tagged at
219760	227960	Pretending pod a thing you could also do if you're so inclined and then my producer will look up your city name on
228800	234200	Wikipedia the name Winnipeg comes from the Cree and Ojibwe name
235080	240760	Winnipea which means muddy water and muddy waters was born with the name
241200	244880	McKinley Morgan field thanks Duncan from Winnipeg
245360	246880	Duncan writes
246880	248840	Hey there wolf
248840	251760	longtime howler first time listener
251760	257800	Is that right hard to remember down here in this dark place where the hours pass?
258320	261600	immeasurable made to contain a golem born of
262060	267600	Desperation and malice and built by those who wish to contain that which they did not understand
268000	271720	This labyrinth has lain forgotten for a century
272040	278160	Yet the beast still lives for I hear its ancient voice in the echoes of rattling bones
278760	281340	In the beast it hungers
281920	288280	Shout out to Pavlo Mason and Brock for trusting me to run them through their first session of Delta green
