start	end	text
0	4200	Welcome, listeners new and less new.
4200	10120	I've been informed by my producer that it is perfectly fine for anyone to start right
10120	12160	here if they want to.
12160	15240	No previous episodes are required.
15240	20640	These next four episodes, they are here for all of you, dear listeners.
20640	25840	However, the previous episodes are pretty good, so I've been told.
25840	32720	I still have not gotten access to a smart device to listen to these so-called podcasts
32720	35120	I hear y'all screeching about.
35120	41440	Feel free to go back to the start of season two, or heck, even go all the way back to
41440	43120	season one.
43120	50120	Okay, now that I got that stuff out of the way, I can properly introduce myself.
50120	59400	I am DJ Wolf the Dog, and you are listening to the radio station known as 694.2 PTBP,
59400	65440	the crustiest and mustiest radio station this side of the Great Lake.
65440	67240	You all know the one.
67240	69500	I heard it's got fish in it.
69500	76600	Now we hear it pretending to be people love to receive fan mail in the form of electronic
76600	77600	mail.
77600	84320	When I get one I like, I go ahead and scream it out loud in everyone's favorite segment,
84320	85800	Howlin' with Wolf.
85800	91360	This very special edition of Howlin' with Wolf is one of those breathtakingly beautiful
91360	100260	five-star reviews from Apple Podcast, and it's from I gots a cool in Great Britain.
100260	106120	If you talk about wolf in your five-star review, I just might howl at two.
106120	108980	I gots a cool rights.
108980	111680	This show is just the real deal.
111680	115240	Stellar writing and an amazing cast.
115240	120200	Just finished the first season in all of the extra one shots and about to start season
120200	121340	two.
121340	126880	Thank you for providing me with entertainment whilst I drive my forklift every night for
126880	128920	the last couple months.
128920	135120	And thank you for inspiring me to run my own Delta Green scenario.
135120	137000	Keep up that good work.
137000	139600	This bit's just for you, Wolf.
139600	142000	Keep on howlin' the way you do.
142000	145720	Ain't nobody eatin' the trash quite like you.
145720	149040	Well, thank you, dear listener.
149040	156640	Your review makes the sparkle in my producer's eyes shine once more, and I can say I also
156640	159440	appreciate the things you said to me.
159440	162360	I hope you have fun liftin' them forks.
162360	166080	Sounds like a dream job to ol' Wolfie.
166080	171760	If you want to write up something for your wolf to howl, tag at pretending pod on an
171760	179000	Instagram story or an Instagram post, or tag at pretending pod on a Twitter tweet, or tag
179000	184800	pretending to be people on a Facebook post or a Facebook comment on a post, or like you
184800	190800	heard before, write up a five-star review and mention this here wolf.
190800	193640	Howl!
193640	196880	Cough cough cough.
196880	201960	Welcome back to 694.2 PTBP.
201960	207960	You're listening to Wolf the Dog, and I am, what, I'm having a premonition?
207960	210680	Oh gods, what is this?
210680	214360	If you can hear me, just imagine what I'm seeing.
214360	218560	I see a boring hotel conference room.
218560	227520	It's so ugly, and there's a nerd in there, and he's an archaeologist, a public speaker,
227520	230960	a crystal doctor or something.
230960	236160	I don't know, but definitely a nerd, and there's something else.
236160	243640	In a hotel room, there's a skinny man in a boss man suit with greased back, slicked back
243640	252000	hair, and he's watching someone die, get murdered, geez louise.
252000	253000	What's next?
253000	263180	Oh my, it's the jungle, so jungly, so viney, y'all miss vine sometimes, no more premonitions,
263180	267800	only vague and subtle hints through the gift of song.
267800	273160	It's Hudson Freeman with Muscles R. Springs.
297800	314480	If it's some consolation, I was thinking the same thing.
314480	327120	I am now mechanization, all my muscles work like swings.
327120	332960	What's up everybody, we're back here pretending to be people with another short story within
332960	340000	the larger story of season two, and we are going to take you on a small journey within
340000	343560	the city, along with a special guest.
343560	349120	You might know her from the Good Time Society, you might know her from Dimension 20, Black
349120	355240	Dice Society, her work with Wizards of the Coast, Magic the Gathering, her Twitch channel,
355240	361200	Geek and Sundry, her appearances on Glass Cannon Podcast, it's Becca Scott.
361200	367680	Oh my God, you made me sound so fancy.
367680	369800	I guess I did do all that stuff.
369800	371800	I think you might be fancy.
371800	376060	I'm retiring, gotta go.
376060	380960	She lived a long and storied career and she's gone, we got our last words here at pretending
380960	381960	to be people.
381960	382960	Rest in peace.
382960	385800	You might die when you retire.
385800	388800	You might as well.
388800	389800	Actually.
389800	394000	I never met a retired person.
394000	398680	In today's content-driven society, even my grandpa has an OnlyFans.
398680	400200	Oh shit.
400200	402600	Oh shit, what's that like?
402600	404600	He does his lawn work shirtless.
404600	410280	He does it for free, you can just go see him do it.
411280	416280	It's just like a lemonade stand box, but it says OnlyFans.
416280	422280	Well he doesn't want people who aren't fans giving him money, that'd be weird.
422280	424280	Yeah he doesn't accept charity.
424280	425280	Like a true American.
425280	430280	It's a generational thing, yeah.
430280	434280	That upholds the Christian values I know this show espouses.
434280	435280	That's exactly right.
435280	439280	We were telling Becca before we started that we're the only Christian Delta Green podcast.
440280	442280	And I said praise Jesus.
442280	443280	More or less true.
443280	444280	Thank God.
444280	449280	I was going to try and save you all, but here you are already saved, doing the Lord's work.
449280	457280	That's exactly right, which is why I've called this scenario Holy Cow Farms.
457280	459280	And we're playing Delta Green.
459280	465280	We're playing the game that we play, which is our version of Delta Green.
465280	471280	We explained it to Becca in a short condensed version right before we got on this call.
471280	475280	We've explained it to you occasionally on this podcast as well.
475280	476280	Once or twice.
476280	477280	Once or twice.
477280	478280	Here and there.
478280	483280	The best RPG players and dungeon masters I've ever met will always look straight to Cameron
483280	487280	and say, this is a homebrewed rule.
489280	490280	For the no one else.
490280	493280	Well we like to play it by the book, rules as written.
493280	494280	That's right.
494280	495280	And that's what we'll be doing tonight.
495280	498280	And we get really mad if you break a rule or do something wrong.
498280	499280	That's right.
499280	501280	And if you call us out on it online, you're wrong.
501280	502280	You're wrong.
502280	503280	You're wrong.
503280	507280	Yeah, we will mobilize our armory of Tweetbots.
507280	508280	Two stars.
508280	510280	They don't follow the rules.
510280	511280	Too political.
511280	513280	Way too much Jesus.
514280	517280	Yeah, we got a pretty sick two star review the other day.
517280	521280	It was great because nothing in it was wrong.
524280	525280	That's the best kind of review.
525280	528280	Yeah, it was like, okay, this is not for this person.
528280	529280	That's all fair enough.
529280	532280	They described our podcast very accurately.
533280	538280	I like that Thomas said, well, they had to give it up for the quality of the show, even
538280	542280	though they disagree with our politics and give us that second star.
542280	545280	Well, they listen all the way through, so kudos.
546280	551280	So let's get into Holy Cow Farms.
551280	556280	We see a stale room lit by fluorescent lighting.
556280	560280	It is filled with chairs and a long aisle that goes down the middle.
560280	563280	There are people scattered about.
563280	569280	It's a decent crowd, but not anything that the speaker would text a picture of the crowd
569280	571280	to their mom that's not overcrowded.
572280	573280	Anyone else?
573280	574280	Anyone else?
574280	577280	Text pictures of crowds to your mom to brag.
578280	580280	Hey mom, look where I am.
582280	584280	You'll never be here, you bitch.
585280	588280	Oh no, different mom.
588280	590280	Because of your agoraphobia.
593280	599280	Above in big letters, it says City Science, City Science Conference.
599280	603280	City Science Society presents the City Science Conference.
603280	605280	20,002.
605280	607280	20,002.
607280	608280	Damn.
608280	610280	And standing at the podium, what do we see, Joe?
610280	617280	You see a guy who is wearing a tweed coat with a button down and a sweater vest
617280	621280	and he's got well-kempt hair and he's pretty fit
621280	624280	and he is addressing the crowd at a podium there.
624280	630280	Yes, and I can confirm that this is indeed a significant find.
630280	633280	The workers were able to break through the ground there
633280	637280	and they were smart and to immediately notify me
637280	641280	and I went over to take a look and it was, in fact...
641280	644280	And you click over to the next slide on your presentation?
644280	645280	This.
649280	653280	It's a chunk of stone with some writing on it
653280	655280	but it's not writing that is familiar to anyone.
655280	656280	It looks significant.
657280	661280	And we do believe, I do believe, that you will be reading about this find
661280	663280	in your history books from here on out.
663280	666280	It's the first of its kind and it does prove, in fact,
666280	669280	that there is a civilization that was once here and long forgotten.
669280	672280	Now it will take some time to get more facts to you
672280	674280	but at this time I can confirm it has been found.
674280	677280	Everyone stands, whooping applause.
677280	679280	Yeah! Rocks!
679280	681280	Well, that's a find.
684280	688280	And as someone says, that's a find, in the audience
688280	694280	we cut to a hotel room, seemingly above where this conference is taking place
694280	699280	sometime later as we see this same dignified academic.
699280	704280	The person who you are with is a large, squat woman
704280	708280	who is in her late 20s
708280	711280	and she has a broken nose.
711280	713280	It's like off to the side.
713280	718280	One of her eyes is looking up at you as the other one stares at the blank TV
718280	720280	as she's sitting at the foot of this bed.
720280	724280	He's a little more disheveled now and there's empty gin bottles
724280	726280	on the table in the hotel room there.
726280	728280	He says,
728280	734280	I guess I did the thing you wanted, right? Are we done?
734280	737280	You did an excellent job, Shelly.
737280	745280	And I deeply appreciate you handling it with a certain amount of grace and aplomb.
745280	751280	It's very kind and nice and I think that we're going to work well together, do you agree?
751280	755280	Of course! I do your job for me.
755280	760280	She gives you a knowing look that's kind of a hint of confidence
760280	767280	and assuredness in herself, but also just a foreknowledge of what saying yes to this life means.
767280	770280	And she kind of nods and says,
770280	774280	Alright, well, don't feel like a fish, you know?
774280	781280	It's not any way to live, but hide away your pain, I suppose, if you want to.
781280	784280	Do you know how many friends I've taken aside and said,
784280	786280	don't feel like a fish?
790280	796280	I just don't want you to be flopping around on one of these hotel beds one of these days.
796280	799280	No, I'm fine. Just celebrating is done.
799280	803280	She nods again, heads out the door. As the door closes, we see...
803280	807280	You said that the magazine pizza come out when?
809280	815280	She slams the door on your drunk ass and with the door slamming on it,
815280	818280	a text across reads, 20 years ago.
819280	825280	The same door opens up, but we see different people inside an identical room.
825280	828280	Luke, what does your guy look like?
828280	834280	Vincenti Boro. Bori. Something.
839280	842280	I mean, now's the time to choose.
842280	846280	I had to check and from over here, it is an I. Bori.
847280	853280	Just average height, but very skinny, wiry man with slick back, greased back hair,
853280	858280	kind of eyes that are a little too big for his head, kind of slightly bugged out.
858280	862280	And he's wearing a very, very nice three piece suit,
862280	868280	just black with like little hints of red accents and white undershirt,
868280	870280	very well dressed and manicured.
870280	877280	And this very nicely dressed and manicured man is standing next to the same woman
877280	879280	that we saw in the previous room.
879280	885280	And she's got one eye on you and her other eye is planted firmly on the person
