start	end	text
0	3240	This is yet another introduction to a show
3240	7460	that you listen to called, well it's broadcast live
7460	12460	from 694.2 PTBP and I'm your benevolent host
12940	15860	with the gross wolf the dog.
15860	18340	This week's Howlin' with Wolf is from Ash
18340	21520	out of North Carolina who tweeted about the show
21520	23740	and tagged that pretending pod,
23740	25540	which is a nice thing to do.
25540	29700	She writes, hey there, I don't have anything to promote,
29700	33300	just wanna let you know how much this show means to me.
33300	35500	I listen every day while I'm at work
35500	37760	and it passes the time so fast,
37760	41000	my job feels almost inconsequential.
41000	45220	Almost as if the atrocities I've committed don't affect me.
45220	48760	As if I can't hear the violent snapping of tendons
48760	52000	and viscera emanating from my monitor.
52000	54900	A mere taste of the despair that lies
54900	57160	within the nightmare network.
57160	61400	Shout out to my friend Gwen for showing me PTBP
61400	63940	and keep up the great work.
63940	66840	Hmm, nightmare network?
66840	69240	Did you just try to sneak in promotion
69240	72980	for another media channel that isn't my radio station
72980	76120	on my radio station?
76120	80440	Hmm, I shall be contacting my lawyers.
80440	85440	They are definitely real and definitely will do law things
85640	87560	at you, for sure.
87560	90080	If you wanna write up something for your wolf to howl,
90080	93120	tag us on the internet or fuck the zuck,
93120	95760	but preferably write us a five star review
95760	99040	on your podcast listening application.
99040	102860	Whichever way you choose, it's time for the news.
102860	106520	Last time we met Dr. Rusty Hooch,
106520	109040	the never missed scientist.
109040	113720	They insist that she enlist, create an ocean of blue mist.
113760	117320	Her ex was pissed, you get the gist.
117320	121760	Dr. Olivia Miller, the sad single mom surgeon.
121760	124560	Her daughter saw her dissect some sort
124560	126920	of a extra dimensional creature
126920	129080	out of a screaming woman's neck
129080	132200	and it shot into a sir's snot socket
132200	134160	who was promptly shot in the skull
134160	138000	by his sorrowful sidekick, full stop.
138000	140840	Next, Doreen Maureen.
140840	145600	Scroll Pinterest on that iPad, that's a good haiku.
145600	149960	Finally, the step motherfucker himself, the Chuckster.
149960	152360	Coming in at five foot seven,
152360	157120	213 pounds of round muscle that is.
157120	160420	It's ball buster 420, hell yeah.
160420	163720	And he survived the holy suffocating,
163720	167240	holy decapitating tongue from hell.
167240	169480	Well, it's time for the briefing.
