start	end	text
0	4520	Hey, hey, hey, baby, baby.
4520	7560	It's your surrogate uncle bringing all the funk.
7560	11800	It's your big bad dad that is always so rad.
11800	14200	Your mother that loves to smother.
14200	17440	Your aunt that likes to use weird font.
17440	21160	I'm all that and more, never an eyesore.
21160	24440	It is I, Wolf the dog, and I am breaking through
24440	28440	all that mental fog to do what you ask.
28480	32160	To broadcast live from 694.2 PTBP,
32160	36200	my various family members and or babies.
36200	38160	Now, speaking of family,
38160	41480	we got a letter from someone very dear to us.
41480	44640	This edition of Howlin' with Wolf is from Taylor B,
44640	48000	who tagged that pretending pod over there on Twitter.
48000	52720	They write, howdy wolf, the dog, not wolf's dog, wolf.
52720	54800	Just wanted to drop a line and let you know
54800	56960	I've been greatly enjoying the radio show
56960	59920	you host every hour on the hour.
59920	61600	Been listening to it nonstop
61600	64280	since I discovered it several days ago.
64280	65960	Or was it weeks ago?
65960	67320	I don't know anymore.
67320	69720	I haven't turned the channel on my old radio
69720	73400	since I fixed it to 694.2 PTBP,
73400	76120	the only radio station my old box
76120	78240	even picks up anymore, I think.
78240	81120	Anyway, I wanted to just send you a friendly reminder
81120	83960	that Mark Zuckerberg is absolutely the worst.
83960	86360	However, I also wanted to remind you
86360	89400	he and his robot cronies are in charge of Instagram
89400	91240	as well as Facebook.
91240	92440	I mean, face foot.
92440	94320	I mean, ah, nevermind.
94320	95880	When you trust social media,
95880	98400	you're allowing your identity and your time
98400	101280	and your attention to be sold to the lowest bidder.
101280	103960	That's why I use my Twitter to pimp out cool shit
103960	105800	like pretending to be people.
105800	108640	You continue to haunt my dreams, wolfy boy.
108640	110200	Keep it up.
110200	113280	You only listen every hour on the hour?
113280	116320	What about between the hours?
116320	120600	What about the infinite space between all of time?
120600	122960	The only social media wolf likes
122960	125360	was Craigslist Miss Connections.
125360	127960	Lot of folks think they see me skulking around
127960	130960	in the dead of night rummaging through a dumpster of three.
130960	132760	Lot of folks might be right.
132760	135280	Remember, if you wanna write up something for your wolf
135280	137120	to have, tag us on the internet.
137120	139000	Fuck every billionaire.
139000	142600	Or write up a five-star review on Apple Podcasts.
142600	146040	All the links are in the show notes, my babies.
146040	149800	This here is part two of Scott Dorward's wretched
149800	153000	call a Cthulhu scenario bleak prospect,
153000	156360	run by another than the published author himself,
156360	158000	Scott Dorward.
158000	161080	Don't step back because we're pushing forward.
161080	162480	Clench your rucksack,
162480	165520	because we're all cornered by Grady Philip drug
165520	167680	with real life.
167680	172680	Life, surreal, in retrospect a dream.
173680	178680	Easy times, feel less than serene.
179760	184760	In the moment it's hard to count your blessings.
187120	192120	So we long for days gone past us.
193760	196920	Grief and strife,
196920	201920	but even that's real life.
202680	207680	Life.
207880	210760	Zach, will you make your bald head look like a cat again?
214760	216280	That's awesome.
216280	218880	It makes me think I'm like a Star Trek.
218880	220320	I'm a Star Trek.
220320	222320	So, I mean, okay, so something that, you know,
222320	225880	when you see like bald cats that have those big folds,
225880	228600	something I did not realize is that cats that have
228600	233120	darker stripes on their heads, which is a lot of cats,
233120	235160	they just follow the pass of that fold.
235160	236000	Oh, wow.
236000	239040	So all cats look fucking weird underneath their hair.
240480	242680	Oh, oh God.
242680	244160	Okay, well, I've got a tabby
244160	247400	and I'll never look at her the same way again now.
247400	249560	I know, I know.
251400	254560	Those are those weird like bald cat folds.
254560	255400	Oh, dear.
259600	262640	Dr. Coombs was feeling pretty good.
262640	267640	Yes, so yeah, what actually happens with Dr. Coombs
269400	274400	is mechanically you gain seven points of pow
277720	279640	and six points of luck.
279640	282280	God's number and the devil's number back to back.
283760	286200	All I'm hearing is that I need to spend some luck
286200	288320	before I step on one of these things.
288600	293600	But yes, you are at the same time very aware
296360	299880	that this thing is moving around inside your foot.
299880	303280	You can't really feel it, but at the same time,
303280	306320	you can, you know, you just know it's there.
306320	308480	Do I maintain a sense of fear from it?
308480	309320	Or does-
309320	310160	Well, it's up to you.
310160	311800	Is that okay with me?
311800	314680	When obviously you have a parasite
314680	316560	that has borrowed its way into your flesh.
316560	320760	So, I mean, that may not make you especially happy,
320760	324120	but on the flip side, you're feeling good.
324120	324960	You are a doctor,
324960	328760	so you might get to be more weary of it than most.
328760	331320	Yeah, if you don't want us to kill you
331320	333120	in the next 10 minutes of gameplay.
340560	342160	Doctor, where'd it go?
342160	345920	Guys, it's in, I think it's in my foot.
346320	347920	I can feel it.
347920	350080	I can feel it moving around in there.
351040	351920	It's a-
351920	353840	Jesus, Mary and Joseph.
353840	358760	It's not the worst thing though.
358760	359600	What?
360600	362280	What's fucking worse?
362280	365520	It doesn't feel bad.
365520	367120	It doesn't feel bad.
367120	367960	It doesn't-
368960	370880	You are glowing, you're glowing.
370880	372680	You're positively fucking radiant.
372680	375360	Coombes kind of like straightens his back
375680	377120	higher than it's been in a long time.
377120	378720	Maybe like Crix's neck.
379840	381280	It's a-
381280	382120	It doesn't-
382120	382960	More confident.
382960	383920	It feels good.
383920	384760	It feels good.
384760	385600	It feels good.
385600	386440	You look good.
386440	388120	Doc, I'm just gonna say it, you're sexy.
390680	392040	We've all been thinking it.
392040	394680	Yeah, he kind of jogs in place a little.
394680	397920	Yeah, this is better than I felt in years.
397920	400600	This is, but I gotta get it out right though.
400600	402880	That I got, I mean, it's a parasite, right?
402880	403720	It's like-
403720	404680	Yes, yeah.
404880	407680	Put your foot up on the table, we're gonna chop it off.
407680	410400	We're gonna chop up your foot for sure.
410400	411240	Oh, hold on.
