start	end	text
0	6420	Greetings my disciples, it is your leader in prayer and song, Wolf the Dog, and I am
6420	11540	here to preach the good word about all the happenings in this silly thing we call life.
11540	17760	I'm also here to tell y'all about how to attain true salvation and get y'all into dumps to
17760	18760	meet heaven.
18760	22240	The one true secret to life and happiness is...
22240	26920	Oh wait, before that we got a show to run here y'all, apologies.
26920	31300	This week's Howlin' with Wolf comes from Doug Blake, who recommended pretending to be people
31300	32300	on Facebook.
32300	39900	I mean, this week's Howlin' with Wolf is an Ari Manstein event review by ZomBenny2099.
39900	44680	The location for this event could not have been better, set among the classically themed
44680	48640	mausoleum littered venue that is the city cemetery.
48640	54260	The Samba Stone family plots lent a sense of reverence that most crawfish boils sadly
54260	56100	lack these days.
56100	61400	Upon my arrival I was instantly hit with sweet and savory smells that reaffirmed my hopes
61400	63960	that this would be a boil to remember.
63960	68220	But alas, the only thing I will remember is my disappointment.
68220	74320	First and foremost the service was terrible, there weren't even any eating utensils provided.
74320	80080	I actually witnessed a hip, well dressed young man, obviously from the city, resort to eatin'
80080	83660	straight from the pot as no one came to serve him.
83720	87440	Needless to say, I never actually got to taste any crawfish.
87440	91800	Equally as disappointing, the music was nonsensical.
91800	97000	I'm as down with new age music as the next city dweller, but this was just weird gibberish
97000	101560	that seemed to last forever and yet was over as soon as it began.
101560	106580	I was not alone in thinking this as several frustrated diners shot the DJ.
106580	111880	It was around this time that I took my leave, disappointed and hungry.
111900	117740	Still, all things considered, not the worst crawfish boil I've been to, two and a half
117740	119820	stars out of five.
119820	124980	You know, Wolf ain't never been to a crawfish boil that didn't have some kinda crazy shit
124980	126420	go down.
126420	131740	But all that crazy shit always leads to a massive reward at the end of the night when
131740	138820	they dump out all them shells into the trash, a treasure trove of candy red exoskeletons
138820	145040	discarded by the masses, all so your old little old wolf can take a Scrooge McDuck
145040	151280	dive into them, swimmin' around gettin' my fill with my mouth wide open.
151280	155620	That is the kinda spicy bug I like to eat.
155620	160480	So anyway, you need to remember, if you wanna write up somethin' for your wolf to how, tag
160480	166100	at PretendingPod on Instagram or Twitter, tag PretendingToBePeople on Facebook, or write
166100	171160	a five-star review and email us at PretendingPod at Gmail.com.
171160	177960	You are due to get bruised and lose your shoes if you choose to snooze on the news, baby.
177960	181840	Keith Vigna was shoved into a secret room in Jim Cook's house.
181840	187400	Clark Bishop found a well-worn VHS tape of his parents playing Wheel of Fortune and winning
187400	189080	a honeymoon.
189080	194400	John Lee Pettymore found an envelope with a letter from Jim Cook alongside three folders
194400	197700	outlining three different operations.
197700	203640	The group recovered at a walk-in clinic before toolin' up and enterin' Marvin Glass's playground
203640	206940	through a trap door like great in an alleyway.
206940	213940	Speaking of playgrounds, I hear those PretendingToBePeople boys are gonna be playin' around and loitering
213940	215820	on Twitch this Friday.
215820	223060	They can be found at twitch.tv slash pretendingpodstreams.
223080	227240	I hear one of those boys might sound a lot like me.
227240	230000	Yeah, right, that'd be crazy, y'all.
230000	235320	Aw, hell yeah, the thought of those boys streamin' has Wolf's face beamin'.
235320	241200	But until then, I'll keep dreamin' and dreamin' of incessant screamin'.
241200	247280	It's Kudzu with no backbone.
253060	280800	Let it pop, pop, pop, pop, in your butthole pop.
280800	282840	Put all the poppers in your butthole now.
282840	284620	Put them up there and lick them real good.
284620	285620	Let me get that popper.
285620	287440	Make it a spicy butthole.
287440	289600	Spicy butthole in my pants.
289600	291480	Spicy butthole does my dance.
291480	293920	I like dancing with my butt.
293920	296080	You will like me when I strut.
296080	297080	Strut.
297080	298080	Oh!
298080	300080	Luke, what'd you do for your birthday?
300080	306640	I literally woke up, sat on my couch, smoked weed all day, and watched Twitch.
306640	307640	Nice.
307640	309020	What'd you watch on Twitch?
309020	317700	I watched, well, at 8 p.m. is when Lord Caboon plays Grand Theft Auto roleplay.
317700	321500	So I watched that from about 8 p.m. until 3 in the morning.
321500	322500	That's Mr. Chang.
322500	323580	That's Mr. Chang.
323580	324580	He's my favorite.
324580	328740	The voice is a fun character.
328740	335300	Anyway, he's also, I think, the most watched Grand Theft Auto roleplayer on Twitch.
335300	336300	He's a lot of fun.
336300	337780	Anyway, I did that, and I also watched.
337780	338780	It is a lot of fun.
339780	341940	I watched a movie called About Time.
341940	346060	Oh yeah, with Donal Gleason.
346060	347060	Is that his name?
347060	348060	That's Brendan Gleason's son.
348060	349060	No way.
349060	350060	Yeah, Matt I. Moody's son.
350060	351060	Which I didn't know for a long time.
351060	354500	Oh yeah, because he's also in a couple, or maybe one Black Mirror episode.
354500	355500	The fucking fairytale.
355500	356500	Yeah.
356500	360260	But no, it was an enjoyable movie, cheesy at times, but I also love Rachel McAdams.
360260	361260	Oh yeah.
361260	364380	And I forgot, well, didn't forget, but Margot Robbie was in it as well.
364380	365500	Oh, I didn't remember that.
365500	367260	Isn't Bill Nye the dad in that?
367260	368260	Is that how you say his name?
368740	369740	Wait.
369740	370740	I think it's Nye.
370740	371740	Nye.
371740	372740	Oh, I thought you said Bill Nye.
372740	373740	I'm like, no.
373740	374740	Bill Nye, the British guy.
374740	375740	Yeah, no.
375740	376740	I very much enjoyed it.
376740	377740	Bill Nye.
377740	378740	And before I watched About Time, I watched.
378740	379740	Peach, Bill Nye.
379740	387700	I watched some Chef's Table, and I watched a guy play this survival game, I don't remember,
387700	388820	something dark.
388820	389940	Long Winter or something like that?
389940	391380	The Long Dark is what it was called.
391380	392380	The Long Dark.
392380	393380	Nice.
393380	396180	But yeah, I ordered Postmates slash Uber Eats twice.
396180	397180	Oh wow.
397180	398180	Yeah.
399100	400100	Fucking birthday baby.
400100	401100	Yeah, you really hit it up.
401100	404300	And I was thinking about going to Cherry Picker later in the night, and I was like, you know
404300	405300	what?
405300	406300	Fuck it.
406300	407300	I'm literally not going to change out of my pajamas.
407300	408780	I had a great time.
408780	409780	Hell yeah.
409780	410780	Well, heck yeah.
410780	411780	And you can finally vote.
411780	412780	I can finally vote now.
412780	415780	Yeah, listeners, Luke is legal.
415780	420780	You can vote at 16 in Missouri.
420780	421780	Yeah.
421780	427900	We've been trotting out this jail bait for you, but Lukey boys are all grown up.
427900	432860	When I was younger, I leaned very much to the left, but you know, my parents, a lot
432860	436580	of older people say like, once you get older, you'll be more conservative.
436580	441460	And yesterday I woke up and I was like, damn, I kind of want to vote for Donald Trump today.
441460	443500	Oh my God.
443500	445380	Well that's legitimately horrifying.
445380	446380	Happy birthday.
