start	end	text
0	5520	Salutations, my babies. You are listening to 694.2 PTBP,
5520	11760	Contingent's best and only radio show. Now, Wolf got a little bit of news for y'all today.
11760	16240	Now, I heard through the grapevine that Officer Keith Vigna didn't get the chief a birthday
16240	21280	present. Now, that's some cold shit. She did, however, receive a box with a single rose,
21280	28080	a white hard hat, and a black silk bow tie before leaving town. And Julia Maxwell crashed her car
28160	32960	driving drunk and was pronounced dead at the city hospital. Now, ain't that some shit for you?
32960	37680	A body was found at the piston junkyard. The body has a brand on the back reading,
37680	43440	This is a fool. That's some spooky stuff, y'all. That's just some spooky stuff.
43440	49280	Now, we got a new jam for y'all today. It's Kudzu with No Backbone.
58080	82080	Alright, Joe, if you wouldn't mind giving me a quick description of your character,
82080	87600	Clark Bishop. Yeah, sure. Clark is a 17-year veteran on the force. He's in his late 30s,
87600	92320	balding and letting himself go. He's a hard worker and does his best, but it's often not enough.
92320	96160	He pretends to know what he's doing. Often he doesn't, though. He's gotten pretty good at
96160	102240	faking it. Clark is from contention, and he knows the town pretty dang well. He's a lonely guy who
102240	105120	gets home from work, heats up his TV dinner, and watches Wheel of Fortune.
106000	109760	And then he goes to bed and dreams about being a noir-style detective.
109760	114960	Perfect. Absolutely perfect. Okay, so you are going out to Carrie Page's home,
115600	118720	where she is called in last night that her dog is missing.
118720	125200	Councilwoman Carrie Pages. She is regarded highly in the community. You know of her,
125200	130160	you probably don't know her very well. She's got a night to play. She's in the old neighborhood.
130160	135600	It's where all these old houses are lined up. They've all been taken care of really well. These
135600	140160	houses have been passed down from family to family. They're like rarely bought and sold
140160	143440	in this neighborhood. What do you want to do when you arrive at her house?
143440	145760	I'm gonna just walk on up and knock on the door.
145760	151280	All right, cool. So she answers the door. She has a beehive bun, cat-eye glasses,
151280	153680	and is wearing a bejeweled pantsuit.
153680	154320	No shit.
154320	161280	It is lightly bejeweled, but any bejeweling of a pantsuit is immediately noticeable.
163200	166160	And she is kind of freaking out a little bit.
166160	168080	Hello, thank you so much for coming.
168080	168640	Miss Page.
168640	172240	So my dog is missing. Tyler, you know Tyler? Have you seen Tyler?
172240	172960	Tyler, do you have a...
173920	179920	Here's a picture. Here's a picture of him. And she hands you a picture. He's an old black lab.
179920	185600	Every morning he goes out and he typically just uses the restroom and comes right back inside
185600	190800	before I feed him his breakfast, before I leave for the day. But today he did not come inside.
190800	193040	And, you know, I saw some... There was something...
194080	197920	Last night in the backyard, I thought I saw something moving, but,
197920	202800	you know, there's this rash of homeless people. Are you doing anything about that?
202800	207200	There seems to be more homeless in the community these days. And I just think...
207200	211440	I'm very worried about Tyler. He's got a lot of meat on his bones.
211440	213920	And if the homeless people are looking for something...
213920	215840	But I'm not trying to say that homeless people...
215840	216720	Oh, no, man.
216720	219600	I'm not trying to say that homeless people eat dogs. But I am saying that
219600	223840	perhaps he is a good-looking eating dog. He's a good dog to eat.
223840	230640	I'm not... He is the kind of dog who would be... He's my... He's everything to me.
230640	232640	Ma'am, has Tyler ever gotten out before?
232640	236720	Tyler is a very good dog. He is always very patient with me.
236720	239280	And he goes out the backyard and he comes right back in,
239280	241200	because he loves his home and he loves his food.
241200	242960	Has he ever gotten out of the backyard before?
242960	245280	No. We have very tall fences.
245280	247760	Have you put up pictures yourself already?
247760	250880	No, that was this morning. Early this morning.
250960	253920	And I have not seen him since about 5 a.m.
253920	256880	It is 9 o'clock now and I'm late.
256880	259920	And I would really appreciate you to find my dog.
259920	262080	Would you mind if I took a look in your backyard?
262080	262640	Go for it.
262640	263920	I go in the backyard.
263920	265760	You go into her backyard. It's a nice backyard.
265760	269040	She's got a little back deck set up. She's got a little grill out there.
269040	272800	Lawn chairs and such. Big grassy area for the dog.
272800	275040	8-foot privacy fences all the way around.
275040	278880	Do I see anything out of the ordinary? Just on first glance of the yard?
278880	279360	No.
279360	283440	And then I want to just do a perimeter around the fence and see if there's any holes on the bottoms.
283440	284960	Go ahead and roll search for me.
286480	288960	Fail. 63 on a 20.
288960	293120	Okay. You see no holes in the fence. Nothing out of the ordinary as you're searching.
293120	295520	She comes outside and she's like, have you found him?
295520	296960	No, you're right. He's not here.
296960	297440	I know.
297440	300480	Do you ever take him for a ride or anything?
300480	305840	He goes out to the vet every once in a while when he is in need of a veterinary's assistance.
306320	307600	Do you ever take him for a walk?
307600	312000	I have taken him for many walks, but I'm in the car is when we go to the vet.
312000	313280	When you take him on walks.
313280	317440	Sir, I am a good dog owner. I take my dog for walks all the time.
317440	320880	I'm just trying to think of where that dog might have gone off to on its own.
320880	322320	He would come back. I know him.
323280	324960	But he hasn't yet, right?
324960	326960	You have not found my dog. Is that correct?
326960	327680	Correct.
327680	329760	Okay. I would like you to find my dog.
329760	330720	I'm working on it, ma'am.
330720	331220	Thank you.
331920	333520	Does that dog like to go anywhere?
334320	341760	I don't know what you mean. He comes inside and he eats his food every morning and now he's not
341760	345200	there eating his food. He should be in the room eating his food right now.
345200	347920	When you take him on a walk, what route do you take?
347920	349520	I go around the neighborhood.
349520	353920	All right. I'm going to take a quick lap around and I'll come back if I find anything.
354560	357200	Otherwise, here's the plan. We're going to put up some signs.
357200	358000	Thank you so much.
358720	360080	And we're going to find that dog.
360080	362800	I appreciate this. Would you like more pictures of him?
362800	363760	If you got them, sure.
363760	366560	She hands you five framed pictures of Tyler.
366560	368320	I take them.
368320	372480	And then she grabs one back and she's like, I'm going to hold on to this one.
374160	374480	Thank you.
374480	375520	You can hold on to any of these.
375520	376240	Thank you.
376240	380720	All right. And then I do what I said I was going to do. I'm going to do a lap around the
380720	384000	neighborhood and yell Tyler out the window as I go.
384000	384500	Awesome.
388160	389520	Kind of hating every moment of it.
389520	391280	For sure. For sure.
391280	392080	Tyler.
394800	398080	As you go around the neighborhood, you don't see anything out of the ordinary.
398080	401040	You also don't see any homeless people in the area.
401040	404480	You would notice as you're going around the neighborhood, the dogs in this neighborhood
404480	408160	do seem to be like the ones who are outside, which there are probably a handful.
408160	411680	They're all barking pretty loudly at different points.
411680	416960	Not constantly, but like in spurts, you'll hear a bunch of dog ruckus and then nothing.
418080	421200	Does Clark have knowledge of dog disappearances lately?
421760	426160	There've been no dog disappearances lately from any council members who would have called
426160	426960	the police about it.
426960	430560	Sure. Clark's plan, I don't know how much you want to do right now, but he would go back
430560	436400	to the office. He would literally do a missing dog poster as part of his service to the council
436400	439840	woman. He wouldn't do it for anybody else probably, but he's going ahead and doing it,
439840	440880	making copies of the photos.
440880	444640	Just begrudgingly making dog, missing dog posters.
444640	446160	And then going out and posting them.
446160	446960	Okay. Awesome.
446960	450720	Oh, and he would also check the vet. He would call the vet or the dog pounder,
450720	452880	wherever dogs would turn up if they are found.
452880	457680	Sure. Yeah. Yeah. There's a dog pound. Yeah. There's like an animal shelter, dog pound
457680	459920	combo thing going on in this town. I would assume.
459920	463600	Clark calls them up and inquires about an old black lab.
463600	464400	Yeah. Nothing.
464400	464880	Okay. Cool.
464880	465920	So yeah, that's what his day is.
468800	470160	They say lunch explorer?
470160	471760	Lunch explorers.
471760	474080	Yeah. That's my, that's my dream job.
474080	475680	I would absolutely explore many lunches.
475680	478000	That's like Anthony Bourdain, but for daytime TV.
480720	485440	All right, Thomas, if you could give me a quick, quick, a quip.
485440	486800	Does it quit equip?
488160	490480	How about those fat cats in Washington?
490480	492800	Let's take that.
494080	494640	All right.
496080	498640	All right. Do you want to give me a description of John Lee Pettymore?
498640	501760	Yeah. So John Lee Pettymore, he is the fourth of his name.
501760	504160	He is a, well, he's half contention native.
504160	509920	His, uh, his father was killed by the DAA on his drug farm when like just after John
509920	514160	was born and his, uh, his mother moved them back to contention where she was from.
514160	517200	So he comes from kind of a, a pretty rough and tumble background,
517200	520400	but he definitely wanted to turn his back on that a little bit.
520400	521600	He's about six feet tall.
521600	523280	He's got light brown hair.
523280	526960	Um, and just a fucking killer cop stash.
526960	528240	He's pretty average build.
528240	530480	Like he was very scrawny in high school.
530480	532320	So he's a little like touchy.
532320	535280	He like, he looks fine, but he thinks he's like still for sure.
535280	538880	He kind of had a, he kind of had a pretty wild teenage years.
538880	541440	He really, he got in trouble a lot.
541440	546560	He raced sprint cars for a while, but an injury kind of scared him out of those and,
546560	548160	uh, ended his career there.
548160	549840	Got him into a safer line of work.
549840	550320	Kind of. Yeah.
550320	553920	He was, yeah, Cthulhu hunting.
556960	561280	In every campaign I've ever played that line of work has worked out great for my character.
561280	562000	Absolutely.
562000	562320	Yeah.
562320	562640	Oh man.
562640	562960	Who was it?
562960	565520	Was it Archie who got ripped through the wall by the hell dogs?
565520	565920	Yeah.
565920	566640	That was tight.
567680	568000	All right.
568000	568400	Perfect.
568880	571200	Thomas, John Lee Pettymore is going out.
571200	576640	Do you want to go to the spot where he called it in or do you want to go talk to Jimmy?
576640	580080	I, uh, I want to go to the spot and I will probably call Jimmy on the way and ask him
580080	580560	to meet me there.
580560	582640	You said he's my, like a distant cousin or something.
582640	582880	Sure.
582880	584160	Yeah, that totally works.
584160	587280	You guys, uh, known each other for a long, long time.
587280	588320	So you call him up.
588320	590960	Uh, Hey, uh, John?
592720	593280	Yeah, Jim.
593280	593840	Yeah.
593840	594480	What's going on?
595760	596720	You called us, Jim.
597600	598320	What do you mean?
598320	600800	Well, you said there was an oil spill.
600800	605520	Uh, I mean, I don't know what oil spill you're talking about.
605520	610080	Listen, Jimmy, uh, Drew said you called in pretty early in the morning, 4 AM and there
610080	611040	was an oil spill.
611040	613200	I called the police station last night.
613200	614080	You sure did, Jimmy.
614080	616000	Oh, okay.
616560	618400	Um, were you tying one on buddy?
618400	619600	No, no, no.
619600	621440	You know, I don't mess with that stuff anymore.
621440	625040	Um, God, I, uh, I don't know.
625040	626320	I don't know what I know, Jimmy.
626320	629040	Uh, well, um, I don't know, man.
629040	630160	I don't know what to tell you.
630160	630480	All right.
630480	632160	Well, um, where are you at right now?
632160	633040	No, I'm at the shop.
633040	633920	I'm going to head down there.
633920	634240	All right.
634240	635360	I'll see you in a second.
635360	639680	Subtropolis is literally two blocks away from the police department.
639680	644480	Uh, I will, and we're both downtown, so I'll walk over there before I leave.
644480	646240	I want to ask Drew some details.
646240	647840	What, you got a call from Jimmy?
647840	650640	I got a call from Jimmy at a 4 AM.
650640	651120	Yeah.
651120	657040	I, he was describing to me this, uh, this, this black, uh, oil that was all over the
657040	659840	ground out on a country road out Southeast.
659840	660800	That's strange.
660800	662640	Did he, did he describe the location more?
662640	663040	Exactly.
663040	665040	Do you think you could get me to that place?
665040	666000	Uh, yeah, yeah, yeah.
666000	668320	You hold the Fort down, raise MIA, of course.
668320	669200	Oh yeah, for sure.
669200	669520	All right.
669520	670400	I'll be back soon.
670400	670800	Okay.
670800	672000	So yeah, I'm going to go.
672000	674640	I'm going to stroll down to, I guess actually I want to take him with me.
674640	676640	So I'm going to pop over there in my cruiser.
676640	676880	Okay.
676880	680240	So you go to Subtropolis, you know, Jimmy is the manager there.
680320	682240	He's like pretty much always stone.
682240	683440	Just slinging sandwiches.
683440	686720	Hey Jimmy, first of all, uh, can you have your, can you have your boy make me a number
686720	689280	five and then, uh, I need to talk to you for a minute.
689280	689760	All right.
689760	690880	Um, yeah.
690880	691760	Uh, what's up?
692400	695360	So you don't have any recollection of talking to, talking to Andrew last night.
696960	702480	Uh, um, uh, nope.
702480	704480	What'd you, what'd you do last night, buddy?
704480	709520	Oh, you know, I was just, uh, uh, at, out at the house, uh,
710560	711280	hanging out.
711280	712160	Where does he live?
712160	713040	Went for drive.
713040	716560	Uh, he lives, uh, he lives out kind of by the country.
717200	717920	That part of town.
717920	719360	Yeah, it's down there.
719360	721520	He's like kind of got some land out there.
721520	725040	Your, your family, like all of your distant relatives just kind of like have a plot of
725040	726240	land that they've had forever.
726880	729520	Um, so he's down in the Southeast part of town.
729520	731280	It's a little bit more farmy out there.
731280	732080	Gotcha.
732080	734000	So Jimmy, what do you recall from last night?
734000	735360	Go ahead and roll humid.
736640	737200	Should Pat.
737200	737520	Yeah.
737520	738480	24 on a 50.
738480	739920	He's going to level with you.
739920	748800	Man, uh, I, I got some pretty good mushrooms in recently and I hadn't, you know, tripped
748800	749360	in a while.
749360	754480	So I went ahead and just did some, I did some mushrooms last night, man.
754480	759040	And I don't know, I kind of went off into my own little space in my head.
759040	762160	And, uh, I mean, it was a crazy fucking trip.
762160	762640	Yeah.
762640	765920	I, uh, I definitely don't remember calling the police station.
765920	768160	I'm really sorry, but don't worry, man.
768160	769360	It's no big deal.
769360	770080	I feel bad.
770080	770720	Sorry, man.
771280	771760	Okay.
771760	777280	I mean, I'm still, I'm going to have to ask you to come down to the spot with me and take
777280	777840	a look at things.
777840	778480	Oh, just.
778480	778800	Okay.
778800	779360	Yeah.
779360	780560	Jimmy, I'm not arresting you.
780560	781360	Oh my God.
781360	782400	Jesus Christ.
782400	784160	I thought as long as you sell me some of those mushrooms.
784160	785760	I was like John Lee Powell.
785760	788800	You know, I actually, I, I've got an eighth with your name on it.
788800	789600	I love you guys.
789600	790400	Hey.
