start	end	text
0	5000	Garbage in the morning, garbage in the evening, garbage at suppertime.
5000	9800	When garbage is on a bagel, you can eat garbage anytime.
9800	16720	Welcome my trash bags, it's your dumpster diving daddy, Wolf the dog, and we are broadcasting
16720	21240	live from 694.2 PTBP.
21240	26480	And I am here to eat y'all, because that's just what I do.
26480	28920	Feast on dumpster meats.
28920	33440	Heck, it ain't even gotta have meat in it for me to chow down.
33440	38920	You ever had a waffle that's been soaking in that sinful syrup that collects in the
38920	42560	bottom of an industrial trash compactor?
42560	46040	Five star yelp review every time, baby.
46040	52760	Speaking of hot syrupy trash, this week's Howlin' with Wolf comes from Anissa, aka
52760	60240	ripsawunderdashunicorn, who tweeted about this show and tagged at Pretendin' Pod.
60240	62400	They write, Dear Wolf,
62400	68760	The other day I drove by a steakhouse and saw a crow dipping the french fry in the dumpster
68760	69760	juices.
69760	75080	I couldn't help but think of you, a true creature of culinary sophistication.
75080	79640	Also, I'd like to give my best buddy Mandy a shoutout.
79640	81280	Keep on kickin' ass.
81280	87200	Ah, yes, the finest gourmands, my flyin' rat friends.
87200	90440	Fried roots dipped in a dumpster au jus.
90440	93040	I'll have what he's havin'.
93040	98880	I remember my first serving of that at the Outback Steakhouse, which was just a dumpster
98880	101160	outback of a steakhouse.
101160	106680	I also love the bloomin' onion, which is just when an onion has been sittin' around for
106680	110160	way too long and gets real nasty.
110160	114520	Wolf the dog kinda nasty.
114520	120440	You wanna send your old Wolfie or your best buddy Mandy a message here on 694.2?
120440	123720	Talk about pretending to be people on the internet.
123720	130680	At Pretendin' Pod on Instagram and Twitter, a 5-star review on iTunes also totally works.
130680	135020	If you wanna support the show, but you can't stand the thought of other people finding
135020	137240	out you love this trash.
137240	142520	We'll keep your secret over at patreon.com slash pretendin' pod.
142520	149040	When fake cops in city blues with a few screws loose choose to snooze on clues, I can both
149040	151200	amuse and accuse.
151200	153120	It's the news.
153120	158800	Leon's got the numbers in him, and he is dead set on tearin' up the dance floor.
158800	162840	This gave the gang plenty of time to look over everything on the laptop.
162840	169320	Instead, they read a few screenshots that were saved on the desktop and called it good.
169320	174360	The two videos also saved on the desktop, one of which showing a thumbnail of Harriet
174360	177360	Marks, the student who seemingly caused all this?
177360	181640	Nah, they good, no thanks, no need to watch those.
181640	185640	Too busy textin' the same person from two different phones.
185640	191940	Now don't get me wrong, I love these fuckin' dumb-dumbs, but sometimes you just have to
191940	197820	take a deep breath and focus on kudzu with no backbone.
221940	229100	But, like, doesn't that depend on the family member?
229100	233300	Do you have no one in your family, no cousin, like, who's younger than you or something?
233300	235380	Or you could be like, yeah, bukkake, this is what I'm-
235380	238180	Thomas is always trying to get the younger generations hooked on bukkake.
238180	244100	No, no, I'm trying, I'm, uh, opposite, I'm steering them away from bukkake.
244100	246940	If they know what it is, they'll know how to not see it.
246940	248940	I've been burned in the past.
248940	252940	All of my younger cousins are, like, six years old.
252940	254940	Oh, fuck.
254940	256940	Jesus Christ.
256940	261940	So in fact, they grew up in a bad area, so yes.
261940	264940	Are you the youngest, like, youngest period?
264940	266940	That is how it happens, Justin.
266940	269940	Other than me, my sister is the youngest over-
269940	271940	What did you say when your sister said, Luke, what is bukkake?
271940	275940	Well, my sister knows what bukkake is.
275940	277940	Yeah, she does.
279940	285940	Literally, before the sentence even left my mouth, I'm like, oh, goddammit.
285940	288940	Do you care to elaborate on that sentence that came out of your mouth?
288940	292940	One time on this podcast, I said, call my mama bitch, so I understand.
292940	296940	And I kept it, just like I'm keeping all of this.
296940	299940	Well, good thing my sister doesn't listen to this shit.
299940	304940	But we can say hello to Luke's dad, who is up to episode 14 as of recording.
304940	306940	18, I think, right?
306940	314940	Well, yeah, 18, because his theory was that the little girl that died in the fiery car crash was Contingent's savior.
314940	316940	Well said.
316940	318940	Which I thought should be canon.
318940	322940	Yeah, absolutely. But if you make it this far, welcome-
323940	325940	To the lab!
326940	330940	Before we start this episode, I think we should talk out of character.
330940	332940	Luke, say what you said again about bukkake.
333940	336940	I think that it's really helped my skin out.
341940	342940	It would, right?
342940	344940	I haven't had acne in a long time.
345940	348940	Also, I make some extra money on the side, so it's kind of win-win.
348940	349940	Gotta buy a lot of towels.
349940	350940	Because people cum on my face.
350940	352940	Okay, yeah, there it is.
354940	356940	And they pay you for that, seemingly.
356940	359940	Well, I mean, we make royalty money.
359940	362940	Like, from the king and queen, or Prince Andrew specifically?
362940	365940	No, the king of queens.
367940	369940	Hey, Kevin can wait. I just want to think that we should all-
369940	370940	Kevin can wait.
370940	371940	Leah Remini?
372940	374940	Alright, so if we could all go clear for a second here.
374940	375940	She was the real boss on that show.
375940	376940	I got the joke, it was good.
376940	377940	Thank you.
377940	379940	Let's talk out of character about what's happening.
379940	382940	I don't really, honestly, know.
382940	383940	Same.
383940	385940	I know, people, and it-
385940	388940	It feels like deliberately I know what's going on.
388940	389940	Let's take that again.
389940	392940	No, no, no, it feels deliberately humiliating when Zach was like,
392940	394940	yeah, listeners know what's going on.
394940	395940	That was a little deliberate.
395940	398940	And I feel bad, over the past week, obviously,
398940	400940	I've felt pretty bad about doing that.
400940	402940	So this time, I'm just going to say-
402940	404940	That you made it all up and no one knows what's going on?
404940	405940	Not even you?
405940	406940	I know that you-
408940	409940	I know you just make it up.
409940	413940	No, those people who came into the studio last week,
413940	414940	they weren't real.
414940	416940	I know, I played one.
416940	417940	Wait, what?
417940	420940	Afterwards, Joe totally conned one.
420940	423940	He was like, hey, if you give me $50,
423940	425940	I'll give you $200 in three weeks.
425940	427940	Oh, those people.
427940	429940	There was that one guy that talked like an old man,
429940	431940	but he didn't look that old?
431940	432940	There you go, you got me.
432940	434940	Yeah, that was the one that you played.
434940	435940	Right.
435940	437940	How did you play him after he left?
437940	438940	How did you play him?
438940	440940	What do you mean, how did I play him?
440940	441940	Joe played his guy.
441940	444940	How did you play the one dude who walked out,
444940	445940	your dude?
445940	447940	Now I get the joke you're making.
