start	end	text
0	2700	Howdy-do, my wolf pups.
2700	6500	It's your rootin' tootin' DJ Wolf the dog.
6500	8660	Emphasis on the tootin'.
8660	11500	I have horrible bowel issues.
11500	13780	Please send some tootin' medicine
13780	17560	into the interdimensional hallways, I wonder.
17560	22360	But I will not let my passive massive gas emissions
22360	24400	ruin this transmission,
24400	29400	which is broadcastin' live from 694.2 PTBP.
30560	35080	I think I smell somethin' funky.
35080	37720	We must have a new Howlin' with Wolf.
37720	40440	This week's Howlin' with Wolf is from Mason
40440	43960	in Orlando, Florida, who tweeted about the show
43960	46320	and tagged that pretending pod,
46320	49100	a thing you will also do the next time
49100	50740	you are on the Twitter.
50740	55120	Mason writes, the Yatil Arts Foundation
55120	58700	would like to invite you for a one-night-only performance
58700	61580	of the show that everyone is talkin' about,
61580	64460	Leroy and Juwan.
64460	69220	Join classically trained performers like Liberty Siegel,
69220	73900	Isa Al-Barsoumi, and Craig O'Doul
73900	78540	as they transport you to the magical realm of Carcosa
78540	80620	through the unforgettable songs
80620	85620	and legendary choreography of the 1895 classic.
86060	87780	Tickets are goin' fast,
87780	91200	so hurry to your local performin' arts center.
91200	95620	If you see the yellow sign, you're in the right place.
95620	99460	Huh, well, Mason, I think I'm gonna have to start
99460	101700	gettin' my producer to start proofin'
101700	104020	some of these Howlin' with Wolfses,
104020	106900	because some of y'all just send the wildest shit
106900	109020	and it truly does scare me.
109020	112100	Mason, I hope your weird performin' arts thing
112100	114060	is fun and not creepy.
114060	117400	It better not be creepy and weird, Mason.
117400	120180	If you wanna write up somethin' for your wolf to howl,
120180	123020	tag at PretendingPod on the internet
123020	125980	or write a five-star review on Apple Podcasts
125980	127560	and let us know about it.
127560	129780	If you wanna find Scott on Twitter
129780	133860	or hang out with the cast and other listeners on Discord
133860	137260	or listen to some of Justin's incredible score,
137260	140000	then friendship ended with Zelda,
140000	142480	now Link is my best friend,
142480	146000	and all the Links are in the show notes.
146000	149480	And what does Link say when he meets one of a set
149480	152640	of explicit or understood regulations
152640	154840	or principles governing conduct
154840	158600	within a particular activity or sphere?
158600	160320	Hi, rule.
160320	165160	Fuck Ganondorf Dragmire, it's time for the news.
165160	169260	Last time, Elden Ring ended up dancin' with a woman
169260	173060	whose mind was already owned by some force greater
173060	177000	than Elden had ever met, such force that Chequers,
177000	180040	Elden's leader, had to pull out smell insults
180040	182680	to bring the psychic back to reality.
182680	186980	Lafayette J. Honeycutt teased his own invention
186980	189900	as he and his man, Harvey Brewer,
189900	193380	climbed up a frozen ladder to the top of the tower
193380	198040	adorned with Cicero Mordaunt's strange aerial antennae.
198040	201480	While up there, Harvey saw somethin' indescribable
201480	204580	flyin' through the winter storm and toward the house.
204580	207840	But at the very end of the last episode,
207840	210640	Elden Ring basically pledged allegiance
210640	213760	to this unimaginable power that has taken hold
213760	217960	of the guests here, and when Chequers brought him back again
217960	221560	the changed psychic stared into the pitch black eyes
221560	224240	of Reverend Nye, who winked.
224240	226520	If that doesn't give you shivers,
226520	228520	then you need to release the tension
228520	230520	in your jaw and shoulders.
230520	232800	Here, maybe this'll help.
232800	235740	It's Isabelle Crane with Hollow.
237480	242480	I didn't know a body could be hollow
244200	248200	before its blood ran cold.
249200	254200	I didn't know that the wind could sew
256200	261200	through tissue and faggot bone.
263200	268200	You were hollow when you spoke to me.
271200	276200	Hollow when you sang.
279200	284200	I thought you might be starvin'
286200	291200	so I gave you everything.
295200	298200	Who would like to recount what happened last time?
298200	301200	Oh shit, welcome to pretending to be people!
301200	304200	Psychic attack, psychic attack, psychic attack!
305200	309200	If it's dark, look in the window and there's a face there.
309200	313200	If you're stoned right now and it's dark outside,
313200	315200	don't look in the window.
