start	end	text
0	3120	Greetings and salutations, my pack.
3120	6460	It's your hellacious howler, Wolf the Dog,
6460	12840	and I am shoutin' at you live from 694.2 PTBP.
12840	16500	My screams can be heard no matter where you are,
16500	20260	as long as you are tuned into the very good numbers.
20260	23000	That's how radios work, I think.
23000	27720	One thing that always works is the adoration of the public.
27720	31060	It just gets my crawdads boilin'.
31060	35260	This week's Howlin' with Wolf is from Josh in Maryland.
35260	38980	They tweeted about the show and tagged at PretendingPod.
38980	42720	Wow, thanks, Josh. I really appreciate it.
42720	43860	They write,
43860	46900	Thank you all for your excellent show.
46900	50520	I cannot wait to see what season two brings.
50520	53020	You introduced me to Delta Green,
53020	56600	and I've made that all of my friends' problems.
56600	60100	So far, they have sustained major casualties
60100	64100	in both Lover in the Ice and The Last Equation.
64100	67980	Shout-out to Deathwatch and the Raven Inquisition,
67980	71280	the best friends to play an RPG with.
71280	74640	Damn, Josh. Thank you, my child.
74640	79780	We here at PTBP love it when you make something you love
79780	81940	everyone else's problem.
81940	84780	Just ask all of my friends.
84780	89080	I have literally so many of these things called friends.
89080	91740	I'm definitely not super lonely,
91740	94240	sittin' in this studio for all time
94240	98880	with only my producer and dog, Wolf the Dog.
98880	103840	I definitely don't long to share a warm garbage parfait
103840	106380	with another under the flickering lights
106380	110040	in the parking lot of the long-abandoned supermarket
110040	111880	called Cream for Less.
111880	115680	The stars and moon cast in an otherworldly glow
115680	119680	upon our yogurt-covered claws and maws.
119680	123140	Yeah, I definitely don't care about none of that.
123140	125340	Ahem. Huh.
125340	129340	Well, uh, if you want to write up something for your wolf to howl,
129340	131680	tag at Pretending Pod on the Internet
131680	134880	or write a five-star review on Apple Podcasts
134880	137180	and holler at us about it.
137180	140180	Say it loud to the person on your left,
140180	141980	at Pretending Pod.
141980	145180	Now say it loud to the person on your right,
145180	147020	at Pretending Pod.
147020	150520	Say it out loud to your friend Beth's dad.
150520	154180	Say it out loud to your fest-drenned Brad,
154180	157020	at Pretending Pod.
157020	159940	And now, the news.
159940	162940	Last time, Lafayette J. Honeycutt
162940	167140	landed on the roof of the great chauffeur party building
167140	169940	with his Fuck Yo Gravity machine.
169940	174200	He then came face to face with a otherworldly creature.
174200	177440	It scuttled across the top of the building toward him
177440	179200	as he failed miserably
179200	182200	at an attempt to pop down to ground level.
182200	185700	The lit towel rained down a bevy of debris,
185700	189440	including a burning timber that drove checkers down
189440	191940	and pinned him into the snowdrift.
191940	194700	Thankfully, Harvey Brewer was nearby
194700	196940	to help his future cult leader,
196940	199440	and in a downpour of good luck,
199440	202440	Honeycutt blasted the flying monsters
202440	204940	with a jetpack fart to the face
204940	208940	and flipped down next to Harvey and checkers with ease.
208940	213940	Meanwhile, Elden Ring became Dark Soul.
213940	219440	That led to Mr. Soul being shot by his ex-leader checkers.
219440	223940	This was, of course, followed by the sounds of screaming,
223940	225940	electrical discharge,
225940	229940	and the air being absolutely filled with the buzzing
229940	231940	of these twisted winged beasts
231940	236440	with pulsating crenulations across their jagged heads.
236440	238940	It's a swarm, y'all.
238940	241940	And now, for the first time,
241940	247440	a brand new song here for 694.2 PTBP.
247440	251440	It's Isabelle Crane with Hollow.
251440	254940	I didn't know
254940	257940	a body could be hollow
257940	262940	before its blood ran cold.
265940	268940	I didn't know
268940	272940	that the wind could soak
272940	277940	the tissue and faggot bone.
278940	281940	You were hollow
281940	285440	and you spoke to me.
287440	292440	Hollow and you sang.
294440	300440	I thought you might be starving,
300440	307440	so I gave you everything.
308940	313440	I feel so low energy after your kind of hype there.
315440	319440	Well, something was said right before we cut to the 30 seconds of silence
319440	323440	that made Scott literally say the phrase,
323440	327440	Jesus wept.
327440	329440	And it reminded me,
329440	331440	we used to play Bible trivia
331440	332940	when our Sunday school teacher
332940	336440	didn't have anything prepared for us on Sunday morning,
336440	339940	and Bible trivia was a game that was like, you know,
339940	341940	Trivial Pursuit, whatever, is in a box
341940	343940	and so we'd bust it out and play.
343940	345940	And the question was,
345940	348440	what is the shortest verse in the Bible?
348440	351940	And my friend's younger sister said,
351940	355940	enthusiastically as anyone has ever proclaimed any two words,
355940	357940	Jesus wept.
357940	359940	Jesus wept.
362940	365940	No, Jesus used the three cells.
366440	371440	Yeah, he didn't come to wash away mankind's sins,
371440	373440	just to wipe them away.
373440	375440	Just smudge them a bit.
375440	377440	Yeah, from back to front too.
377440	379440	Jesus was a freak.
379440	381440	Yeah, and they didn't have bidets back then,
381440	383440	so, ugh.
383440	385440	Oh my God.
385440	386940	And for you listening at home,
386940	388440	if you don't have a bidet,
388440	390440	we're not living in Jesus times anymore.
390440	391440	You can get one.
391440	392440	They're relatively inexpensive
392440	394440	and it keeps your butthole happy.
394440	397940	Brought to you by, I'm Googling bidet company.
397940	399940	We need to reach out.
399940	401940	If we could get a sponsor for the podcast
401940	403940	that wasn't like, just like Bomba socks or whatever
403940	405940	every time, it would be cool
405940	407940	if we were just exclusively sponsored
407940	409940	by a bidet brand.
409940	411940	Brought to you by,
411940	413940	Brought to you by Tushy.
413940	415940	Oh, that's a good one.
415940	419940	Today only, if you type in the code PTBP
419940	421940	and then delete it off there,
421940	423940	you can buy, if you buy two bidets,
423940	426940	you can save $90 at Tushy.com.
426940	429940	And if you use Honey, it'll probably help.
431940	434440	If your arsehole could speak, it would thank you.
434440	436940	Oh, that's a hell of a tagline.
438940	440940	Thomas, what do you think about that?
441940	443940	Our Jimmy John's came, Scott.
443940	445940	We've got delicious Jimmy John's incoming.
445940	446940	That was freaky fast.
446940	448940	That was freaky fast.
448940	451940	Your sandwich place is called Jimmy John's?
451940	452940	Jimmy John's, yep.
452940	453940	Oh, Jimmy John's. Oh, sorry.
453940	454940	I thought you said Jimmy John's.
454940	457940	I was expecting it to come with flavor aid.
461940	462940	Holy shit.
462940	464940	The Jim Jones.
464940	466940	Is this going to be like some special Patreon content
466940	469940	where it's just like eating sounds for 10 minutes?
469940	470940	Oh, God.
470940	471940	Dibbing up of sandwiches.
471940	474940	So we literally have to split off in our very first episode.
474940	476940	There's a doorbell that rings like four minutes
476940	479940	into our very first recording.
479940	481940	Jimmy John's just showed up at the door
481940	484940	and Luke went to the door and the guy was like,
484940	485940	what are you guys up to today?
485940	488940	And Luke was like, oh, we're playing a role playing game.
488940	490940	And the guy was like, oh, sweet.
490940	492940	Have you ever heard of Delta Green?
494940	496940	And Luke was like, dude, I'm not kidding.
496940	498940	That is what we're playing.
501940	502940	Brilliant.
502940	503940	And then I didn't say like, hey, we're recording.
503940	504940	You should listen to this thing
504940	506940	that will come out in two years.
507940	509940	Well, that guy was Joe.
511940	512940	Can I play?
512940	514940	It was called Jimmy Joe's back then.
517940	518940	What are we going to do?
518940	520940	Hoover down a few bites.
520940	522940	Take your time.
522940	524940	I don't want to see any of you choking to death
524940	526940	trying to catch the game in a hurry.
526940	527940	It's a horror game, Scott.
527940	528940	Psychic attack!
528940	529940	Psychic attack!
534940	536940	Well, I think everyone's stopped crunching chips.
536940	538940	Yeah, I'm ready to go.
538940	539940	Fantastic.
541940	542940	Does someone want to do a recap
542940	545940	and then we can move on to the death?
545940	547940	There was a heavy betrayal.
547940	548940	Oh, man, yeah.
548940	550940	Luke really betrayed me.
552940	554940	But then kind of a reconciliation sort of.
554940	555940	I don't know what happened at the end there
555940	558940	where he was first aiding you after having shot you.
558940	559940	I know, it's wild.
559940	562940	Well, I was pissed that I could feel you betraying me
562940	565940	in real time and then I didn't want to kill you,
565940	567940	but I had to stop you psychic attacking me.
567940	571940	I'd like to read something from the psychic attack part
571940	574940	of the Pulp Cthulhu handbook.
574940	577940	It says, I can.
579940	580940	Okay, I can.
580940	582940	Sounds like you're making it up already.
582940	584940	I'll read the whole thing then, I guess.
584940	586940	It says that I can.
588940	590940	And I do.
591940	593940	The psychic may attempt a psychic attack
593940	595940	if the target is in line of sight.
595940	598940	If the initial opposed power roll is failed,
598940	601940	the psychic hero may attempt another power roll
601940	603940	on their turn in the following round.
603940	607940	The second attempt effectively works like a push roll.
607940	609940	If the second attempt fails,
609940	613940	the target of the attack can never be targeted again
613940	615940	by the same psychic.
615940	616940	Wow.
616940	618940	So I don't know if you read that, Scott,
618940	622940	as like two psychic attacks back to back in one combat.
622940	624940	Okay, so then I've done it once.
624940	626940	So if I do it again and fail,
626940	629940	then I'll never be able to psychic attack you ever again.
629940	632940	And then that would restore my trust in you.
633940	635940	Yeah, so don't think of it as a psychic attack.
635940	638940	Think of it as an inoculation.
638940	639940	Right.
639940	642940	Oh, and if I fail, it works like a pushed roll.
642940	644940	So something suitably bad happens.
644940	646940	Possible consequences might include
646940	648940	bleeding from ears and eyes,
648940	651940	sanity loss and instant delusion,
651940	656940	incapacitation by shaking and spasms, et cetera.
656940	657940	Nice.
657940	658940	I like et cetera, too.
658940	660940	Yeah, et cetera sounds crazy.
660940	661940	Yes.
661940	664940	Anyway, that could be bad, huh?
664940	665940	Could be bad.
665940	667940	But I'm sure you wouldn't be silly enough to do that,
667940	668940	would you?
668940	669940	God, no.
669940	672940	There's no way of telling, honestly.
672940	674940	So shall we open up with that then
674940	676940	with the two of you down there in the cellar,
676940	680940	patching things up both figuratively and literally?
680940	681940	But why?
681940	682940	Why did you do it?
682940	686940	You should join us.
686940	688940	I'm not sure what any of it is.
688940	689940	I don't know what the invention is.
689940	690940	I don't know what that thing was.
690940	692940	I don't know what you're trying to get me to join.
692940	696940	Well, you didn't know what anything was before,
696940	698940	and you were still the face of that.
698940	699940	Fair enough.
699940	702940	His mind has been changed.
702940	704940	Oh, yes.
704940	705940	Delta.
705940	709940	Green.
709940	712940	Well, let's, I mean, we got you patched up
712940	714940	as much as I can do right here, but...
714940	716940	I'm feeling much better, thank you.
716940	717940	There's probably a doctor.
717940	718940	Friend.
718940	721940	There's scientists and academics and everything.
721940	723940	There's got to be a doctor.
723940	725940	Hey, I want you to know,
725940	727940	just because you're no longer my master
727940	729940	does not mean that we cannot be friends.
729940	730940	Huh?
730940	733940	I can teach you the ways of this creature,
733940	734940	and you can learn.
734940	735940	But I'm in charge, though.
735940	738940	Assuredly, but you can learn from me.
738940	739940	Hmm.
739940	742940	I think you lost a lot of blood or something,
742940	745940	and you're not making no sense.
745940	747940	And I think with that as well,
747940	750940	you can start hearing all the screaming and crying
750940	753940	and strange, you know, crashing sounds from outside.
753940	756940	A little bit of Checkers charm pops into his head,
756940	759940	and he's like, hey, they're missing us out there.
759940	762940	Yeah, a little bit of Monica in my life.
762940	763940	Right.
764940	767940	A little bit of Sandra in the sun.
767940	769940	A little bit of Jessica.
769940	771940	I help you walk up the stairs,
771940	774940	and we'll head out of this horrifying dungeon.
774940	775940	Thank you, friend.
775940	778940	And meanwhile, upstairs, Lafayette and Harvey,
778940	780940	you'd heard all the chaos as well
780940	782940	from deeper within the building.
782940	783940	What are you doing?
783940	787940	I was having a bout of not feeling so great mentally.
787940	788940	Am I still having that?
788940	789940	Yes.
789940	790940	You are.
790940	792940	Yeah, absolute panic.
792940	794940	You've got to get out of here as soon as possible,
794940	797940	and I mean, you know where the front door is.
797940	799940	I mean, you know, if you just run out of there,
799940	801940	I'm sure you'll be fine.
801940	802940	I'm charging ahead.
804940	805940	Okay.
805940	807940	So, yeah, Lafayette can see Harvey
807940	809940	just legging it down the corridor
809940	811940	full speed away from him.
811940	812940	How many legs?
812940	813940	Yeah, I was gonna ask.
815940	816940	I started with 13.
816940	817940	You didn't know that?
819940	822940	He's running at, what, just over 100 miles an hour?
823940	826940	He's done that in, like, the same direction
826940	828940	that the creature just flew off, basically?
828940	829940	Oh, yeah. Yeah.
829940	831940	Yeah, he's running towards the chaos.
831940	835940	Lafayette looks down, like, either side of the hallway
835940	838940	and then closes the door behind him and locks it.
838940	840940	Like, while you're in the room?
840940	841940	Yeah.
841940	844940	And then he starts going through the shit in Cicero's room.
844940	847940	Well, I mean, the shit in Cicero's room
847940	851940	largely consists of blood-splattered furnishings,
851940	856940	blood-splattered bedding, blood-splattered carpet,
856940	858940	blood-splattered corpse,
858940	863940	the syringe and the strange liquid,
863940	867940	blood-splattered ceiling, blood-splattered light fixtures.
867940	870940	Blood-splattered love letters he never sent you.
872940	875940	I try to open any blood-splattered drawers
875940	877940	or cabinets and find, you know,
877940	879940	is there anything in his bedside table,
879940	883940	any super sentimental knick-knack
883940	888940	that I can take to just really rub in the world's, you know,
888940	891940	I guess I wouldn't show it off too much, but still.
891940	892940	You would know.
892940	893940	Ego.
893940	894940	Yeah.
896940	900940	Oh, gosh, what kinds of knick-knacks might he have?
900940	905940	Yeah, I guess there's a lock of blonde hair
905940	907940	that's tied with a ribbon.
909940	910940	Was his wife?
910940	913940	I see that, and I look at it, and I kind of toss it away,
913940	915940	and I see, like, propped up next to the bed
915940	918940	is that stupid self-playing violin, and I take that.
918940	919940	Yes.
919940	920940	And I...
920940	922940	It's out of tune already.
922940	926940	And I look at the weird, you know, the stuff he was injecting.
926940	929940	I can see the track marks on his arms and shit.
930940	933940	And I pocket that as well.
933940	934940	Okay.
934940	936940	And then are you two running up those same stairs
936940	937940	out of that wardrobe?
937940	939940	Yeah, I think at this point the two of them
939940	941940	do burst out of the wardrobe.
941940	943940	Well, hello, chaps.
943940	945940	We got to go help or something.
945940	947940	What are you doing?
947940	949940	As screams are coming from the...
949940	951940	What's down there?
951940	953940	I don't know, something bad.
953940	955940	Oh, where we just came from.
955940	956940	Yeah.
956940	957940	Something bad.
957940	958940	Did you see it fly out of there?
958940	959940	It's gone, yes.
959940	962940	That was down there, and it took him...
962940	964940	He's fucked up because he's thinking
964940	966940	that that thing's his master, but I am.
966940	968940	The new invention of Cicero Morgan
968940	970940	is going to change the world, you know?
970940	972940	And he's saying that shit.
972940	975940	Just like everybody down there.
975940	977940	It's going to change the world, you know?
977940	979940	Also, the last branch, you should get in early
979940	981940	because it's about to take off.
983940	984940	No. No.
984940	986940	God damn it, no.
986940	988940	Lafayette J. Honeycutt is about to take off.
988940	992940	He did take off in his amazing jet pack.
992940	994940	I don't know who that is, David.
994940	996940	I am Lafayette J. Honeycutt.
996940	998940	Whoa!
998940	999940	The whole time?
999940	1001940	Yeah, he parts his hair to the other side.
1001940	1003940	Dramatically.
1003940	1005940	Checkers recalls, he's like,
1005940	1007940	I've seen him in the magazines.
1007940	1009940	That's right, you have.
1009940	1010940	I am the best inventor.
1010940	1013940	You're the second best inventor on Earth?
1013940	1016940	Well, and then I see him.
1016940	1018940	I'm like, well, the best now.
1018940	1021940	I was the best before.
1021940	1023940	I made this kick-ass jet pack.
1023940	1025940	Can you invent us something to get out of here?
1025940	1026940	Alive?
1026940	1027940	A jet pack!
1027940	1029940	Us, not you.
1029940	1033940	So Honeycutt, does that mean that I am the vessel
1033940	1036940	that followed through with the energy focus
1036940	1040940	in order to make you the successful man
1040940	1043940	without any sort of rival to speak of?
1043940	1045940	This is exactly what I was saying.
1045940	1048940	He's lost it.
1048940	1051940	If so, I think any invention that you come up with tonight
1051940	1055940	and show off could change the world, you know?
1055940	1058940	Oh, well, have you seen my jet pack?
1058940	1061940	I kind of turn around and I flash it to him.
1061940	1063940	I'm like, eh?
1063940	1065940	Is it cool?
1065940	1067940	It's very cool.
1067940	1069940	I think if you want to work out how cool this is,
1069940	1071940	you'd have to lick it.
1071940	1073940	Yeah.
1073940	1074940	Do you mind?
1074940	1077940	Yeah, I also give him just a little push.
1077940	1079940	I spread a little flame out the back.
1079940	1080940	Ooh.
1080940	1082940	Just revving the engine, just a little.
1082940	1083940	Huh?
1083940	1084940	Look at that.
1084940	1086940	I think with all the blood and tissue around,
1086940	1089940	there's just this brief smell of cooking meat.
1089940	1093940	Yeah, it just like singes.
1093940	1095940	Well, we got to get him to a doctor
1095940	1098940	and figure out what the hell's going on out there.
1098940	1100940	Well, it sounds like a lot of people are screaming
1100940	1104940	and dying out there, so what if we just stayed in here?
1104940	1106940	That was sort of my plan.
1106940	1109940	Well, and what, wait for them to come to us?
1109940	1111940	No, wait for everything to leave.
1111940	1112940	They know we're up here.
1112940	1115940	That thing had holes drilled in its head and it's mad.
1115940	1117940	It seemed like it just wanted to get out of here.
1117940	1118940	It's gone.
1118940	1120940	I'm going to survive.
1120940	1121940	I sure hope so.
1121940	1123940	I shot him.
1123940	1124940	Sorry.
1124940	1125940	It's okay.
1125940	1126940	I think I'm going to be protected.
1126940	1127940	Split up.
1127940	1128940	Wait, what? Why?
1128940	1130940	Okay, you take care of him then,
1130940	1132940	and I unlock the doors and go investigate the scene.
1132940	1136940	Wow, he's going to be deeply unsafe now.
1136940	1139940	Why don't you go see what's going on out there for me?
1139940	1140940	Could you do that?
1140940	1143940	Yeah, I'm not going to be harmed by this creature
1143940	1147940	or any of its friends, so of course, yeah, that seems fine.
1147940	1148940	Perfect.
1148940	1150940	You go down there and see what's going on
1150940	1151940	and report back to me.
1151940	1153940	Yeah, I'll let everybody know you're up here.
1153940	1154940	I kind of shuttle you out the door after.
1154940	1155940	No, no, no, no, no, no.
1155940	1157940	Don't do that.
1157940	1160940	Don't tell anyone.
1160940	1162940	Well, in order to make sure that tonight goes off without a hitch,
1162940	1166940	everyone should know where everyone is.
1166940	1169940	You understand that tonight has just been one big hitch, right?
1169940	1172940	No, it's a party.
1172940	1173940	Sorry.
1173940	1178940	The hitches have already gone off.
1178940	1183940	You know, I'll just go with you two.
1183940	1184940	It's a party.
1184940	1185940	Sorry.
1185940	1189940	Well, Harvey's got a head start, so let's catch up with him.
1189940	1194940	So in your panic to get out, you've run to the main stairs
1194940	1198940	and you were going to head to the exit,
1198940	1200940	but now that you're on the stairs,
1200940	1202940	you're beginning to come out of this panic
1202940	1207940	and you can see that it is carnage down below.
1207940	1211940	There are people running around all over the place
1211940	1215940	and there are a number of these flying creatures
1215940	1217940	buzzing through the air around them.
1217940	1220940	A few of them are holding these devices
1220940	1223940	that look a bit like cameras maybe.
1223940	1225940	The people are terrified.
1225940	1227940	Some of them are trying to get outside.
1227940	1230940	You can see there are a few bodies on the ground.
1230940	1232940	People are getting trampled.
1232940	1234940	What do you do?
1234940	1236940	Has anything noticed me?
1236940	1238940	Notice me.
1238940	1239940	What?
1239940	1240940	Give me a luck roll.
1240940	1242940	Give me a luck roll.
1244940	1246940	It's a 21 on a 59.
1246940	1249940	I mean, a couple of people run past you up the stairs.
1249940	1252940	There are some of these creatures buzzing around,
1252940	1256940	but nothing seems to have taken a lively interest in you yet,
1256940	1259940	but it's probably only a matter of time.
1259940	1263940	Can you give me an idea of the number of these bug creature things?
1263940	1266940	Is it like 20 of them or is it like three or four of them?
1266940	1269940	At the moment, you're mainly looking into the hallway
1269940	1272940	and you can see about half a dozen of them here,
1272940	1276940	but there's sounds of buzzing from outside.
1276940	1280940	You hear some strange crackling noises from out there as well.
1280940	1284940	And there's pandemonium in the ballroom as well.
1284940	1287940	The band, funnily enough, has stopped playing at this stage.
1287940	1290940	Oh, no, the music.
1290940	1295940	The party's not going off without a hitch.
1295940	1298940	If I'm starting to regain my senses at this point,
1298940	1301940	he's remembered that he's abandoned his employer,
1301940	1303940	the person he's only supposed to protect.
1303940	1308940	So he's going to look back down the hallway and see if he is followed.
1308940	1312940	Yeah, and as you do so, you can see the others moving towards you,
1312940	1314940	silhouetted by the light from Gordon's room.
1314940	1318940	And I'm going to try and tell him to slow down and be quiet.
1318940	1319940	Yeah, it's easy to see that.
1319940	1321940	Let's just go back and lock ourselves in that room.
1321940	1324940	I slow down a little bit, but I kind of blow by Harvey
1324940	1327940	and I'm like, come on, you'll be the most help.
1327940	1330940	I grab him by the scruff of his collar.
1330940	1334940	Hey, buddy, listen, there's a lot of them down there.
1334940	1335940	I can't take them alone.
1335940	1337940	I don't think four of us can take them either.
1337940	1339940	What's them?
1339940	1341940	You saw that thing that came out of the cellar?
1341940	1342940	I shot it.
1342940	1343940	There's a lot of those.
1343940	1347940	Just so you know, I shot it and nothing happened at all.
1347940	1349940	So do you want to go fight those now?
1349940	1352940	There's got to be a way, or they could join the cult
1352940	1355940	and be the most powerful members of the cult.
1356940	1358940	Where did this voice come from?
1361940	1364940	The most powerful members of our cult.
1367940	1369940	Everything about me is a fraud.
1369940	1372940	So I don't really even have an actual voice.
1375940	1378940	So you're having this conversation at the top of the stairs.
1378940	1380940	Unfortunately, it sounds like it.
1382940	1384940	So while you're having this conversation,
