start	end	text
0	5320	Hello, all, and welcome to the best radio show in town.
5320	11800	It's 694.2 PTBP, and I'm your host, Wolf the Dog.
11800	16280	I'm here to say things, and you are here to listen.
16280	18840	A perfect relationship.
18840	21680	Sometimes, you're here to say things,
21680	23640	and I'm here to listen.
23640	28160	This episode's Howlin' with Wolf is from Cupcake Sinclair
28200	31960	in Las Vegas, Nevada, who tweeted about the show
31960	36520	and tagged at PretendingPod, an easy and nice thing
36520	43200	you can also do to spread the love and joy of 694.2 PTBP
43200	45920	with your online friendos.
45920	51920	Cupcake Sinclair writes, PTBP equals amazing.
51920	54400	I'm hooked, and I love the reminder
54400	56960	that sex work is real work.
57040	60520	There is discrimination not only from society,
60520	63720	but credit cards dictating what can appear.
63720	69040	For example, TV can film sleeping, hypnosis, et cetera,
69040	70880	but we cannot.
70880	73600	I ask listeners to please consider
73600	77200	how hypocritical laws passed against sex workers
77200	81320	are a canary in the coal mine for wider changes that will
81320	84600	affect us all down the road, especially
84640	87720	in terms of what consenting adults do.
87720	89400	And that's just porn.
89400	93200	You know a sex worker whether you realize or not.
93200	97040	Thank you guys for your hard work, the hilarity you bring,
97040	100040	and the consideration of my announcement.
100040	104680	XOXO, submissive Cupcake Sinclair.
104680	107240	Well, damn, Cupcake Sinclair.
107240	110440	Thanks for all the shout outs and praise.
110440	114520	Let's make sure we all support sex workers' rights.
114520	117440	If you wanna write up something for your little Wolfie
117440	120800	to how, tag at pretending pod on Twitter,
120800	123840	tag at pretending pod on instant gram,
123840	127480	and tag pretending to be people on Facebook.
127480	130920	Or write up a five star review on the podcast app
130920	132280	of your choice.
132280	135280	If you give ol' Wolfie a shout out,
135280	138040	I might read that dang review right here
138040	140520	in the wettest broadcasting studio
140520	143000	this side of the Mississippi.
143000	146440	And this side, it means under.
146440	148320	Do you wanna check out our shit
148320	151080	without having to type a single letter?
151080	153560	All of our links are where?
153560	155600	Say it with me, children.
155600	157960	All of our links are where?
157960	160160	In the show notes.
160160	163240	Seriously, go look at the show notes.
163240	165400	It's wild stuff in there.
165400	168320	And it takes me about four hours to type them up
168320	171040	with these big ol' nasty paws.
171040	173160	Please acknowledge my hard work
173160	176160	and excellent use of language.
176160	179480	Now dial up for some vile fluff.
179480	181800	It's time for the news.
181800	185720	Last time, we met Shelly St. Blythe,
185720	189120	a crystal doctor with a penchant for puppetry
189120	193320	who witnessed something wildly unnatural back in the day.
193320	196600	He was at a dig site with the charming and capable
196600	201320	Dr. Brock Hargrave, as well as Jimmy Corrigan,
201320	206320	a badass merc with a soft spot for his wife and children.
206360	210120	A woman with myriad names, a shrinking frame,
210120	212440	and the voice of Jennifer Jason Leigh
212440	215360	continued building her personal strike team
215360	220360	with the owner of Boeri Security, Vincent T. Boeri,
221240	223320	who has an eye for fashion
223400	226600	and an even better eye for new employees.
226600	228880	And for this particular mission,
228880	233360	she rounded out the squad with a vagabond called Meat Hook.
233360	235480	They received their assignment
235480	237680	in this emaciated woman's house
237680	241160	that reeked of cat piss, sans the cats.
241160	243520	The briefing was as follows.
243520	246760	Dr. Brock Hargrave and one of his coworkers
246760	249800	at Holy Cow Farms have gone missing.
249800	252200	Dr. Hargrave headed out after work
252240	254280	and just didn't come back,
254280	257800	but his missing coworker seemingly never left
257800	261280	the office building of Holy Cow Farms,
261280	265720	taking us now to the death two-car convoy
265720	270720	of Jimmy Corrigan's Jeep and a, Jesus, a stretch Escalade?
271720	274280	Well, this team may be fucked,
274280	277120	but at least we have Hudson Freeman
277120	279920	with Muscles R. Spreems.
279960	280800	Let's go.
280800	281640	Let's go.
309920	314920	What's up, everybody?
314920	317500	I was thinking the same thing.
321560	323480	I am now mechanization.
328280	330960	All my muscles work like screams.
337480	338400	What's up, everybody?
338400	341240	Welcome to episode two of this short story here
341240	342840	on pretending to be people.
342840	344000	It's Holy Cow Farms time.
344040	344880	Holy Cow Farms.
